Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2018,agegr10_1/vd1dhrs,0.121068115827029,9.65403191461513,0.098160145874973,0.143976085779085,505,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Age group,25 to 34 years,2018,agegr10_2/vd1dhrs,0.139387632303838,10.0811060125742,0.111846581023722,0.166928683583953,919,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Age group,35 to 44 years,2018,agegr10_3/vd1dhrs,0.144102456097461,7.42804428291389,0.123123012873433,0.165081899321489,1481,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Age group,45 to 54 years,2018,agegr10_4/vd1dhrs,0.163033743560685,7.11218529414345,0.140307447778708,0.185760039342662,1390,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Age group,55 to 64 years,2018,agegr10_5/vd1dhrs,0.169142083461278,5.89485643342438,0.149599903902463,0.188684263020093,1707,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Age group,65 to 74 years,2018,agegr10_6/vd1dhrs,0.157864145913655,6.32034361890568,0.138308494573265,0.177419797254045,1560,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Age group,75 years and over,2018,agegr10_7/vd1dhrs,0.105401822836054,8.16369550701029,0.088536952342361,0.122266693329748,803,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Gender,Male gender,2018,gndr_1/vd1dhrs,0.429498903814144,3.55890012221729,0.399539997781172,0.459457809847116,3493,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Gender,Female gender,2018,gndr_2/vd1dhrs,0.570501096185856,2.67930020028986,0.540542190152884,0.600460002218828,4872,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Marital status (original),Married,2018,marstat_1/vd1dhrs,0.530279314061929,2.90616013261431,0.500074767694889,0.560483860428968,4495,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Marital status (original),Living common-law,2018,marstat_2/vd1dhrs,0.0824985016896751,10.2959532488174,0.0658505535619601,0.0991464498173901,726,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Marital status (original),Widowed,2018,marstat_3/vd1dhrs,0.0576627147961858,10.9183224024494,0.0453231713717516,0.07000225822062,635,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,NA
Marital status (original),Separated,2018,marstat_4/vd1dhrs,0.0295770195062271,20.4901632865771,0.0176988937730133,0.0414551452394409,242,Percentage of hours volunteered,Percentage of total hours volunteered,CA,NA,*
