,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Groupe d'âge,15 à 24 ans,2018,agegr10_1/vd1dhrs,0.12106811582702902,9.65403191461513,0.09816014587497301,0.143976085779085,505,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
1,Groupe d'âge,25 à 34 ans,2018,agegr10_2/vd1dhrs,0.139387632303838,10.0811060125742,0.111846581023722,0.16692868358395302,919,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
2,Groupe d'âge,35 à 44 ans,2018,agegr10_3/vd1dhrs,0.144102456097461,7.4280442829138895,0.12312301287343301,0.165081899321489,1481,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
3,Groupe d'âge,45 à 54 ans,2018,agegr10_4/vd1dhrs,0.163033743560685,7.11218529414345,0.14030744777870802,0.185760039342662,1390,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
4,Groupe d'âge,55 à 64 ans,2018,agegr10_5/vd1dhrs,0.16914208346127801,5.89485643342438,0.14959990390246303,0.18868426302009303,1707,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
5,Groupe d'âge,65 à 74 ans,2018,agegr10_6/vd1dhrs,0.157864145913655,6.32034361890568,0.13830849457326502,0.177419797254045,1560,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
6,Groupe d'âge,75 ans et plus,2018,agegr10_7/vd1dhrs,0.10540182283605401,8.16369550701029,0.08853695234236099,0.122266693329748,803,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
7,Genre,Hommes,2018,gndr_1/vd1dhrs,0.42949890381414396,3.55890012221729,0.399539997781172,0.45945780984711604,3493,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
8,Genre,Femmes,2018,gndr_2/vd1dhrs,0.570501096185856,2.67930020028986,0.540542190152884,0.600460002218828,4872,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
9,État civil (original),Marié.e,2018,marstat_1/vd1dhrs,0.530279314061929,2.9061601326143096,0.500074767694889,0.560483860428968,4495,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
10,État civil (original),Union de fait,2018,marstat_2/vd1dhrs,0.0824985016896751,10.295953248817401,0.0658505535619601,0.0991464498173901,726,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
11,État civil (original),Veuf.ve,2018,marstat_3/vd1dhrs,0.0576627147961858,10.9183224024494,0.0453231713717516,0.07000225822061999,635,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
12,État civil (original),Séparé.e,2018,marstat_4/vd1dhrs,0.0295770195062271,20.4901632865771,0.0176988937730133,0.0414551452394409,242,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,*
13,État civil (original),divorcé.e,2018,marstat_5/vd1dhrs,0.056631920169192,12.5005867190325,0.0427567034430903,0.0705071368952936,677,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
14,État civil (original),"Célibataire, jamais marié.e",2018,marstat_6/vd1dhrs,0.243350529776792,6.24378343018514,0.21357028809705303,0.27313077145653,1590,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
15,Éducation,Sans diplôme d'études secondaires,2018,dh1ged_1/vd1dhrs,0.0834518250235664,9.08462292525631,0.0685927821568173,0.0983108678903156,545,Percentage of hours volunteered,Percentage of total hours volunteered,CA,,
