Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2018,agegr10_1/fv1fvol,0.122191796,1.7209E-06,0.122191792,0.1221918,59,Percentage of volunteers,Percentage of all voluneers,10,NL,
Age group,25 to 34 years,2018,agegr10_2/fv1fvol,0.135435578,2.35517E-06,0.135435572,0.135435584,102,Percentage of volunteers,Percentage of all voluneers,10,NL,
Age group,35 to 44 years,2018,agegr10_3/fv1fvol,0.143458258,2.69449E-06,0.143458251,0.143458266,184,Percentage of volunteers,Percentage of all voluneers,10,NL,
Age group,45 to 54 years,2018,agegr10_4/fv1fvol,0.175513417,2.28608E-07,0.175513416,0.175513418,221,Percentage of volunteers,Percentage of all voluneers,10,NL,
Age group,55 to 64 years,2018,agegr10_5/fv1fvol,0.186094471,3.52093E-06,0.186094458,0.186094484,246,Percentage of volunteers,Percentage of all voluneers,10,NL,
Age group,65 to 74 years,2018,agegr10_6/fv1fvol,0.152008726,8.88027E-07,0.152008723,0.152008728,199,Percentage of volunteers,Percentage of all voluneers,10,NL,
Age group,75 years and over,2018,agegr10_7/fv1fvol,0.085297753,2.87889E-06,0.085297749,0.085297758,88,Percentage of volunteers,Percentage of all voluneers,10,NL,
Education,Less than High School,2018,dh1ged_1/fv1fvol,0.169566088,9.356266541,0.14063026,0.20304896,125,Percentage of volunteers,Percentage of all voluneers,10,NL,
Education,Graduated from High school,2018,dh1ged_2/fv1fvol,0.272482455,7.408500802,0.234668278,0.313890864,205,Percentage of volunteers,Percentage of all voluneers,10,NL,
Education,Post-secondary diploma,2018,dh1ged_3/fv1fvol,0.383709955,5.227030429,0.345140889,0.423799769,379,Percentage of volunteers,Percentage of all voluneers,10,NL,
Education,University Diploma,2018,dh1ged_4/fv1fvol,0.174241502,7.815108573,0.149083906,0.202633436,223,Percentage of volunteers,Percentage of all voluneers,10,NL,
Family income category,"Less than $25,000",2018,famincg2_1/fv1fvol,0.116215754,11.92275209,0.091636378,0.146325963,112,Percentage of donors,Percentage of total donors,10,NL,
Family income category,"$25,000 to $49,999",2018,famincg2_2/fv1fvol,0.185539386,6.987817534,0.161403027,0.212371059,199,Percentage of donors,Percentage of total donors,10,NL,
Family income category,"$50,000 to $74,999",2018,famincg2_3/fv1fvol,0.118098953,9.968469702,0.096857729,0.143259538,150,Percentage of donors,Percentage of total donors,10,NL,
Family income category,"$75,000 to $99,999",2018,famincg2_4/fv1fvol,0.209106695,8.09425077,0.17778981,0.244300858,225,Percentage of donors,Percentage of total donors,10,NL,
Family income category,"$100,000 to $124,999",2018,famincg2_5/fv1fvol,0.08192617,11.76682054,0.064871554,0.102970702,101,Percentage of donors,Percentage of total donors,10,NL,
Family income category,"$125,000 and more",2018,famincg2_6/fv1fvol,0.289113043,5.487994952,0.258961997,0.321252725,312,Percentage of donors,Percentage of total donors,10,NL,
Frequency of religious attendance,At least once a week,2018,ree_02_1/fv1fvol,0.147423517,8.405461514,0.124700302,0.173466815,152,Percentage of volunteers,Percentage of all voluneers,10,NL,
Frequency of religious attendance,At least once a month,2018,ree_02_2/fv1fvol,0.079122453,12.0554802,0.062295968,0.100009134,96,Percentage of volunteers,Percentage of all voluneers,10,NL,
Frequency of religious attendance,At least 3 times a year,2018,ree_02_3/fv1fvol,0.127489093,10.5882084,0.10323651,0.156445199,121,Percentage of volunteers,Percentage of all voluneers,10,NL,
Frequency of religious attendance,Once or twice a year,2018,ree_02_4/fv1fvol,0.183292103,9.148988898,0.152607619,0.218555004,188,Percentage of volunteers,Percentage of all voluneers,10,NL,
Frequency of religious attendance,Not at all,2018,ree_02_5/fv1fvol,0.462672833,4.313000244,0.423776241,0.502029118,419,Percentage of volunteers,Percentage of all voluneers,10,NL,
Gender,Male gender,2018,gndr_1/fv1fvol,0.490066043,1.80488E-06,0.490066025,0.49006606,490,Percentage of volunteers,Percentage of all voluneers,10,NL,
Gender,Female gender,2018,gndr_2/fv1fvol,0.509933957,1.73456E-06,0.50993394,0.509933975,609,Percentage of volunteers,Percentage of all voluneers,10,NL,
Immigration status,Native-born,2018,dcit2_1/fv1fvol,0.864222706,1.531760117,0.836055396,0.888197749,950,Percentage of volunteers,Percentage of all voluneers,10,NL,
Immigration status,Naturalized,2018,dcit2_2/fv1fvol,0.007446204,32.45997379,0.003930271,0.014063005,14,Percentage of volunteers,Percentage of all voluneers,10,NL,É
Immigration status,Unknown,2018,dcit2_3/fv1fvol,0.123838064,10.26047391,0.100954956,0.151036635,131,Percentage of volunteers,Percentage of all voluneers,10,NL,
Immigration status,Non-Canadian,2018,dcit2_4/fv1fvol,0.004493026,57.14203379,0.001459102,0.013748552,4,Percentage of volunteers,Percentage of all voluneers,10,NL,É
Labour force status,Employed,2018,dlfs_1/fv1fvol,0.463226801,3.816913306,0.428722032,0.498087358,532,Percentage of volunteers,Percentage of all voluneers,10,NL,
Labour force status,Unemployed,2018,dlfs_2/fv1fvol,0.022152721,28.87914318,0.012522317,0.038897733,21,Percentage of volunteers,Percentage of all voluneers,10,NL,É
Labour force status,Not in labour force,2018,dlfs_3/fv1fvol,0.354889238,4.478880544,0.324312523,0.386698924,381,Percentage of volunteers,Percentage of all voluneers,10,NL,
Labour force status,Unable to determine,2018,dlfs_4/fv1fvol,0.15973124,8.603831023,0.134539457,0.188612054,165,Percentage of volunteers,Percentage of all voluneers,10,NL,
Marital status,Married/common-law,2018,marstat2_1/fv1fvol,0.610802695,2.58682674,0.579348891,0.641360505,689,Percentage of volunteers,Percentage of all voluneers,10,NL,
Marital status,Widowed,2018,marstat2_2/fv1fvol,0.068036756,12.62888572,0.052976206,0.086985588,99,Percentage of volunteers,Percentage of all voluneers,10,NL,
Marital status,Separated/divorced,2018,marstat2_3/fv1fvol,0.261515825,5.234571579,0.235525511,0.28928887,218,Percentage of volunteers,Percentage of all voluneers,10,NL,
Marital status,"Single, never married",2018,marstat2_4/fv1fvol,0.059644723,12.96127166,0.046147915,0.076771214,93,Percentage of volunteers,Percentage of all voluneers,10,NL,
Marital status (original),Married,2018,marstat_1/fv1fvol,0.515782741,2.999604739,0.485364798,0.546084191,595,Percentage of volunteers,Percentage of all voluneers,10,NL,
Marital status (original),Living common-law,2018,marstat_2/fv1fvol,0.095019954,12.33386949,0.074358061,0.120674684,94,Percentage of volunteers,Percentage of all voluneers,10,NL,
Marital status (original),Widowed,2018,marstat_3/fv1fvol,0.059644723,12.96127166,0.046147915,0.076771214,93,Percentage of volunteers,Percentage of all voluneers,10,NL,
