Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2018,agegr10_1/fv1fvol,0.183750033373591,3.94316474376407,0.169548983922024,0.197951082825159,505,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Age group,25 to 34 years,2018,agegr10_2/fv1fvol,0.150585513207186,3.59341810806146,0.139979820577438,0.161191205836935,919,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Age group,35 to 44 years,2018,agegr10_3/fv1fvol,0.178704481302518,2.89139170576917,0.168577256157648,0.188831706447389,1481,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Age group,45 to 54 years,2018,agegr10_4/fv1fvol,0.159763710869311,3.12762645950242,0.149970139127887,0.169557282610735,1390,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Age group,55 to 64 years,2018,agegr10_5/fv1fvol,0.151819624464194,2.76338901980565,0.143596856570847,0.160042392357542,1707,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Age group,65 to 74 years,2018,agegr10_6/fv1fvol,0.113708943512846,3.09566464936722,0.106809777056686,0.120608109969007,1560,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Age group,75 years and over,2018,agegr10_7/fv1fvol,0.0616676932703525,4.47098733149925,0.0562637692532083,0.0670716172874966,803,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Gender,Male gender,2018,gndr_1/fv1fvol,0.457861713326892,1.69509107319265,0.442650093709973,0.473073332943811,3493,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Gender,Female gender,2018,gndr_2/fv1fvol,0.542138286673108,1.43158548675807,0.526926667056189,0.557349906290027,4872,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Marital status (original),Married,2018,marstat_1/fv1fvol,0.503439451555651,1.51051961440551,0.488534804178766,0.518344098932537,4495,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Marital status (original),Living common-law,2018,marstat_2/fv1fvol,0.102452316853743,4.81543584400359,0.0927827843829131,0.112121849324573,726,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Marital status (original),Widowed,2018,marstat_3/fv1fvol,0.0332192066821088,5.84296543669966,0.0294149425286683,0.0370234708355494,635,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Marital status (original),Separated,2018,marstat_4/fv1fvol,0.0220980443733346,8.56077997963434,0.0183902531872575,0.0258058355594116,242,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Marital status (original),Divorced,2018,marstat_5/fv1fvol,0.0488649469931199,5.10086826435991,0.0439796650787771,0.0537502289074627,677,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Marital status (original),"Single, never married",2018,marstat_6/fv1fvol,0.289926033542043,2.78192240487501,0.274117910147401,0.305734156936684,1590,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
Education,Less than High School,2018,dh1ged_1/fv1fvol,0.107369174349319,5.04704998570564,0.096748176754875,0.117990171943762,545,Percentage of volunteers,Percentage of all voluneers,CA,NA,NA
