,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Groupe d'âge,15 à 24 ans,2018,agegr10_1/fv1fvol,0.183750033373591,3.94316474376407,0.16954898392202403,0.197951082825159,505,Percentage of volunteers,Percentage of all voluneers,CA,,
1,Groupe d'âge,25 à 34 ans,2018,agegr10_2/fv1fvol,0.15058551320718602,3.5934181080614604,0.13997982057743802,0.161191205836935,919,Percentage of volunteers,Percentage of all voluneers,CA,,
2,Groupe d'âge,35 à 44 ans,2018,agegr10_3/fv1fvol,0.17870448130251798,2.89139170576917,0.16857725615764801,0.18883170644738898,1481,Percentage of volunteers,Percentage of all voluneers,CA,,
3,Groupe d'âge,45 à 54 ans,2018,agegr10_4/fv1fvol,0.159763710869311,3.12762645950242,0.14997013912788698,0.169557282610735,1390,Percentage of volunteers,Percentage of all voluneers,CA,,
4,Groupe d'âge,55 à 64 ans,2018,agegr10_5/fv1fvol,0.151819624464194,2.76338901980565,0.14359685657084698,0.160042392357542,1707,Percentage of volunteers,Percentage of all voluneers,CA,,
5,Groupe d'âge,65 à 74 ans,2018,agegr10_6/fv1fvol,0.113708943512846,3.09566464936722,0.10680977705668598,0.12060810996900698,1560,Percentage of volunteers,Percentage of all voluneers,CA,,
6,Groupe d'âge,75 ans et plus,2018,agegr10_7/fv1fvol,0.0616676932703525,4.47098733149925,0.0562637692532083,0.0670716172874966,803,Percentage of volunteers,Percentage of all voluneers,CA,,
7,Genre,Hommes,2018,gndr_1/fv1fvol,0.457861713326892,1.6950910731926498,0.44265009370997294,0.47307333294381104,3493,Percentage of volunteers,Percentage of all voluneers,CA,,
8,Genre,Femmes,2018,gndr_2/fv1fvol,0.5421382866731079,1.43158548675807,0.526926667056189,0.557349906290027,4872,Percentage of volunteers,Percentage of all voluneers,CA,,
9,État civil (original),Marié.e,2018,marstat_1/fv1fvol,0.503439451555651,1.5105196144055102,0.488534804178766,0.5183440989325371,4495,Percentage of volunteers,Percentage of all voluneers,CA,,
10,État civil (original),Union de fait,2018,marstat_2/fv1fvol,0.10245231685374301,4.81543584400359,0.0927827843829131,0.11212184932457302,726,Percentage of volunteers,Percentage of all voluneers,CA,,
11,État civil (original),Veuf.ve,2018,marstat_3/fv1fvol,0.0332192066821088,5.84296543669966,0.0294149425286683,0.0370234708355494,635,Percentage of volunteers,Percentage of all voluneers,CA,,
12,État civil (original),Séparé.e,2018,marstat_4/fv1fvol,0.0220980443733346,8.56077997963434,0.0183902531872575,0.0258058355594116,242,Percentage of volunteers,Percentage of all voluneers,CA,,
