Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,rv_020,0.49073508348071015,6.585811653075337,0.4273912263656786,0.5540789405957417,445,Personally affected by cause,Reasons for volunteering,CA,NA
Age group,25 to 34 years,2018,rv_020,0.5968257533724761,4.216714475617282,0.5475004413974421,0.6461510653475101,772,Personally affected by cause,Reasons for volunteering,CA,NA
Age group,35 to 44 years,2018,rv_020,0.6390153734064389,3.0774098515101365,0.6004724424292615,0.6775583043836163,1259,Personally affected by cause,Reasons for volunteering,CA,NA
Age group,45 to 54 years,2018,rv_020,0.6271424302760665,3.0455431472836096,0.5897073272819069,0.6645775332702262,1195,Personally affected by cause,Reasons for volunteering,CA,NA
Age group,55 to 64 years,2018,rv_020,0.6001592795152351,3.194938596693089,0.5625775179943917,0.6377410410360784,1458,Personally affected by cause,Reasons for volunteering,CA,NA
Age group,65 to 74 years,2018,rv_020,0.5796857718163669,3.1537694046200477,0.5438538033209144,0.6155177403118195,1327,Personally affected by cause,Reasons for volunteering,CA,NA
Age group,75 years and over,2018,rv_020,0.5849269167100437,4.1580425718677185,0.5372576326466315,0.6325962007734559,674,Personally affected by cause,Reasons for volunteering,CA,NA
Gender,Male gender,2018,rv_020,0.577847448563882,2.515850451901195,0.5493539279624824,0.6063409691652817,2980,Personally affected by cause,Reasons for volunteering,CA,NA
Gender,Female gender,2018,rv_020,0.5947765544928929,1.989436095983468,0.5715848897005709,0.617968219285215,4150,Personally affected by cause,Reasons for volunteering,CA,NA
Education,Less than High School,2018,rv_020,0.4788242350293056,7.01128999704415,0.4130248029712237,0.5446236670873875,457,Personally affected by cause,Reasons for volunteering,CA,NA
Education,Graduated from High school,2018,rv_020,0.6127767387269988,3.82051547922967,0.5668915707871006,0.658661906666897,1243,Personally affected by cause,Reasons for volunteering,CA,NA
Education,Post-secondary diploma,2018,rv_020,0.6037603099398524,2.62968823930804,0.5726419345841771,0.6348786852955277,2248,Personally affected by cause,Reasons for volunteering,CA,NA
Education,University Diploma,2018,rv_020,0.5862948086133501,2.5154636672888544,0.5573891952985538,0.6152004219281465,2622,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status (Original),Married,2018,rv_020,0.6035957860540856,1.8781376798685057,0.5813769289500199,0.6258146431581513,3810,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status (Original),Living common-law,2018,rv_020,0.6027729653525015,4.567079698902853,0.5488168782335484,0.6567290524714545,606,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status (Original),Widowed,2018,rv_020,0.6573458162346222,4.399326187536896,0.6006660359508997,0.7140255965183446,545,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status (Original),Separated,2018,rv_020,0.7240056965617621,5.791098496792612,0.6418285559136023,0.8061828372099218,204,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status (Original),Divorced,2018,rv_020,0.610813246328499,4.643914978024422,0.5552175981756999,0.666408894481298,580,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status (Original),"Single, never married",2018,rv_020,0.5321041810082621,4.182623726330441,0.4884833877469536,0.5757249742695705,1385,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status,Married/common-law,2018,rv_020,0.6034565705445495,1.7805309537489742,0.5823972847002632,0.6245158563888358,4416,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status,Widowed,2018,rv_020,0.6573458162346222,4.399326187536896,0.6006660359508997,0.7140255965183446,545,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status,Separated/divorced,2018,rv_020,0.6449614488478985,3.585458169539973,0.5996376287011569,0.6902852689946402,784,Personally affected by cause,Reasons for volunteering,CA,NA
Marital status,"Single, never married",2018,rv_020,0.5321041810082621,4.182623726330441,0.4884833877469536,0.5757249742695705,1385,Personally affected by cause,Reasons for volunteering,CA,NA
Labour force status,Employed,2018,rv_020,0.5915538225117313,2.102126491844938,0.5671812595231058,0.6159263855003567,3928,Personally affected by cause,Reasons for volunteering,CA,NA
Labour force status,Unemployed,2018,rv_020,0.604874728247764,9.000125276974122,0.49817530162112583,0.7115741548744022,165,Personally affected by cause,Reasons for volunteering,CA,NA
Labour force status,Not in labour force,2018,rv_020,0.5746256088298913,2.781874429866499,0.5432948733062611,0.6059563443535215,2468,Personally affected by cause,Reasons for volunteering,CA,NA
Labour force status,Unable to determine,2018,rv_020,0.591982494579178,5.568403830337947,0.5273742890219006,0.6565907001364553,569,Personally affected by cause,Reasons for volunteering,CA,NA
Personal income category,"Less than $25,000",2018,rv_020,0.5636102996189982,3.2031410082385228,0.5282266138523208,0.5989939853856756,1882,Personally affected by cause,Reasons for volunteering,CA,NA
Personal income category,"$25,000 to $49,999",2018,rv_020,0.613414574503196,2.9347944266520702,0.5781304076501649,0.6486987413562272,1938,Personally affected by cause,Reasons for volunteering,CA,NA
Personal income category,"$50,000 to $74,999",2018,rv_020,0.5914272660988132,3.064788146028655,0.5559009731369744,0.6269535590606521,1471,Personally affected by cause,Reasons for volunteering,CA,NA
Personal income category,"$75,000 to $99,999",2018,rv_020,0.5904344792588593,3.8319499771439287,0.546089992483884,0.6347789660338345,919,Personally affected by cause,Reasons for volunteering,CA,NA
Personal income category,"$100,000 to $124,999",2018,rv_020,0.5965710558318245,5.445075395577334,0.5329040879434577,0.6602380237201912,421,Personally affected by cause,Reasons for volunteering,CA,NA
Personal income category,"$125,000 and more",2018,rv_020,0.6123742385692967,4.7698841755883405,0.555124588438626,0.6696238886999675,499,Personally affected by cause,Reasons for volunteering,CA,NA
Family income category,"Less than $25,000",2018,rv_020,0.5936786478916264,6.098754440928041,0.5227142262133503,0.6646430695699025,633,Personally affected by cause,Reasons for volunteering,CA,NA
Family income category,"$25,000 to $49,999",2018,rv_020,0.6049176843471613,4.145684402057722,0.5557657504949493,0.6540696181993734,1077,Personally affected by cause,Reasons for volunteering,CA,NA
Family income category,"$50,000 to $74,999",2018,rv_020,0.6306023711654773,3.328726542478335,0.5894607112943171,0.6717440310366376,1161,Personally affected by cause,Reasons for volunteering,CA,NA
Family income category,"$75,000 to $99,999",2018,rv_020,0.5792087308785544,3.7830096513286025,0.5362629365387759,0.6221545252183329,1248,Personally affected by cause,Reasons for volunteering,CA,NA
Family income category,"$100,000 to $124,999",2018,rv_020,0.5735071318558361,4.5744937160412595,0.5220873832158704,0.6249268804958018,774,Personally affected by cause,Reasons for volunteering,CA,NA
Family income category,"$125,000 and more",2018,rv_020,0.5664529665905315,2.8379542211030135,0.5349452208465904,0.5979607123344726,2237,Personally affected by cause,Reasons for volunteering,CA,NA
Frequency of religious attendance,At least once a week,2018,rv_020,0.6411727556288738,3.0330371480168616,0.6030573206138797,0.6792881906438678,1509,Personally affected by cause,Reasons for volunteering,CA,NA
Frequency of religious attendance,At least once a month,2018,rv_020,0.5331702928543043,5.356344039847205,0.4771967884005502,0.5891437973080584,678,Personally affected by cause,Reasons for volunteering,CA,NA
Frequency of religious attendance,At least 3 times a year,2018,rv_020,0.5671908346985666,5.660703642243787,0.5042622862596803,0.6301193831374529,626,Personally affected by cause,Reasons for volunteering,CA,NA
Frequency of religious attendance,Once or twice a year,2018,rv_020,0.5712299805244531,4.743485403016188,0.5181223833490397,0.6243375776998664,975,Personally affected by cause,Reasons for volunteering,CA,NA
Frequency of religious attendance,Not at all,2018,rv_020,0.5778317590215413,2.6032427030884646,0.5483492690975693,0.6073142489455132,2830,Personally affected by cause,Reasons for volunteering,CA,NA
Age group,15 to 24 years,2018,rv_025,0.29595859605695246,9.657320434805513,0.2399395522868224,0.3519776398270825,445,Friends volunteer,Reasons for volunteering,CA,NA
Age group,25 to 34 years,2018,rv_025,0.22856576038658952,9.874124952457818,0.184331590407729,0.2727999303654501,763,Friends volunteer,Reasons for volunteering,CA,NA
Age group,35 to 44 years,2018,rv_025,0.22873908075142751,7.116249250464392,0.19683548648402585,0.26064267501882926,1239,Friends volunteer,Reasons for volunteering,CA,NA
Age group,45 to 54 years,2018,rv_025,0.2548158953989071,6.893207792743675,0.220389149258848,0.28924264153896617,1169,Friends volunteer,Reasons for volunteering,CA,NA
Age group,55 to 64 years,2018,rv_025,0.25087596167503595,6.639724246792703,0.21822791637039865,0.2835240069796733,1415,Friends volunteer,Reasons for volunteering,CA,NA
Age group,65 to 74 years,2018,rv_025,0.2305135113828627,7.355928923457997,0.19727955836544023,0.2637474644002851,1296,Friends volunteer,Reasons for volunteering,CA,NA
Age group,75 years and over,2018,rv_025,0.2415473376317621,8.8456352958822,0.1996699699068763,0.2834247053566478,667,Friends volunteer,Reasons for volunteering,CA,NA
Gender,Male gender,2018,rv_025,0.25072816183477825,4.64669365792959,0.22789346502994548,0.273562858639611,2931,Friends volunteer,Reasons for volunteering,CA,NA
Gender,Female gender,2018,rv_025,0.24946428954812228,4.563664949766026,0.2271506594590364,0.27177791963720815,4063,Friends volunteer,Reasons for volunteering,CA,NA
Education,Less than High School,2018,rv_025,0.3114201059934687,10.639798476693697,0.2464777348272293,0.3763624771597081,454,Friends volunteer,Reasons for volunteering,CA,NA
Education,Graduated from High school,2018,rv_025,0.2894715442705045,7.426850327382977,0.2473350266197963,0.33160806192121267,1223,Friends volunteer,Reasons for volunteering,CA,NA
Education,Post-secondary diploma,2018,rv_025,0.24897520000807735,5.451486089666637,0.22237290598594145,0.27557749403021325,2212,Friends volunteer,Reasons for volunteering,CA,NA
Education,University Diploma,2018,rv_025,0.1959905035746871,6.168069616469071,0.17229683078326127,0.219684176366113,2548,Friends volunteer,Reasons for volunteering,CA,NA
Marital status (Original),Married,2018,rv_025,0.2878145198850778,3.650491969873637,0.26722187225115485,0.3084071675190007,3724,Friends volunteer,Reasons for volunteering,CA,NA
Marital status (Original),Living common-law,2018,rv_025,0.2018082165557475,12.095913647332374,0.15396442240154984,0.2496520107099451,596,Friends volunteer,Reasons for volunteering,CA,NA
Marital status (Original),Widowed,2018,rv_025,0.2036848671055312,11.627183374784792,0.1572674065630426,0.25010232764801976,531,Friends volunteer,Reasons for volunteering,CA,NA
Marital status (Original),Separated,2018,rv_025,0.27017567042679713,17.84718499419499,0.17566865369497903,0.3646826871586152,199,Friends volunteer,Reasons for volunteering,CA,*
Marital status (Original),Divorced,2018,rv_025,0.12261269961652348,14.370953001884052,0.08807693189600649,0.1571484673370405,571,Friends volunteer,Reasons for volunteering,CA,NA
Marital status (Original),"Single, never married",2018,rv_025,0.2278187650023501,7.981012892813863,0.1921822196303766,0.26345531037432357,1373,Friends volunteer,Reasons for volunteering,CA,NA
Marital status,Married/common-law,2018,rv_025,0.2732481722873126,3.476231690710066,0.25463098485248503,0.2918653597221401,4320,Friends volunteer,Reasons for volunteering,CA,NA
Marital status,Widowed,2018,rv_025,0.2036848671055312,11.627183374784792,0.1572674065630426,0.25010232764801976,531,Friends volunteer,Reasons for volunteering,CA,NA
Marital status,Separated/divorced,2018,rv_025,0.16696562178187274,11.59264605908454,0.12902908108341635,0.2049021624803291,770,Friends volunteer,Reasons for volunteering,CA,NA
Marital status,"Single, never married",2018,rv_025,0.2278187650023501,7.981012892813863,0.1921822196303766,0.26345531037432357,1373,Friends volunteer,Reasons for volunteering,CA,NA
Labour force status,Employed,2018,rv_025,0.23931524276090752,4.244748017861193,0.21940528373167428,0.2592252017901408,3845,Friends volunteer,Reasons for volunteering,CA,NA
Labour force status,Unemployed,2018,rv_025,0.3040042745544696,19.019636477998933,0.1906781615068935,0.41733038760204566,163,Friends volunteer,Reasons for volunteering,CA,*
Labour force status,Not in labour force,2018,rv_025,0.2510583951351818,5.657039989997703,0.2232220579741629,0.27889473229620076,2423,Friends volunteer,Reasons for volunteering,CA,NA
Labour force status,Unable to determine,2018,rv_025,0.2974598127414206,10.733821385097048,0.23488050488748577,0.36003912059535537,563,Friends volunteer,Reasons for volunteering,CA,NA
Personal income category,"Less than $25,000",2018,rv_025,0.2663303164978926,6.0139391750065805,0.23493768460745015,0.2977229483883351,1869,Friends volunteer,Reasons for volunteering,CA,NA
