,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2018,rv_020,0.49073508299999996,6.5858116529999995,0.427391226,0.554078941,445,Touché.e personnellement par la cause,Reasons for volunteering,CA,
1,Groupe d'âge,25 à 34 ans,2018,rv_020,0.596825753,4.216714476,0.5475004410000001,0.646151065,772,Touché.e personnellement par la cause,Reasons for volunteering,CA,
2,Groupe d'âge,35 à 44 ans,2018,rv_020,0.639015373,3.0774098519999997,0.600472442,0.6775583040000001,1259,Touché.e personnellement par la cause,Reasons for volunteering,CA,
3,Groupe d'âge,45 à 54 ans,2018,rv_020,0.62714243,3.045543147,0.5897073270000001,0.664577533,1195,Touché.e personnellement par la cause,Reasons for volunteering,CA,
4,Groupe d'âge,55 à 64 ans,2018,rv_020,0.60015928,3.1949385969999997,0.562577518,0.6377410410000001,1458,Touché.e personnellement par la cause,Reasons for volunteering,CA,
5,Groupe d'âge,65 à 74 ans,2018,rv_020,0.579685772,3.153769405,0.543853803,0.61551774,1327,Touché.e personnellement par la cause,Reasons for volunteering,CA,
6,Groupe d'âge,75 ans et plus,2018,rv_020,0.584926917,4.158042572,0.537257633,0.632596201,674,Touché.e personnellement par la cause,Reasons for volunteering,CA,
7,Genre,Hommes,2018,rv_020,0.577847449,2.515850452,0.5493539279999999,0.606340969,2980,Touché.e personnellement par la cause,Reasons for volunteering,CA,
8,Genre,Femmes,2018,rv_020,0.594776554,1.989436096,0.57158489,0.617968219,4150,Touché.e personnellement par la cause,Reasons for volunteering,CA,
9,Éducation,Sans diplôme d'études secondaires,2018,rv_020,0.478824235,7.011289997,0.413024803,0.544623667,457,Touché.e personnellement par la cause,Reasons for volunteering,CA,
10,Éducation,Diplôme d'études secondaires,2018,rv_020,0.612776739,3.8205154789999995,0.566891571,0.658661907,1243,Touché.e personnellement par la cause,Reasons for volunteering,CA,
11,Éducation,Diplôme post-secondaire,2018,rv_020,0.60376031,2.629688239,0.572641935,0.634878685,2248,Touché.e personnellement par la cause,Reasons for volunteering,CA,
12,Éducation,Diplôme universtaire,2018,rv_020,0.586294809,2.5154636669999997,0.557389195,0.615200422,2622,Touché.e personnellement par la cause,Reasons for volunteering,CA,
13,État civil (original),Marié.e,2018,rv_020,0.603595786,1.87813768,0.5813769289999999,0.625814643,3810,Touché.e personnellement par la cause,Reasons for volunteering,CA,
14,État civil (original),Union de fait,2018,rv_020,0.602772965,4.567079699,0.548816878,0.656729052,606,Touché.e personnellement par la cause,Reasons for volunteering,CA,
15,État civil (original),Veuf.ve,2018,rv_020,0.657345816,4.399326188,0.600666036,0.714025597,545,Touché.e personnellement par la cause,Reasons for volunteering,CA,
16,État civil (original),Séparé.e,2018,rv_020,0.7240056970000001,5.791098497,0.641828556,0.806182837,204,Touché.e personnellement par la cause,Reasons for volunteering,CA,
17,État civil (original),divorcé.e,2018,rv_020,0.610813246,4.643914978,0.5552175979999999,0.666408894,580,Touché.e personnellement par la cause,Reasons for volunteering,CA,
18,État civil (original),"Célibataire, jamais marié.e",2018,rv_020,0.532104181,4.182623726,0.48848338799999996,0.575724974,1385,Touché.e personnellement par la cause,Reasons for volunteering,CA,
19,État civil,Marié.e/union de fait,2018,rv_020,0.603456571,1.780530954,0.582397285,0.624515856,4416,Touché.e personnellement par la cause,Reasons for volunteering,CA,
20,État civil,Veuf.ve,2018,rv_020,0.657345816,4.399326188,0.600666036,0.714025597,545,Touché.e personnellement par la cause,Reasons for volunteering,CA,
21,État civil,Séparé.e/divorcé.e,2018,rv_020,0.644961449,3.58545817,0.599637629,0.6902852690000001,784,Touché.e personnellement par la cause,Reasons for volunteering,CA,
22,État civil,"Célibataire, jamais marié.e",2018,rv_020,0.532104181,4.182623726,0.48848338799999996,0.575724974,1385,Touché.e personnellement par la cause,Reasons for volunteering,CA,
23,Situation d'activité,Employé.e,2018,rv_020,0.5915538229999999,2.102126492,0.56718126,0.615926386,3928,Touché.e personnellement par la cause,Reasons for volunteering,CA,
24,Situation d'activité,Au chômage,2018,rv_020,0.604874728,9.000125277,0.49817530200000004,0.711574155,165,Touché.e personnellement par la cause,Reasons for volunteering,CA,
25,Situation d'activité,Pas dans la population active,2018,rv_020,0.574625609,2.78187443,0.543294873,0.605956344,2468,Touché.e personnellement par la cause,Reasons for volunteering,CA,
26,Situation d'activité,Unable to determine,2018,rv_020,0.591982495,5.56840383,0.5273742889999999,0.6565907,569,Touché.e personnellement par la cause,Reasons for volunteering,CA,
27,Catégorie de revenu personnel,"Less than $25,000",2018,rv_020,0.5636103,3.2031410080000002,0.528226614,0.598993985,1882,Touché.e personnellement par la cause,Reasons for volunteering,CA,
28,Catégorie de revenu personnel,"$25,000 to $49,999",2018,rv_020,0.613414575,2.934794427,0.5781304079999999,0.648698741,1938,Touché.e personnellement par la cause,Reasons for volunteering,CA,
29,Catégorie de revenu personnel,"$50,000 to $74,999",2018,rv_020,0.5914272660000001,3.064788146,0.555900973,0.6269535589999999,1471,Touché.e personnellement par la cause,Reasons for volunteering,CA,
30,Catégorie de revenu personnel,"$75,000 to $99,999",2018,rv_020,0.590434479,3.831949977,0.5460899920000001,0.6347789660000001,919,Touché.e personnellement par la cause,Reasons for volunteering,CA,
31,Catégorie de revenu personnel,"$100,000 to $124,999",2018,rv_020,0.596571056,5.445075396,0.532904088,0.660238024,421,Touché.e personnellement par la cause,Reasons for volunteering,CA,
32,Catégorie de revenu personnel,"$125,000 and more",2018,rv_020,0.612374239,4.769884176000001,0.555124588,0.669623889,499,Touché.e personnellement par la cause,Reasons for volunteering,CA,
33,Catégorie de revenu familial,"Less than $25,000",2018,rv_020,0.5936786479999999,6.0987544410000005,0.5227142260000001,0.66464307,633,Touché.e personnellement par la cause,Reasons for volunteering,CA,
34,Catégorie de revenu familial,"$25,000 to $49,999",2018,rv_020,0.604917684,4.145684402,0.55576575,0.654069618,1077,Touché.e personnellement par la cause,Reasons for volunteering,CA,
35,Catégorie de revenu familial,"$50,000 to $74,999",2018,rv_020,0.630602371,3.328726542,0.589460711,0.6717440309999999,1161,Touché.e personnellement par la cause,Reasons for volunteering,CA,
36,Catégorie de revenu familial,"$75,000 to $99,999",2018,rv_020,0.579208731,3.7830096510000004,0.536262937,0.622154525,1248,Touché.e personnellement par la cause,Reasons for volunteering,CA,
37,Catégorie de revenu familial,"$100,000 to $124,999",2018,rv_020,0.573507132,4.574493716,0.522087383,0.62492688,774,Touché.e personnellement par la cause,Reasons for volunteering,CA,
38,Catégorie de revenu familial,"$125,000 and more",2018,rv_020,0.566452967,2.8379542210000004,0.534945221,0.597960712,2237,Touché.e personnellement par la cause,Reasons for volunteering,CA,
39,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,rv_020,0.641172756,3.033037148,0.603057321,0.6792881909999999,1509,Touché.e personnellement par la cause,Reasons for volunteering,CA,
40,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,rv_020,0.533170293,5.35634404,0.477196788,0.5891437970000001,678,Touché.e personnellement par la cause,Reasons for volunteering,CA,
41,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,rv_020,0.567190835,5.6607036420000005,0.504262286,0.6301193829999999,626,Touché.e personnellement par la cause,Reasons for volunteering,CA,
