Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Religion donor status,Non-religion donors,2018,ng_020,0.660095166,1.45025905,0.641332255,0.678858078,6406,Happy with what already given,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_020,0.70336461,1.922476146,0.676861944,0.729867276,3065,Happy with what already given,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_030,0.670187297,1.41090782,0.651654417,0.688720177,6420,Could not afford to give more,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_030,0.702763039,1.818395361,0.677716639,0.72780944,3062,Could not afford to give more,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_040,0.257169446,3.24778377,0.240799224,0.273539668,6300,No one asked,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_040,0.236650226,5.391684722,0.211642195,0.261658258,3004,No one asked,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_050,0.110973172,6.157663783,0.097580043,0.124366302,6285,Unsure where to give,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_050,0.111949859,8.353112955,0.093621652,0.130278067,2983,Unsure where to give,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_060,0.108328626,6.088181965,0.095402186,0.121255067,6291,Hard to find a cause,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_060,0.133322356,9.277013466,0.109080869,0.157563843,2984,Hard to find a cause,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_070,0.239970339,3.456665829,0.223712491,0.256228186,6254,Gave time instead,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_070,0.329109934,4.346590312,0.30107253,0.357147337,2983,Gave time instead,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_080,0.349357581,2.586722997,0.331645557,0.367069605,6284,Gave directly instead,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_080,0.437047129,3.320657613,0.408602488,0.46549177,2993,Gave directly instead,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_090,0.16195635,4.536999116,0.147554617,0.176358084,6278,Tax credit was not enough,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_090,0.189070635,6.390247962,0.165390188,0.212751081,2983,Tax credit was not enough,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_110,0.235310116,3.520489549,0.219073641,0.251546591,6286,Money would not be used efficiently,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_110,0.233559908,5.325183091,0.20918287,0.257936946,2985,Money would not be used efficiently,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_130,0.219614774,3.312661448,0.205355852,0.233873696,6274,Did not like the way requests were made,Religion donors barriers to giving,CA,
Religion donor status,Religion donors,2018,ng_130,0.219862305,5.978924616,0.194097791,0.245626818,2989,Did not like the way requests were made,Religion donors barriers to giving,CA,
Religion donor status,Non-religion donors,2018,ng_020,0.652911923,1.580682515,0.632684184,0.673139662,5579,Happy with what already given,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_020,0.67179197,2.366536161,0.640632071,0.702951869,2593,Happy with what already given,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_030,0.690436646,1.437955709,0.670977784,0.709895508,5593,Could not afford to give more,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_030,0.729498969,1.851145161,0.703031449,0.755966489,2592,Could not afford to give more,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_040,0.27640409,3.404122806,0.257962525,0.294845655,5491,No one asked,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_040,0.245740386,5.601814363,0.218759678,0.272721094,2547,No one asked,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_050,0.103487011,6.755556085,0.089784661,0.11718936,5479,Unsure where to give,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_050,0.113007718,9.221346686,0.09258326,0.133432176,2527,Unsure where to give,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_060,0.112086695,6.610283019,0.097564836,0.126608553,5487,Hard to find a cause,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_060,0.137848025,10.55029615,0.109343534,0.166352516,2527,Hard to find a cause,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_070,0.250560573,3.548519014,0.233134162,0.267986985,5451,Gave time instead,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_070,0.330387381,4.853329066,0.298959777,0.361814986,2524,Gave time instead,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_080,0.342415611,2.83965335,0.323358065,0.361473157,5477,Gave directly instead,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_080,0.413497381,3.81366528,0.382589913,0.444404849,2536,Gave directly instead,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_090,0.162588179,4.749992289,0.147451522,0.177724836,5477,Tax credit was not enough,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_090,0.187168945,7.456376729,0.159815645,0.214522245,2525,Tax credit was not enough,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_110,0.241834449,3.819244208,0.223731735,0.259937163,5481,Money would not be used efficiently,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_110,0.243902477,5.915916527,0.215622026,0.272182929,2527,Money would not be used efficiently,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_130,0.253974761,3.366555566,0.237216674,0.270732848,5470,Did not like the way requests were made,Religion donors barriers to giving,CA (without QC),
Religion donor status,Religion donors,2018,ng_130,0.239969558,6.388502976,0.209922404,0.270016712,2534,Did not like the way requests were made,Religion donors barriers to giving,CA (without QC),
Religion donor status,Non-religion donors,2018,ng_020,0.60747114,5.112371678,0.546602141,0.668340139,541,Happy with what already given,Religion donors barriers to giving,AB,
Religion donor status,Religion donors,2018,ng_020,0.595024769,8.141319725,0.50007849,0.689971047,198,Happy with what already given,Religion donors barriers to giving,AB,
Religion donor status,Non-religion donors,2018,ng_020,0.709749197,2.301753327,0.677729901,0.741768493,1549,Happy with what already given,Religion donors barriers to giving,AT,
Religion donor status,Religion donors,2018,ng_020,0.780551951,2.272317089,0.745788823,0.815315078,1001,Happy with what already given,Religion donors barriers to giving,AT,
Religion donor status,Non-religion donors,2018,ng_020,0.594883538,3.827697366,0.550254489,0.639512587,911,Happy with what already given,Religion donors barriers to giving,BC,
Religion donor status,Religion donors,2018,ng_020,0.632887778,6.137382176,0.556757403,0.709018153,253,Happy with what already given,Religion donors barriers to giving,BC,
Religion donor status,Non-religion donors,2018,ng_020,0.674764983,2.29818684,0.644371116,0.70515885,1743,Happy with what already given,Religion donors barriers to giving,ON,
Religion donor status,Religion donors,2018,ng_020,0.684813005,3.765847107,0.634267473,0.735358537,769,Happy with what already given,Religion donors barriers to giving,ON,
Religion donor status,Non-religion donors,2018,ng_020,0.663273652,3.087541234,0.623135849,0.703411456,835,Happy with what already given,Religion donors barriers to giving,PR,
