,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Religion donor status,Non-religion donors,2018,ng_020,0.660095166,1.45025905,0.641332255,0.678858078,6406,Montant déjà donné suffisant,Religion donors barriers to giving,CA,
1,Religion donor status,Religion donors,2018,ng_020,0.70336461,1.922476146,0.676861944,0.729867276,3065,Montant déjà donné suffisant,Religion donors barriers to giving,CA,
2,Religion donor status,Non-religion donors,2018,ng_030,0.670187297,1.41090782,0.651654417,0.688720177,6420,Pas les moyens de donner plus,Religion donors barriers to giving,CA,
3,Religion donor status,Religion donors,2018,ng_030,0.702763039,1.818395361,0.677716639,0.72780944,3062,Pas les moyens de donner plus,Religion donors barriers to giving,CA,
4,Religion donor status,Non-religion donors,2018,ng_040,0.257169446,3.24778377,0.240799224,0.273539668,6300,Aucune sollicitation,Religion donors barriers to giving,CA,
5,Religion donor status,Religion donors,2018,ng_040,0.236650226,5.391684722,0.211642195,0.261658258,3004,Aucune sollicitation,Religion donors barriers to giving,CA,
6,Religion donor status,Non-religion donors,2018,ng_050,0.110973172,6.157663783,0.097580043,0.124366302,6285,Ne savent pas où donner,Religion donors barriers to giving,CA,
7,Religion donor status,Religion donors,2018,ng_050,0.111949859,8.353112955,0.093621652,0.130278067,2983,Ne savent pas où donner,Religion donors barriers to giving,CA,
8,Religion donor status,Non-religion donors,2018,ng_060,0.108328626,6.088181965,0.095402186,0.121255067,6291,Difficulté à trouver une cause,Religion donors barriers to giving,CA,
9,Religion donor status,Religion donors,2018,ng_060,0.133322356,9.277013466,0.109080869,0.157563843,2984,Difficulté à trouver une cause,Religion donors barriers to giving,CA,
10,Religion donor status,Non-religion donors,2018,ng_070,0.239970339,3.456665829,0.223712491,0.256228186,6254,Don de temps,Religion donors barriers to giving,CA,
11,Religion donor status,Religion donors,2018,ng_070,0.329109934,4.346590312,0.30107253,0.357147337,2983,Don de temps,Religion donors barriers to giving,CA,
12,Religion donor status,Non-religion donors,2018,ng_080,0.349357581,2.586722997,0.331645557,0.367069605,6284,Don direct,Religion donors barriers to giving,CA,
13,Religion donor status,Religion donors,2018,ng_080,0.437047129,3.320657613,0.408602488,0.46549177,2993,Don direct,Religion donors barriers to giving,CA,
14,Religion donor status,Non-religion donors,2018,ng_090,0.16195635,4.536999116,0.147554617,0.176358084,6278,Crédit d'impôt insuffisant,Religion donors barriers to giving,CA,
15,Religion donor status,Religion donors,2018,ng_090,0.189070635,6.390247962,0.165390188,0.212751081,2983,Crédit d'impôt insuffisant,Religion donors barriers to giving,CA,
16,Religion donor status,Non-religion donors,2018,ng_110,0.235310116,3.520489549,0.219073641,0.251546591,6286,Utilisation non efficiente de l'argent,Religion donors barriers to giving,CA,
17,Religion donor status,Religion donors,2018,ng_110,0.233559908,5.325183091,0.20918287,0.257936946,2985,Utilisation non efficiente de l'argent,Religion donors barriers to giving,CA,
18,Religion donor status,Non-religion donors,2018,ng_130,0.219614774,3.312661448,0.205355852,0.233873696,6274,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,CA,
19,Religion donor status,Religion donors,2018,ng_130,0.219862305,5.978924616,0.194097791,0.245626818,2989,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,CA,
20,Religion donor status,Non-religion donors,2018,ng_020,0.652911923,1.580682515,0.632684184,0.673139662,5579,Montant déjà donné suffisant,Religion donors barriers to giving,CA (without QC),
21,Religion donor status,Religion donors,2018,ng_020,0.67179197,2.366536161,0.640632071,0.702951869,2593,Montant déjà donné suffisant,Religion donors barriers to giving,CA (without QC),
22,Religion donor status,Non-religion donors,2018,ng_030,0.690436646,1.437955709,0.670977784,0.709895508,5593,Pas les moyens de donner plus,Religion donors barriers to giving,CA (without QC),
23,Religion donor status,Religion donors,2018,ng_030,0.729498969,1.851145161,0.703031449,0.755966489,2592,Pas les moyens de donner plus,Religion donors barriers to giving,CA (without QC),
24,Religion donor status,Non-religion donors,2018,ng_040,0.27640409,3.404122806,0.257962525,0.294845655,5491,Aucune sollicitation,Religion donors barriers to giving,CA (without QC),
25,Religion donor status,Religion donors,2018,ng_040,0.245740386,5.601814363,0.218759678,0.272721094,2547,Aucune sollicitation,Religion donors barriers to giving,CA (without QC),
26,Religion donor status,Non-religion donors,2018,ng_050,0.103487011,6.755556085,0.089784661,0.11718936,5479,Ne savent pas où donner,Religion donors barriers to giving,CA (without QC),
27,Religion donor status,Religion donors,2018,ng_050,0.113007718,9.221346686,0.09258326,0.133432176,2527,Ne savent pas où donner,Religion donors barriers to giving,CA (without QC),
28,Religion donor status,Non-religion donors,2018,ng_060,0.112086695,6.610283019,0.097564836,0.126608553,5487,Difficulté à trouver une cause,Religion donors barriers to giving,CA (without QC),
29,Religion donor status,Religion donors,2018,ng_060,0.137848025,10.55029615,0.109343534,0.166352516,2527,Difficulté à trouver une cause,Religion donors barriers to giving,CA (without QC),
30,Religion donor status,Non-religion donors,2018,ng_070,0.250560573,3.548519014,0.233134162,0.267986985,5451,Don de temps,Religion donors barriers to giving,CA (without QC),
31,Religion donor status,Religion donors,2018,ng_070,0.330387381,4.853329066,0.298959777,0.361814986,2524,Don de temps,Religion donors barriers to giving,CA (without QC),
32,Religion donor status,Non-religion donors,2018,ng_080,0.342415611,2.83965335,0.323358065,0.361473157,5477,Don direct,Religion donors barriers to giving,CA (without QC),
33,Religion donor status,Religion donors,2018,ng_080,0.413497381,3.81366528,0.382589913,0.444404849,2536,Don direct,Religion donors barriers to giving,CA (without QC),
34,Religion donor status,Non-religion donors,2018,ng_090,0.162588179,4.749992289,0.147451522,0.177724836,5477,Crédit d'impôt insuffisant,Religion donors barriers to giving,CA (without QC),
35,Religion donor status,Religion donors,2018,ng_090,0.187168945,7.456376729,0.159815645,0.214522245,2525,Crédit d'impôt insuffisant,Religion donors barriers to giving,CA (without QC),
36,Religion donor status,Non-religion donors,2018,ng_110,0.241834449,3.819244208,0.223731735,0.259937163,5481,Utilisation non efficiente de l'argent,Religion donors barriers to giving,CA (without QC),
37,Religion donor status,Religion donors,2018,ng_110,0.243902477,5.915916527,0.215622026,0.272182929,2527,Utilisation non efficiente de l'argent,Religion donors barriers to giving,CA (without QC),
38,Religion donor status,Non-religion donors,2018,ng_130,0.253974761,3.366555566,0.237216674,0.270732848,5470,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,CA (without QC),
39,Religion donor status,Religion donors,2018,ng_130,0.239969558,6.388502976,0.209922404,0.270016712,2534,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,CA (without QC),
40,Religion donor status,Non-religion donors,2018,ng_020,0.60747114,5.112371678,0.546602141,0.668340139,541,Montant déjà donné suffisant,Religion donors barriers to giving,AB,
41,Religion donor status,Religion donors,2018,ng_020,0.595024769,8.141319725,0.50007849,0.689971047,198,Montant déjà donné suffisant,Religion donors barriers to giving,AB,
42,Religion donor status,Non-religion donors,2018,ng_020,0.709749197,2.301753327,0.677729901,0.741768493,1549,Montant déjà donné suffisant,Religion donors barriers to giving,AT,
43,Religion donor status,Religion donors,2018,ng_020,0.780551951,2.272317089,0.745788823,0.815315078,1001,Montant déjà donné suffisant,Religion donors barriers to giving,AT,
44,Religion donor status,Non-religion donors,2018,ng_020,0.594883538,3.827697366,0.550254489,0.639512587,911,Montant déjà donné suffisant,Religion donors barriers to giving,BC,
45,Religion donor status,Religion donors,2018,ng_020,0.632887778,6.137382176,0.556757403,0.709018153,253,Montant déjà donné suffisant,Religion donors barriers to giving,BC,
46,Religion donor status,Non-religion donors,2018,ng_020,0.674764983,2.29818684,0.644371116,0.70515885,1743,Montant déjà donné suffisant,Religion donors barriers to giving,ON,
47,Religion donor status,Religion donors,2018,ng_020,0.684813005,3.765847107,0.634267473,0.735358537,769,Montant déjà donné suffisant,Religion donors barriers to giving,ON,
48,Religion donor status,Non-religion donors,2018,ng_020,0.663273652,3.087541234,0.623135849,0.703411456,835,Montant déjà donné suffisant,Religion donors barriers to giving,PR,
49,Religion donor status,Religion donors,2018,ng_020,0.620650274,5.631610998,0.552144419,0.689156129,372,Montant déjà donné suffisant,Religion donors barriers to giving,PR,
50,Religion donor status,Non-religion donors,2018,ng_020,0.6827608,3.24204037,0.639376251,0.726145349,827,Montant déjà donné suffisant,Religion donors barriers to giving,QC,
51,Religion donor status,Religion donors,2018,ng_020,0.788052537,3.351116544,0.736292712,0.839812361,472,Montant déjà donné suffisant,Religion donors barriers to giving,QC,
52,Religion donor status,Non-religion donors,2018,ng_030,0.672954881,3.738817705,0.623641097,0.722268665,544,Pas les moyens de donner plus,Religion donors barriers to giving,AB,
53,Religion donor status,Religion donors,2018,ng_030,0.689369817,5.939999823,0.609112103,0.769627531,198,Pas les moyens de donner plus,Religion donors barriers to giving,AB,
54,Religion donor status,Non-religion donors,2018,ng_030,0.689228287,2.43444989,0.656342213,0.72211436,1567,Pas les moyens de donner plus,Religion donors barriers to giving,AT,
55,Religion donor status,Religion donors,2018,ng_030,0.713969577,2.545235241,0.678352709,0.749586444,996,Pas les moyens de donner plus,Religion donors barriers to giving,AT,
56,Religion donor status,Non-religion donors,2018,ng_030,0.703578316,3.097118411,0.66086942,0.746287212,905,Pas les moyens de donner plus,Religion donors barriers to giving,BC,
57,Religion donor status,Religion donors,2018,ng_030,0.702738413,5.782571723,0.623092625,0.7823842,253,Pas les moyens de donner plus,Religion donors barriers to giving,BC,
58,Religion donor status,Non-religion donors,2018,ng_030,0.694276286,2.176318623,0.664661888,0.723890683,1743,Pas les moyens de donner plus,Religion donors barriers to giving,ON,
59,Religion donor status,Religion donors,2018,ng_030,0.748579552,2.700710497,0.708955026,0.788204078,775,Pas les moyens de donner plus,Religion donors barriers to giving,ON,
60,Religion donor status,Non-religion donors,2018,ng_030,0.669465831,3.038124696,0.629601719,0.709329944,834,Pas les moyens de donner plus,Religion donors barriers to giving,PR,
61,Religion donor status,Religion donors,2018,ng_030,0.72427974,4.235922077,0.664148191,0.784411289,370,Pas les moyens de donner plus,Religion donors barriers to giving,PR,
62,Religion donor status,Non-religion donors,2018,ng_030,0.606442686,3.690035955,0.562582704,0.650302668,827,Pas les moyens de donner plus,Religion donors barriers to giving,QC,
63,Religion donor status,Religion donors,2018,ng_030,0.631851435,4.511168097,0.575984856,0.687718014,470,Pas les moyens de donner plus,Religion donors barriers to giving,QC,
64,Religion donor status,Non-religion donors,2018,ng_040,0.242429845,10.32396095,0.193375156,0.291484534,532,Aucune sollicitation,Religion donors barriers to giving,AB,
65,Religion donor status,Religion donors,2018,ng_040,0.255576708,16.42578248,0.173296491,0.337856925,195,Aucune sollicitation,Religion donors barriers to giving,AB,
66,Religion donor status,Non-religion donors,2018,ng_040,0.281699644,6.182006607,0.247567477,0.31583181,1541,Aucune sollicitation,Religion donors barriers to giving,AT,
67,Religion donor status,Religion donors,2018,ng_040,0.245886839,7.190604122,0.211233208,0.280540471,982,Aucune sollicitation,Religion donors barriers to giving,AT,
68,Religion donor status,Non-religion donors,2018,ng_040,0.300132032,6.99171376,0.259003418,0.341260647,889,Aucune sollicitation,Religion donors barriers to giving,BC,
69,Religion donor status,Religion donors,2018,ng_040,0.225569573,17.3148521,0.149019185,0.30211996,249,Aucune sollicitation,Religion donors barriers to giving,BC,*
70,Religion donor status,Non-religion donors,2018,ng_040,0.273397345,5.446167191,0.244214115,0.302580575,1708,Aucune sollicitation,Religion donors barriers to giving,ON,
71,Religion donor status,Religion donors,2018,ng_040,0.237277854,8.673233234,0.196942458,0.27761325,754,Aucune sollicitation,Religion donors barriers to giving,ON,
72,Religion donor status,Non-religion donors,2018,ng_040,0.297853771,6.983167785,0.257087248,0.338620294,821,Aucune sollicitation,Religion donors barriers to giving,PR,
73,Religion donor status,Religion donors,2018,ng_040,0.30783823,10.76918906,0.242862129,0.37281433,367,Aucune sollicitation,Religion donors barriers to giving,PR,
74,Religion donor status,Non-religion donors,2018,ng_040,0.196932601,9.205308788,0.161401876,0.232463326,809,Aucune sollicitation,Religion donors barriers to giving,QC,
75,Religion donor status,Religion donors,2018,ng_040,0.212110944,14.20992478,0.153036051,0.271185837,457,Aucune sollicitation,Religion donors barriers to giving,QC,
76,Religion donor status,Non-religion donors,2018,ng_050,0.105087256,20.70917452,0.062433141,0.14774137,532,Ne savent pas où donner,Religion donors barriers to giving,AB,*
77,Religion donor status,Religion donors,2018,ng_050,0.150871787,25.95187829,0.074131235,0.22761234,195,Ne savent pas où donner,Religion donors barriers to giving,AB,*
78,Religion donor status,Non-religion donors,2018,ng_050,0.128870302,9.029250969,0.106064116,0.151676489,1537,Ne savent pas où donner,Religion donors barriers to giving,AT,
79,Religion donor status,Religion donors,2018,ng_050,0.102958438,12.6066142,0.077518942,0.128397934,978,Ne savent pas où donner,Religion donors barriers to giving,AT,
80,Religion donor status,Non-religion donors,2018,ng_050,0.11758011,14.62884852,0.083867521,0.151292698,887,Ne savent pas où donner,Religion donors barriers to giving,BC,
81,Religion donor status,Religion donors,2018,ng_050,0.097650982,27.38290116,0.045242188,0.150059776,246,Ne savent pas où donner,Religion donors barriers to giving,BC,*
82,Religion donor status,Non-religion donors,2018,ng_050,0.090412505,11.58831581,0.069877401,0.11094761,1701,Ne savent pas où donner,Religion donors barriers to giving,ON,
83,Religion donor status,Religion donors,2018,ng_050,0.10961517,13.53087283,0.080545201,0.138685138,746,Ne savent pas où donner,Religion donors barriers to giving,ON,
84,Religion donor status,Non-religion donors,2018,ng_050,0.123579619,12.1964977,0.094038287,0.153120952,822,Ne savent pas où donner,Religion donors barriers to giving,PR,
85,Religion donor status,Religion donors,2018,ng_050,0.109752704,19.54090693,0.067717996,0.151787411,362,Ne savent pas où donner,Religion donors barriers to giving,PR,*
86,Religion donor status,Non-religion donors,2018,ng_050,0.134436301,12.83613163,0.100614338,0.168258264,806,Ne savent pas où donner,Religion donors barriers to giving,QC,
87,Religion donor status,Religion donors,2018,ng_050,0.109109368,18.17443058,0.07024327,0.147975466,456,Ne savent pas où donner,Religion donors barriers to giving,QC,*
88,Religion donor status,Non-religion donors,2018,ng_060,0.113602261,20.03232455,0.068999021,0.158205502,532,Difficulté à trouver une cause,Religion donors barriers to giving,AB,*
89,Religion donor status,Religion donors,2018,ng_060,0.150853208,28.13187129,0.067676589,0.234029826,195,Difficulté à trouver une cause,Religion donors barriers to giving,AB,*
90,Religion donor status,Non-religion donors,2018,ng_060,0.090843786,12.77512329,0.068097609,0.113589963,1542,Difficulté à trouver une cause,Religion donors barriers to giving,AT,
91,Religion donor status,Religion donors,2018,ng_060,0.104021646,13.21528086,0.077078506,0.130964786,974,Difficulté à trouver une cause,Religion donors barriers to giving,AT,
92,Religion donor status,Non-religion donors,2018,ng_060,0.12898165,13.42834523,0.095034875,0.162928424,893,Difficulté à trouver une cause,Religion donors barriers to giving,BC,
93,Religion donor status,Religion donors,2018,ng_060,0.145491795,21.77795331,0.083390071,0.207593519,247,Difficulté à trouver une cause,Religion donors barriers to giving,BC,*
94,Religion donor status,Non-religion donors,2018,ng_060,0.104649585,9.930899814,0.084280374,0.125018796,1698,Difficulté à trouver une cause,Religion donors barriers to giving,ON,
95,Religion donor status,Religion donors,2018,ng_060,0.14246218,16.29343696,0.096967524,0.187956835,748,Difficulté à trouver une cause,Religion donors barriers to giving,ON,
96,Religion donor status,Non-religion donors,2018,ng_060,0.142801952,11.77870817,0.109834917,0.175768988,822,Difficulté à trouver une cause,Religion donors barriers to giving,PR,
97,Religion donor status,Religion donors,2018,ng_060,0.122584132,19.02219246,0.07688132,0.168286944,363,Difficulté à trouver une cause,Religion donors barriers to giving,PR,*
98,Religion donor status,Non-religion donors,2018,ng_060,0.096506047,14.35961306,0.069345072,0.123667022,804,Difficulté à trouver une cause,Religion donors barriers to giving,QC,
99,Religion donor status,Religion donors,2018,ng_060,0.121171766,17.07261606,0.080625618,0.161717914,457,Difficulté à trouver une cause,Religion donors barriers to giving,QC,*
100,Religion donor status,Non-religion donors,2018,ng_070,0.238019432,10.57327802,0.188694084,0.28734478,530,Don de temps,Religion donors barriers to giving,AB,
101,Religion donor status,Religion donors,2018,ng_070,0.373042692,12.15556075,0.28416728,0.461918104,192,Don de temps,Religion donors barriers to giving,AB,
102,Religion donor status,Non-religion donors,2018,ng_070,0.266304039,7.248037955,0.228473172,0.304134907,1530,Don de temps,Religion donors barriers to giving,AT,
103,Religion donor status,Religion donors,2018,ng_070,0.337018554,6.141598228,0.296450581,0.377586526,971,Don de temps,Religion donors barriers to giving,AT,
104,Religion donor status,Non-religion donors,2018,ng_070,0.212862582,8.537248312,0.177244927,0.248480238,881,Don de temps,Religion donors barriers to giving,BC,
105,Religion donor status,Religion donors,2018,ng_070,0.34312079,11.68756749,0.264521385,0.421720194,245,Don de temps,Religion donors barriers to giving,BC,
106,Religion donor status,Non-religion donors,2018,ng_070,0.254620689,5.713080883,0.226109708,0.283131669,1695,Don de temps,Religion donors barriers to giving,ON,
107,Religion donor status,Religion donors,2018,ng_070,0.308356304,7.614618298,0.262336045,0.354376563,751,Don de temps,Religion donors barriers to giving,ON,
108,Religion donor status,Non-religion donors,2018,ng_070,0.314506933,6.722097058,0.27307043,0.355943435,815,Don de temps,Religion donors barriers to giving,PR,
109,Religion donor status,Religion donors,2018,ng_070,0.377055557,9.254602891,0.308662625,0.44544849,365,Don de temps,Religion donors barriers to giving,PR,
110,Religion donor status,Non-religion donors,2018,ng_070,0.206686232,9.034184249,0.170088971,0.243283493,803,Don de temps,Religion donors barriers to giving,QC,
111,Religion donor status,Religion donors,2018,ng_070,0.325699656,9.243736959,0.266691374,0.384707938,459,Don de temps,Religion donors barriers to giving,QC,
112,Religion donor status,Non-religion donors,2018,ng_080,0.347188978,7.958459226,0.293033422,0.401344534,531,Don direct,Religion donors barriers to giving,AB,
113,Religion donor status,Religion donors,2018,ng_080,0.387885018,12.08656252,0.295998055,0.479771981,194,Don direct,Religion donors barriers to giving,AB,
114,Religion donor status,Non-religion donors,2018,ng_080,0.382930229,4.373624719,0.350104887,0.415755571,1537,Don direct,Religion donors barriers to giving,AT,
115,Religion donor status,Religion donors,2018,ng_080,0.5053175,4.022302703,0.465480449,0.545154551,977,Don direct,Religion donors barriers to giving,AT,
116,Religion donor status,Non-religion donors,2018,ng_080,0.325305639,6.550147353,0.283542729,0.36706855,892,Don direct,Religion donors barriers to giving,BC,
117,Religion donor status,Religion donors,2018,ng_080,0.456087509,9.883189929,0.367740183,0.544434836,247,Don direct,Religion donors barriers to giving,BC,
118,Religion donor status,Non-religion donors,2018,ng_080,0.332338784,4.548741551,0.302709553,0.361968015,1701,Don direct,Religion donors barriers to giving,ON,
119,Religion donor status,Religion donors,2018,ng_080,0.389357273,5.940053699,0.344027165,0.434687381,752,Don direct,Religion donors barriers to giving,ON,
120,Religion donor status,Non-religion donors,2018,ng_080,0.391410316,5.893856757,0.346195587,0.436625045,816,Don direct,Religion donors barriers to giving,PR,
121,Religion donor status,Religion donors,2018,ng_080,0.429554958,7.875497854,0.363250177,0.495859739,366,Don direct,Religion donors barriers to giving,PR,
122,Religion donor status,Non-religion donors,2018,ng_080,0.371164526,6.264142051,0.325594828,0.416734224,807,Don direct,Religion donors barriers to giving,QC,
123,Religion donor status,Religion donors,2018,ng_080,0.500101179,6.292754607,0.438420838,0.56178152,457,Don direct,Religion donors barriers to giving,QC,
124,Religion donor status,Non-religion donors,2018,ng_090,0.161074402,12.76285677,0.12078206,0.201366744,532,Crédit d'impôt insuffisant,Religion donors barriers to giving,AB,
125,Religion donor status,Religion donors,2018,ng_090,0.216002073,20.80645307,0.127916647,0.3040875,196,Crédit d'impôt insuffisant,Religion donors barriers to giving,AB,*
126,Religion donor status,Non-religion donors,2018,ng_090,0.150726736,7.613116355,0.128236146,0.173217326,1539,Crédit d'impôt insuffisant,Religion donors barriers to giving,AT,
127,Religion donor status,Religion donors,2018,ng_090,0.206680412,8.557325857,0.172015869,0.241344956,978,Crédit d'impôt insuffisant,Religion donors barriers to giving,AT,
128,Religion donor status,Non-religion donors,2018,ng_090,0.160678371,9.867825173,0.129602239,0.191754503,888,Crédit d'impôt insuffisant,Religion donors barriers to giving,BC,
129,Religion donor status,Religion donors,2018,ng_090,0.17472065,19.47282395,0.108036708,0.241404592,242,Crédit d'impôt insuffisant,Religion donors barriers to giving,BC,*
130,Religion donor status,Non-religion donors,2018,ng_090,0.158957367,7.323842846,0.136139883,0.181774852,1693,Crédit d'impôt insuffisant,Religion donors barriers to giving,ON,
131,Religion donor status,Religion donors,2018,ng_090,0.175277064,12.1750767,0.133451203,0.217102925,747,Crédit d'impôt insuffisant,Religion donors barriers to giving,ON,
132,Religion donor status,Non-religion donors,2018,ng_090,0.206305789,9.356795309,0.168471408,0.24414017,825,Crédit d'impôt insuffisant,Religion donors barriers to giving,PR,
133,Religion donor status,Religion donors,2018,ng_090,0.208230693,13.85826128,0.151671712,0.264789675,362,Crédit d'impôt insuffisant,Religion donors barriers to giving,PR,
134,Religion donor status,Non-religion donors,2018,ng_090,0.159949067,10.84886575,0.12593848,0.193959655,801,Crédit d'impôt insuffisant,Religion donors barriers to giving,QC,
135,Religion donor status,Religion donors,2018,ng_090,0.194141321,12.32693701,0.147236093,0.241046549,458,Crédit d'impôt insuffisant,Religion donors barriers to giving,QC,
136,Religion donor status,Non-religion donors,2018,ng_110,0.24102432,10.44008402,0.191705469,0.290343171,525,Utilisation non efficiente de l'argent,Religion donors barriers to giving,AB,
137,Religion donor status,Religion donors,2018,ng_110,0.23722531,18.30516999,0.152114861,0.322335759,194,Utilisation non efficiente de l'argent,Religion donors barriers to giving,AB,*
138,Religion donor status,Non-religion donors,2018,ng_110,0.191264729,7.798290565,0.162031123,0.220498336,1539,Utilisation non efficiente de l'argent,Religion donors barriers to giving,AT,
139,Religion donor status,Religion donors,2018,ng_110,0.234087512,7.49115204,0.199717875,0.26845715,975,Utilisation non efficiente de l'argent,Religion donors barriers to giving,AT,
140,Religion donor status,Non-religion donors,2018,ng_110,0.260233416,8.013637803,0.219360007,0.301106826,892,Utilisation non efficiente de l'argent,Religion donors barriers to giving,BC,
141,Religion donor status,Religion donors,2018,ng_110,0.305824142,12.12087326,0.233171106,0.378477179,247,Utilisation non efficiente de l'argent,Religion donors barriers to giving,BC,
142,Religion donor status,Non-religion donors,2018,ng_110,0.240153049,6.014708825,0.211842336,0.268463762,1705,Utilisation non efficiente de l'argent,Religion donors barriers to giving,ON,
143,Religion donor status,Religion donors,2018,ng_110,0.241799984,8.827723342,0.199963702,0.283636265,749,Utilisation non efficiente de l'argent,Religion donors barriers to giving,ON,
144,Religion donor status,Non-religion donors,2018,ng_110,0.270130116,7.020811309,0.232958761,0.307301471,820,Utilisation non efficiente de l'argent,Religion donors barriers to giving,PR,
145,Religion donor status,Religion donors,2018,ng_110,0.199555479,14.06125184,0.144558893,0.254552065,362,Utilisation non efficiente de l'argent,Religion donors barriers to giving,PR,
146,Religion donor status,Non-religion donors,2018,ng_110,0.214805374,8.758576301,0.177930822,0.251679926,805,Utilisation non efficiente de l'argent,Religion donors barriers to giving,QC,
147,Religion donor status,Religion donors,2018,ng_110,0.20579024,11.88905255,0.157836762,0.253743718,458,Utilisation non efficiente de l'argent,Religion donors barriers to giving,QC,
148,Religion donor status,Non-religion donors,2018,ng_130,0.33518553,8.869948717,0.276914263,0.393456797,528,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,AB,
149,Religion donor status,Religion donors,2018,ng_130,0.248125316,17.9136894,0.161008056,0.335242576,195,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,AB,*
150,Religion donor status,Non-religion donors,2018,ng_130,0.198095591,6.5542713,0.172647963,0.22354322,1537,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,AT,
151,Religion donor status,Religion donors,2018,ng_130,0.24362968,7.341163984,0.208575225,0.278684134,980,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,AT,
152,Religion donor status,Non-religion donors,2018,ng_130,0.311313798,7.00302241,0.268583888,0.354043708,887,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,BC,
153,Religion donor status,Religion donors,2018,ng_130,0.340747043,12.16838482,0.25948025,0.422013836,247,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,BC,
154,Religion donor status,Non-religion donors,2018,ng_130,0.225494526,5.575512371,0.200852927,0.250136124,1700,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,ON,
155,Religion donor status,Religion donors,2018,ng_130,0.213602046,10.42075795,0.169975301,0.25722879,750,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,ON,
156,Religion donor status,Non-religion donors,2018,ng_130,0.223969142,7.795299158,0.189750005,0.25818828,818,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,PR,
157,Religion donor status,Religion donors,2018,ng_130,0.25422993,11.51220737,0.19686673,0.31159313,362,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,PR,
158,Religion donor status,Non-religion donors,2018,ng_130,0.111951454,12.04190223,0.085529013,0.138373894,804,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,QC,
159,Religion donor status,Religion donors,2018,ng_130,0.165569712,15.34006978,0.115789548,0.215349875,455,N'aimaient pas les méthodes de sollicitation,Religion donors barriers to giving,QC,
