Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Religion donor status,Non-religion donors,2018,rg_010,0.6958465739069598,1.351575038534104,0.6774133309734829,0.7142798168404367,6210,Personally affected by cause,Religion donors motivations for giving,CA,
Religion donor status,Religion donors,2018,rg_010,0.705458806820096,1.7578162892834606,0.6811539405878052,0.7297636730523868,4001,Personally affected by cause,Religion donors motivations for giving,CA,
Religion donor status,Non-religion donors,2018,rg_020,0.2453114894940619,3.258736281744297,0.22964343056120848,0.2609795484269153,6120,Tax credit,Religion donors motivations for giving,CA,
Religion donor status,Religion donors,2018,rg_020,0.35752036141917776,3.4816204708874325,0.3331237056237995,0.381917017214556,3949,Tax credit,Religion donors motivations for giving,CA,
Religion donor status,Non-religion donors,2018,rg_030,0.0696482322633593,7.1179375406712,0.05993167617609085,0.07936478835062774,6059,Religious reasons,Religion donors motivations for giving,CA,
Religion donor status,Religion donors,2018,rg_030,0.6997796326082832,1.6874807133127352,0.6766351110836396,0.7229241541329269,3994,Religious reasons,Religion donors motivations for giving,CA,
Religion donor status,Non-religion donors,2018,rg_035,0.1461412324448458,4.9382205086968165,0.13199661078834685,0.16028585410134477,6072,Spiritual beliefs,Religion donors motivations for giving,CA,
Religion donor status,Religion donors,2018,rg_035,0.5671816270441681,2.201546774730547,0.5427080098794622,0.5916552442088739,3910,Spiritual beliefs,Religion donors motivations for giving,CA,
Religion donor status,Non-religion donors,2018,rg_040,0.8360754276386394,0.9336108634503121,0.8207765543668086,0.8513743009104702,6192,Personally believed in cause,Religion donors motivations for giving,CA,
Religion donor status,Religion donors,2018,rg_040,0.8626156703653509,1.1335558592747752,0.84345069080289925,0.8817806499278026,3989,Personally believed in cause,Religion donors motivations for giving,CA,
Religion donor status,Non-religion donors,2018,rg_050,0.8265201098784478,0.887817555234786,0.812137912518784,0.8409023072381117,6165,Compassion towarde people in need,Religion donors motivations for giving,CA,
Religion donor status,Religion donors,2018,rg_050,0.878028921939554,0.9562029613728328,0.8615735767514794,0.8944842671276285,3980,Compassion towarde people in need,Religion donors motivations for giving,CA,
Religion donor status,Non-religion donors,2018,rg_060,0.690908134846103,1.3099004103011078,0.6731700521469449,0.7086462175452611,6120,Contribution to community,Religion donors motivations for giving,CA,
Religion donor status,Religion donors,2018,rg_060,0.7990207380866782,1.345796312231694,0.7779448697786321,0.8200966063947243,3949,Contribution to community,Religion donors motivations for giving,CA,
Religion donor status,Non-religion donors,2018,rg_070,0.49642478768789905,2.0331662937703165,0.47664259394093617,0.516206981434862,6118,Was asked by someone familiar,Religion donors motivations for giving,CA,
Religion donor status,Religion donors,2018,rg_070,0.4724081092058245,2.668515436591697,0.44770024792389435,0.49711597048775463,3938,Was asked by someone familiar,Religion donors motivations for giving,CA,
Religion donor status,Non-religion donors,2018,rg_010,0.7127660187558983,1.3762942336430888,0.6935392471324413,0.7319927903793553,5445,Personally affected by cause,Religion donors motivations for giving,CA (without QC),
Religion donor status,Religion donors,2018,rg_010,0.6937268524914182,2.0254572596509406,0.6661871223936869,0.7212665825891494,3495,Personally affected by cause,Religion donors motivations for giving,CA (without QC),
Religion donor status,Non-religion donors,2018,rg_020,0.2706808298546204,3.359331887562618,0.2528587451812085,0.2885029145280323,5366,Tax credit,Religion donors motivations for giving,CA (without QC),
Religion donor status,Religion donors,2018,rg_020,0.39999787428685124,3.4901863017892936,0.3726354618958553,0.4273602866778472,3457,Tax credit,Religion donors motivations for giving,CA (without QC),
Religion donor status,Non-religion donors,2018,rg_030,0.07769654361545852,7.57218909321591,0.06616543027141297,0.08922765695950408,5315,Religious reasons,Religion donors motivations for giving,CA (without QC),
Religion donor status,Religion donors,2018,rg_030,0.7531586485067718,1.5718148047441438,0.7299560869518567,0.776361210061687,3498,Religious reasons,Religion donors motivations for giving,CA (without QC),
Religion donor status,Non-religion donors,2018,rg_035,0.16332851576052082,5.058787740288794,0.1471344251900931,0.17952260633094855,5329,Spiritual beliefs,Religion donors motivations for giving,CA (without QC),
Religion donor status,Religion donors,2018,rg_035,0.6300561206489687,2.129053451767992,0.6037647098625744,0.656347531435363,3428,Spiritual beliefs,Religion donors motivations for giving,CA (without QC),
Religion donor status,Non-religion donors,2018,rg_040,0.8438651007212405,0.9269815502709009,0.8285333338172248,0.8591968676252563,5427,Personally believed in cause,Religion donors motivations for giving,CA (without QC),
Religion donor status,Religion donors,2018,rg_040,0.8729531669826125,1.1903125685554796,0.8525874335367939,0.8933189004284311,3492,Personally believed in cause,Religion donors motivations for giving,CA (without QC),
Religion donor status,Non-religion donors,2018,rg_050,0.831067306703353,0.9790246844026159,0.8151203457477008,0.8470142676590053,5404,Compassion towarde people in need,Religion donors motivations for giving,CA (without QC),
Religion donor status,Religion donors,2018,rg_050,0.885068874651797,0.9622602595287246,0.8683765159249865,0.9017612333786074,3486,Compassion towarde people in need,Religion donors motivations for giving,CA (without QC),
Religion donor status,Non-religion donors,2018,rg_060,0.7044912803267603,1.3424581944023564,0.6859549191366765,0.7230276415168442,5367,Contribution to community,Religion donors motivations for giving,CA (without QC),
Religion donor status,Religion donors,2018,rg_060,0.8045615140405712,1.4765797312220887,0.7812771571105441,0.8278458709705983,3454,Contribution to community,Religion donors motivations for giving,CA (without QC),
Religion donor status,Non-religion donors,2018,rg_070,0.5309718563852874,2.053292038124868,0.5096035394507286,0.5523401733198463,5365,Was asked by someone familiar,Religion donors motivations for giving,CA (without QC),
Religion donor status,Religion donors,2018,rg_070,0.49254647283483305,2.7559579059528017,0.46594118974331344,0.5191517559263527,3443,Was asked by someone familiar,Religion donors motivations for giving,CA (without QC),
Religion donor status,Non-religion donors,2018,rg_010,0.6814665287773808,4.377878596557353,0.6229933997347397,0.7399396578200219,559,Personally affected by cause,Religion donors motivations for giving,AB,
Religion donor status,Religion donors,2018,rg_010,0.6762556615938746,5.6130070096183715,0.601858804409822,0.7506525187779273,310,Personally affected by cause,Religion donors motivations for giving,AB,
Religion donor status,Non-religion donors,2018,rg_010,0.7149423887420253,2.763239769642993,0.6762221783131721,0.7536625991708785,1449,Personally affected by cause,Religion donors motivations for giving,AT,
Religion donor status,Religion donors,2018,rg_010,0.7536997431476128,2.170230890057208,0.7216405639509988,0.7857589223442267,1216,Personally affected by cause,Religion donors motivations for giving,AT,
Religion donor status,Non-religion donors,2018,rg_010,0.6837298862341485,3.097029935538345,0.6422270231334191,0.725232749334878,906,Personally affected by cause,Religion donors motivations for giving,BC,
Religion donor status,Religion donors,2018,rg_010,0.6583590134926547,5.549546765940209,0.586749884321934,0.7299681426633754,378,Personally affected by cause,Religion donors motivations for giving,BC,
Religion donor status,Non-religion donors,2018,rg_010,0.7313093659392934,1.9362124786973343,0.703556857633167,0.7590618742454198,1737,Personally affected by cause,Religion donors motivations for giving,ON,
Religion donor status,Religion donors,2018,rg_010,0.6916854185430014,3.1429946340229415,0.6490765157512899,0.7342943213347128,1069,Personally affected by cause,Religion donors motivations for giving,ON,
Religion donor status,Non-religion donors,2018,rg_010,0.7193410338098009,3.0485404372968508,0.6763601951036994,0.7623218725159023,794,Personally affected by cause,Religion donors motivations for giving,PR,
Religion donor status,Religion donors,2018,rg_010,0.7154432159318395,3.799071559854262,0.6621710033422231,0.7687154285214558,522,Personally affected by cause,Religion donors motivations for giving,PR,
Religion donor status,Non-religion donors,2018,rg_010,0.6372957339340317,3.780053606807203,0.5900799656126577,0.6845115022554057,765,Personally affected by cause,Religion donors motivations for giving,QC,
Religion donor status,Religion donors,2018,rg_010,0.7445797762757596,3.3473124361568214,0.6957307874650475,0.7934287650864716,506,Personally affected by cause,Religion donors motivations for giving,QC,
Religion donor status,Non-religion donors,2018,rg_020,0.2683672128453817,8.958376009964656,0.2212470444377072,0.31548738125305614,551,Tax credit,Religion donors motivations for giving,AB,
Religion donor status,Religion donors,2018,rg_020,0.3949630806709829,9.255961243882524,0.3233114431487109,0.4666147181932549,307,Tax credit,Religion donors motivations for giving,AB,
Religion donor status,Non-religion donors,2018,rg_020,0.18596178159969068,6.906682246594159,0.1607884170384875,0.21113514616089385,1431,Tax credit,Religion donors motivations for giving,AT,
Religion donor status,Religion donors,2018,rg_020,0.3580525580432001,5.032617438130364,0.3227351526921786,0.39336996339422153,1206,Tax credit,Religion donors motivations for giving,AT,
Religion donor status,Non-religion donors,2018,rg_020,0.28211081078977385,7.387660320337086,0.2412624400828932,0.3229591814966545,889,Tax credit,Religion donors motivations for giving,BC,
Religion donor status,Religion donors,2018,rg_020,0.45435579497703565,7.756577697895864,0.3852818421363707,0.5234297478177006,374,Tax credit,Religion donors motivations for giving,BC,
Religion donor status,Non-religion donors,2018,rg_020,0.2775799818664052,5.238106231055345,0.24908223424926687,0.3060777294835435,1711,Tax credit,Religion donors motivations for giving,ON,
Religion donor status,Religion donors,2018,rg_020,0.39373833965848626,5.2583946332165326,0.3531586265197651,0.4343180527972074,1047,Tax credit,Religion donors motivations for giving,ON,
Religion donor status,Non-religion donors,2018,rg_020,0.29704751986906985,6.746427379609213,0.25776965500895804,0.33632538472918166,784,Tax credit,Religion donors motivations for giving,PR,
Religion donor status,Religion donors,2018,rg_020,0.41581839231332246,6.544756799827761,0.3624793395374575,0.46915744508918744,523,Tax credit,Religion donors motivations for giving,PR,
Religion donor status,Non-religion donors,2018,rg_020,0.15769602647117406,9.897152880462713,0.12710605159998623,0.1882860013423619,754,Tax credit,Religion donors motivations for giving,QC,
Religion donor status,Religion donors,2018,rg_020,0.2127119540028505,11.244872675268041,0.1658312062137393,0.2595927017919617,492,Tax credit,Religion donors motivations for giving,QC,
Religion donor status,Non-religion donors,2018,rg_030,0.058405304946117155,25.843204651943623,0.028821995686115043,0.08798861420611927,548,Religious reasons,Religion donors motivations for giving,AB,*
Religion donor status,Religion donors,2018,rg_030,0.7854385163009604,3.5538767309548267,0.7307290289522196,0.8401480036497012,312,Religious reasons,Religion donors motivations for giving,AB,
Religion donor status,Non-religion donors,2018,rg_030,0.07130384464866583,12.128828976675292,0.054353446234325184,0.08825424306300649,1419,Religious reasons,Religion donors motivations for giving,AT,
Religion donor status,Religion donors,2018,rg_030,0.5883225835390746,3.167194458029371,0.5518019469147519,0.6248432201633973,1211,Religious reasons,Religion donors motivations for giving,AT,
Religion donor status,Non-religion donors,2018,rg_030,0.05652173040555914,16.98900737291257,0.037701213589366546,0.07534224722175173,874,Religious reasons,Religion donors motivations for giving,BC,*
Religion donor status,Religion donors,2018,rg_030,0.7417188337518816,4.217311230732379,0.6804100006512787,0.8030276668524846,379,Religious reasons,Religion donors motivations for giving,BC,
Religion donor status,Non-religion donors,2018,rg_030,0.09361896814371098,10.369263969801205,0.07459242581936953,0.11264551046805243,1696,Religious reasons,Religion donors motivations for giving,ON,
Religion donor status,Religion donors,2018,rg_030,0.7707557337478084,2.4554570317961977,0.7336622866710533,0.8078491808245635,1071,Religious reasons,Religion donors motivations for giving,ON,
Religion donor status,Non-religion donors,2018,rg_030,0.06793551753741253,17.36747117594155,0.04481052687633867,0.09106050819848639,778,Religious reasons,Religion donors motivations for giving,PR,*
Religion donor status,Religion donors,2018,rg_030,0.7908861492396441,2.780268365619897,0.7477889766407129,0.8339833218385753,525,Religious reasons,Religion donors motivations for giving,PR,
Religion donor status,Non-religion donors,2018,rg_030,0.04179190987161753,21.455841890257712,0.02421729284951606,0.059366526893719004,744,Religious reasons,Religion donors motivations for giving,QC,*
Religion donor status,Religion donors,2018,rg_030,0.5177025184490563,5.715657365082066,0.4597069839852945,0.5756980529128182,496,Religious reasons,Religion donors motivations for giving,QC,
Religion donor status,Non-religion donors,2018,rg_035,0.1293907288206558,16.682303998066413,0.08708421096187036,0.17169724667944125,546,Spiritual beliefs,Religion donors motivations for giving,AB,*
Religion donor status,Religion donors,2018,rg_035,0.7233555210071121,4.44900994753889,0.6602796482544444,0.7864313937597798,306,Spiritual beliefs,Religion donors motivations for giving,AB,
Religion donor status,Non-religion donors,2018,rg_035,0.1432228740853725,8.115157747118804,0.12044267884700638,0.1660030693237386,1425,Spiritual beliefs,Religion donors motivations for giving,AT,
Religion donor status,Religion donors,2018,rg_035,0.5239774600778947,3.712134903814953,0.4858546902456067,0.5621002299101827,1190,Spiritual beliefs,Religion donors motivations for giving,AT,
Religion donor status,Non-religion donors,2018,rg_035,0.1627128617121851,11.33906892395515,0.12655128406800875,0.19887443935636145,881,Spiritual beliefs,Religion donors motivations for giving,BC,
Religion donor status,Religion donors,2018,rg_035,0.6668384333621316,5.223899942377617,0.5985631417888235,0.7351137249354396,369,Spiritual beliefs,Religion donors motivations for giving,BC,
Religion donor status,Non-religion donors,2018,rg_035,0.1807370610694597,7.120486704976146,0.15551358209266747,0.20596054004625192,1699,Spiritual beliefs,Religion donors motivations for giving,ON,
Religion donor status,Religion donors,2018,rg_035,0.6091964558781958,3.535389675346914,0.5669837930967875,0.6514091186596042,1043,Spiritual beliefs,Religion donors motivations for giving,ON,
Religion donor status,Non-religion donors,2018,rg_035,0.1398309827920448,10.934662441098242,0.1098630433955772,0.16979892218851242,778,Spiritual beliefs,Religion donors motivations for giving,PR,
Religion donor status,Religion donors,2018,rg_035,0.6657198495496648,4.144011332732786,0.6116493313475866,0.719790367751743,520,Spiritual beliefs,Religion donors motivations for giving,PR,
Religion donor status,Non-religion donors,2018,rg_035,0.08647254994475885,14.871617833898773,0.061267673467126346,0.11167742642239135,743,Spiritual beliefs,Religion donors motivations for giving,QC,
Religion donor status,Religion donors,2018,rg_035,0.3500870190370696,8.470514654454636,0.29196590943400097,0.4082081286401383,482,Spiritual beliefs,Religion donors motivations for giving,QC,
Religion donor status,Non-religion donors,2018,rg_040,0.8811710145876882,2.108431370873277,0.8447570669537026,0.91758496222167385,554,Personally believed in cause,Religion donors motivations for giving,AB,
Religion donor status,Religion donors,2018,rg_040,0.8975355478765097,2.538822371928598,0.8528741753152097,0.9421969204378097,310,Personally believed in cause,Religion donors motivations for giving,AB,
Religion donor status,Non-religion donors,2018,rg_040,0.8411151598032568,1.5095002344211275,0.8162302118728129,0.8660001077337007,1441,Personally believed in cause,Religion donors motivations for giving,AT,
Religion donor status,Religion donors,2018,rg_040,0.8607796231595578,1.7380414295710258,0.8314571772993582,0.8901020690197574,1212,Personally believed in cause,Religion donors motivations for giving,AT,
Religion donor status,Non-religion donors,2018,rg_040,0.8345601822342568,2.0515323868135487,0.8010031049098256,0.8681172595586879,904,Personally believed in cause,Religion donors motivations for giving,BC,
Religion donor status,Religion donors,2018,rg_040,0.8485201543075033,3.9166445102776644,0.7833836558650638,0.9136566527499428,379,Personally believed in cause,Religion donors motivations for giving,BC,
Religion donor status,Non-religion donors,2018,rg_040,0.8396532429314313,1.434971832377359,0.8160380533236661,0.8632684325391965,1739,Personally believed in cause,Religion donors motivations for giving,ON,
Religion donor status,Religion donors,2018,rg_040,0.8667079852340756,1.9682695740915537,0.8332726664708086,0.9001433039973425,1068,Personally believed in cause,Religion donors motivations for giving,ON,
Religion donor status,Non-religion donors,2018,rg_040,0.8216337820726665,2.2468111548562346,0.7854517503815619,0.857815813763771,789,Personally believed in cause,Religion donors motivations for giving,PR,
Religion donor status,Religion donors,2018,rg_040,0.9153634784524397,1.7207921431441984,0.8844911002259533,0.9462358566789261,523,Personally believed in cause,Religion donors motivations for giving,PR,
Religion donor status,Non-religion donors,2018,rg_040,0.809150797483872,2.3458968211284668,0.7719470691645052,0.8463545258032388,765,Personally believed in cause,Religion donors motivations for giving,QC,
Religion donor status,Religion donors,2018,rg_040,0.8274718169463321,3.052156071783784,0.7779714931887862,0.876972140703878,497,Personally believed in cause,Religion donors motivations for giving,QC,
Religion donor status,Non-religion donors,2018,rg_050,0.8319746876042832,2.554512955888381,0.7903197667155505,0.8736296084930159,557,Compassion towarde people in need,Religion donors motivations for giving,AB,
