Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Religion volunteer status,Non-religion volunteer,2018,fv_020,0.06698124936359892,7.449349954286428,0.057201680437833434,0.0767608182893644,6584,Canvassing,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_020,0.10899449399178737,12.581173286651746,0.0821179269865368,0.13587106099703794,1694,Canvassing,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_030,0.3875677595889833,2.401634867015227,0.3693244884222384,0.4058110307557282,6600,Fundraising,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_030,0.4169863824308862,4.433000515827025,0.3807564315481532,0.4532163333136192,1698,Fundraising,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_040,0.30707164845016305,2.709194159867617,0.29076638042260966,0.32337691647771644,6601,Sit on committee or board,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_040,0.3723582497405231,5.01108839296456,0.3357868877355636,0.40892961174548265,1699,Sit on committee or board,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_050,0.2705106443960427,3.095327165443864,0.25409949461595277,0.28692179417613267,6588,Teaching or mentoring,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_050,0.40376597514290113,5.05759321904755,0.3637418630727559,0.44379008721304636,1694,Teaching or mentoring,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_060,0.4217509650137758,2.0863467810989764,0.40450487406224256,0.438997055965309,6599,Organize activities or events,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_060,0.4934455125535488,4.141464672654792,0.45339194026170027,0.5334990848453973,1698,Organize activities or events,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_070,0.17291232070215243,3.9770460944239665,0.15943403508672946,0.1863906063175754,6589,Office work,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_070,0.21464761214861958,6.93105444562758,0.18548855594901534,0.24380666834822382,1692,Office work,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_080,0.1509561196299788,4.5840420148370775,0.1373933806353704,0.16451885862458718,6586,"Coach, referee or officiate",Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_080,0.09854085771994243,15.774492500717848,0.06807454994188067,0.1290071654980042,1688,"Coach, referee or officiate",Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_090,0.23400638839474688,3.247494678004788,0.21911194587040386,0.2489008309190899,6584,Counsel or provide advice,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_090,0.2651702474935924,6.269080682666789,0.2325883221519889,0.29775217283519595,1690,Counsel or provide advice,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_100,0.17982696818080113,3.8677593446542535,0.1661948809208046,0.19345905544079767,6591,Health care or support,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_100,0.2409650790451453,7.167823419559087,0.2071126764196543,0.2748174816706363,1692,Health care or support,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_110,0.2310446591481413,3.5756112627467487,0.21485288932640614,0.24723642896987644,6588,"Collect, serve or deliver goods",Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_110,0.3974985408649639,4.518728763337849,0.36229390120653576,0.432703180523392,1696,"Collect, serve or deliver goods",Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_120,0.1325381753422628,4.929364412018862,0.11973316293227954,0.14534318775224608,6581,"Maintenance, repair or building",Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_120,0.2246184853056381,7.089552478708329,0.1934071458623223,0.25582982474895394,1696,"Maintenance, repair or building",Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_130,0.1389734967029689,4.5194598898421425,0.12666325408635892,0.1512837393195789,6575,Volunteer driving,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_130,0.22086897314262452,6.7818181620453055,0.1915108056313323,0.25022714065391677,1693,Volunteer driving,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_140,0.055355620212856255,8.053238878515783,0.04661825692319374,0.06409298350251877,6574,"First aid, firefighting",Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_140,0.025881326594460418,24.06975954128568,0.013671587723732437,0.038091065465188395,1688,"First aid, firefighting",Religion volunteers volunteer rates by activity,CA,*
Religion volunteer status,Non-religion volunteer,2018,fv_150,0.13866478266800375,4.328740684139571,0.1269002186792299,0.1504293466567776,6577,Protection of the environment,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_150,0.10188143498111471,10.49003512510962,0.08093451919433076,0.12282835076789866,1690,Protection of the environment,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_160,0.1670395692710196,4.278687655240123,0.1530315078748247,0.1810476306672145,6641,Other,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Religion volunteer,2018,fv_160,0.2640497292261205,7.162454789682317,0.22698202310936014,0.3011174353428809,1713,Other,Religion volunteers volunteer rates by activity,CA,
Religion volunteer status,Non-religion volunteer,2018,fv_020,0.060168293839915926,9.006577917489848,0.049547044649468686,0.07078954303036317,5718,Canvassing,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_020,0.10447202245158047,13.518126499581268,0.07679211718839735,0.13215192771476358,1592,Canvassing,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_030,0.4170994606327301,2.523590212792606,0.39646911264155055,0.4377298086239097,5731,Fundraising,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_030,0.4178344913489621,4.520400737635926,0.3808150964806197,0.45485388621730455,1596,Fundraising,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_040,0.3036725670766473,2.9812910269933313,0.28592830167003463,0.32141683248326,5731,Sit on committee or board,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_040,0.3729296670305457,4.949100508970517,0.33675527021953333,0.40910406384155806,1596,Sit on committee or board,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_050,0.28161885230627326,3.200484333282829,0.2639533691142762,0.2992843354982703,5721,Teaching or mentoring,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_050,0.4216030739350677,4.9816168836548576,0.3804386365253763,0.4627675113447591,1592,Teaching or mentoring,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_060,0.4323974512042321,2.2569242433109276,0.41327039218366224,0.451524510224802,5728,Organize activities or events,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_060,0.4911290925556219,4.109798204494542,0.4515683668365,0.5306898182747439,1595,Organize activities or events,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_070,0.1767078823874671,4.214331907866523,0.16211191952114462,0.19130384525378957,5721,Office work,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_070,0.2185337126176904,7.061812503000957,0.1882866839839724,0.24878074125140837,1588,Office work,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_080,0.16276015234138477,4.884445631732945,0.14717857360538003,0.17834173107738951,5720,"Coach, referee or officiate",Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_080,0.08983586730067092,13.502969238942205,0.06606050551334372,0.11361122908799812,1586,"Coach, referee or officiate",Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_090,0.20375968998120525,3.7176389198793465,0.18891286570607557,0.21860651425633493,5716,Counsel or provide advice,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_090,0.2546870284555495,6.581940282300263,0.22183146988061198,0.2875425870304871,1588,Counsel or provide advice,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_100,0.18394493580351384,4.205443172920721,0.1687832429087209,0.19910662869830678,5725,Health care or support,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_100,0.24155706639371752,6.804990574654593,0.20933930463653969,0.2737748281508953,1590,Health care or support,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_110,0.22334705290188117,3.9995353199445978,0.20583899985931856,0.2408551059444438,5720,"Collect, serve or deliver goods",Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_110,0.4081076812586963,4.433074185652812,0.3726485689557897,0.4435667935616029,1594,"Collect, serve or deliver goods",Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_120,0.13012157487744436,5.24852903465041,0.11673606231383593,0.14350708744105278,5717,"Maintenance, repair or building",Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_120,0.22783963901667587,7.269687532770281,0.19537630507770043,0.2603029729556513,1592,"Maintenance, repair or building",Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_130,0.1359769228036041,4.90586749788105,0.12290230164278682,0.14905154396442138,5712,Volunteer driving,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_130,0.222622273840565,7.08709246665959,0.19169904713157032,0.25354550054955965,1591,Volunteer driving,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_140,0.06039646233413299,8.243267682192123,0.050638503203093946,0.07015442146517203,5711,"First aid, firefighting",Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_140,0.02755229454704244,24.971463559009628,0.014067328403741095,0.04103726069034379,1586,"First aid, firefighting",Religion volunteers volunteer rates by activity,CA (without QC),*
Religion volunteer status,Non-religion volunteer,2018,fv_150,0.14539162949107912,4.58208200540595,0.13233442058790226,0.15844883839425597,5712,Protection of the environment,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_150,0.10532599497444516,10.639803000540136,0.08336170096858421,0.1272902889803061,1588,Protection of the environment,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_160,0.15759792196758743,5.142435811696658,0.14171364477387988,0.17348219916129498,5767,Other,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Religion volunteer,2018,fv_160,0.2654795339346084,7.400464279452207,0.2269726740871461,0.30398639378207065,1609,Other,Religion volunteers volunteer rates by activity,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,fv_020,0.057663952106716106,21.02363099774329,0.03390319796529469,0.08142470624813752,591,Canvassing,Religion volunteers volunteer rates by activity,AB,*
Religion volunteer status,Religion volunteer,2018,fv_020,0.14575814840305473,33.6120919588015,0.04973488164332268,0.24178141516278678,159,Canvassing,Religion volunteers volunteer rates by activity,AB,...
Religion volunteer status,Non-religion volunteer,2018,fv_020,0.07097552542095342,11.438382636592538,0.055063651545820505,0.08688739929608634,1533,Canvassing,Religion volunteers volunteer rates by activity,AT,
Religion volunteer status,Religion volunteer,2018,fv_020,0.09546325581999782,18.20998444309311,0.06139154760110044,0.1295349640388952,463,Canvassing,Religion volunteers volunteer rates by activity,AT,*
Religion volunteer status,Non-religion volunteer,2018,fv_020,0.0675493503846253,21.18983900873223,0.039495212643487064,0.09560348812576352,968,Canvassing,Religion volunteers volunteer rates by activity,BC,*
Religion volunteer status,Religion volunteer,2018,fv_020,0.0814593441349722,33.874281006648246,0.027376554345819225,0.13554213392412517,206,Canvassing,Religion volunteers volunteer rates by activity,BC,...
Religion volunteer status,Non-religion volunteer,2018,fv_020,0.05587302573454404,15.086014739552228,0.039352464029736085,0.07239358743935201,1820,Canvassing,Religion volunteers volunteer rates by activity,ON,
Religion volunteer status,Religion volunteer,2018,fv_020,0.11019903658010419,18.08667573041468,0.0711343233041706,0.14926374985603777,499,Canvassing,Religion volunteers volunteer rates by activity,ON,*
Religion volunteer status,Non-religion volunteer,2018,fv_020,0.06190811758833414,18.4897089917754,0.03947313350664322,0.08434310167002505,806,Canvassing,Religion volunteers volunteer rates by activity,PR,*
Religion volunteer status,Religion volunteer,2018,fv_020,0.05657499507053568,33.31152701709305,0.019637524072737902,0.09351246606833345,265,Canvassing,Religion volunteers volunteer rates by activity,PR,...
Religion volunteer status,Non-religion volunteer,2018,fv_020,0.09423446062134304,15.111802950654555,0.06632354253904617,0.12214537870363991,866,Canvassing,Religion volunteers volunteer rates by activity,QC,
