,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Religion volunteer status,Non-religion volunteer,2018,fv_020,0.0669812493635989,7.449349954286428,0.0572016804378334,0.0767608182893644,6584,Porte-à-porte,Religion volunteers volunteer rates by activity,CA,
1,Religion volunteer status,Religion volunteer,2018,fv_020,0.1089944939917873,12.581173286651746,0.0821179269865368,0.1358710609970379,1694,Porte-à-porte,Religion volunteers volunteer rates by activity,CA,
2,Religion volunteer status,Non-religion volunteer,2018,fv_030,0.3875677595889833,2.401634867015227,0.3693244884222384,0.4058110307557282,6600,Collecte de fonds,Religion volunteers volunteer rates by activity,CA,
3,Religion volunteer status,Religion volunteer,2018,fv_030,0.4169863824308862,4.433000515827025,0.3807564315481532,0.4532163333136192,1698,Collecte de fonds,Religion volunteers volunteer rates by activity,CA,
4,Religion volunteer status,Non-religion volunteer,2018,fv_040,0.307071648450163,2.709194159867617,0.2907663804226096,0.3233769164777164,6601,Membre d'un comité ou d'un conseil d'administration,Religion volunteers volunteer rates by activity,CA,
5,Religion volunteer status,Religion volunteer,2018,fv_040,0.3723582497405231,5.01108839296456,0.3357868877355636,0.4089296117454826,1699,Membre d'un comité ou d'un conseil d'administration,Religion volunteers volunteer rates by activity,CA,
6,Religion volunteer status,Non-religion volunteer,2018,fv_050,0.2705106443960427,3.095327165443864,0.2540994946159527,0.2869217941761326,6588,Enseignement ou mentorat,Religion volunteers volunteer rates by activity,CA,
7,Religion volunteer status,Religion volunteer,2018,fv_050,0.4037659751429011,5.05759321904755,0.3637418630727559,0.4437900872130463,1694,Enseignement ou mentorat,Religion volunteers volunteer rates by activity,CA,
8,Religion volunteer status,Non-religion volunteer,2018,fv_060,0.4217509650137758,2.0863467810989764,0.4045048740622425,0.438997055965309,6599,Organisation d'activités ou d'événements,Religion volunteers volunteer rates by activity,CA,
9,Religion volunteer status,Religion volunteer,2018,fv_060,0.4934455125535488,4.141464672654792,0.4533919402617002,0.5334990848453973,1698,Organisation d'activités ou d'événements,Religion volunteers volunteer rates by activity,CA,
10,Religion volunteer status,Non-religion volunteer,2018,fv_070,0.1729123207021524,3.9770460944239674,0.1594340350867294,0.1863906063175754,6589,Travail de bureau,Religion volunteers volunteer rates by activity,CA,
11,Religion volunteer status,Religion volunteer,2018,fv_070,0.2146476121486195,6.93105444562758,0.1854885559490153,0.2438066683482238,1692,Travail de bureau,Religion volunteers volunteer rates by activity,CA,
12,Religion volunteer status,Non-religion volunteer,2018,fv_080,0.1509561196299788,4.5840420148370775,0.1373933806353704,0.1645188586245871,6586,"Entraînement, arbitrage, présidence",Religion volunteers volunteer rates by activity,CA,
13,Religion volunteer status,Religion volunteer,2018,fv_080,0.0985408577199424,15.774492500717848,0.0680745499418806,0.1290071654980042,1688,"Entraînement, arbitrage, présidence",Religion volunteers volunteer rates by activity,CA,
14,Religion volunteer status,Non-religion volunteer,2018,fv_090,0.2340063883947468,3.247494678004788,0.2191119458704038,0.2489008309190899,6584,Conseils,Religion volunteers volunteer rates by activity,CA,
15,Religion volunteer status,Religion volunteer,2018,fv_090,0.2651702474935924,6.269080682666789,0.2325883221519889,0.2977521728351959,1690,Conseils,Religion volunteers volunteer rates by activity,CA,
16,Religion volunteer status,Non-religion volunteer,2018,fv_100,0.1798269681808011,3.8677593446542535,0.1661948809208046,0.1934590554407976,6591,Soins de santé ou soutien,Religion volunteers volunteer rates by activity,CA,
17,Religion volunteer status,Religion volunteer,2018,fv_100,0.2409650790451453,7.167823419559087,0.2071126764196543,0.2748174816706363,1692,Soins de santé ou soutien,Religion volunteers volunteer rates by activity,CA,
18,Religion volunteer status,Non-religion volunteer,2018,fv_110,0.2310446591481413,3.5756112627467487,0.2148528893264061,0.2472364289698764,6588,"Collecte, distribution ou livraison de biens",Religion volunteers volunteer rates by activity,CA,
19,Religion volunteer status,Religion volunteer,2018,fv_110,0.3974985408649639,4.518728763337849,0.3622939012065357,0.432703180523392,1696,"Collecte, distribution ou livraison de biens",Religion volunteers volunteer rates by activity,CA,
20,Religion volunteer status,Non-religion volunteer,2018,fv_120,0.1325381753422628,4.929364412018862,0.1197331629322795,0.145343187752246,6581,"Entretien, réparation ou construction",Religion volunteers volunteer rates by activity,CA,
21,Religion volunteer status,Religion volunteer,2018,fv_120,0.2246184853056381,7.089552478708329,0.1934071458623223,0.2558298247489539,1696,"Entretien, réparation ou construction",Religion volunteers volunteer rates by activity,CA,
22,Religion volunteer status,Non-religion volunteer,2018,fv_130,0.1389734967029689,4.519459889842143,0.1266632540863589,0.1512837393195789,6575,Chauffeur.euse bénévole,Religion volunteers volunteer rates by activity,CA,
23,Religion volunteer status,Religion volunteer,2018,fv_130,0.2208689731426245,6.7818181620453055,0.1915108056313323,0.2502271406539167,1693,Chauffeur.euse bénévole,Religion volunteers volunteer rates by activity,CA,
24,Religion volunteer status,Non-religion volunteer,2018,fv_140,0.0553556202128562,8.053238878515783,0.0466182569231937,0.0640929835025187,6574,"Premier soins, incendies",Religion volunteers volunteer rates by activity,CA,
25,Religion volunteer status,Religion volunteer,2018,fv_140,0.0258813265944604,24.06975954128568,0.0136715877237324,0.0380910654651883,1688,"Premier soins, incendies",Religion volunteers volunteer rates by activity,CA,*
26,Religion volunteer status,Non-religion volunteer,2018,fv_150,0.1386647826680037,4.328740684139571,0.1269002186792299,0.1504293466567776,6577,Protection de l'environnement,Religion volunteers volunteer rates by activity,CA,
27,Religion volunteer status,Religion volunteer,2018,fv_150,0.1018814349811147,10.49003512510962,0.0809345191943307,0.1228283507678986,1690,Protection de l'environnement,Religion volunteers volunteer rates by activity,CA,
28,Religion volunteer status,Non-religion volunteer,2018,fv_160,0.1670395692710196,4.278687655240123,0.1530315078748247,0.1810476306672145,6641,Autre,Religion volunteers volunteer rates by activity,CA,
29,Religion volunteer status,Religion volunteer,2018,fv_160,0.2640497292261205,7.162454789682317,0.2269820231093601,0.3011174353428809,1713,Autre,Religion volunteers volunteer rates by activity,CA,
30,Religion volunteer status,Non-religion volunteer,2018,fv_020,0.0601682938399159,9.006577917489848,0.0495470446494686,0.0707895430303631,5718,Porte-à-porte,Religion volunteers volunteer rates by activity,CA (without QC),
31,Religion volunteer status,Religion volunteer,2018,fv_020,0.1044720224515804,13.518126499581268,0.0767921171883973,0.1321519277147635,1592,Porte-à-porte,Religion volunteers volunteer rates by activity,CA (without QC),
32,Religion volunteer status,Non-religion volunteer,2018,fv_030,0.4170994606327301,2.523590212792606,0.3964691126415505,0.4377298086239097,5731,Collecte de fonds,Religion volunteers volunteer rates by activity,CA (without QC),
33,Religion volunteer status,Religion volunteer,2018,fv_030,0.4178344913489621,4.520400737635926,0.3808150964806197,0.4548538862173045,1596,Collecte de fonds,Religion volunteers volunteer rates by activity,CA (without QC),
34,Religion volunteer status,Non-religion volunteer,2018,fv_040,0.3036725670766473,2.9812910269933317,0.2859283016700346,0.32141683248326,5731,Membre d'un comité ou d'un conseil d'administration,Religion volunteers volunteer rates by activity,CA (without QC),
35,Religion volunteer status,Religion volunteer,2018,fv_040,0.3729296670305457,4.949100508970517,0.3367552702195333,0.409104063841558,1596,Membre d'un comité ou d'un conseil d'administration,Religion volunteers volunteer rates by activity,CA (without QC),
36,Religion volunteer status,Non-religion volunteer,2018,fv_050,0.2816188523062732,3.200484333282829,0.2639533691142762,0.2992843354982703,5721,Enseignement ou mentorat,Religion volunteers volunteer rates by activity,CA (without QC),
37,Religion volunteer status,Religion volunteer,2018,fv_050,0.4216030739350677,4.9816168836548576,0.3804386365253763,0.4627675113447591,1592,Enseignement ou mentorat,Religion volunteers volunteer rates by activity,CA (without QC),
38,Religion volunteer status,Non-religion volunteer,2018,fv_060,0.4323974512042321,2.256924243310928,0.4132703921836622,0.451524510224802,5728,Organisation d'activités ou d'événements,Religion volunteers volunteer rates by activity,CA (without QC),
39,Religion volunteer status,Religion volunteer,2018,fv_060,0.4911290925556219,4.109798204494542,0.4515683668365,0.5306898182747439,1595,Organisation d'activités ou d'événements,Religion volunteers volunteer rates by activity,CA (without QC),
40,Religion volunteer status,Non-religion volunteer,2018,fv_070,0.1767078823874671,4.214331907866523,0.1621119195211446,0.1913038452537895,5721,Travail de bureau,Religion volunteers volunteer rates by activity,CA (without QC),
41,Religion volunteer status,Religion volunteer,2018,fv_070,0.2185337126176904,7.061812503000957,0.1882866839839724,0.2487807412514083,1588,Travail de bureau,Religion volunteers volunteer rates by activity,CA (without QC),
42,Religion volunteer status,Non-religion volunteer,2018,fv_080,0.1627601523413847,4.884445631732945,0.14717857360538,0.1783417310773895,5720,"Entraînement, arbitrage, présidence",Religion volunteers volunteer rates by activity,CA (without QC),
43,Religion volunteer status,Religion volunteer,2018,fv_080,0.0898358673006709,13.502969238942203,0.0660605055133437,0.1136112290879981,1586,"Entraînement, arbitrage, présidence",Religion volunteers volunteer rates by activity,CA (without QC),
44,Religion volunteer status,Non-religion volunteer,2018,fv_090,0.2037596899812052,3.7176389198793465,0.1889128657060755,0.2186065142563349,5716,Conseils,Religion volunteers volunteer rates by activity,CA (without QC),
45,Religion volunteer status,Religion volunteer,2018,fv_090,0.2546870284555495,6.581940282300263,0.2218314698806119,0.2875425870304871,1588,Conseils,Religion volunteers volunteer rates by activity,CA (without QC),
46,Religion volunteer status,Non-religion volunteer,2018,fv_100,0.1839449358035138,4.205443172920721,0.1687832429087209,0.1991066286983067,5725,Soins de santé ou soutien,Religion volunteers volunteer rates by activity,CA (without QC),
47,Religion volunteer status,Religion volunteer,2018,fv_100,0.2415570663937175,6.804990574654593,0.2093393046365396,0.2737748281508953,1590,Soins de santé ou soutien,Religion volunteers volunteer rates by activity,CA (without QC),
48,Religion volunteer status,Non-religion volunteer,2018,fv_110,0.2233470529018811,3.9995353199445978,0.2058389998593185,0.2408551059444438,5720,"Collecte, distribution ou livraison de biens",Religion volunteers volunteer rates by activity,CA (without QC),
49,Religion volunteer status,Religion volunteer,2018,fv_110,0.4081076812586963,4.433074185652812,0.3726485689557897,0.4435667935616029,1594,"Collecte, distribution ou livraison de biens",Religion volunteers volunteer rates by activity,CA (without QC),
50,Religion volunteer status,Non-religion volunteer,2018,fv_120,0.1301215748774443,5.24852903465041,0.1167360623138359,0.1435070874410527,5717,"Entretien, réparation ou construction",Religion volunteers volunteer rates by activity,CA (without QC),
51,Religion volunteer status,Religion volunteer,2018,fv_120,0.2278396390166758,7.269687532770281,0.1953763050777004,0.2603029729556513,1592,"Entretien, réparation ou construction",Religion volunteers volunteer rates by activity,CA (without QC),
52,Religion volunteer status,Non-religion volunteer,2018,fv_130,0.1359769228036041,4.90586749788105,0.1229023016427868,0.1490515439644213,5712,Chauffeur.euse bénévole,Religion volunteers volunteer rates by activity,CA (without QC),
53,Religion volunteer status,Religion volunteer,2018,fv_130,0.222622273840565,7.08709246665959,0.1916990471315703,0.2535455005495596,1591,Chauffeur.euse bénévole,Religion volunteers volunteer rates by activity,CA (without QC),
54,Religion volunteer status,Non-religion volunteer,2018,fv_140,0.0603964623341329,8.243267682192123,0.0506385032030939,0.070154421465172,5711,"Premier soins, incendies",Religion volunteers volunteer rates by activity,CA (without QC),
55,Religion volunteer status,Religion volunteer,2018,fv_140,0.0275522945470424,24.971463559009628,0.014067328403741,0.0410372606903437,1586,"Premier soins, incendies",Religion volunteers volunteer rates by activity,CA (without QC),*
56,Religion volunteer status,Non-religion volunteer,2018,fv_150,0.1453916294910791,4.58208200540595,0.1323344205879022,0.1584488383942559,5712,Protection de l'environnement,Religion volunteers volunteer rates by activity,CA (without QC),
57,Religion volunteer status,Religion volunteer,2018,fv_150,0.1053259949744451,10.639803000540136,0.0833617009685842,0.1272902889803061,1588,Protection de l'environnement,Religion volunteers volunteer rates by activity,CA (without QC),
58,Religion volunteer status,Non-religion volunteer,2018,fv_160,0.1575979219675874,5.142435811696658,0.1417136447738798,0.1734821991612949,5767,Autre,Religion volunteers volunteer rates by activity,CA (without QC),
59,Religion volunteer status,Religion volunteer,2018,fv_160,0.2654795339346084,7.400464279452207,0.2269726740871461,0.3039863937820706,1609,Autre,Religion volunteers volunteer rates by activity,CA (without QC),
60,Religion volunteer status,Non-religion volunteer,2018,fv_020,0.0576639521067161,21.02363099774329,0.0339031979652946,0.0814247062481375,591,Porte-à-porte,Religion volunteers volunteer rates by activity,AB,*
61,Religion volunteer status,Religion volunteer,2018,fv_020,0.1457581484030547,33.6120919588015,0.0497348816433226,0.2417814151627867,159,Porte-à-porte,Religion volunteers volunteer rates by activity,AB,...
62,Religion volunteer status,Non-religion volunteer,2018,fv_020,0.0709755254209534,11.438382636592538,0.0550636515458205,0.0868873992960863,1533,Porte-à-porte,Religion volunteers volunteer rates by activity,AT,
63,Religion volunteer status,Religion volunteer,2018,fv_020,0.0954632558199978,18.20998444309311,0.0613915476011004,0.1295349640388952,463,Porte-à-porte,Religion volunteers volunteer rates by activity,AT,*
64,Religion volunteer status,Non-religion volunteer,2018,fv_020,0.0675493503846253,21.18983900873223,0.039495212643487,0.0956034881257635,968,Porte-à-porte,Religion volunteers volunteer rates by activity,BC,*
65,Religion volunteer status,Religion volunteer,2018,fv_020,0.0814593441349722,33.874281006648246,0.0273765543458192,0.1355421339241251,206,Porte-à-porte,Religion volunteers volunteer rates by activity,BC,...
