Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Religion volunteer status,Non-religion volunteer,2018,nv_020,0.3979304497844902,2.4583110285121035,0.3787573605605724,0.417103539008408,5662,Gave enough time already,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_020,0.43653396695729874,4.8943498156701075,0.39465835760764745,0.47840957630695,1396,Gave enough time already,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_030,0.05755126385791227,8.688496010564382,0.04775077898935555,0.06735174872646899,5603,Dissatisfied with previous experience,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_030,0.054277841208408006,18.07562318784393,0.0350485207775732,0.07350716163924281,1384,Dissatisfied with previous experience,Religion volunteers barriers to volunteering more,CA,*
Religion volunteer status,Non-religion volunteer,2018,nv_040,0.2619733367031461,3.3207457058844043,0.2449226920934009,0.2790239813128913,5633,No one asked,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_040,0.2149174298243754,8.73965407818477,0.1781033480602605,0.2517315115884903,1385,No one asked,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_050,0.14680552760732504,5.4437457635751665,0.1311420448407423,0.1624690103739078,5601,Unsure how to get more involved,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_050,0.1241785494600836,17.357257482949564,0.08193350422294557,0.16642359469722162,1378,Unsure how to get more involved,Religion volunteers barriers to volunteering more,CA,*
Religion volunteer status,Non-religion volunteer,2018,nv_060,0.1619748699191238,4.28354586930169,0.1483761148185659,0.17557362501968168,5623,Health problems/physically unable,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_060,0.20566235325597332,6.982191486314658,0.17751778136218743,0.2338069251497592,1385,Health problems/physically unable,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_070,0.7447919365337744,1.1586951342380098,0.7278777062019619,0.7617061668655869,6276,Did not have the time,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_070,0.7225823072215333,2.3279007916690917,0.6896137545070271,0.7555508599360394,1635,Did not have the time,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_080,0.11218519754892542,6.411453295260618,0.0980877615690912,0.12628263352875962,5603,Financial cost of volunteering,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_080,0.0883551960327846,14.837603234280014,0.06266047307656339,0.11404991898900582,1382,Financial cost of volunteering,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_090,0.4378451157429636,2.2380705461892982,0.41863887482482404,0.45705135666110314,5636,Unable to make commitment,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_090,0.4052302636552294,5.711430489051916,0.3598679853476855,0.4505925419627733,1388,Unable to make commitment,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_100,0.1989382486645431,3.7545565856258616,0.1842987894045213,0.2135777079245649,6144,Preferred to give money instead,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_100,0.18446520547837134,7.3877899909861,0.1577550083986507,0.21117540255809197,1588,Preferred to give money instead,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_110,0.23339432355334658,3.66340183677531,0.21663629449719557,0.2501523526094976,5614,No interest,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_110,0.18798606885629277,7.806965196822453,0.15922162375728247,0.21675051395530306,1385,No interest,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_120,0.19548283276510536,4.509536765273676,0.17820502463657006,0.21276064089364066,5585,No opportunity to use skills or experiences,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_120,0.16231341888586165,9.161575954516344,0.13316783882759892,0.19145899894412438,1378,No opportunity to use skills or experiences,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_130,0.1743476576089069,4.323373477072415,0.15957403632421066,0.1891212788936031,5589,Not asked to contribute in a way that was meaningful,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Religion volunteer,2018,nv_130,0.12113288846929031,9.541589897680147,0.09847961797615082,0.1437861589624298,1379,Not asked to contribute in a way that was meaningful,Religion volunteers barriers to volunteering more,CA,
Religion volunteer status,Non-religion volunteer,2018,nv_020,0.347255383112373,8.09597821150992,0.29215350413699204,0.4023572620877539,491,Gave enough time already,Religion volunteers barriers to volunteering more,AB,
Religion volunteer status,Religion volunteer,2018,nv_020,0.35022381175185296,15.036885429374374,0.2470067119188885,0.4534409115848174,120,Gave enough time already,Religion volunteers barriers to volunteering more,AB,
Religion volunteer status,Non-religion volunteer,2018,nv_020,0.3535362706551571,5.396207305675059,0.31614495961390005,0.3909275816964141,1313,Gave enough time already,Religion volunteers barriers to volunteering more,AT,
Religion volunteer status,Religion volunteer,2018,nv_020,0.4656717378304718,7.31454338897424,0.3989119124054236,0.5324315632555199,383,Gave enough time already,Religion volunteers barriers to volunteering more,AT,
Religion volunteer status,Non-religion volunteer,2018,nv_020,0.40624421476364203,5.640429466431829,0.3613337599643542,0.4511546695629299,831,Gave enough time already,Religion volunteers barriers to volunteering more,BC,
Religion volunteer status,Religion volunteer,2018,nv_020,0.49779690696413664,10.441926705580471,0.3959187862239425,0.5996750277043308,164,Gave enough time already,Religion volunteers barriers to volunteering more,BC,
Religion volunteer status,Non-religion volunteer,2018,nv_020,0.37966710275005966,4.782612054532231,0.3440780676574413,0.415256137842678,1570,Gave enough time already,Religion volunteers barriers to volunteering more,ON,
Religion volunteer status,Religion volunteer,2018,nv_020,0.4720645316376471,7.876550830399269,0.39918836131700336,0.5449407019582908,418,Gave enough time already,Religion volunteers barriers to volunteering more,ON,
Religion volunteer status,Non-religion volunteer,2018,nv_020,0.333076181739433,6.808786362982763,0.2886272450584719,0.37752511842039405,696,Gave enough time already,Religion volunteers barriers to volunteering more,PR,
