,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Religion volunteer status,Non-religion volunteer,2018,nv_020,0.3979304497844902,2.4583110285121035,0.3787573605605724,0.417103539008408,5662,Assez de temps déjà donné,Religion volunteers barriers to volunteering more,CA,
1,Religion volunteer status,Religion volunteer,2018,nv_020,0.4365339669572987,4.894349815670108,0.3946583576076474,0.47840957630695,1396,Assez de temps déjà donné,Religion volunteers barriers to volunteering more,CA,
2,Religion volunteer status,Non-religion volunteer,2018,nv_030,0.0575512638579122,8.688496010564382,0.0477507789893555,0.0673517487264689,5603,Expérience bénévole passée insatisfaisante,Religion volunteers barriers to volunteering more,CA,
3,Religion volunteer status,Religion volunteer,2018,nv_030,0.054277841208408,18.07562318784393,0.0350485207775732,0.0735071616392428,1384,Expérience bénévole passée insatisfaisante,Religion volunteers barriers to volunteering more,CA,*
4,Religion volunteer status,Non-religion volunteer,2018,nv_040,0.2619733367031461,3.3207457058844043,0.2449226920934009,0.2790239813128913,5633,Aucune sollicitation,Religion volunteers barriers to volunteering more,CA,
5,Religion volunteer status,Religion volunteer,2018,nv_040,0.2149174298243754,8.73965407818477,0.1781033480602605,0.2517315115884903,1385,Aucune sollicitation,Religion volunteers barriers to volunteering more,CA,
6,Religion volunteer status,Non-religion volunteer,2018,nv_050,0.146805527607325,5.443745763575167,0.1311420448407423,0.1624690103739078,5601,Ne savaient pas comment s'engager plus,Religion volunteers barriers to volunteering more,CA,
7,Religion volunteer status,Religion volunteer,2018,nv_050,0.1241785494600836,17.357257482949564,0.0819335042229455,0.1664235946972216,1378,Ne savaient pas comment s'engager plus,Religion volunteers barriers to volunteering more,CA,*
8,Religion volunteer status,Non-religion volunteer,2018,nv_060,0.1619748699191238,4.28354586930169,0.1483761148185659,0.1755736250196816,5623,Problèmes de santé/handicap physique,Religion volunteers barriers to volunteering more,CA,
9,Religion volunteer status,Religion volunteer,2018,nv_060,0.2056623532559733,6.982191486314658,0.1775177813621874,0.2338069251497592,1385,Problèmes de santé/handicap physique,Religion volunteers barriers to volunteering more,CA,
10,Religion volunteer status,Non-religion volunteer,2018,nv_070,0.7447919365337744,1.1586951342380098,0.7278777062019619,0.7617061668655869,6276,Manque de temps,Religion volunteers barriers to volunteering more,CA,
11,Religion volunteer status,Religion volunteer,2018,nv_070,0.7225823072215333,2.327900791669092,0.6896137545070271,0.7555508599360394,1635,Manque de temps,Religion volunteers barriers to volunteering more,CA,
12,Religion volunteer status,Non-religion volunteer,2018,nv_080,0.1121851975489254,6.411453295260618,0.0980877615690912,0.1262826335287596,5603,Coût financier du bénévolat,Religion volunteers barriers to volunteering more,CA,
13,Religion volunteer status,Religion volunteer,2018,nv_080,0.0883551960327846,14.837603234280014,0.0626604730765633,0.1140499189890058,1382,Coût financier du bénévolat,Religion volunteers barriers to volunteering more,CA,
14,Religion volunteer status,Non-religion volunteer,2018,nv_090,0.4378451157429636,2.2380705461892982,0.418638874824824,0.4570513566611031,5636,Incapable de s'engager à long terme,Religion volunteers barriers to volunteering more,CA,
15,Religion volunteer status,Religion volunteer,2018,nv_090,0.4052302636552294,5.711430489051916,0.3598679853476855,0.4505925419627733,1388,Incapable de s'engager à long terme,Religion volunteers barriers to volunteering more,CA,
16,Religion volunteer status,Non-religion volunteer,2018,nv_100,0.1989382486645431,3.7545565856258616,0.1842987894045213,0.2135777079245649,6144,Préférence pour les dons d'argent,Religion volunteers barriers to volunteering more,CA,
17,Religion volunteer status,Religion volunteer,2018,nv_100,0.1844652054783713,7.3877899909861,0.1577550083986507,0.2111754025580919,1588,Préférence pour les dons d'argent,Religion volunteers barriers to volunteering more,CA,
18,Religion volunteer status,Non-religion volunteer,2018,nv_110,0.2333943235533465,3.66340183677531,0.2166362944971955,0.2501523526094976,5614,Aucun intérêt pour en faire plus,Religion volunteers barriers to volunteering more,CA,
19,Religion volunteer status,Religion volunteer,2018,nv_110,0.1879860688562927,7.806965196822453,0.1592216237572824,0.216750513955303,1385,Aucun intérêt pour en faire plus,Religion volunteers barriers to volunteering more,CA,
20,Religion volunteer status,Non-religion volunteer,2018,nv_120,0.1954828327651053,4.509536765273676,0.17820502463657,0.2127606408936406,5585,Utilisation des compétences impossible,Religion volunteers barriers to volunteering more,CA,
21,Religion volunteer status,Religion volunteer,2018,nv_120,0.1623134188858616,9.161575954516344,0.1331678388275989,0.1914589989441243,1378,Utilisation des compétences impossible,Religion volunteers barriers to volunteering more,CA,
