Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Religion volunteer status,Non-religion volunteer,2018,rv_020,0.5699434641208443,1.915444821647798,0.5485466302630596,0.591340297978629,5556,Personally affected by cause,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_020,0.6531319700383235,2.8159445866440267,0.6170846370949831,0.6891793029816639,1574,Personally affected by cause,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_025,0.219005104194145,4.084286965436524,0.20147362437360578,0.23653658401468425,5446,Friends volunteer,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_025,0.36884535621351267,5.475357705965817,0.3292627024037445,0.40842801002328083,1548,Friends volunteer,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_030,0.37786564529625893,2.6717566812409217,0.35807853367209846,0.3976527569204194,5462,Family member volunteers,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_030,0.4440001379745244,4.632634859869259,0.40368582464054087,0.484314451308508,1549,Family member volunteers,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_040,0.47558522650629403,2.2430633616475597,0.454676961888047,0.49649349112454105,5462,Networking or meeting people,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_040,0.49374751309981396,4.420610765910111,0.4509680539846714,0.5365269722149566,1547,Networking or meeting people,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_050,0.26172468972251994,3.961962521357681,0.24140097231520502,0.28204840712983487,5412,Improve job opportunities,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_050,0.1312116803368204,12.707702257156871,0.09853126111714874,0.16389209955649206,1524,Improve job opportunities,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_060,0.05455026913680333,9.397268543710434,0.04450303260760449,0.06459750566600217,5394,Religious reasons,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_060,0.7042161278594753,2.560956362655224,0.6688688286291362,0.7395634270898144,1592,Religious reasons,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_065,0.13029669532163843,5.712575269068157,0.11570810168041623,0.14488528896286063,5405,Spiritual or other beliefs,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_065,0.6876367886422042,2.814125165225311,0.6497096041434521,0.7255639731409563,1570,Spiritual or other beliefs,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_070,0.4170023084445868,2.462467445117447,0.3968763279329583,0.4371282889562153,5416,Explore own strengths,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_070,0.4812302063953431,4.3477693790145375,0.4402223120086708,0.5222381007820154,1541,Explore own strengths,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_080,0.8881962494638258,0.7225763095749216,0.8756174050722199,0.9007750938554318,5596,Contribute to community,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_080,0.928629335551791,1.0009618917756882,0.9104110278247647,0.9468476432788172,1603,Contribute to community,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_090,0.7399047788241445,1.1317093422197637,0.7234928802514263,0.7563166773968627,5532,Use skills and experiences,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_090,0.7658920698643454,2.3915868502156425,0.7299914604603386,0.8017926792683523,1581,Use skills and experiences,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_100,0.3201566905536085,3.1026679666556913,0.30068758611095814,0.3396257949962589,5414,"Support political, environmental or social cause",Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_100,0.2806321322237912,6.624860008890017,0.24419348944111993,0.3170707750064624,1536,"Support political, environmental or social cause",Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_110,0.4959779882731462,2.0593067290703146,0.47595948827359646,0.515996488272696,5470,Improve well-being or health,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Religion volunteer,2018,rv_110,0.5588941336260016,3.598425426469837,0.5194765362684778,0.5983117309835254,1560,Improve well-being or health,Religion volunteers motivations for volunteering,CA,
Religion volunteer status,Non-religion volunteer,2018,rv_020,0.5616307725349977,2.0532193064440767,0.5390294254005522,0.5842321196694432,4822,Personally affected by cause,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_020,0.654819087237211,2.953543991998151,0.6169126589628038,0.6927255155116183,1478,Personally affected by cause,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_025,0.2248538384561944,4.313388865248294,0.20584449971880953,0.24386317719357925,4731,Friends volunteer,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_025,0.381871514889213,5.398946714732738,0.34146285979045904,0.42228016998796697,1449,Friends volunteer,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_030,0.37862082390235413,2.818123837399122,0.3577080009516163,0.39953364685309195,4747,Family member volunteers,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_030,0.4381206619860941,4.769223358035178,0.39716730674970957,0.47907401722247867,1452,Family member volunteers,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_040,0.48632173371366305,2.3940064577278894,0.4635027085538491,0.509140758873477,4743,Networking or meeting people,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_040,0.4798838367716988,4.632490051562086,0.4363127182608315,0.5234549552825661,1449,Networking or meeting people,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_050,0.2796257362133683,4.06571769987206,0.25734331128645505,0.3019081611402815,4705,Improve job opportunities,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_050,0.13103859320410066,12.879918967097467,0.09795897840514198,0.16411820800305935,1429,Improve job opportunities,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_060,0.059593576927586704,9.906045440913356,0.048023190591845316,0.07116396326332809,4686,Religious reasons,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_060,0.7135258566712755,2.401917703629881,0.6799353983272984,0.7471163150152527,1491,Religious reasons,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_065,0.13948611126329477,5.941798857144123,0.12324196079561872,0.15573026173097082,4694,Spiritual or other beliefs,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_065,0.7048601658271207,2.6661801519781125,0.6680268726526173,0.7416934590016242,1471,Spiritual or other beliefs,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_070,0.45004712943748987,2.499969173873434,0.427995497221327,0.4720987616536527,4708,Explore own strengths,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_070,0.4767644662303167,4.478596102534601,0.4349146198315886,0.5186143126290448,1444,Explore own strengths,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_080,0.8935966024426366,0.7976194255577672,0.8796269589719055,0.9075662459133678,4862,Contribute to community,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_080,0.9276210394813993,1.0612115900812165,0.9083271109316822,0.9469149680311164,1501,Contribute to community,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_090,0.7462060319220959,1.2758682262415828,0.7275459877104472,0.7648660761337446,4807,Use skills and experiences,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_090,0.7648815653744974,2.424104561399056,0.7285408364817237,0.801222294267271,1481,Use skills and experiences,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_100,0.31067728883392737,3.347914258038023,0.2902912933095227,0.33106328435833204,4699,"Support political, environmental or social cause",Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_100,0.2653391279507401,6.380335035378601,0.2321578680026921,0.2985203878987881,1438,"Support political, environmental or social cause",Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_110,0.504807303386157,2.2122341976379505,0.4829193667860612,0.5266952399862528,4754,Improve well-being or health,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Religion volunteer,2018,rv_110,0.5559593579946549,3.6993789992524966,0.5156486930074895,0.5962700229818203,1461,Improve well-being or health,Religion volunteers motivations for volunteering,CA (without QC),
Religion volunteer status,Non-religion volunteer,2018,rv_020,0.5158327303709864,5.863758896797439,0.4565493320027058,0.5751161287392671,509,Personally affected by cause,Religion volunteers motivations for volunteering,AB,
Religion volunteer status,Religion volunteer,2018,rv_020,0.6796250800939836,7.623749189562224,0.5780736395497994,0.7811765206381678,144,Personally affected by cause,Religion volunteers motivations for volunteering,AB,
Religion volunteer status,Non-religion volunteer,2018,rv_020,0.6313223289250154,3.0073795570949953,0.5941099457512985,0.6685347120987323,1313,Personally affected by cause,Religion volunteers motivations for volunteering,AT,
Religion volunteer status,Religion volunteer,2018,rv_020,0.6166621134412879,4.99483496150169,0.5562927632831064,0.6770314635994693,433,Personally affected by cause,Religion volunteers motivations for volunteering,AT,
Religion volunteer status,Non-religion volunteer,2018,rv_020,0.544175608030904,4.401771050181198,0.4972278765444937,0.5911233395173143,812,Personally affected by cause,Religion volunteers motivations for volunteering,BC,
Religion volunteer status,Religion volunteer,2018,rv_020,0.6509340517044077,7.370685775375266,0.5568983046952184,0.7449697987135969,191,Personally affected by cause,Religion volunteers motivations for volunteering,BC,
Religion volunteer status,Non-religion volunteer,2018,rv_020,0.5651344344530446,3.3931876789183626,0.5275500239696936,0.6027188449363955,1513,Personally affected by cause,Religion volunteers motivations for volunteering,ON,
Religion volunteer status,Religion volunteer,2018,rv_020,0.6446297658898533,4.606704535657659,0.5864263056313901,0.7028332261483166,468,Personally affected by cause,Religion volunteers motivations for volunteering,ON,
Religion volunteer status,Non-religion volunteer,2018,rv_020,0.5842540180145424,4.628776650247525,0.531249117424506,0.6372589186045787,675,Personally affected by cause,Religion volunteers motivations for volunteering,PR,
Religion volunteer status,Religion volunteer,2018,rv_020,0.6907552282685373,6.104396310833585,0.6081105310363715,0.7733999255007031,242,Personally affected by cause,Religion volunteers motivations for volunteering,PR,
Religion volunteer status,Non-religion volunteer,2018,rv_020,0.6025607828619607,4.584923840999061,0.5484129499990802,0.6567086157248412,734,Personally affected by cause,Religion volunteers motivations for volunteering,QC,
Religion volunteer status,Religion volunteer,2018,rv_020,0.638420494578855,11.872342415980523,0.4898641087338788,0.7869768804238311,96,Personally affected by cause,Religion volunteers motivations for volunteering,QC,
Religion volunteer status,Non-religion volunteer,2018,rv_025,0.24315119049312972,9.969850594355362,0.1956381151683812,0.29066426581787824,496,Friends volunteer,Religion volunteers motivations for volunteering,AB,
Religion volunteer status,Religion volunteer,2018,rv_025,0.46873090752985874,12.306750976380707,0.35566931584481665,0.5817924992149008,140,Friends volunteer,Religion volunteers motivations for volunteering,AB,
Religion volunteer status,Non-religion volunteer,2018,rv_025,0.2612212958270414,6.626845466908603,0.2272928853428182,0.29514970631126464,1291,Friends volunteer,Religion volunteers motivations for volunteering,AT,
Religion volunteer status,Religion volunteer,2018,rv_025,0.33242107379062735,10.50585815879366,0.2639719060385908,0.40087024154266393,427,Friends volunteer,Religion volunteers motivations for volunteering,AT,
Religion volunteer status,Non-religion volunteer,2018,rv_025,0.16697608821370136,10.882842819495876,0.1313601220336415,0.2025920543937612,791,Friends volunteer,Religion volunteers motivations for volunteering,BC,
Religion volunteer status,Religion volunteer,2018,rv_025,0.37926266600850633,13.106234548151665,0.281838629292069,0.4766867027249437,185,Friends volunteer,Religion volunteers motivations for volunteering,BC,
Religion volunteer status,Non-religion volunteer,2018,rv_025,0.22213714662304287,7.3862513077338185,0.18997882607167002,0.25429546717441576,1481,Friends volunteer,Religion volunteers motivations for volunteering,ON,
Religion volunteer status,Religion volunteer,2018,rv_025,0.3498742235597735,9.006336540037825,0.2881140923578815,0.4116343547616655,459,Friends volunteer,Religion volunteers motivations for volunteering,ON,
Religion volunteer status,Non-religion volunteer,2018,rv_025,0.28097285790547427,8.384711622133803,0.23479852919638097,0.3271471866145676,672,Friends volunteer,Religion volunteers motivations for volunteering,PR,
Religion volunteer status,Religion volunteer,2018,rv_025,0.4250138484547501,11.351599871385224,0.33045367796186653,0.5195740189476337,238,Friends volunteer,Religion volunteers motivations for volunteering,PR,
Religion volunteer status,Non-religion volunteer,2018,rv_025,0.195977045176058,10.542646439839896,0.15548190202422174,0.23647218832789424,715,Friends volunteer,Religion volunteers motivations for volunteering,QC,
Religion volunteer status,Religion volunteer,2018,rv_025,0.25908845588680546,26.85477133812537,0.12271884146843012,0.39545807030518076,99,Friends volunteer,Religion volunteers motivations for volunteering,QC,*
Religion volunteer status,Non-religion volunteer,2018,rv_030,0.32108238252506394,8.692409233014473,0.26638019016734044,0.37578457488278744,498,Family member volunteers,Religion volunteers motivations for volunteering,AB,
Religion volunteer status,Religion volunteer,2018,rv_030,0.44846604349134345,13.334482680847987,0.331258968516705,0.5656731184659819,140,Family member volunteers,Religion volunteers motivations for volunteering,AB,
