,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Religion volunteer status,Non-religion volunteer,2018,rv_020,0.569943464,1.915444822,0.54854663,0.591340298,5556,Touché.e personnellement par la cause,Religion volunteers motivations for volunteering,CA,
1,Religion volunteer status,Religion volunteer,2018,rv_020,0.65313197,2.815944587,0.617084637,0.689179303,1574,Touché.e personnellement par la cause,Religion volunteers motivations for volunteering,CA,
2,Religion volunteer status,Non-religion volunteer,2018,rv_025,0.219005104,4.084286965,0.201473624,0.236536584,5446,Bénévoles parmi les amis,Religion volunteers motivations for volunteering,CA,
3,Religion volunteer status,Religion volunteer,2018,rv_025,0.368845356,5.475357706,0.329262702,0.40842801,1548,Bénévoles parmi les amis,Religion volunteers motivations for volunteering,CA,
4,Religion volunteer status,Non-religion volunteer,2018,rv_030,0.377865645,2.671756681,0.358078534,0.397652757,5462,Bénévoles dans la famille,Religion volunteers motivations for volunteering,CA,
5,Religion volunteer status,Religion volunteer,2018,rv_030,0.444000138,4.63263486,0.403685825,0.484314451,1549,Bénévoles dans la famille,Religion volunteers motivations for volunteering,CA,
6,Religion volunteer status,Non-religion volunteer,2018,rv_040,0.475585227,2.243063362,0.454676962,0.496493491,5462,Réseauter ou rencontrer des gens,Religion volunteers motivations for volunteering,CA,
7,Religion volunteer status,Religion volunteer,2018,rv_040,0.493747513,4.420610766,0.450968054,0.536526972,1547,Réseauter ou rencontrer des gens,Religion volunteers motivations for volunteering,CA,
8,Religion volunteer status,Non-religion volunteer,2018,rv_050,0.26172469,3.961962521,0.241400972,0.282048407,5412,Améliorer ses possibilités d'emploi,Religion volunteers motivations for volunteering,CA,
9,Religion volunteer status,Religion volunteer,2018,rv_050,0.13121168,12.70770226,0.098531261,0.1638921,1524,Améliorer ses possibilités d'emploi,Religion volunteers motivations for volunteering,CA,
10,Religion volunteer status,Non-religion volunteer,2018,rv_060,0.054550269,9.397268544,0.044503033,0.064597506,5394,Raisons religieuses,Religion volunteers motivations for volunteering,CA,
11,Religion volunteer status,Religion volunteer,2018,rv_060,0.704216128,2.560956363,0.668868829,0.739563427,1592,Raisons religieuses,Religion volunteers motivations for volunteering,CA,
