,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Volunteer status,Non-religion volunteer,2018,flag_vd1dex01,0.0259746275738042,6.532394038729285,0.0226490292380788,0.0293002259095295,14436,Arts et culture,Religion volunteers volunteer rates for other ccauses,CA,
1,Volunteer status,Religion volunteer,2018,flag_vd1dex01,0.0351337458756755,15.986141265142496,0.0241255488726492,0.0461419428787018,1713,Arts et culture,Religion volunteers volunteer rates for other ccauses,CA,
2,Volunteer status,Non-religion volunteer,2018,flag_vd1dex02,0.0881499518253347,3.643655578284482,0.0818547814542929,0.0944451221963765,14436,Sport et loisir,Religion volunteers volunteer rates for other ccauses,CA,
3,Volunteer status,Religion volunteer,2018,flag_vd1dex02,0.1052558505406962,11.332894753067164,0.0818763520164456,0.1286353490649469,1713,Sport et loisir,Religion volunteers volunteer rates for other ccauses,CA,
4,Volunteer status,Non-religion volunteer,2018,flag_vd1dex03,0.0627030712121897,4.771921485038404,0.0568385819747071,0.0685675604496722,14436,Éducation et recherche,Religion volunteers volunteer rates for other ccauses,CA,
5,Volunteer status,Religion volunteer,2018,flag_vd1dex03,0.1181906881002318,11.37208837712743,0.0918473031465922,0.1445340730538715,1713,Éducation et recherche,Religion volunteers volunteer rates for other ccauses,CA,
6,Volunteer status,Non-religion volunteer,2018,flag_vd1dex04,0.0198363241296118,10.370431239832516,0.0158044580028908,0.0238681902563327,14436,Universités et collèges,Religion volunteers volunteer rates for other ccauses,CA,
7,Volunteer status,Religion volunteer,2018,flag_vd1dex04,0.0217719334305947,27.817821463409377,0.0099014555185439,0.0336424113426455,1713,Universités et collèges,Religion volunteers volunteer rates for other ccauses,CA,*
8,Volunteer status,Non-religion volunteer,2018,flag_vd1dex05,0.0413893162884189,5.228480234450167,0.0371478910732591,0.0456307415035786,14436,Santé,Religion volunteers volunteer rates for other ccauses,CA,
9,Volunteer status,Religion volunteer,2018,flag_vd1dex05,0.0548125742429944,14.23340423094979,0.0395215325123037,0.0701036159736852,1713,Santé,Religion volunteers volunteer rates for other ccauses,CA,
10,Volunteer status,Non-religion volunteer,2018,flag_vd1dex06,0.0194019019554984,7.830159239249482,0.0164243250258038,0.022379478885193,14436,Hôpitaux,Religion volunteers volunteer rates for other ccauses,CA,
11,Volunteer status,Religion volunteer,2018,flag_vd1dex06,0.023945758899155,17.89344883923759,0.0155478578645294,0.0323436599337807,1713,Hôpitaux,Religion volunteers volunteer rates for other ccauses,CA,*
12,Volunteer status,Non-religion volunteer,2018,flag_vd1dex07,0.1053841081334663,3.3776805533003023,0.0984075408195652,0.1123606754473675,14436,Services sociaux,Religion volunteers volunteer rates for other ccauses,CA,
13,Volunteer status,Religion volunteer,2018,flag_vd1dex07,0.1708889586084048,8.000814204334088,0.1440913352050712,0.1976865820117384,1713,Services sociaux,Religion volunteers volunteer rates for other ccauses,CA,
14,Volunteer status,Non-religion volunteer,2018,flag_vd1dex08,0.025703009314502,6.323179843364471,0.0225175827404775,0.0288884358885265,14436,Environnement,Religion volunteers volunteer rates for other ccauses,CA,
15,Volunteer status,Religion volunteer,2018,flag_vd1dex08,0.0206019640725859,20.33301560088206,0.0123916738261928,0.0288122543189791,1713,Environnement,Religion volunteers volunteer rates for other ccauses,CA,*
16,Volunteer status,Non-religion volunteer,2018,flag_vd1dex09,0.0412911549304619,5.092792078713009,0.0371696002380731,0.0454127096228506,14436,Aménagement et logement,Religion volunteers volunteer rates for other ccauses,CA,
17,Volunteer status,Religion volunteer,2018,flag_vd1dex09,0.0701334321220701,17.718983521377478,0.0457770943735712,0.094489769870569,1713,Aménagement et logement,Religion volunteers volunteer rates for other ccauses,CA,*
18,Volunteer status,Non-religion volunteer,2018,flag_vd1dex10,0.0154540515723902,9.099270206540828,0.0126979386331001,0.0182101645116803,14436,"Droit, plaidoyer et politique",Religion volunteers volunteer rates for other ccauses,CA,
19,Volunteer status,Religion volunteer,2018,flag_vd1dex10,0.0300673627712503,37.24220569166536,0.0081201778482507,0.05201454769425,1713,"Droit, plaidoyer et politique",Religion volunteers volunteer rates for other ccauses,CA,...
20,Volunteer status,Non-religion volunteer,2018,flag_vd1dex11,0.0149492110094407,7.80781579654944,0.0126615276039695,0.0172368944149119,14436,"Subventions, collecte de fonds",Religion volunteers volunteer rates for other ccauses,CA,
21,Volunteer status,Religion volunteer,2018,flag_vd1dex11,0.0146729536362677,26.16871732138727,0.0071472333565297,0.0221986739160058,1713,"Subventions, collecte de fonds",Religion volunteers volunteer rates for other ccauses,CA,*
22,Volunteer status,Non-religion volunteer,2018,flag_vd1dex12,0.0069143763292154,15.193084243515855,0.0048554204033106,0.0089733322551203,14436,International,Religion volunteers volunteer rates for other ccauses,CA,
23,Volunteer status,Religion volunteer,2018,flag_vd1dex12,0.0126142517010446,35.068879367813054,0.0039440046659004,0.0212844987361888,1713,International,Religion volunteers volunteer rates for other ccauses,CA,...
24,Volunteer status,Non-religion volunteer,2018,flag_vd1dex14,0.0123167688753263,11.414150232061225,0.0095613446816185,0.0150721930690342,14436,Entreprises et professionnels,Religion volunteers volunteer rates for other ccauses,CA,
25,Volunteer status,Religion volunteer,2018,flag_vd1dex14,0.0160145471603225,29.961262612501244,0.006610325327703,0.025418768992942,1713,Entreprises et professionnels,Religion volunteers volunteer rates for other ccauses,CA,*
26,Volunteer status,Non-religion volunteer,2018,flag_vd1dex15,0.0032162060004627,17.68765858117379,0.0021012382768398,0.0043311737240857,14436,Autre,Religion volunteers volunteer rates for other ccauses,CA,*
27,Volunteer status,Religion volunteer,2018,flag_vd1dex15,0.0041681424180312,51.01449208515958,5.598992135593187e-07,0.0083357249368488,1713,Autre,Religion volunteers volunteer rates for other ccauses,CA,...
28,Volunteer status,Non-religion volunteer,2018,flag_vd1dex01,0.0281106552029578,7.327539124178259,0.024073483642499,0.0321478267634166,12527,Arts et culture,Religion volunteers volunteer rates for other ccauses,CA (without QC),
29,Volunteer status,Religion volunteer,2018,flag_vd1dex01,0.0346348188029165,17.362464029768525,0.0228486577857642,0.0464209798200688,1609,Arts et culture,Religion volunteers volunteer rates for other ccauses,CA (without QC),*
30,Volunteer status,Non-religion volunteer,2018,flag_vd1dex02,0.0944363309690511,3.846624032295683,0.087316545018736,0.1015561169193661,12527,Sport et loisir,Religion volunteers volunteer rates for other ccauses,CA (without QC),
31,Volunteer status,Religion volunteer,2018,flag_vd1dex02,0.1084382952958371,11.723991826561214,0.0835206912914729,0.1333558993002012,1609,Sport et loisir,Religion volunteers volunteer rates for other ccauses,CA (without QC),
32,Volunteer status,Non-religion volunteer,2018,flag_vd1dex03,0.0687491710651137,4.884208897295173,0.0621678998649799,0.0753304422652476,12527,Éducation et recherche,Religion volunteers volunteer rates for other ccauses,CA (without QC),
33,Volunteer status,Religion volunteer,2018,flag_vd1dex03,0.1271120938616991,11.210035868083732,0.0991839568806453,0.1550402308427529,1609,Éducation et recherche,Religion volunteers volunteer rates for other ccauses,CA (without QC),
34,Volunteer status,Non-religion volunteer,2018,flag_vd1dex04,0.0203379302135178,11.0700787449958,0.0159252185157328,0.0247506419113027,12527,Universités et collèges,Religion volunteers volunteer rates for other ccauses,CA (without QC),
35,Volunteer status,Religion volunteer,2018,flag_vd1dex04,0.0239652705154363,27.91266494035632,0.0108543939396905,0.0370761470911822,1609,Universités et collèges,Religion volunteers volunteer rates for other ccauses,CA (without QC),*
36,Volunteer status,Non-religion volunteer,2018,flag_vd1dex05,0.0423457173136552,5.77468571048182,0.0375529544934582,0.0471384801338522,12527,Santé,Religion volunteers volunteer rates for other ccauses,CA (without QC),
37,Volunteer status,Religion volunteer,2018,flag_vd1dex05,0.0573634082553639,14.302140054687332,0.0412834815551244,0.0734433349556034,1609,Santé,Religion volunteers volunteer rates for other ccauses,CA (without QC),
38,Volunteer status,Non-religion volunteer,2018,flag_vd1dex06,0.0228159850140198,8.161451871299048,0.0191663054326421,0.0264656645953975,12527,Hôpitaux,Religion volunteers volunteer rates for other ccauses,CA (without QC),
39,Volunteer status,Religion volunteer,2018,flag_vd1dex06,0.0255961560126436,18.27515406138238,0.0164279600710905,0.0347643519541968,1609,Hôpitaux,Religion volunteers volunteer rates for other ccauses,CA (without QC),*
40,Volunteer status,Non-religion volunteer,2018,flag_vd1dex07,0.1083174568951336,3.7058919304857656,0.100449910792803,0.1161850029974641,12527,Services sociaux,Religion volunteers volunteer rates for other ccauses,CA (without QC),
41,Volunteer status,Religion volunteer,2018,flag_vd1dex07,0.1787754053058035,8.25010922077806,0.1498675707564777,0.2076832398551293,1609,Services sociaux,Religion volunteers volunteer rates for other ccauses,CA (without QC),
42,Volunteer status,Non-religion volunteer,2018,flag_vd1dex08,0.0288900769124395,6.729508304195346,0.025079593087435,0.032700560737444,12527,Environnement,Religion volunteers volunteer rates for other ccauses,CA (without QC),
43,Volunteer status,Religion volunteer,2018,flag_vd1dex08,0.0229034715018283,20.27696496165756,0.0138011461350656,0.032005796868591,1609,Environnement,Religion volunteers volunteer rates for other ccauses,CA (without QC),*
44,Volunteer status,Non-religion volunteer,2018,flag_vd1dex09,0.0436061171825668,5.682260334965196,0.0387496927455897,0.0484625416195439,12527,Aménagement et logement,Religion volunteers volunteer rates for other ccauses,CA (without QC),
45,Volunteer status,Religion volunteer,2018,flag_vd1dex09,0.0609564355771665,12.515330364335975,0.0460040677255036,0.0759088034288295,1609,Aménagement et logement,Religion volunteers volunteer rates for other ccauses,CA (without QC),
46,Volunteer status,Non-religion volunteer,2018,flag_vd1dex10,0.0165634841663081,10.337029826337512,0.0132076881258191,0.0199192802067971,12527,"Droit, plaidoyer et politique",Religion volunteers volunteer rates for other ccauses,CA (without QC),
