Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,gs1dax01,159.24824318431962,15.448302748250567,111.03087377844568,207.46561259019356,427,Arts & culture,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax01,268.83997730652965,27.045080406090882,126.33493938667604,411.3450152263832,177,Arts & culture,Older Canadians Average Donation by Cause,CA,*
Senior,75 plus,2018,gs1dax01,206.13053165909386,26.511416735391403,99.02217627306479,313.23888704512296,93,Arts & culture,Older Canadians Average Donation by Cause,CA,*
Senior,15 to 64,2018,gs1dax02,76.91941018936426,10.532777852062148,61.040270800928596,92.79854957779992,1781,Sports & Recreation,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax02,55.92921838883975,12.645062274024562,42.06779549091649,69.790641286763,502,Sports & Recreation,Older Canadians Average Donation by Cause,CA,
Senior,75 plus,2018,gs1dax02,101.80387634131303,46.03094934599499,9.95743420043192,193.65031848219414,251,Sports & Recreation,Older Canadians Average Donation by Cause,CA,...
Senior,15 to 64,2018,gs1dax03,89.81861609985334,12.936894888319744,67.04434427836861,112.59288792133808,1672,Education & research,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax03,72.23324871482119,19.770294081200742,44.243540678887875,100.22295675075449,442,Education & research,Older Canadians Average Donation by Cause,CA,*
Senior,75 plus,2018,gs1dax03,70.34041870397292,26.422801212892367,33.91270643135913,106.76813097658669,189,Education & research,Older Canadians Average Donation by Cause,CA,*
Senior,15 to 64,2018,gs1dax04,325.98360165960094,25.882706929181314,160.61481510639913,491.35238821280274,243,Universities & colleges,Older Canadians Average Donation by Cause,CA,*
Senior,65 to 74,2018,gs1dax04,293.52959746294056,23.267644673263394,159.66910667893677,427.39008824694434,90,Universities & colleges,Older Canadians Average Donation by Cause,CA,*
Senior,75 plus,2018,gs1dax04,665.6472454469936,35.360610071767105,204.31694589997613,1126.977544994011,46,Universities & colleges,Older Canadians Average Donation by Cause,CA,...
Senior,15 to 64,2018,gs1dax05,125.82638009004091,4.882659231031315,113.78500156668652,137.8677586133953,4380,Health,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax05,130.68934117883114,8.49279882442578,108.93534257168612,152.44333978597615,1502,Health,Older Canadians Average Donation by Cause,CA,
Senior,75 plus,2018,gs1dax05,174.15828181229722,16.44280686175262,118.03175374157294,230.2848098830215,870,Health,Older Canadians Average Donation by Cause,CA,
Senior,15 to 64,2018,gs1dax06,116.77836375039449,12.93936810232919,87.1625585526654,146.3941689481236,2069,Hospitals,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax06,150.12909300119432,15.860654796489287,103.45949448933823,196.79869151305041,664,Hospitals,Older Canadians Average Donation by Cause,CA,
Senior,75 plus,2018,gs1dax06,159.3562110988112,17.500580692843766,104.6962213750899,214.01620082253248,442,Hospitals,Older Canadians Average Donation by Cause,CA,*
Senior,15 to 64,2018,gs1dax07,114.73761291644462,6.361289556327169,100.43224388202745,129.0429819508618,4173,Social services,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax07,135.7595879151054,6.833068176086851,117.57789342643254,153.9412824037783,1410,Social services,Older Canadians Average Donation by Cause,CA,
Senior,75 plus,2018,gs1dax07,148.98392377082527,10.101694684818092,119.4866596267057,178.48118791494485,827,Social services,Older Canadians Average Donation by Cause,CA,
Senior,15 to 64,2018,gs1dax08,144.0967012170076,9.652893616886077,116.83457967721054,171.35882275680464,1069,Environment,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax08,159.52118466266887,14.679482000934488,113.62493619564336,205.4174331296944,355,Environment,Older Canadians Average Donation by Cause,CA,
Senior,75 plus,2018,gs1dax08,105.80583787922737,18.29444312432964,67.86762090292726,143.74405485552748,180,Environment,Older Canadians Average Donation by Cause,CA,*
Senior,15 to 64,2018,gs1dax09,192.06018421638288,22.470613876938938,107.473817822338,276.64655061042777,331,Development & housing,Older Canadians Average Donation by Cause,CA,*
Senior,65 to 74,2018,gs1dax09,318.95110799413294,50.44445558549485,3.606328612306413,634.2958873759594,117,Development & housing,Older Canadians Average Donation by Cause,CA,...
Senior,75 plus,2018,gs1dax09,277.4458780591936,54.44031681318259,-18.59181547981956,573.4835715982067,48,Development & housing,Older Canadians Average Donation by Cause,CA,...
Senior,15 to 64,2018,gs1dax10,149.3823274596786,15.36563666377377,104.39420461459136,194.37045030476585,429,"Law, advocacy & politics",Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax10,122.22344717198725,21.457511861542887,70.82121479537489,173.6256795485996,223,"Law, advocacy & politics",Older Canadians Average Donation by Cause,CA,*
Senior,75 plus,2018,gs1dax10,197.0914066668987,21.406171419952553,114.40106639360694,279.7817469401905,128,"Law, advocacy & politics",Older Canadians Average Donation by Cause,CA,*
Senior,15 to 64,2018,gs1dax11,185.41178107032957,8.603626809175175,154.14616569497542,216.6773964456837,1562,"Grant-making, fundraising",Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax11,175.48331181549884,20.138865653739792,106.2175017283386,244.74912190265906,343,"Grant-making, fundraising",Older Canadians Average Donation by Cause,CA,*
Senior,75 plus,2018,gs1dax11,189.04270561395825,25.576879210036207,94.27604704382429,283.8093641840922,172,"Grant-making, fundraising",Older Canadians Average Donation by Cause,CA,*
Senior,15 to 64,2018,gs1dax12,325.23921270067035,7.291390881930148,278.759720681274,371.7187047200667,984,International,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax12,303.9556474924018,8.848356353503837,251.24226159145053,356.66903339335306,368,International,Older Canadians Average Donation by Cause,CA,
Senior,75 plus,2018,gs1dax12,270.728061849109,9.953298807109823,217.91414135206844,323.54198234614955,206,International,Older Canadians Average Donation by Cause,CA,
Senior,15 to 64,2018,gs1dax13,691.2146272733405,5.833596448082838,612.1836425002335,770.2456120464475,2780,Religion,Older Canadians Average Donation by Cause,CA,
Senior,65 to 74,2018,gs1dax13,767.6277882004844,9.144834025830413,630.041673576593,905.2139028243757,1090,Religion,Older Canadians Average Donation by Cause,CA,
Senior,75 plus,2018,gs1dax13,761.3776675085008,8.672343764520072,631.9626397853635,890.7926952316382,840,Religion,Older Canadians Average Donation by Cause,CA,
Senior,15 to 64,2018,gs1dax14,81.1484577382173,16.356765204684333,55.133340889931524,107.16357458650307,55,Business & professional,Older Canadians Average Donation by Cause,CA,
