,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,fg1dad03,212.2516527402444,6.688648029715447,184.4265027047655,240.0768027757232,1435,Demande par lettre,Older Canadians Average Donation by Method,CA,
1,Senior,64 à 75 ans,2018,fg1dad03,271.8200419263763,6.803267919584352,235.57512235321656,308.064961499536,1076,Demande par lettre,Older Canadians Average Donation by Method,CA,
2,Senior,75 ans et plus,2018,fg1dad03,264.5401609085866,7.50228075369625,225.6416463588756,303.43867545829755,784,Demande par lettre,Older Canadians Average Donation by Method,CA,
3,Senior,15 à 64 ans,2018,fg1dad04,164.28635970685676,18.394219225277737,105.0578294680508,223.5148899456627,842,Demande au téléphone,Older Canadians Average Donation by Method,CA,*
4,Senior,64 à 75 ans,2018,fg1dad04,249.97817389513196,30.890672595995955,98.6298740583479,401.326473731916,383,Demande au téléphone,Older Canadians Average Donation by Method,CA,*
5,Senior,75 ans et plus,2018,fg1dad04,118.82764220257712,22.679208322453707,66.00824249050306,171.6470419146512,217,Demande au téléphone,Older Canadians Average Donation by Method,CA,*
6,Senior,15 à 64 ans,2018,fg1dad05,105.60736049660956,17.516860789484138,69.34980187958622,141.86491911363294,612,Demande à la télé ou la radio,Older Canadians Average Donation by Method,CA,*
7,Senior,64 à 75 ans,2018,fg1dad05,95.809478429226,12.105830620923976,73.0767711279648,118.54218573048718,265,Demande à la télé ou la radio,Older Canadians Average Donation by Method,CA,
8,Senior,75 ans et plus,2018,fg1dad05,299.9293916148466,41.15809068855855,57.981223986037264,541.8775592436559,137,Demande à la télé ou la radio,Older Canadians Average Donation by Method,CA,...
9,Senior,15 à 64 ans,2018,fg1dad06,179.71654962661253,6.577042340962383,156.54970954774626,202.8833897054788,1778,En ligne,Older Canadians Average Donation by Method,CA,
10,Senior,64 à 75 ans,2018,fg1dad06,225.19819661921048,15.417037758645815,157.1504206670755,293.2459725713454,338,En ligne,Older Canadians Average Donation by Method,CA,
11,Senior,75 ans et plus,2018,fg1dad06,228.4722698546097,29.133188162486512,98.0146047882082,358.92993492101124,81,En ligne,Older Canadians Average Donation by Method,CA,*
12,Senior,15 à 64 ans,2018,fg1dad07,492.3439863277503,8.878976861714587,406.663947840369,578.0240248151315,2134,Initiative personnelle,Older Canadians Average Donation by Method,CA,
13,Senior,64 à 75 ans,2018,fg1dad07,461.1314263429974,12.543547952235151,347.76271604905924,574.5001366369355,671,Initiative personnelle,Older Canadians Average Donation by Method,CA,
14,Senior,75 ans et plus,2018,fg1dad07,642.3337988442835,17.222616528880128,425.50947657503366,859.1581211135333,386,Initiative personnelle,Older Canadians Average Donation by Method,CA,*
15,Senior,15 à 64 ans,2018,fg1dad08,133.47305757720437,5.72712866126903,118.49075236390804,148.45536279050071,2116,Activité caritative,Older Canadians Average Donation by Method,CA,
16,Senior,64 à 75 ans,2018,fg1dad08,129.99662464788656,12.991138156765349,96.89667230846294,163.0965769873102,595,Activité caritative,Older Canadians Average Donation by Method,CA,
17,Senior,75 ans et plus,2018,fg1dad08,154.81320857785448,15.280506639150648,108.44782504287132,201.17859211283763,309,Activité caritative,Older Canadians Average Donation by Method,CA,
18,Senior,15 à 64 ans,2018,fg1dad09,152.2430050569894,11.260808083113544,118.64178896447828,185.84422114950053,2205,À la mémoire,Older Canadians Average Donation by Method,CA,
19,Senior,64 à 75 ans,2018,fg1dad09,133.91630163385838,18.768657672316237,84.65399410362593,183.17860916409083,958,À la mémoire,Older Canadians Average Donation by Method,CA,*
20,Senior,75 ans et plus,2018,fg1dad09,139.6759975479118,16.224139509286175,95.2608054442922,184.0911896515314,650,À la mémoire,Older Canadians Average Donation by Method,CA,
21,Senior,15 à 64 ans,2018,fg1dad10,91.7557730062442,10.805213025488277,72.32389287460694,111.18765313788148,2665,Au travail,Older Canadians Average Donation by Method,CA,
22,Senior,64 à 75 ans,2018,fg1dad10,124.26612744611866,55.50851161150368,-10.928812723366365,259.46106761560367,247,Au travail,Older Canadians Average Donation by Method,CA,...
23,Senior,75 ans et plus,2018,fg1dad10,157.42723115734097,45.19000497093755,17.992701118832883,296.86176119584906,57,Au travail,Older Canadians Average Donation by Method,CA,...
24,Senior,15 à 64 ans,2018,fg1dad11,38.73336629281459,7.084930294768473,33.354770402372374,44.1119621832568,2263,Porte-à-porte,Older Canadians Average Donation by Method,CA,
25,Senior,64 à 75 ans,2018,fg1dad11,35.12574168813421,10.476033198020769,27.91349687107253,42.33798650519589,691,Porte-à-porte,Older Canadians Average Donation by Method,CA,
26,Senior,75 ans et plus,2018,fg1dad11,36.17105380008097,19.608269671512325,22.269974406961254,50.072133193200685,360,Porte-à-porte,Older Canadians Average Donation by Method,CA,*
27,Senior,15 à 64 ans,2018,fg1dad12,29.647790714822275,12.397845375518385,22.44357608623052,36.85200534341403,4098,Lieu public,Older Canadians Average Donation by Method,CA,
28,Senior,64 à 75 ans,2018,fg1dad12,29.425732043512696,9.207007053035287,24.115740337328504,34.73572374969689,1107,Lieu public,Older Canadians Average Donation by Method,CA,
29,Senior,75 ans et plus,2018,fg1dad12,19.99734873800024,10.654820155219284,15.821289649538002,24.17340782646248,543,Lieu public,Older Canadians Average Donation by Method,CA,
30,Senior,15 à 64 ans,2018,fg1dad13,538.6562231760223,5.564648817653504,479.9076214930056,597.4048248590391,2670,Lieu de culture,Older Canadians Average Donation by Method,CA,
31,Senior,64 à 75 ans,2018,fg1dad13,558.8131266807329,9.277127237714833,457.2050564120573,660.4211969494086,1023,Lieu de culture,Older Canadians Average Donation by Method,CA,
32,Senior,75 ans et plus,2018,fg1dad13,626.172080270878,7.953336025536378,528.5627973989275,723.7813631428286,788,Lieu de culture,Older Canadians Average Donation by Method,CA,
33,Senior,15 à 64 ans,2018,fg1dad14,56.25030547675392,3.5881582552230222,52.29441220863424,60.20619874487361,3110,Parrainage de quelqu'un,Older Canadians Average Donation by Method,CA,
34,Senior,64 à 75 ans,2018,fg1dad14,61.72382332905156,7.385816339950571,52.788723387631286,70.65892327047183,1013,Parrainage de quelqu'un,Older Canadians Average Donation by Method,CA,
