Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,vd1dhrs,116.77589831843481,3.353497927328842,109.10052779149346,124.45126884537616,6002,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA,
Senior,65 to 74,2018,vd1dhrs,181.46254623658385,5.777106941528428,160.91568450130814,202.00940797185956,1560,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA,
Senior,75 plus,2018,vd1dhrs,223.40276232037152,7.08968640281098,192.35976443631046,254.4457602044326,803,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA,
Senior,15 to 64,2018,ivs1hrs,126.93304876667993,4.451897391241745,115.85743127762194,138.00866625573792,8605,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA,
Senior,65 to 74,2018,ivs1hrs,189.6857153879162,6.055266249016972,167.17361785853433,212.19781291729805,2219,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA,
Senior,75 plus,2018,ivs1hrs,177.53127467746216,12.231481830570916,134.97123375529287,220.09131559963146,1075,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA,
Senior,15 to 64,2018,ichrs,43.491717101868296,7.7335510975226756,36.8994680743016,50.08396612943499,3517,Total hours spent on community involvement,Older Canadians Average Volunteer Hours,CA,
Senior,65 to 74,2018,ichrs,56.889206705307586,15.920376837300232,39.13785976548524,74.64055364512993,952,Total hours spent on community involvement,Older Canadians Average Volunteer Hours,CA,
Senior,75 plus,2018,ichrs,40.49772980928224,14.781345812601831,28.76517080261703,52.23028881594745,468,Total hours spent on community involvement,Older Canadians Average Volunteer Hours,CA,
Senior2,15 to 64,2018,vd1dhrs,116.77589831843481,3.353497927328842,109.10052779149346,124.45126884537616,6002,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA,
Senior2,65 plus,2018,vd1dhrs,196.209985967365,4.428999339947262,179.17762653924325,213.24234539548672,2363,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA,
Senior2,15 to 64,2018,ivs1hrs,126.93304876667993,4.451897391241745,115.85743127762194,138.00866625573792,8605,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA,
Senior2,65 plus,2018,ivs1hrs,185.51917147401184,5.964493603116647,163.83162292948862,207.20672001853507,3294,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA,
Senior2,15 to 64,2018,ichrs,43.491717101868296,7.7335510975226756,36.8994680743016,50.08396612943499,3517,Total hours spent on community involvement,Older Canadians Average Volunteer Hours,CA,
Senior2,65 plus,2018,ichrs,51.04225474223873,12.123674711963643,38.91361162901974,63.170897855457724,1420,Total hours spent on community involvement,Older Canadians Average Volunteer Hours,CA,
Senior,15 to 64,2018,vd1dhrs,118.36170592745687,3.625241694959744,109.95170055438913,126.7717113005246,5305,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA (without QC),
Senior,65 to 74,2018,vd1dhrs,185.04118093623288,6.040697100682464,163.1331400953299,206.94922177713585,1379,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA (without QC),
Senior,75 plus,2018,vd1dhrs,211.83175384070768,7.781870764465626,179.5227798255061,244.14072785590926,701,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA (without QC),
Senior,15 to 64,2018,ivs1hrs,127.57817892392642,4.987520046528743,115.10695308213762,140.0494047657152,7576,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA (without QC),
Senior,65 to 74,2018,ivs1hrs,191.27292994510847,6.510099800717146,166.86734349460994,215.678516395607,1962,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA (without QC),
Senior,75 plus,2018,ivs1hrs,192.44352330216645,13.444688659817446,141.7325273399796,243.1545192643533,932,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA (without QC),
Senior,15 to 64,2018,ichrs,40.757883639257116,8.293463996741504,34.132734185477105,47.38303309303713,3148,Total hours spent on community involvement,Older Canadians Average Volunteer Hours,CA (without QC),
Senior,65 to 74,2018,ichrs,42.78972083750639,11.068975509598628,33.50657932909131,52.072862345921465,856,Total hours spent on community involvement,Older Canadians Average Volunteer Hours,CA (without QC),
Senior,75 plus,2018,ichrs,41.70539542789127,17.336923207798232,27.534008372708477,55.87678248307406,418,Total hours spent on community involvement,Older Canadians Average Volunteer Hours,CA (without QC),*
Senior2,15 to 64,2018,vd1dhrs,118.36170592745687,3.625241694959744,109.95170055438913,126.7717113005246,5305,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA (without QC),
Senior2,65 plus,2018,vd1dhrs,194.4774146182871,4.670217100625552,176.6760074795903,212.2788217569839,2080,Total formal volunteer hours,Older Canadians Average Volunteer Hours,CA (without QC),
Senior2,15 to 64,2018,ivs1hrs,127.57817892392642,4.987520046528743,115.10695308213762,140.0494047657152,7576,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA (without QC),
Senior2,65 plus,2018,ivs1hrs,191.66566210729567,6.488822500001537,167.28989459508807,216.04142961950328,2894,Total hours spent helping directly,Older Canadians Average Volunteer Hours,CA (without QC),
