Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,mv1_30,24.24282775450738,22.985562273849794,13.32122191517466,35.1644335938401,228,Canvassing,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,65 to 74,2018,mv1_30,43.166159151019635,21.3412447741326,25.110587391823262,61.22173091021601,62,Canvassing,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,75 plus,2018,mv1_30,50.600141899105225,60.27137898855256,-9.173670176687985,110.37395397489843,18,Canvassing,Older Canadians Average Hours Volunteered by Activity,CA,...
Senior,15 to 64,2018,mv1_40,21.766924355524196,8.42561005733152,18.172357919104964,25.361490791943428,1919,Fundraising,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_40,39.36152601918192,14.589688155041634,28.105994003466638,50.61705803489721,379,Fundraising,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,75 plus,2018,mv1_40,39.69219798320196,24.564238242080506,20.582380427856982,58.80201553854693,138,Fundraising,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,15 to 64,2018,mv1_50,39.0300492924162,6.547082477399497,34.021695468221544,44.03840311661086,1608,Sit on committee or board,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_50,57.108082622947805,20.204709781392747,34.49299437099576,79.72317087489985,503,Sit on committee or board,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,75 plus,2018,mv1_50,46.87335570246378,14.636677392499642,33.42662715366815,60.320084251259416,230,Sit on committee or board,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,15 to 64,2018,mv1_60,65.23500782445943,9.155900490361056,53.528432232963816,76.94158341595505,1315,Teaching or mentoring,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_60,62.18993419863299,13.98670371572688,45.141536671452855,79.23833172581313,239,Teaching or mentoring,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,75 plus,2018,mv1_60,119.31706743144372,24.52081863635314,61.97337860866907,176.66075625421837,89,Teaching or mentoring,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,15 to 64,2018,mv1_70,44.401520216417794,10.877991231116546,34.93490695863059,53.868133474204996,2064,Organize activities or events,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_70,63.14038636700317,13.67366207147967,46.21883530778521,80.06193742622112,423,Organize activities or events,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,75 plus,2018,mv1_70,76.75461207555273,14.364590014134695,55.1450578939568,98.36416625714865,197,Organize activities or events,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,15 to 64,2018,mv1_80,45.63565409590759,11.51979622299024,35.33186009454003,55.93944809727515,760,Office work,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_80,85.35944304787976,15.78366613004332,58.95314325651338,111.76574283924614,241,Office work,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,75 plus,2018,mv1_80,157.38944776309089,19.74802172298826,96.47121459595513,218.30768093022664,105,Office work,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,15 to 64,2018,mv1_90,74.09504039793708,10.770254508571796,58.45408792838003,89.73599286749415,626,"Coach, referee or officiate",Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_90,60.19314445543255,25.747489034395027,29.8171850255566,90.56910388530851,37,"Coach, referee or officiate",Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,75 plus,2018,mv1_90,43.45172839873475,60.479331339297026,-8.054782129863518,94.95823892733301,10,"Coach, referee or officiate",Older Canadians Average Hours Volunteered by Activity,CA,...
Senior,15 to 64,2018,mv1_100,31.426007499780013,11.076346246740536,24.603660195999826,38.248354803560204,794,Counsel or provide advice,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_100,44.52465713998808,28.96102198224833,19.251321897995645,69.79799238198052,220,Counsel or provide advice,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,75 plus,2018,mv1_100,46.70063912247308,30.29179844883715,18.97408019835709,74.42719804658907,96,Counsel or provide advice,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,15 to 64,2018,mv1_110,51.70309434109711,11.194595287463478,40.35891655819714,63.04727212399709,485,Health care or support,Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_110,102.76005056217404,24.53211113474193,53.350907263642206,152.1691938607059,192,Health care or support,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,75 plus,2018,mv1_110,91.74860485837652,20.023058838223132,55.74234731124463,127.75486240550842,126,Health care or support,Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,15 to 64,2018,mv1_120,23.6076805113306,11.375413402423717,18.34425357415389,28.87110744850731,1011,"Collect, serve or deliver goods",Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_120,66.06875585117436,14.67319412025141,47.068087273533536,85.06942442881518,249,"Collect, serve or deliver goods",Older Canadians Average Hours Volunteered by Activity,CA,
Senior,75 plus,2018,mv1_120,87.27483750294265,17.626531670354588,57.12367887723346,117.42599612865183,155,"Collect, serve or deliver goods",Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,15 to 64,2018,mv1_130,37.27759400200279,14.84717235671304,26.429842817089593,48.12534518691599,524,"Maintenance, repair or building",Older Canadians Average Hours Volunteered by Activity,CA,
Senior,65 to 74,2018,mv1_130,45.55943035467806,13.476602289455577,33.525519545563185,57.59334116379293,180,"Maintenance, repair or building",Older Canadians Average Hours Volunteered by Activity,CA,
Senior,75 plus,2018,mv1_130,92.50133069914307,27.43540097637092,42.76114717133676,142.2415142269494,60,"Maintenance, repair or building",Older Canadians Average Hours Volunteered by Activity,CA,*
Senior,15 to 64,2018,mv1_140,24.676166628005955,14.360380485994023,17.730855074487213,31.621478181524697,548,Volunteer driving,Older Canadians Average Hours Volunteered by Activity,CA,
