,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,mv1_30,24.24282775450738,22.985562273849794,13.32122191517466,35.1644335938401,228,Porte-à-porte,Older Canadians Average Hours Volunteered by Activity,CA,*
1,Senior,64 à 75 ans,2018,mv1_30,43.16615915101964,21.3412447741326,25.110587391823262,61.22173091021601,62,Porte-à-porte,Older Canadians Average Hours Volunteered by Activity,CA,*
2,Senior,75 ans et plus,2018,mv1_30,50.600141899105225,60.27137898855256,-9.173670176687985,110.37395397489844,18,Porte-à-porte,Older Canadians Average Hours Volunteered by Activity,CA,...
3,Senior,15 à 64 ans,2018,mv1_40,21.7669243555242,8.42561005733152,18.172357919104964,25.361490791943428,1919,Collecte de fonds,Older Canadians Average Hours Volunteered by Activity,CA,
4,Senior,64 à 75 ans,2018,mv1_40,39.36152601918192,14.589688155041634,28.10599400346664,50.61705803489721,379,Collecte de fonds,Older Canadians Average Hours Volunteered by Activity,CA,
5,Senior,75 ans et plus,2018,mv1_40,39.69219798320196,24.564238242080503,20.582380427856982,58.80201553854693,138,Collecte de fonds,Older Canadians Average Hours Volunteered by Activity,CA,*
6,Senior,15 à 64 ans,2018,mv1_50,39.0300492924162,6.547082477399497,34.021695468221544,44.03840311661086,1608,Membre d'un comité ou d'un conseil d'administration,Older Canadians Average Hours Volunteered by Activity,CA,
7,Senior,64 à 75 ans,2018,mv1_50,57.108082622947805,20.204709781392747,34.49299437099576,79.72317087489985,503,Membre d'un comité ou d'un conseil d'administration,Older Canadians Average Hours Volunteered by Activity,CA,*
8,Senior,75 ans et plus,2018,mv1_50,46.87335570246378,14.636677392499642,33.42662715366815,60.320084251259416,230,Membre d'un comité ou d'un conseil d'administration,Older Canadians Average Hours Volunteered by Activity,CA,
9,Senior,15 à 64 ans,2018,mv1_60,65.23500782445943,9.155900490361056,53.528432232963816,76.94158341595505,1315,Enseignement ou mentorat,Older Canadians Average Hours Volunteered by Activity,CA,
10,Senior,64 à 75 ans,2018,mv1_60,62.18993419863299,13.98670371572688,45.141536671452855,79.23833172581313,239,Enseignement ou mentorat,Older Canadians Average Hours Volunteered by Activity,CA,
11,Senior,75 ans et plus,2018,mv1_60,119.31706743144372,24.52081863635314,61.97337860866907,176.66075625421837,89,Enseignement ou mentorat,Older Canadians Average Hours Volunteered by Activity,CA,*
12,Senior,15 à 64 ans,2018,mv1_70,44.401520216417794,10.877991231116546,34.93490695863059,53.868133474205,2064,Organisation d'activités ou d'événements,Older Canadians Average Hours Volunteered by Activity,CA,
13,Senior,64 à 75 ans,2018,mv1_70,63.14038636700317,13.67366207147967,46.21883530778521,80.06193742622112,423,Organisation d'activités ou d'événements,Older Canadians Average Hours Volunteered by Activity,CA,
14,Senior,75 ans et plus,2018,mv1_70,76.75461207555273,14.364590014134697,55.1450578939568,98.36416625714864,197,Organisation d'activités ou d'événements,Older Canadians Average Hours Volunteered by Activity,CA,
15,Senior,15 à 64 ans,2018,mv1_80,45.63565409590759,11.51979622299024,35.33186009454003,55.93944809727515,760,Travail de bureau,Older Canadians Average Hours Volunteered by Activity,CA,
16,Senior,64 à 75 ans,2018,mv1_80,85.35944304787976,15.78366613004332,58.95314325651338,111.76574283924614,241,Travail de bureau,Older Canadians Average Hours Volunteered by Activity,CA,
17,Senior,75 ans et plus,2018,mv1_80,157.38944776309089,19.74802172298826,96.47121459595512,218.30768093022664,105,Travail de bureau,Older Canadians Average Hours Volunteered by Activity,CA,*
18,Senior,15 à 64 ans,2018,mv1_90,74.09504039793708,10.770254508571796,58.45408792838003,89.73599286749415,626,"Entraînement, arbitrage, présidence",Older Canadians Average Hours Volunteered by Activity,CA,
19,Senior,64 à 75 ans,2018,mv1_90,60.19314445543255,25.747489034395027,29.8171850255566,90.56910388530852,37,"Entraînement, arbitrage, présidence",Older Canadians Average Hours Volunteered by Activity,CA,*
20,Senior,75 ans et plus,2018,mv1_90,43.45172839873475,60.47933133929703,-8.054782129863518,94.958238927333,10,"Entraînement, arbitrage, présidence",Older Canadians Average Hours Volunteered by Activity,CA,...
21,Senior,15 à 64 ans,2018,mv1_100,31.426007499780013,11.076346246740536,24.603660195999822,38.24835480356021,794,Conseils,Older Canadians Average Hours Volunteered by Activity,CA,
22,Senior,64 à 75 ans,2018,mv1_100,44.52465713998808,28.96102198224833,19.251321897995645,69.79799238198052,220,Conseils,Older Canadians Average Hours Volunteered by Activity,CA,*
23,Senior,75 ans et plus,2018,mv1_100,46.70063912247308,30.29179844883715,18.97408019835709,74.42719804658907,96,Conseils,Older Canadians Average Hours Volunteered by Activity,CA,*
24,Senior,15 à 64 ans,2018,mv1_110,51.70309434109711,11.194595287463478,40.35891655819714,63.04727212399709,485,Soins de santé ou soutien,Older Canadians Average Hours Volunteered by Activity,CA,
25,Senior,64 à 75 ans,2018,mv1_110,102.76005056217404,24.53211113474193,53.350907263642206,152.1691938607059,192,Soins de santé ou soutien,Older Canadians Average Hours Volunteered by Activity,CA,*
26,Senior,75 ans et plus,2018,mv1_110,91.74860485837652,20.02305883822313,55.74234731124463,127.75486240550842,126,Soins de santé ou soutien,Older Canadians Average Hours Volunteered by Activity,CA,*
27,Senior,15 à 64 ans,2018,mv1_120,23.6076805113306,11.375413402423716,18.34425357415389,28.87110744850731,1011,"Collecte, distribution ou livraison de biens",Older Canadians Average Hours Volunteered by Activity,CA,
28,Senior,64 à 75 ans,2018,mv1_120,66.06875585117436,14.67319412025141,47.068087273533536,85.06942442881518,249,"Collecte, distribution ou livraison de biens",Older Canadians Average Hours Volunteered by Activity,CA,
29,Senior,75 ans et plus,2018,mv1_120,87.27483750294265,17.626531670354588,57.12367887723346,117.42599612865185,155,"Collecte, distribution ou livraison de biens",Older Canadians Average Hours Volunteered by Activity,CA,*
30,Senior,15 à 64 ans,2018,mv1_130,37.27759400200279,14.84717235671304,26.429842817089597,48.12534518691599,524,"Entretien, réparation ou construction",Older Canadians Average Hours Volunteered by Activity,CA,
31,Senior,64 à 75 ans,2018,mv1_130,45.55943035467806,13.476602289455576,33.525519545563185,57.59334116379293,180,"Entretien, réparation ou construction",Older Canadians Average Hours Volunteered by Activity,CA,
32,Senior,75 ans et plus,2018,mv1_130,92.50133069914308,27.43540097637092,42.76114717133676,142.2415142269494,60,"Entretien, réparation ou construction",Older Canadians Average Hours Volunteered by Activity,CA,*
33,Senior,15 à 64 ans,2018,mv1_140,24.676166628005955,14.360380485994025,17.730855074487213,31.621478181524697,548,Chauffeur.euse bénévole,Older Canadians Average Hours Volunteered by Activity,CA,
34,Senior,64 à 75 ans,2018,mv1_140,45.29637386602586,19.77295647663293,27.7420891476107,62.85065858444102,155,Chauffeur.euse bénévole,Older Canadians Average Hours Volunteered by Activity,CA,*
35,Senior,75 ans et plus,2018,mv1_140,60.07372689963155,32.57869308544482,21.71481094789205,98.43264285137104,82,Chauffeur.euse bénévole,Older Canadians Average Hours Volunteered by Activity,CA,*
36,Senior,15 à 64 ans,2018,mv1_150,49.31559249088654,14.632384565351831,35.172399978004776,63.4587850037683,191,"Premier soins, incendies",Older Canadians Average Hours Volunteered by Activity,CA,
37,Senior,64 à 75 ans,2018,mv1_150,33.84142844455529,41.219309029738646,6.501493009063488,61.18136388004709,26,"Premier soins, incendies",Older Canadians Average Hours Volunteered by Activity,CA,...
38,Senior,75 ans et plus,2018,mv1_150,28.393196504284127,86.82988647757885,-19.9273249508498,76.71371795941806,8,"Premier soins, incendies",Older Canadians Average Hours Volunteered by Activity,CA,...
39,Senior,15 à 64 ans,2018,mv1_160,51.57545152348985,42.99802310226854,8.110458077728211,95.0404449692515,412,Protection de l'environnement,Older Canadians Average Hours Volunteered by Activity,CA,...
40,Senior,64 à 75 ans,2018,mv1_160,45.48681786446743,20.8918393270557,26.86121563022772,64.11242009870715,111,Protection de l'environnement,Older Canadians Average Hours Volunteered by Activity,CA,*
41,Senior,75 ans et plus,2018,mv1_160,23.68697139663475,34.81395523969939,7.524380018958475,39.84956277431103,35,Protection de l'environnement,Older Canadians Average Hours Volunteered by Activity,CA,...
42,Senior,15 à 64 ans,2018,mv1_170,65.01554337056383,10.299641935377563,51.8909029311074,78.14018381002028,664,Autre,Older Canadians Average Hours Volunteered by Activity,CA,
43,Senior,64 à 75 ans,2018,mv1_170,87.68311172992087,11.823544412822038,67.36367186171185,108.00255159812988,265,Autre,Older Canadians Average Hours Volunteered by Activity,CA,
44,Senior,75 ans et plus,2018,mv1_170,156.8446970310057,15.747137296838616,108.43642898344146,205.25296507856996,161,Autre,Older Canadians Average Hours Volunteered by Activity,CA,
45,Senior2,15 à 64 ans,2018,mv1_30,24.24282775450738,22.985562273849794,13.32122191517466,35.1644335938401,228,Porte-à-porte,Older Canadians Average Hours Volunteered by Activity,CA,*
46,Senior2,65 ans et plus,2018,mv1_30,45.810879748268896,26.07866068678125,22.395456801193056,69.22630269534474,80,Porte-à-porte,Older Canadians Average Hours Volunteered by Activity,CA,*
47,Senior2,15 à 64 ans,2018,mv1_40,21.7669243555242,8.42561005733152,18.172357919104964,25.361490791943428,1919,Collecte de fonds,Older Canadians Average Hours Volunteered by Activity,CA,
48,Senior2,65 ans et plus,2018,mv1_40,39.45274758412613,12.505265758488,29.78293024109002,49.12256492716224,517,Collecte de fonds,Older Canadians Average Hours Volunteered by Activity,CA,
49,Senior2,15 à 64 ans,2018,mv1_50,39.0300492924162,6.547082477399497,34.021695468221544,44.03840311661086,1608,Membre d'un comité ou d'un conseil d'administration,Older Canadians Average Hours Volunteered by Activity,CA,
50,Senior2,65 ans et plus,2018,mv1_50,53.827405442328,15.024053992210296,37.97706212718577,69.67774875747024,733,Membre d'un comité ou d'un conseil d'administration,Older Canadians Average Hours Volunteered by Activity,CA,
51,Senior2,15 à 64 ans,2018,mv1_60,65.23500782445943,9.155900490361056,53.528432232963816,76.94158341595505,1315,Enseignement ou mentorat,Older Canadians Average Hours Volunteered by Activity,CA,
52,Senior2,65 ans et plus,2018,mv1_60,76.05515019857847,13.123955504108356,56.491879306414944,95.618421090742,328,Enseignement ou mentorat,Older Canadians Average Hours Volunteered by Activity,CA,
53,Senior2,15 à 64 ans,2018,mv1_70,44.401520216417794,10.877991231116546,34.93490695863059,53.868133474205,2064,Organisation d'activités ou d'événements,Older Canadians Average Hours Volunteered by Activity,CA,
54,Senior2,65 ans et plus,2018,mv1_70,67.7130916036021,10.029538048352393,54.40236803501168,81.0238151721925,620,Organisation d'activités ou d'événements,Older Canadians Average Hours Volunteered by Activity,CA,
55,Senior2,15 à 64 ans,2018,mv1_80,45.63565409590759,11.51979622299024,35.33186009454003,55.93944809727515,760,Travail de bureau,Older Canadians Average Hours Volunteered by Activity,CA,
56,Senior2,65 ans et plus,2018,mv1_80,107.76684999695246,12.48134393743871,81.40386208256345,134.12983791134147,346,Travail de bureau,Older Canadians Average Hours Volunteered by Activity,CA,
57,Senior2,15 à 64 ans,2018,mv1_90,74.09504039793708,10.770254508571796,58.45408792838003,89.73599286749415,626,"Entraînement, arbitrage, présidence",Older Canadians Average Hours Volunteered by Activity,CA,
58,Senior2,65 ans et plus,2018,mv1_90,54.47011632953923,24.517633027541297,28.29522217475129,80.64501048432717,47,"Entraînement, arbitrage, présidence",Older Canadians Average Hours Volunteered by Activity,CA,*
59,Senior2,15 à 64 ans,2018,mv1_100,31.426007499780013,11.076346246740536,24.603660195999822,38.24835480356021,794,Conseils,Older Canadians Average Hours Volunteered by Activity,CA,
60,Senior2,65 ans et plus,2018,mv1_100,45.19299845933356,22.209717541655912,25.520374834462874,64.86562208420425,316,Conseils,Older Canadians Average Hours Volunteered by Activity,CA,*
61,Senior2,15 à 64 ans,2018,mv1_110,51.70309434109711,11.194595287463478,40.35891655819714,63.04727212399709,485,Soins de santé ou soutien,Older Canadians Average Hours Volunteered by Activity,CA,
62,Senior2,65 ans et plus,2018,mv1_110,98.39531741314048,17.014953243120516,65.58176256850956,131.20887225777142,318,Soins de santé ou soutien,Older Canadians Average Hours Volunteered by Activity,CA,*
63,Senior2,15 à 64 ans,2018,mv1_120,23.6076805113306,11.375413402423716,18.34425357415389,28.87110744850731,1011,"Collecte, distribution ou livraison de biens",Older Canadians Average Hours Volunteered by Activity,CA,
64,Senior2,65 ans et plus,2018,mv1_120,74.32791874405449,11.462136902355468,57.62987268610195,91.02596480200702,404,"Collecte, distribution ou livraison de biens",Older Canadians Average Hours Volunteered by Activity,CA,
65,Senior2,15 à 64 ans,2018,mv1_130,37.27759400200279,14.84717235671304,26.429842817089597,48.12534518691599,524,"Entretien, réparation ou construction",Older Canadians Average Hours Volunteered by Activity,CA,
66,Senior2,65 ans et plus,2018,mv1_130,54.77734687356614,12.967289659922212,40.85545371157409,68.69924003555819,240,"Entretien, réparation ou construction",Older Canadians Average Hours Volunteered by Activity,CA,
67,Senior2,15 à 64 ans,2018,mv1_140,24.676166628005955,14.360380485994025,17.730855074487213,31.621478181524697,548,Chauffeur.euse bénévole,Older Canadians Average Hours Volunteered by Activity,CA,
68,Senior2,65 ans et plus,2018,mv1_140,50.37321298095166,17.04697604925497,33.54278752752985,67.20363843437346,237,Chauffeur.euse bénévole,Older Canadians Average Hours Volunteered by Activity,CA,*
69,Senior2,15 à 64 ans,2018,mv1_150,49.31559249088654,14.632384565351831,35.172399978004776,63.4587850037683,191,"Premier soins, incendies",Older Canadians Average Hours Volunteered by Activity,CA,
70,Senior2,65 ans et plus,2018,mv1_150,32.933030365612915,34.2548514617095,10.822361819984298,55.043698911241535,34,"Premier soins, incendies",Older Canadians Average Hours Volunteered by Activity,CA,...
71,Senior2,15 à 64 ans,2018,mv1_160,51.57545152348985,42.99802310226854,8.110458077728211,95.0404449692515,412,Protection de l'environnement,Older Canadians Average Hours Volunteered by Activity,CA,...
72,Senior2,65 ans et plus,2018,mv1_160,39.90509304441796,19.16464704169982,24.91593482087471,54.89425126796121,146,Protection de l'environnement,Older Canadians Average Hours Volunteered by Activity,CA,*
73,Senior2,15 à 64 ans,2018,mv1_170,65.01554337056383,10.299641935377563,51.8909029311074,78.14018381002028,664,Autre,Older Canadians Average Hours Volunteered by Activity,CA,
74,Senior2,65 ans et plus,2018,mv1_170,116.12842737553576,9.98712234109164,93.3969843738408,138.85987037723072,426,Autre,Older Canadians Average Hours Volunteered by Activity,CA,
75,Senior,15 à 64 ans,2018,mv1_30,24.40843261209263,23.213703904498143,13.30307818170784,35.51378704247742,188,Porte-à-porte,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
76,Senior,64 à 75 ans,2018,mv1_30,46.87378556218047,21.40160885327742,27.21192814820926,66.53564297615168,58,Porte-à-porte,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
77,Senior,75 ans et plus,2018,mv1_30,44.45489912401505,54.46995036203912,-3.0047692906529235,91.91456753868304,13,Porte-à-porte,Older Canadians Average Hours Volunteered by Activity,CA (without QC),...
78,Senior,15 à 64 ans,2018,mv1_40,21.00528154446699,7.239124013764421,18.02496348384616,23.98559960508782,1768,Collecte de fonds,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
79,Senior,64 à 75 ans,2018,mv1_40,40.46720653226918,15.421207864753285,28.235988496556296,52.69842456798207,350,Collecte de fonds,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
80,Senior,75 ans et plus,2018,mv1_40,45.240357538130446,24.635383922011123,23.396292831591754,67.08442224466914,127,Collecte de fonds,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
81,Senior,15 à 64 ans,2018,mv1_50,40.73737768248359,7.37442207385339,34.84935938082258,46.6253959841446,1417,Membre d'un comité ou d'un conseil d'administration,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
82,Senior,64 à 75 ans,2018,mv1_50,61.72388826909611,22.79193487712245,34.15098083792712,89.2967957002651,447,Membre d'un comité ou d'un conseil d'administration,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
83,Senior,75 ans et plus,2018,mv1_50,50.78065645669427,16.397005306712735,34.46100274905531,67.10031016433322,199,Membre d'un comité ou d'un conseil d'administration,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
84,Senior,15 à 64 ans,2018,mv1_60,63.33384602910454,9.038976795584064,52.11357818115732,74.55411387705176,1205,Enseignement ou mentorat,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
85,Senior,64 à 75 ans,2018,mv1_60,63.35283887977099,15.445136486739344,44.17472371953191,82.53095404001007,216,Enseignement ou mentorat,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
86,Senior,75 ans et plus,2018,mv1_60,108.55344835253184,27.272500303659115,50.528245116960086,166.5786515881036,81,Enseignement ou mentorat,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
87,Senior,15 à 64 ans,2018,mv1_70,44.24242837670982,12.493931346944803,33.40849494632669,55.076361807092944,1854,Organisation d'activités ou d'événements,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
88,Senior,64 à 75 ans,2018,mv1_70,68.60813256960064,15.742708762412937,47.43899570899171,89.77726943020957,366,Organisation d'activités ou d'événements,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
89,Senior,75 ans et plus,2018,mv1_70,67.94780286174317,16.61529321540077,45.82034517579602,90.07526054769032,171,Organisation d'activités ou d'événements,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
90,Senior,15 à 64 ans,2018,mv1_80,37.15816780798028,7.541948939423156,31.665466655417585,42.65086896054297,667,Travail de bureau,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
91,Senior,64 à 75 ans,2018,mv1_80,86.46086484628678,18.436516990464963,55.21830975263976,117.7034199399338,204,Travail de bureau,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
92,Senior,75 ans et plus,2018,mv1_80,154.45044411362454,22.949879030226747,84.97718815644322,223.92370007080584,90,Travail de bureau,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
93,Senior,15 à 64 ans,2018,mv1_90,80.57305604309656,11.168750211544369,62.93533354651012,98.210778539683,576,"Entraînement, arbitrage, présidence",Older Canadians Average Hours Volunteered by Activity,CA (without QC),
94,Senior,64 à 75 ans,2018,mv1_90,60.19314445543255,25.747489034395027,29.8171850255566,90.56910388530852,37,"Entraînement, arbitrage, présidence",Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
95,Senior,75 ans et plus,2018,mv1_90,27.945014308656194,70.04944281241904,-10.421921238391189,66.31194985570357,9,"Entraînement, arbitrage, présidence",Older Canadians Average Hours Volunteered by Activity,CA (without QC),...
96,Senior,15 à 64 ans,2018,mv1_100,33.6481723888195,13.68447675977017,24.62336861670851,42.672976160930496,636,Conseils,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
97,Senior,64 à 75 ans,2018,mv1_100,56.20213462066921,32.60362897664518,20.28788108622425,92.11638815511418,176,Conseils,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
98,Senior,75 ans et plus,2018,mv1_100,46.23598689236117,39.29252709090964,10.628757351739113,81.84321643298323,76,Conseils,Older Canadians Average Hours Volunteered by Activity,CA (without QC),...
99,Senior,15 à 64 ans,2018,mv1_110,54.71135959169521,12.03932323759338,41.80131706042,67.62140212297041,429,Soins de santé ou soutien,Older Canadians Average Hours Volunteered by Activity,CA (without QC),
100,Senior,64 à 75 ans,2018,mv1_110,105.75055252685652,26.829843743845597,50.14106670061554,161.3600383530975,180,Soins de santé ou soutien,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
101,Senior,75 ans et plus,2018,mv1_110,97.48091955782704,21.99149083429686,55.464176959613646,139.49766215604046,112,Soins de santé ou soutien,Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
102,Senior,15 à 64 ans,2018,mv1_120,22.51785111614701,11.804876955349316,17.307865802799117,27.72783642949491,882,"Collecte, distribution ou livraison de biens",Older Canadians Average Hours Volunteered by Activity,CA (without QC),
103,Senior,64 à 75 ans,2018,mv1_120,67.78742699220751,16.57812918922092,45.76157277708332,89.8132812073317,216,"Collecte, distribution ou livraison de biens",Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
104,Senior,75 ans et plus,2018,mv1_120,66.18477467809592,18.604894924920018,42.05054689944046,90.31900245675138,131,"Collecte, distribution ou livraison de biens",Older Canadians Average Hours Volunteered by Activity,CA (without QC),*
105,Senior,15 à 64 ans,2018,mv1_130,40.17924103843843,15.504286047391927,27.969636650856536,52.38884542602032,461,"Entretien, réparation ou construction",Older Canadians Average Hours Volunteered by Activity,CA (without QC),
106,Senior,64 à 75 ans,2018,mv1_130,44.40444964539709,13.095200108469664,33.007550055216136,55.80134923557804,159,"Entretien, réparation ou construction",Older Canadians Average Hours Volunteered by Activity,CA (without QC),
