Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,ichrs1,22.868738547089805,12.026925310443781,17.47804163941235,28.25943545476726,707,"Maintained park, public space",Older Canadians Average Hours Spent on Community Involvement,CA,
Senior,65 to 74,2018,ichrs1,32.55150715751363,19.03657819873604,20.406211829048118,44.69680248597915,175,"Maintained park, public space",Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior,75 plus,2018,ichrs1,28.33356133268447,21.88555379157999,16.179909322187427,40.487213343181516,54,"Maintained park, public space",Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior,15 to 64,2018,ichrs2,10.067336198560465,8.118486436057735,8.465427599992946,11.669244797127984,1352,Participated in public meetings,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior,65 to 74,2018,ichrs2,11.227604839315758,10.431128777861392,8.932161817256508,13.523047861375007,486,Participated in public meetings,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior,75 plus,2018,ichrs2,11.841104951488505,15.127111340220537,8.330383888346198,15.351826014630813,261,Participated in public meetings,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior,15 to 64,2018,ichrs3,20.658319000800738,10.079260188060516,16.57727077615985,24.739367225441626,1683,Produced/disseminated information,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior,65 to 74,2018,ichrs3,46.2957199094865,37.05861253143474,12.669496949184435,79.92194286978857,396,Produced/disseminated information,Older Canadians Average Hours Spent on Community Involvement,CA,...
Senior,75 plus,2018,ichrs3,24.83961955639776,43.02310615614729,3.893923700103823,45.7853154126917,171,Produced/disseminated information,Older Canadians Average Hours Spent on Community Involvement,CA,...
Senior,15 to 64,2018,ichrs4,30.025624789004176,9.386236389710255,24.50190509495549,35.54934448305286,1092,Organized/co-ordinated event,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior,65 to 74,2018,ichrs4,31.787984528717736,15.759985601251541,21.968992660391137,41.606976397044335,258,Organized/co-ordinated event,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior,75 plus,2018,ichrs4,46.570210793641174,30.15826373217742,19.042973318500792,74.09744826878156,107,Organized/co-ordinated event,Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior,15 to 64,2018,ichrs5,33.3524191146481,22.552844173828095,18.609728562212425,48.095109667083776,308,Economic/social project,Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior,65 to 74,2018,ichrs5,27.912920187711503,22.27294174528588,15.727768329329166,40.09807204609384,97,Economic/social project,Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior,75 plus,2018,ichrs5,22.34329890378583,20.085582428313963,13.547408365000594,31.139189442571066,44,Economic/social project,Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior,15 to 64,2018,ichrs6,103.81772010246196,17.437496733511207,68.33607745667419,139.29936274824973,469,Other way,Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior,65 to 74,2018,ichrs6,84.86576827570278,30.968006496428004,33.35549100611626,136.3760455452893,156,Other way,Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior,75 plus,2018,ichrs6,51.94072220523093,32.436088107076145,18.920153677912893,84.96129073254896,88,Other way,Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior2,15 to 64,2018,ichrs1,22.868738547089805,12.026925310443781,17.47804163941235,28.25943545476726,707,"Maintained park, public space",Older Canadians Average Hours Spent on Community Involvement,CA,
Senior2,65 plus,2018,ichrs1,31.51691540599401,15.717770659790562,21.80773111200569,41.22609969998233,229,"Maintained park, public space",Older Canadians Average Hours Spent on Community Involvement,CA,
Senior2,15 to 64,2018,ichrs2,10.067336198560465,8.118486436057735,8.465427599992946,11.669244797127984,1352,Participated in public meetings,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior2,65 plus,2018,ichrs2,11.478996196823816,8.790975792889846,9.501165617810788,13.456826775836845,747,Participated in public meetings,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior2,15 to 64,2018,ichrs3,20.658319000800738,10.079260188060516,16.57727077615985,24.739367225441626,1683,Produced/disseminated information,Older Canadians Average Hours Spent on Community Involvement,CA,
Senior2,65 plus,2018,ichrs3,39.34030631283381,30.40208059676391,15.898604668324321,62.782007957343296,567,Produced/disseminated information,Older Canadians Average Hours Spent on Community Involvement,CA,*
Senior2,15 to 64,2018,ichrs4,30.025624789004176,9.386236389710255,24.50190509495549,35.54934448305286,1092,Organized/co-ordinated event,Older Canadians Average Hours Spent on Community Involvement,CA,
