,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,ivs1hrs1,58.90264419728195,6.519505348736304,51.376066866029774,66.42922152853413,6163,"Cuisiner, nettoyer, tâches domestiques",Older Canadians Average Informal Volunteer Hours,CA,
1,Senior,64 à 75 ans,2018,ivs1hrs1,91.07530352339396,12.512093126089097,68.74067742316905,113.40992962361886,1333,"Cuisiner, nettoyer, tâches domestiques",Older Canadians Average Informal Volunteer Hours,CA,
2,Senior,75 ans et plus,2018,ivs1hrs1,66.93640105469247,18.96524437603412,42.05534026679679,91.81746184258814,480,"Cuisiner, nettoyer, tâches domestiques",Older Canadians Average Informal Volunteer Hours,CA,*
3,Senior,15 à 64 ans,2018,ivs1hrs2,32.77257167518342,6.46449649614618,28.62022775150661,36.92491559886023,4723,"Magasiner, conduire, accompagner",Older Canadians Average Informal Volunteer Hours,CA,
4,Senior,64 à 75 ans,2018,ivs1hrs2,45.50178175283174,10.532610132639777,36.10860481799027,54.89495868767321,1317,"Magasiner, conduire, accompagner",Older Canadians Average Informal Volunteer Hours,CA,
5,Senior,75 ans et plus,2018,ivs1hrs2,43.72071544850879,14.252149898349018,31.507901737340266,55.93352915967732,604,"Magasiner, conduire, accompagner",Older Canadians Average Informal Volunteer Hours,CA,
6,Senior,15 à 64 ans,2018,ivs1hrs3,20.29695560461444,9.525396583957884,16.507628824676324,24.086282384552558,2995,"Tâches administratives, impôts, etc.",Older Canadians Average Informal Volunteer Hours,CA,
7,Senior,64 à 75 ans,2018,ivs1hrs3,25.833522920822897,12.515819087035023,19.496416463328195,32.1706293783176,647,"Tâches administratives, impôts, etc.",Older Canadians Average Informal Volunteer Hours,CA,
8,Senior,75 ans et plus,2018,ivs1hrs3,28.77942316072618,22.727498121116376,15.959606730270693,41.599239591181664,234,"Tâches administratives, impôts, etc.",Older Canadians Average Informal Volunteer Hours,CA,*
9,Senior,15 à 64 ans,2018,ivs1hrs4,78.74446413544227,7.030334646025471,67.89410480288035,89.5948234680042,4858,Soins de santé/personnels,Older Canadians Average Informal Volunteer Hours,CA,
10,Senior,64 à 75 ans,2018,ivs1hrs4,122.99803111968146,7.953633776484404,103.8240700749996,142.1719921643633,1336,Soins de santé/personnels,Older Canadians Average Informal Volunteer Hours,CA,
11,Senior,75 ans et plus,2018,ivs1hrs4,116.94910889793547,17.058111955502746,77.84917992503371,156.04903787083725,669,Soins de santé/personnels,Older Canadians Average Informal Volunteer Hours,CA,*
12,Senior,15 à 64 ans,2018,ivs1hrs5,40.66984183982049,8.313615620750202,34.04294033763407,47.29674334200691,1373,"Enseignement, accompagnement, aide à la lecture, etc.",Older Canadians Average Informal Volunteer Hours,CA,
13,Senior,64 à 75 ans,2018,ivs1hrs5,45.69919682203739,22.77564609516253,25.299328501715834,66.09906514235895,276,"Enseignement, accompagnement, aide à la lecture, etc.",Older Canadians Average Informal Volunteer Hours,CA,*
14,Senior,75 ans et plus,2018,ivs1hrs5,64.88290893014357,21.530403157510765,37.50309037893781,92.26272748134932,90,"Enseignement, accompagnement, aide à la lecture, etc.",Older Canadians Average Informal Volunteer Hours,CA,*
