Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,nv_020,0.3276007084836468,2.6426453820605325,0.3106326632922807,0.34456875367501294,6233,Gave enough time already,Older Canadians Barriers to Volunteering,CA,
Senior,65 to 74,2018,nv_020,0.521648900987202,3.7769804142391417,0.4830325600146628,0.5602652419597411,1491,Gave enough time already,Older Canadians Barriers to Volunteering,CA,
Senior,75 plus,2018,nv_020,0.547490841787748,4.350102027111345,0.5008115355412746,0.5941701480342214,814,Gave enough time already,Older Canadians Barriers to Volunteering,CA,
Senior,15 to 64,2018,nv_030,0.06041075943163443,7.803967466648891,0.05117063463991126,0.0696508842233576,6204,Dissatisfied with previous experience,Older Canadians Barriers to Volunteering,CA,
Senior,65 to 74,2018,nv_030,0.07556192332513423,12.213485523745604,0.05747391635172765,0.09364993029854081,1448,Dissatisfied with previous experience,Older Canadians Barriers to Volunteering,CA,
Senior,75 plus,2018,nv_030,0.07388751574014936,17.243749658088444,0.048915657256429323,0.0988593742238694,803,Dissatisfied with previous experience,Older Canadians Barriers to Volunteering,CA,*
Senior,15 to 64,2018,nv_040,0.3005728942607752,3.1040399147695794,0.28228662116427705,0.3188591673572734,6228,No one asked,Older Canadians Barriers to Volunteering,CA,
Senior,65 to 74,2018,nv_040,0.2287740616399326,6.336578797588349,0.2003615443150545,0.2571865789648107,1453,No one asked,Older Canadians Barriers to Volunteering,CA,
Senior,75 plus,2018,nv_040,0.16166875998680544,10.233043318862862,0.12924383269806614,0.19409368727554474,808,No one asked,Older Canadians Barriers to Volunteering,CA,
Senior,15 to 64,2018,nv_050,0.1676562970765699,4.943183750613148,0.15141298024223446,0.18389961391090534,6200,Unsure how to get more involved,Older Canadians Barriers to Volunteering,CA,
Senior,65 to 74,2018,nv_050,0.07428251893099423,13.949831131506924,0.05397281166932627,0.0945922261926622,1441,Unsure how to get more involved,Older Canadians Barriers to Volunteering,CA,
Senior,75 plus,2018,nv_050,0.07539774121255685,16.736889809337537,0.05066449144384551,0.1001309909812682,800,Unsure how to get more involved,Older Canadians Barriers to Volunteering,CA,*
