,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,nv_020,0.3276007084836468,2.6426453820605325,0.3106326632922807,0.3445687536750129,6233,Assez de temps déjà donné,Older Canadians Barriers to Volunteering,CA,
1,Senior,64 à 75 ans,2018,nv_020,0.521648900987202,3.7769804142391417,0.4830325600146628,0.5602652419597411,1491,Assez de temps déjà donné,Older Canadians Barriers to Volunteering,CA,
2,Senior,75 ans et plus,2018,nv_020,0.547490841787748,4.350102027111345,0.5008115355412746,0.5941701480342214,814,Assez de temps déjà donné,Older Canadians Barriers to Volunteering,CA,
3,Senior,15 à 64 ans,2018,nv_030,0.0604107594316344,7.803967466648891,0.0511706346399112,0.0696508842233576,6204,Expérience bénévole passée insatisfaisante,Older Canadians Barriers to Volunteering,CA,
4,Senior,64 à 75 ans,2018,nv_030,0.0755619233251342,12.213485523745604,0.0574739163517276,0.0936499302985408,1448,Expérience bénévole passée insatisfaisante,Older Canadians Barriers to Volunteering,CA,
5,Senior,75 ans et plus,2018,nv_030,0.0738875157401493,17.243749658088444,0.0489156572564293,0.0988593742238694,803,Expérience bénévole passée insatisfaisante,Older Canadians Barriers to Volunteering,CA,*
6,Senior,15 à 64 ans,2018,nv_040,0.3005728942607752,3.1040399147695794,0.282286621164277,0.3188591673572734,6228,Aucune sollicitation,Older Canadians Barriers to Volunteering,CA,
7,Senior,64 à 75 ans,2018,nv_040,0.2287740616399326,6.336578797588349,0.2003615443150545,0.2571865789648107,1453,Aucune sollicitation,Older Canadians Barriers to Volunteering,CA,
8,Senior,75 ans et plus,2018,nv_040,0.1616687599868054,10.233043318862862,0.1292438326980661,0.1940936872755447,808,Aucune sollicitation,Older Canadians Barriers to Volunteering,CA,
9,Senior,15 à 64 ans,2018,nv_050,0.1676562970765699,4.943183750613148,0.1514129802422344,0.1838996139109053,6200,Ne savaient pas comment s'engager plus,Older Canadians Barriers to Volunteering,CA,
10,Senior,64 à 75 ans,2018,nv_050,0.0742825189309942,13.949831131506924,0.0539728116693262,0.0945922261926622,1441,Ne savaient pas comment s'engager plus,Older Canadians Barriers to Volunteering,CA,
11,Senior,75 ans et plus,2018,nv_050,0.0753977412125568,16.736889809337537,0.0506644914438455,0.1001309909812682,800,Ne savaient pas comment s'engager plus,Older Canadians Barriers to Volunteering,CA,*
12,Senior,15 à 64 ans,2018,nv_060,0.1536267027084755,4.690727168614168,0.139502791658327,0.167750613758624,6203,Problèmes de santé/handicap physique,Older Canadians Barriers to Volunteering,CA,
13,Senior,64 à 75 ans,2018,nv_060,0.3173296852184672,5.541865209687248,0.2828617910724896,0.3517975793644449,1464,Problèmes de santé/handicap physique,Older Canadians Barriers to Volunteering,CA,
14,Senior,75 ans et plus,2018,nv_060,0.5412781472980156,4.406025303592124,0.4945352560451745,0.5880210385508566,818,Problèmes de santé/handicap physique,Older Canadians Barriers to Volunteering,CA,
15,Senior,15 à 64 ans,2018,nv_070,0.7801246308169387,1.0718056698720364,0.7637365487080048,0.7965127129258727,6355,Manque de temps,Older Canadians Barriers to Volunteering,CA,
16,Senior,64 à 75 ans,2018,nv_070,0.5408039139430547,3.269447518066838,0.5061492024648535,0.5754586254212559,1497,Manque de temps,Older Canadians Barriers to Volunteering,CA,
17,Senior,75 ans et plus,2018,nv_070,0.3688753541502611,6.922402876735828,0.3188275990769604,0.4189231092235618,812,Manque de temps,Older Canadians Barriers to Volunteering,CA,
18,Senior,15 à 64 ans,2018,nv_080,0.1215945990374027,5.846305927178888,0.1076616222525452,0.1355275758222601,6196,Coût financier du bénévolat,Older Canadians Barriers to Volunteering,CA,
19,Senior,64 à 75 ans,2018,nv_080,0.0964257982241963,11.361081042717135,0.074954367132649,0.1178972293157436,1448,Coût financier du bénévolat,Older Canadians Barriers to Volunteering,CA,
20,Senior,75 ans et plus,2018,nv_080,0.0779060428610738,17.83360731308892,0.0506753660366043,0.1051367196855433,798,Coût financier du bénévolat,Older Canadians Barriers to Volunteering,CA,*
21,Senior,15 à 64 ans,2018,nv_090,0.4759399548082939,2.008329127600744,0.4572057552050163,0.4946741544115716,6233,Incapable de s'engager à long terme,Older Canadians Barriers to Volunteering,CA,
22,Senior,64 à 75 ans,2018,nv_090,0.4372401908055124,4.414850462755484,0.3994060248791896,0.4750743567318352,1467,Incapable de s'engager à long terme,Older Canadians Barriers to Volunteering,CA,
23,Senior,75 ans et plus,2018,nv_090,0.4481234700765545,5.588076180273142,0.3990430694134662,0.4972038707396428,807,Incapable de s'engager à long terme,Older Canadians Barriers to Volunteering,CA,
24,Senior,15 à 64 ans,2018,nv_100,0.2280419131130803,3.4577074098744243,0.2125875537262113,0.2434962724999492,6213,Préférence pour les dons d'argent,Older Canadians Barriers to Volunteering,CA,
25,Senior,64 à 75 ans,2018,nv_100,0.2790954944114181,5.927275412163289,0.2466722833177395,0.3115187055050967,1466,Préférence pour les dons d'argent,Older Canadians Barriers to Volunteering,CA,
26,Senior,75 ans et plus,2018,nv_100,0.2997037530062391,7.682072321373344,0.25457860245732,0.3448289035551581,802,Préférence pour les dons d'argent,Older Canadians Barriers to Volunteering,CA,
27,Senior,15 à 64 ans,2018,nv_110,0.2171198838339352,3.929040242890924,0.2003999649541533,0.2338398027137171,6205,Aucun intérêt pour en faire plus,Older Canadians Barriers to Volunteering,CA,
28,Senior,64 à 75 ans,2018,nv_110,0.2892605901847496,6.644617264144823,0.2515895745482071,0.3269316058212922,1455,Aucun intérêt pour en faire plus,Older Canadians Barriers to Volunteering,CA,
29,Senior,75 ans et plus,2018,nv_110,0.2647118738365503,7.949480146744486,0.2234679247185649,0.3059558229545357,804,Aucun intérêt pour en faire plus,Older Canadians Barriers to Volunteering,CA,
30,Senior,15 à 64 ans,2018,nv_120,0.2152294732222647,3.8677276461510286,0.1989137729491689,0.2315451734953605,6191,Utilisation des compétences impossible,Older Canadians Barriers to Volunteering,CA,
31,Senior,64 à 75 ans,2018,nv_120,0.1908406497319315,8.775277256934482,0.158017532454989,0.223663767008874,1439,Utilisation des compétences impossible,Older Canadians Barriers to Volunteering,CA,
32,Senior,75 ans et plus,2018,nv_120,0.1287785338894489,13.254553907021716,0.0953238690557655,0.1622331987231322,795,Utilisation des compétences impossible,Older Canadians Barriers to Volunteering,CA,
33,Senior,15 à 64 ans,2018,nv_130,0.1880547040697663,3.887915734274223,0.173724606873504,0.2023848012660285,6193,Aucune sollicitation pour une contribution importante,Older Canadians Barriers to Volunteering,CA,
34,Senior,64 à 75 ans,2018,nv_130,0.1681551257165423,8.116421198849835,0.1414051878515645,0.1949050635815201,1439,Aucune sollicitation pour une contribution importante,Older Canadians Barriers to Volunteering,CA,
35,Senior,75 ans et plus,2018,nv_130,0.1503542942706421,11.209163345041013,0.1173221227111829,0.1833864658301013,794,Aucune sollicitation pour une contribution importante,Older Canadians Barriers to Volunteering,CA,
36,Senior2,15 à 64 ans,2018,nv_020,0.3276007084836468,2.6426453820605325,0.3106326632922807,0.3445687536750129,6233,Assez de temps déjà donné,Older Canadians Barriers to Volunteering,CA,
37,Senior2,65 ans et plus,2018,nv_020,0.5314302400671509,2.808222917440599,0.50218023580084,0.5606802443334618,2305,Assez de temps déjà donné,Older Canadians Barriers to Volunteering,CA,
38,Senior2,15 à 64 ans,2018,nv_030,0.0604107594316344,7.803967466648891,0.0511706346399112,0.0696508842233576,6204,Expérience bénévole passée insatisfaisante,Older Canadians Barriers to Volunteering,CA,
39,Senior2,65 ans et plus,2018,nv_030,0.0749216988679723,9.840601177713085,0.0604713830617134,0.0893720146742312,2251,Expérience bénévole passée insatisfaisante,Older Canadians Barriers to Volunteering,CA,
40,Senior2,15 à 64 ans,2018,nv_040,0.3005728942607752,3.1040399147695794,0.282286621164277,0.3188591673572734,6228,Aucune sollicitation,Older Canadians Barriers to Volunteering,CA,
41,Senior2,65 ans et plus,2018,nv_040,0.2028901717625823,5.477203373510517,0.1811096656205373,0.2246706779046273,2261,Aucune sollicitation,Older Canadians Barriers to Volunteering,CA,
42,Senior2,15 à 64 ans,2018,nv_050,0.1676562970765699,4.943183750613148,0.1514129802422344,0.1838996139109053,6200,Ne savaient pas comment s'engager plus,Older Canadians Barriers to Volunteering,CA,
43,Senior2,65 ans et plus,2018,nv_050,0.0747099018267976,10.842208655331303,0.0588337948125312,0.0905860088410639,2241,Ne savaient pas comment s'engager plus,Older Canadians Barriers to Volunteering,CA,
44,Senior2,15 à 64 ans,2018,nv_060,0.1536267027084755,4.690727168614168,0.139502791658327,0.167750613758624,6203,Problèmes de santé/handicap physique,Older Canadians Barriers to Volunteering,CA,
45,Senior2,65 ans et plus,2018,nv_060,0.4032118507412848,3.5956111308102265,0.3747964297263496,0.43162727175622,2282,Problèmes de santé/handicap physique,Older Canadians Barriers to Volunteering,CA,
46,Senior2,15 à 64 ans,2018,nv_070,0.7801246308169387,1.0718056698720364,0.7637365487080048,0.7965127129258727,6355,Manque de temps,Older Canadians Barriers to Volunteering,CA,
47,Senior2,65 ans et plus,2018,nv_070,0.476116405444445,3.1016385308026995,0.4471728139293383,0.5050599969595518,2309,Manque de temps,Older Canadians Barriers to Volunteering,CA,
48,Senior2,15 à 64 ans,2018,nv_080,0.1215945990374027,5.846305927178888,0.1076616222525452,0.1355275758222601,6196,Coût financier du bénévolat,Older Canadians Barriers to Volunteering,CA,
49,Senior2,65 ans et plus,2018,nv_080,0.0893652748548615,9.497966761627572,0.0727293277096937,0.1060012220000292,2246,Coût financier du bénévolat,Older Canadians Barriers to Volunteering,CA,
50,Senior2,15 à 64 ans,2018,nv_090,0.4759399548082939,2.008329127600744,0.4572057552050163,0.4946741544115716,6233,Incapable de s'engager à long terme,Older Canadians Barriers to Volunteering,CA,
51,Senior2,65 ans et plus,2018,nv_090,0.441387380350025,3.393247124323328,0.4120322851686271,0.470742475531423,2274,Incapable de s'engager à long terme,Older Canadians Barriers to Volunteering,CA,
52,Senior2,15 à 64 ans,2018,nv_100,0.2280419131130803,3.4577074098744243,0.2125875537262113,0.2434962724999492,6213,Préférence pour les dons d'argent,Older Canadians Barriers to Volunteering,CA,
53,Senior2,65 ans et plus,2018,nv_100,0.286944868388914,4.549935185620389,0.2613559597606428,0.3125337770171851,2268,Préférence pour les dons d'argent,Older Canadians Barriers to Volunteering,CA,
54,Senior2,15 à 64 ans,2018,nv_110,0.2171198838339352,3.929040242890924,0.2003999649541533,0.2338398027137171,6205,Aucun intérêt pour en faire plus,Older Canadians Barriers to Volunteering,CA,
55,Senior2,65 ans et plus,2018,nv_110,0.2798689536315816,5.0930961393410845,0.2519316370454192,0.307806270217744,2259,Aucun intérêt pour en faire plus,Older Canadians Barriers to Volunteering,CA,
