,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,iva250_1,0.0551914378393697,5.904807588119876,0.0488040167212065,0.0615788589575329,11304,"Entretenir des parcs, lieux publics",Older Canadians Community Involvement Rate,CA,
1,Senior,64 à 75 ans,2018,iva250_1,0.051802402559553,11.172038207667995,0.0404593379502283,0.0631454671688777,3019,"Entretenir des parcs, lieux publics",Older Canadians Community Involvement Rate,CA,
2,Senior,75 ans et plus,2018,iva250_1,0.0241379861055763,20.27190525866814,0.0145474321751347,0.0337285400360179,1826,"Entretenir des parcs, lieux publics",Older Canadians Community Involvement Rate,CA,*
3,Senior,15 à 64 ans,2018,iva250_2,0.0985048078636739,4.012656054179615,0.0907577383131673,0.1062518774141806,11304,Participer aux réunions publiques,Older Canadians Community Involvement Rate,CA,
4,Senior,64 à 75 ans,2018,iva250_2,0.128809262645029,6.494944251145078,0.112412027947354,0.1452064973427041,3019,Participer aux réunions publiques,Older Canadians Community Involvement Rate,CA,
5,Senior,75 ans et plus,2018,iva250_2,0.1282110561462285,8.872829773894933,0.1059146062804468,0.1505075060120102,1826,Participer aux réunions publiques,Older Canadians Community Involvement Rate,CA,
6,Senior,15 à 64 ans,2018,iva250_3,0.1474510759910448,3.553412379605514,0.1371817569109307,0.1577203950711588,11304,Produire/diffuser de l'information,Older Canadians Community Involvement Rate,CA,
7,Senior,64 à 75 ans,2018,iva250_3,0.1056874599020178,7.398893491699159,0.0903611244514275,0.1210137953526081,3019,Produire/diffuser de l'information,Older Canadians Community Involvement Rate,CA,
8,Senior,75 ans et plus,2018,iva250_3,0.0726816728235793,10.503481119573026,0.0577191004358779,0.0876442452112807,1826,Produire/diffuser de l'information,Older Canadians Community Involvement Rate,CA,
9,Senior,15 à 64 ans,2018,iva250_4,0.0898132405392421,4.729528895292757,0.0814878169239854,0.0981386641544987,11304,Organiser/coordonner des événements,Older Canadians Community Involvement Rate,CA,
10,Senior,64 à 75 ans,2018,iva250_4,0.07292052945441,9.200105702075849,0.0597715901285901,0.0860694687802298,3019,Organiser/coordonner des événements,Older Canadians Community Involvement Rate,CA,
11,Senior,75 ans et plus,2018,iva250_4,0.0445146841810148,12.96187641460629,0.0332058128222033,0.0558235555398263,1826,Organiser/coordonner des événements,Older Canadians Community Involvement Rate,CA,
12,Senior,15 à 64 ans,2018,iva250_5,0.026175049008954,9.10570460303384,0.0215036264698055,0.0308464715481025,11304,Projet économique/social,Older Canadians Community Involvement Rate,CA,
13,Senior,64 à 75 ans,2018,iva250_5,0.030277921012718,16.995091114481127,0.0201924162228238,0.0403634258026121,3019,Projet économique/social,Older Canadians Community Involvement Rate,CA,*
14,Senior,75 ans et plus,2018,iva250_5,0.0165876727175244,17.3948067377287,0.0109324051577618,0.022242940277287,1826,Projet économique/social,Older Canadians Community Involvement Rate,CA,*
15,Senior,15 à 64 ans,2018,iva3_190,0.0357263687713839,6.2547302265117,0.0313466567977956,0.0401060807449722,11304,Autre,Older Canadians Community Involvement Rate,CA,
16,Senior,64 à 75 ans,2018,iva3_190,0.0471757465117387,12.424422250339614,0.0356877822747746,0.0586637107487029,3019,Autre,Older Canadians Community Involvement Rate,CA,
17,Senior,75 ans et plus,2018,iva3_190,0.0413292118466862,15.29201576894181,0.0289421030650612,0.0537163206283112,1826,Autre,Older Canadians Community Involvement Rate,CA,
18,Senior2,15 à 64 ans,2018,iva250_1,0.0551914378393697,5.904807588119876,0.0488040167212065,0.0615788589575329,11304,"Entretenir des parcs, lieux publics",Older Canadians Community Involvement Rate,CA,
19,Senior2,65 ans et plus,2018,iva250_1,0.0404353125406152,9.74898743742532,0.0327090687766245,0.0481615563046059,4845,"Entretenir des parcs, lieux publics",Older Canadians Community Involvement Rate,CA,
20,Senior2,15 à 64 ans,2018,iva250_2,0.0985048078636739,4.012656054179615,0.0907577383131673,0.1062518774141806,11304,Participer aux réunions publiques,Older Canadians Community Involvement Rate,CA,
21,Senior2,65 ans et plus,2018,iva250_2,0.1285634643238141,5.251982589682636,0.1153295312094692,0.141797397438159,4845,Participer aux réunions publiques,Older Canadians Community Involvement Rate,CA,
22,Senior2,15 à 64 ans,2018,iva250_3,0.1474510759910448,3.553412379605514,0.1371817569109307,0.1577203950711588,11304,Produire/diffuser de l'information,Older Canadians Community Involvement Rate,CA,
23,Senior2,65 ans et plus,2018,iva250_3,0.0921256429198789,5.996583457151865,0.0812980353996326,0.1029532504401253,4845,Produire/diffuser de l'information,Older Canadians Community Involvement Rate,CA,
24,Senior2,15 à 64 ans,2018,iva250_4,0.0898132405392421,4.729528895292757,0.0814878169239854,0.0981386641544987,11304,Organiser/coordonner des événements,Older Canadians Community Involvement Rate,CA,
25,Senior2,65 ans et plus,2018,iva250_4,0.0612487921949643,7.548754558982908,0.0521868575666464,0.0703107268232823,4845,Organiser/coordonner des événements,Older Canadians Community Involvement Rate,CA,
26,Senior2,15 à 64 ans,2018,iva250_5,0.026175049008954,9.10570460303384,0.0215036264698055,0.0308464715481025,11304,Projet économique/social,Older Canadians Community Involvement Rate,CA,
27,Senior2,65 ans et plus,2018,iva250_5,0.0246527062169544,12.932809537416274,0.0184037774645159,0.0309016349693929,4845,Projet économique/social,Older Canadians Community Involvement Rate,CA,
28,Senior2,15 à 64 ans,2018,iva3_190,0.0357263687713839,6.2547302265117,0.0313466567977956,0.0401060807449722,11304,Autre,Older Canadians Community Involvement Rate,CA,
29,Senior2,65 ans et plus,2018,iva3_190,0.0447734516378507,9.63714402110474,0.0363164382858948,0.0532304649898065,4845,Autre,Older Canadians Community Involvement Rate,CA,
30,Senior,15 à 64 ans,2018,iva250_1,0.0624158531575847,6.356205845177056,0.0546401270318322,0.0701915792833372,9905,"Entretenir des parcs, lieux publics",Older Canadians Community Involvement Rate,CA (without QC),
31,Senior,64 à 75 ans,2018,iva250_1,0.055849412733581,10.64311567629859,0.0441991563142442,0.0674996691529178,2647,"Entretenir des parcs, lieux publics",Older Canadians Community Involvement Rate,CA (without QC),
32,Senior,75 ans et plus,2018,iva250_1,0.0282801398297863,22.12547160918176,0.0160164211368466,0.040543858522726,1584,"Entretenir des parcs, lieux publics",Older Canadians Community Involvement Rate,CA (without QC),*
33,Senior,15 à 64 ans,2018,iva250_2,0.1079151670292232,4.200990845755567,0.0990296579809015,0.1168006760775448,9905,Participer aux réunions publiques,Older Canadians Community Involvement Rate,CA (without QC),
34,Senior,64 à 75 ans,2018,iva250_2,0.137849539464406,6.792689157321627,0.1194970428896257,0.1562020360391862,2647,Participer aux réunions publiques,Older Canadians Community Involvement Rate,CA (without QC),
35,Senior,75 ans et plus,2018,iva250_2,0.1435113157249877,9.114085683766849,0.1178754880070839,0.1691471434428915,1584,Participer aux réunions publiques,Older Canadians Community Involvement Rate,CA (without QC),
36,Senior,15 à 64 ans,2018,iva250_3,0.1520910734908187,3.7365102817772624,0.1409527969096718,0.1632293500719655,9905,Produire/diffuser de l'information,Older Canadians Community Involvement Rate,CA (without QC),
37,Senior,64 à 75 ans,2018,iva250_3,0.1173912559624185,7.94494610804973,0.0991113147041185,0.1356711972207186,2647,Produire/diffuser de l'information,Older Canadians Community Involvement Rate,CA (without QC),
38,Senior,75 ans et plus,2018,iva250_3,0.087680185193356,11.03613816873175,0.0687145811834883,0.1066457892032236,1584,Produire/diffuser de l'information,Older Canadians Community Involvement Rate,CA (without QC),
39,Senior,15 à 64 ans,2018,iva250_4,0.0944676107812863,4.71639379003196,0.0857350607710695,0.1032001607915031,9905,Organiser/coordonner des événements,Older Canadians Community Involvement Rate,CA (without QC),
40,Senior,64 à 75 ans,2018,iva250_4,0.0799854793459269,8.85687120386756,0.0661006811476093,0.0938702775442445,2647,Organiser/coordonner des événements,Older Canadians Community Involvement Rate,CA (without QC),
41,Senior,75 ans et plus,2018,iva250_4,0.0513170367560019,14.506189159943856,0.0367267778710763,0.0659072956409276,1584,Organiser/coordonner des événements,Older Canadians Community Involvement Rate,CA (without QC),
42,Senior,15 à 64 ans,2018,iva250_5,0.0265911656783937,10.396425787683365,0.0211727848648073,0.0320095464919801,9905,Projet économique/social,Older Canadians Community Involvement Rate,CA (without QC),
