Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,fg1a_030,0.09160923397593401,3.897789215281873,0.08461072228704376,0.09860774566482426,11304,Mail request,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_030,0.3220780119718519,3.838015326594087,0.2978501063858675,0.34630591755783624,3019,Mail request,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_030,0.4018899516901926,3.95467421792152,0.370739385024021,0.4330405183563642,1826,Mail request,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_040,0.04882627773041677,4.792221674003658,0.04424022961222338,0.05341232584861016,11304,Telephone request,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_040,0.09586080514948142,8.397725152991226,0.08008284626454609,0.11163876403441675,3019,Telephone request,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_040,0.08080972062008647,9.390621919071467,0.06593646466358806,0.09568297657658488,1826,Telephone request,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_050,0.03819600123510456,6.598946555880296,0.033255845945629026,0.043136156524580097,11304,TV or radio request,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_050,0.07850877967046285,9.876412326260416,0.06331151137552786,0.09370604796539785,3019,TV or radio request,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_050,0.06607468964464641,12.157294351017429,0.050330505710259994,0.08181887357903284,1826,TV or radio request,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_060,0.13260050961551056,3.5945621376843864,0.1232585221623659,0.14194249706865522,11304,Online,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_060,0.10177410335501477,7.777432180997241,0.08626018117435535,0.11728802553567419,3019,Online,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_060,0.04876665081501845,15.734078413265243,0.03372788032666701,0.06380542130336989,1826,Online,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_070,0.16085401601277205,2.908673827367856,0.15168389593747084,0.17002413608807326,11304,On own,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_070,0.2026823889102644,5.194442304410823,0.18204745737277656,0.22331732044775227,3019,On own,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_070,0.18658430166560883,7.022633485473419,0.1609026355520065,0.21226596777921114,1826,On own,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_080,0.14754724517323778,3.3125670093438755,0.13796772252351241,0.15712676782296314,11304,Charity event,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_080,0.15612875311819904,5.722903164684185,0.13861628410760046,0.17364122212879762,3019,Charity event,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_080,0.12038702473759443,8.433918436972181,0.10048683720379985,0.140287212271389,1826,Charity event,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_090,0.13887695880551879,3.0447173366944194,0.1305894258444859,0.14716449176655166,11304,In memoriam,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_090,0.2803493262705977,4.374188677777419,0.2563142712920994,0.30438438124909606,3019,In memoriam,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_090,0.31525987955522194,4.866958460865713,0.28518704009267165,0.34533271901777224,1826,In memoriam,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_100,0.17764534159378012,2.7558613140880364,0.16805002579248501,0.18724065739507523,11304,At work,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_100,0.06815404340403797,8.657765433535884,0.05658904618315279,0.07971904062492315,3019,At work,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_100,0.025393432222081937,19.02691943211107,0.01592369396965327,0.0348631704745106,1826,At work,Older Canadians Dontation Rates by Method,CA,*
Senior,15 to 64,2018,fg1a_110,0.15055445587334074,3.084863818911403,0.14145159926702922,0.15965731247965226,11304,Door-to-door canvassing,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_110,0.19190874418047746,5.427528255288616,0.17149395273701473,0.21232353562394018,3019,Door-to-door canvassing,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_110,0.14754871840112774,7.7007738366097245,0.1252788371412829,0.16981859966097257,1826,Door-to-door canvassing,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_120,0.32234994540732426,2.0644459854806656,0.3093068936868296,0.3353929971278189,11304,Approached in public,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_120,0.3474366772646942,3.809105616259229,0.3214980631277717,0.3733752914016167,3019,Approached in public,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_120,0.2694491471796429,5.398958650439267,0.24093667295390242,0.2979616214053834,1826,Approached in public,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_130,0.20970032698105787,2.747020419790882,0.19840993327552964,0.2209907206865861,11304,Place of worship,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_130,0.2972226430458215,4.22154509312113,0.27263021465560217,0.3218150714360409,3019,Place of worship,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_130,0.3859723926597601,4.375130868448936,0.3528748781474334,0.41906990717208675,1826,Place of worship,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_140,0.1892300027899801,2.5369638202295834,0.1798208101419897,0.19863919543797048,11304,Sponsoring someone,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_140,0.2696244271622059,4.123041318917902,0.2478360435221501,0.2914128108022617,3019,Sponsoring someone,Older Canadians Dontation Rates by Method,CA,
Senior,75 plus,2018,fg1a_140,0.1947843373001641,6.185192464340233,0.17117111034801027,0.2183975642523179,1826,Sponsoring someone,Older Canadians Dontation Rates by Method,CA,
Senior,15 to 64,2018,fg1a_170,0.04960420364789463,5.203172566851203,0.04454555166374399,0.054662855632045274,11304,Any other method,Older Canadians Dontation Rates by Method,CA,
Senior,65 to 74,2018,fg1a_170,0.06039186252421699,11.017407239631941,0.04735101198688153,0.07343271306155244,3019,Any other method,Older Canadians Dontation Rates by Method,CA,
