,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,fg1a_030,0.091609233975934,3.897789215281873,0.0846107222870437,0.0986077456648242,11304,Demande par lettre,Older Canadians Dontation Rates by Method,CA,
1,Senior,64 à 75 ans,2018,fg1a_030,0.3220780119718519,3.838015326594087,0.2978501063858675,0.3463059175578362,3019,Demande par lettre,Older Canadians Dontation Rates by Method,CA,
2,Senior,75 ans et plus,2018,fg1a_030,0.4018899516901926,3.95467421792152,0.370739385024021,0.4330405183563642,1826,Demande par lettre,Older Canadians Dontation Rates by Method,CA,
3,Senior,15 à 64 ans,2018,fg1a_040,0.0488262777304167,4.792221674003658,0.0442402296122233,0.0534123258486101,11304,Demande au téléphone,Older Canadians Dontation Rates by Method,CA,
4,Senior,64 à 75 ans,2018,fg1a_040,0.0958608051494814,8.397725152991226,0.080082846264546,0.1116387640344167,3019,Demande au téléphone,Older Canadians Dontation Rates by Method,CA,
5,Senior,75 ans et plus,2018,fg1a_040,0.0808097206200864,9.390621919071467,0.065936464663588,0.0956829765765848,1826,Demande au téléphone,Older Canadians Dontation Rates by Method,CA,
6,Senior,15 à 64 ans,2018,fg1a_050,0.0381960012351045,6.598946555880296,0.033255845945629,0.04313615652458,11304,Demande à la télé ou la radio,Older Canadians Dontation Rates by Method,CA,
7,Senior,64 à 75 ans,2018,fg1a_050,0.0785087796704628,9.876412326260416,0.0633115113755278,0.0937060479653978,3019,Demande à la télé ou la radio,Older Canadians Dontation Rates by Method,CA,
8,Senior,75 ans et plus,2018,fg1a_050,0.0660746896446464,12.157294351017429,0.0503305057102599,0.0818188735790328,1826,Demande à la télé ou la radio,Older Canadians Dontation Rates by Method,CA,
9,Senior,15 à 64 ans,2018,fg1a_060,0.1326005096155105,3.5945621376843864,0.1232585221623659,0.1419424970686552,11304,En ligne,Older Canadians Dontation Rates by Method,CA,
10,Senior,64 à 75 ans,2018,fg1a_060,0.1017741033550147,7.777432180997241,0.0862601811743553,0.1172880255356741,3019,En ligne,Older Canadians Dontation Rates by Method,CA,
11,Senior,75 ans et plus,2018,fg1a_060,0.0487666508150184,15.734078413265244,0.033727880326667,0.0638054213033698,1826,En ligne,Older Canadians Dontation Rates by Method,CA,
12,Senior,15 à 64 ans,2018,fg1a_070,0.160854016012772,2.908673827367856,0.1516838959374708,0.1700241360880732,11304,Initiative personnelle,Older Canadians Dontation Rates by Method,CA,
13,Senior,64 à 75 ans,2018,fg1a_070,0.2026823889102644,5.194442304410823,0.1820474573727765,0.2233173204477522,3019,Initiative personnelle,Older Canadians Dontation Rates by Method,CA,
14,Senior,75 ans et plus,2018,fg1a_070,0.1865843016656088,7.022633485473419,0.1609026355520065,0.2122659677792111,1826,Initiative personnelle,Older Canadians Dontation Rates by Method,CA,
15,Senior,15 à 64 ans,2018,fg1a_080,0.1475472451732377,3.3125670093438755,0.1379677225235124,0.1571267678229631,11304,Activité caritative,Older Canadians Dontation Rates by Method,CA,
16,Senior,64 à 75 ans,2018,fg1a_080,0.156128753118199,5.722903164684185,0.1386162841076004,0.1736412221287976,3019,Activité caritative,Older Canadians Dontation Rates by Method,CA,
17,Senior,75 ans et plus,2018,fg1a_080,0.1203870247375944,8.433918436972181,0.1004868372037998,0.140287212271389,1826,Activité caritative,Older Canadians Dontation Rates by Method,CA,
18,Senior,15 à 64 ans,2018,fg1a_090,0.1388769588055187,3.04471733669442,0.1305894258444859,0.1471644917665516,11304,À la mémoire,Older Canadians Dontation Rates by Method,CA,
19,Senior,64 à 75 ans,2018,fg1a_090,0.2803493262705977,4.374188677777419,0.2563142712920994,0.304384381249096,3019,À la mémoire,Older Canadians Dontation Rates by Method,CA,
20,Senior,75 ans et plus,2018,fg1a_090,0.3152598795552219,4.866958460865713,0.2851870400926716,0.3453327190177722,1826,À la mémoire,Older Canadians Dontation Rates by Method,CA,
21,Senior,15 à 64 ans,2018,fg1a_100,0.1776453415937801,2.7558613140880364,0.168050025792485,0.1872406573950752,11304,Au travail,Older Canadians Dontation Rates by Method,CA,
22,Senior,64 à 75 ans,2018,fg1a_100,0.0681540434040379,8.657765433535884,0.0565890461831527,0.0797190406249231,3019,Au travail,Older Canadians Dontation Rates by Method,CA,
23,Senior,75 ans et plus,2018,fg1a_100,0.0253934322220819,19.02691943211107,0.0159236939696532,0.0348631704745106,1826,Au travail,Older Canadians Dontation Rates by Method,CA,*
24,Senior,15 à 64 ans,2018,fg1a_110,0.1505544558733407,3.084863818911403,0.1414515992670292,0.1596573124796522,11304,Porte-à-porte,Older Canadians Dontation Rates by Method,CA,
25,Senior,64 à 75 ans,2018,fg1a_110,0.1919087441804774,5.427528255288616,0.1714939527370147,0.2123235356239401,3019,Porte-à-porte,Older Canadians Dontation Rates by Method,CA,
26,Senior,75 ans et plus,2018,fg1a_110,0.1475487184011277,7.7007738366097245,0.1252788371412829,0.1698185996609725,1826,Porte-à-porte,Older Canadians Dontation Rates by Method,CA,
27,Senior,15 à 64 ans,2018,fg1a_120,0.3223499454073242,2.0644459854806656,0.3093068936868296,0.3353929971278189,11304,Lieu public,Older Canadians Dontation Rates by Method,CA,
28,Senior,64 à 75 ans,2018,fg1a_120,0.3474366772646942,3.809105616259229,0.3214980631277717,0.3733752914016167,3019,Lieu public,Older Canadians Dontation Rates by Method,CA,
29,Senior,75 ans et plus,2018,fg1a_120,0.2694491471796429,5.398958650439267,0.2409366729539024,0.2979616214053834,1826,Lieu public,Older Canadians Dontation Rates by Method,CA,
30,Senior,15 à 64 ans,2018,fg1a_130,0.2097003269810578,2.747020419790882,0.1984099332755296,0.2209907206865861,11304,Lieu de culture,Older Canadians Dontation Rates by Method,CA,
31,Senior,64 à 75 ans,2018,fg1a_130,0.2972226430458215,4.22154509312113,0.2726302146556021,0.3218150714360409,3019,Lieu de culture,Older Canadians Dontation Rates by Method,CA,
32,Senior,75 ans et plus,2018,fg1a_130,0.3859723926597601,4.375130868448936,0.3528748781474334,0.4190699071720867,1826,Lieu de culture,Older Canadians Dontation Rates by Method,CA,
33,Senior,15 à 64 ans,2018,fg1a_140,0.1892300027899801,2.5369638202295834,0.1798208101419897,0.1986391954379704,11304,Parrainage de quelqu'un,Older Canadians Dontation Rates by Method,CA,
34,Senior,64 à 75 ans,2018,fg1a_140,0.2696244271622059,4.123041318917902,0.2478360435221501,0.2914128108022617,3019,Parrainage de quelqu'un,Older Canadians Dontation Rates by Method,CA,
35,Senior,75 ans et plus,2018,fg1a_140,0.1947843373001641,6.185192464340233,0.1711711103480102,0.2183975642523179,1826,Parrainage de quelqu'un,Older Canadians Dontation Rates by Method,CA,
36,Senior,15 à 64 ans,2018,fg1a_170,0.0496042036478946,5.203172566851203,0.0445455516637439,0.0546628556320452,11304,Autre méthode,Older Canadians Dontation Rates by Method,CA,
37,Senior,64 à 75 ans,2018,fg1a_170,0.0603918625242169,11.01740723963194,0.0473510119868815,0.0734327130615524,3019,Autre méthode,Older Canadians Dontation Rates by Method,CA,
38,Senior,75 ans et plus,2018,fg1a_170,0.0459614536147896,14.97068006389033,0.032475446768052,0.0594474604615271,1826,Autre méthode,Older Canadians Dontation Rates by Method,CA,
39,Senior2,15 à 64 ans,2018,fg1a_030,0.091609233975934,3.897789215281873,0.0846107222870437,0.0986077456648242,11304,Demande par lettre,Older Canadians Dontation Rates by Method,CA,
40,Senior2,65 ans et plus,2018,fg1a_030,0.3548721070460677,2.7491875980863374,0.3357505025027777,0.3739937115893577,4845,Demande par lettre,Older Canadians Dontation Rates by Method,CA,
