,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,fg1fgiv,0.6531191903459433,1.0871970656714096,0.6392020884420111,0.6670362922498756,11304,Donor flag,Older Canadians Donation Rates,CA,
1,Senior,65 à 74 ans,2018,fg1fgiv,0.7690428533098695,1.4913566718431357,0.7465636894491184,0.7915220171706207,3019,Donor flag,Older Canadians Donation Rates,CA,
2,Senior,75 ans et plus,2018,fg1fgiv,0.7813933352443747,1.8475585159392187,0.7530979249364869,0.8096887455522626,1826,Donor flag,Older Canadians Donation Rates,CA,
3,Senior,15 à 64 ans,2018,SecDonFlag,0.6092912371250575,1.1975271265283856,0.5949905013347617,0.6235919729153533,11304,Secular donor flag,Older Canadians Donation Rates,CA,
4,Senior,65 à 74 ans,2018,SecDonFlag,0.7263518734328317,1.6907729342593876,0.7022816324056493,0.7504221144600141,3019,Secular donor flag,Older Canadians Donation Rates,CA,
5,Senior,75 ans et plus,2018,SecDonFlag,0.7221844741827498,2.084030759357204,0.692685944935817,0.7516830034296825,1826,Secular donor flag,Older Canadians Donation Rates,CA,
6,Senior,15 à 64 ans,2018,RelDonFlag,0.2180879395864977,2.691814369250356,0.2065819269250984,0.229593952247897,11304,Religious donor flag,Older Canadians Donation Rates,CA,
7,Senior,65 à 74 ans,2018,RelDonFlag,0.3250214592108619,3.9382139391872384,0.2999338410027005,0.3501090774190233,3019,Religious donor flag,Older Canadians Donation Rates,CA,
8,Senior,75 ans et plus,2018,RelDonFlag,0.4078956628664197,4.1667187649178645,0.3745843793334746,0.4412069463993648,1826,Religious donor flag,Older Canadians Donation Rates,CA,
9,Senior2,15 à 64 ans,2018,fg1fgiv,0.6531191903459433,1.0871970656714096,0.6392020884420111,0.6670362922498756,11304,Donor flag,Older Canadians Donation Rates,CA,
10,Senior2,65 ans et plus,2018,fg1fgiv,0.7741175686995956,1.1715804059503572,0.756341852220908,0.7918932851782832,4845,Donor flag,Older Canadians Donation Rates,CA,
11,Senior2,15 à 64 ans,2018,SecDonFlag,0.6092912371250575,1.1975271265283856,0.5949905013347617,0.6235919729153533,11304,Secular donor flag,Older Canadians Donation Rates,CA,
12,Senior2,65 ans et plus,2018,SecDonFlag,0.724639522026492,1.3294347189394289,0.7057579945751304,0.7435210494778535,4845,Secular donor flag,Older Canadians Donation Rates,CA,
13,Senior2,15 à 64 ans,2018,RelDonFlag,0.2180879395864977,2.691814369250356,0.2065819269250984,0.229593952247897,11304,Religious donor flag,Older Canadians Donation Rates,CA,
14,Senior2,65 ans et plus,2018,RelDonFlag,0.3590738143280467,2.8905265787537977,0.3387311050175983,0.3794165236384952,4845,Religious donor flag,Older Canadians Donation Rates,CA,
15,Senior,15 à 64 ans,2018,fg1fgiv,0.6497865970251068,1.2233724704379272,0.634206235047758,0.6653669590024556,9905,Donor flag,Older Canadians Donation Rates,CA (without QC),
16,Senior,65 à 74 ans,2018,fg1fgiv,0.7713787065825158,1.5306373783360911,0.7482373906269449,0.7945200225380867,2647,Donor flag,Older Canadians Donation Rates,CA (without QC),
17,Senior,75 ans et plus,2018,fg1fgiv,0.7824103788933219,1.9106188012922527,0.7531111128714041,0.8117096449152397,1584,Donor flag,Older Canadians Donation Rates,CA (without QC),
18,Senior,15 à 64 ans,2018,SecDonFlag,0.6049286048147721,1.3147888398145775,0.5893399650464463,0.6205172445830979,9905,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
19,Senior,65 à 74 ans,2018,SecDonFlag,0.7299880489798087,1.7004846486932652,0.7056583600197814,0.754317737939836,2647,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
20,Senior,75 ans et plus,2018,SecDonFlag,0.7115167158323852,2.2899886627202743,0.679581744488955,0.7434516871758153,1584,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
21,Senior,15 à 64 ans,2018,RelDonFlag,0.2201212954163186,3.047153988119432,0.2069749647169913,0.233267626115646,9905,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
22,Senior,65 à 74 ans,2018,RelDonFlag,0.3122436776789347,4.192207322800579,0.2865879405693367,0.3378994147885327,2647,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
23,Senior,75 ans et plus,2018,RelDonFlag,0.4098517389781804,4.322237307801764,0.3751314380367545,0.4445720399196062,1584,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
24,Senior2,15 à 64 ans,2018,fg1fgiv,0.6497865970251068,1.2233724704379272,0.634206235047758,0.6653669590024556,9905,Donor flag,Older Canadians Donation Rates,CA (without QC),
25,Senior2,65 ans et plus,2018,fg1fgiv,0.7758957919006247,1.1789662330313135,0.7579669245493856,0.7938246592518639,4231,Donor flag,Older Canadians Donation Rates,CA (without QC),
26,Senior2,15 à 64 ans,2018,SecDonFlag,0.6049286048147721,1.3147888398145775,0.5893399650464463,0.6205172445830979,9905,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
27,Senior2,65 ans et plus,2018,SecDonFlag,0.7224246818478471,1.4021577461791086,0.7025711607394549,0.7422782029562394,4231,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
28,Senior2,15 à 64 ans,2018,RelDonFlag,0.2201212954163186,3.047153988119432,0.2069749647169913,0.233267626115646,9905,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
