Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,ng_120a,0.42474486683027957,4.4414537230695865,0.38777044672170474,0.4617192869388544,1617,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,65 to 74,2018,ng_120a,0.56862240119441,6.105523000580075,0.5005776034334166,0.6366671989554034,503,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,75 plus,2018,ng_120a,0.6515767537430627,5.927198591120059,0.5758824582599315,0.7272710492261939,314,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,15 to 64,2018,ng_120b,0.38419824517860535,5.137725577060398,0.34551041513167385,0.42288607522553684,1617,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,65 to 74,2018,ng_120b,0.40431505002871426,8.74135102893994,0.33504483124837486,0.47358526880905366,503,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,75 plus,2018,ng_120b,0.3291456423331198,10.860492915323837,0.25908312500527025,0.3992081596609694,314,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,15 to 64,2018,ng_120c,0.6324221866385575,2.8992097541654966,0.5964857653747032,0.6683586079024119,1617,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,65 to 74,2018,ng_120c,0.49517066735101845,6.913752252160027,0.42807154893032867,0.5622697857717083,503,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,75 plus,2018,ng_120c,0.5094985394787932,7.581648379452923,0.43378829068495417,0.5852087882726322,314,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,15 to 64,2018,ng_120d,0.14018153584495158,11.795235841155142,0.10777403554433279,0.17258903614557036,1617,Other,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,65 to 74,2018,ng_120d,0.10855391279738356,20.284722651490917,0.0653957799817249,0.15171204561304225,503,Other,Older Canadians Reasons for Concers About Efficiency,CA,*
Senior,75 plus,2018,ng_120d,0.09087322449115241,25.409456537544877,0.045616886838821855,0.13612956214348299,314,Other,Older Canadians Reasons for Concers About Efficiency,CA,*
Senior2,15 to 64,2018,ng_120a,0.42474486683027957,4.4414537230695865,0.38777044672170474,0.4617192869388544,1617,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA,
Senior2,65 plus,2018,ng_120a,0.6012538493470986,4.201890328250143,0.5517372656485265,0.6507704330456706,817,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA,
Senior2,15 to 64,2018,ng_120b,0.38419824517860535,5.137725577060398,0.34551041513167385,0.42288607522553684,1617,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA,
Senior2,65 plus,2018,ng_120b,0.374745936962001,6.842046005790128,0.3244918931617493,0.42499998076225265,817,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA,
Senior2,15 to 64,2018,ng_120c,0.6324221866385575,2.8992097541654966,0.5964857653747032,0.6683586079024119,1617,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA,
Senior2,65 plus,2018,ng_120c,0.5008067696423554,5.023900625232533,0.45149400830728015,0.5501195309774306,817,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA,
Senior2,15 to 64,2018,ng_120d,0.14018153584495158,11.795235841155142,0.10777403554433279,0.17258903614557036,1617,Other,Older Canadians Reasons for Concers About Efficiency,CA,
Senior2,65 plus,2018,ng_120d,0.10159892555388417,15.972517884625464,0.06979281316222705,0.1334050379455413,817,Other,Older Canadians Reasons for Concers About Efficiency,CA,
Senior,15 to 64,2018,ng_120a,0.45092695638172536,4.576543106497525,0.41047944121421676,0.49137447154923397,1442,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,65 to 74,2018,ng_120a,0.6238926522300824,5.788523052547546,0.5531101797034478,0.694675124756717,446,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,75 plus,2018,ng_120a,0.7404215177480061,4.317594922706397,0.6777646014651522,0.8030784340308601,278,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,15 to 64,2018,ng_120b,0.41643223436476856,5.171382826931649,0.37422381206334027,0.45864065666619686,1442,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,65 to 74,2018,ng_120b,0.4530682448921402,8.744896134976425,0.3754137908618749,0.5307226989224055,446,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,75 plus,2018,ng_120b,0.35547231735968854,10.642854982998779,0.28132216955815037,0.4296224651612267,278,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,15 to 64,2018,ng_120c,0.6471144036944796,3.0138603387035503,0.6088889823648614,0.6853398250240977,1442,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,65 to 74,2018,ng_120c,0.4788891656239609,7.637885218331676,0.40719955356657855,0.5505787776813432,446,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,75 plus,2018,ng_120c,0.5224466125718465,7.6035687461561405,0.4445878520673569,0.6003053730763361,278,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,15 to 64,2018,ng_120d,0.11885569368635923,14.15664023320905,0.08587739269586298,0.1518339946768555,1442,Other,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior,65 to 74,2018,ng_120d,0.09166145158641478,25.982181876575083,0.04498364499651904,0.13833925817631054,446,Other,Older Canadians Reasons for Concers About Efficiency,CA (without QC),*
Senior,75 plus,2018,ng_120d,0.05337940828556057,30.048406938182758,0.021942248788593507,0.08481656778252764,278,Other,Older Canadians Reasons for Concers About Efficiency,CA (without QC),*
Senior2,15 to 64,2018,ng_120a,0.45092695638172536,4.576543106497525,0.41047944121421676,0.49137447154923397,1442,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior2,65 plus,2018,ng_120a,0.6686382925513217,3.8498501953427264,0.6181857373265294,0.719090847776114,724,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior2,15 to 64,2018,ng_120b,0.41643223436476856,5.171382826931649,0.37422381206334027,0.45864065666619686,1442,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior2,65 plus,2018,ng_120b,0.4155926181384143,6.960053328287265,0.3588997429147597,0.47228549336206893,724,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior2,15 to 64,2018,ng_120c,0.6471144036944796,3.0138603387035503,0.6088889823648614,0.6853398250240977,1442,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior2,65 plus,2018,ng_120c,0.49561468548360255,5.550129822992591,0.4417014495765016,0.5495279213907035,724,No explanation of how donation would be spent,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior2,15 to 64,2018,ng_120d,0.11885569368635923,14.15664023320905,0.08587739269586298,0.1518339946768555,1442,Other,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
Senior2,65 plus,2018,ng_120d,0.07696162135389048,21.398522919388345,0.04468366011819312,0.10923958258958784,724,Other,Older Canadians Reasons for Concers About Efficiency,CA (without QC),*
Senior,15 to 64,2018,ng_120a,0.4568274832435844,12.448897923577656,0.3453643567736745,0.5682906097134943,176,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,AB,
Senior,65 to 74,2018,ng_120a,0.7120884069200429,15.847920197110263,0.49090411448334315,0.9332726993567427,29,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,AB,
Senior,75 plus,2018,ng_120a,0.7416863635050396,13.3769457462361,0.5472285711697971,0.9361441558402821,21,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,AB,
Senior,15 to 64,2018,ng_120a,0.39717445497659115,8.853985364687698,0.3282508159807294,0.4660980939724529,367,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,AT,
Senior,65 to 74,2018,ng_120a,0.6131826005919527,7.888621293783267,0.5183759024471524,0.7079892987367531,142,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,AT,
Senior,75 plus,2018,ng_120a,0.6168542571418391,12.988127142157053,0.45982622483099805,0.77388228945268,73,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,AT,
Senior,15 to 64,2018,ng_120a,0.40769436749305515,10.826153443269224,0.3211862262331077,0.4942025087530026,218,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,BC,
Senior,65 to 74,2018,ng_120a,0.5793569416112828,15.426189827341974,0.40418966529219225,0.7545242179303734,62,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,BC,
Senior,75 plus,2018,ng_120a,0.6998750550587731,13.90569453268285,0.5091264851297541,0.8906236249877921,43,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,BC,
Senior,15 to 64,2018,ng_120a,0.4708282110223531,6.685491772876976,0.4091340693154407,0.5325223527292655,451,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,ON,
Senior,65 to 74,2018,ng_120a,0.6160173252569721,8.478069000783538,0.5136555133853973,0.7183791371285468,143,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,ON,
Senior,75 plus,2018,ng_120a,0.7793545428060741,5.5763090848927845,0.6941760403887268,0.8645330452234213,90,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,ON,
Senior,15 to 64,2018,ng_120a,0.4586342815192098,8.998823738899725,0.37774325436196715,0.5395253086764524,230,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,PR,
Senior,65 to 74,2018,ng_120a,0.7002988689588552,10.088723250852528,0.5618250324513584,0.838772705466352,70,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,PR,
Senior,75 plus,2018,ng_120a,0.724477273229244,9.981645694181074,0.5827429587631198,0.8662115876953683,51,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,PR,
Senior,15 to 64,2018,ng_120a,0.32128810630239857,13.391640802660444,0.23695918758467666,0.4056170250201205,175,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,QC,
Senior,65 to 74,2018,ng_120a,0.37060951884342036,21.62890033948694,0.2135012293787367,0.527717808308104,57,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,QC,*
Senior,75 plus,2018,ng_120a,0.38285921807754775,26.074035948992673,0.18720218708254985,0.5785162490725456,36,Too much spent on fundraising,Older Canadians Reasons for Concers About Efficiency,QC,*
Senior,15 to 64,2018,ng_120b,0.5264631056865754,10.252176338122316,0.42067615472006337,0.6322500566530874,176,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,AB,
Senior,65 to 74,2018,ng_120b,0.6072029003456786,17.80419489479414,0.3953159218327773,0.8190898788585799,29,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,AB,*
Senior,75 plus,2018,ng_120b,0.32980925904440833,37.023246978652516,0.09048570754406599,0.5691328105447506,21,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,AB,...
Senior,15 to 64,2018,ng_120b,0.4542889053325456,8.47362325273157,0.3788406203169604,0.5297371903481308,367,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,AT,
Senior,65 to 74,2018,ng_120b,0.4132766793628304,12.245351090732,0.314088428490077,0.5124649302355838,142,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,AT,
Senior,75 plus,2018,ng_120b,0.4288669576141397,17.618308492067992,0.28077383582851845,0.5769600793997609,73,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,AT,*
Senior,15 to 64,2018,ng_120b,0.4162081870093079,11.248738812832569,0.32444625631366836,0.5079701177049475,218,No impact on cause/community,Older Canadians Reasons for Concers About Efficiency,BC,
