,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,ng_120a,0.4247448668302795,4.4414537230695865,0.3877704467217047,0.4617192869388544,1617,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA,
1,Senior,64 à 75 ans,2018,ng_120a,0.56862240119441,6.105523000580075,0.5005776034334166,0.6366671989554034,503,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA,
2,Senior,75 ans et plus,2018,ng_120a,0.6515767537430627,5.927198591120059,0.5758824582599315,0.7272710492261939,314,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA,
3,Senior,15 à 64 ans,2018,ng_120b,0.3841982451786053,5.137725577060398,0.3455104151316738,0.4228860752255368,1617,Incidence nulle sur la cause/la communauté,Older Canadians Reasons for Concers About Efficiency,CA,
4,Senior,64 à 75 ans,2018,ng_120b,0.4043150500287142,8.74135102893994,0.3350448312483748,0.4735852688090536,503,Incidence nulle sur la cause/la communauté,Older Canadians Reasons for Concers About Efficiency,CA,
5,Senior,75 ans et plus,2018,ng_120b,0.3291456423331198,10.860492915323835,0.2590831250052702,0.3992081596609694,314,Incidence nulle sur la cause/la communauté,Older Canadians Reasons for Concers About Efficiency,CA,
6,Senior,15 à 64 ans,2018,ng_120c,0.6324221866385575,2.8992097541654966,0.5964857653747032,0.6683586079024119,1617,Aucune explication sur l'utilisation des dons,Older Canadians Reasons for Concers About Efficiency,CA,
7,Senior,64 à 75 ans,2018,ng_120c,0.4951706673510184,6.913752252160027,0.4280715489303286,0.5622697857717083,503,Aucune explication sur l'utilisation des dons,Older Canadians Reasons for Concers About Efficiency,CA,
8,Senior,75 ans et plus,2018,ng_120c,0.5094985394787932,7.581648379452923,0.4337882906849541,0.5852087882726322,314,Aucune explication sur l'utilisation des dons,Older Canadians Reasons for Concers About Efficiency,CA,
9,Senior,15 à 64 ans,2018,ng_120d,0.1401815358449515,11.795235841155142,0.1077740355443327,0.1725890361455703,1617,Autre,Older Canadians Reasons for Concers About Efficiency,CA,
10,Senior,64 à 75 ans,2018,ng_120d,0.1085539127973835,20.28472265149092,0.0653957799817249,0.1517120456130422,503,Autre,Older Canadians Reasons for Concers About Efficiency,CA,*
11,Senior,75 ans et plus,2018,ng_120d,0.0908732244911524,25.40945653754488,0.0456168868388218,0.1361295621434829,314,Autre,Older Canadians Reasons for Concers About Efficiency,CA,*
12,Senior2,15 à 64 ans,2018,ng_120a,0.4247448668302795,4.4414537230695865,0.3877704467217047,0.4617192869388544,1617,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA,
13,Senior2,65 ans et plus,2018,ng_120a,0.6012538493470986,4.201890328250143,0.5517372656485265,0.6507704330456706,817,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA,
14,Senior2,15 à 64 ans,2018,ng_120b,0.3841982451786053,5.137725577060398,0.3455104151316738,0.4228860752255368,1617,Incidence nulle sur la cause/la communauté,Older Canadians Reasons for Concers About Efficiency,CA,
15,Senior2,65 ans et plus,2018,ng_120b,0.374745936962001,6.842046005790128,0.3244918931617493,0.4249999807622526,817,Incidence nulle sur la cause/la communauté,Older Canadians Reasons for Concers About Efficiency,CA,
16,Senior2,15 à 64 ans,2018,ng_120c,0.6324221866385575,2.8992097541654966,0.5964857653747032,0.6683586079024119,1617,Aucune explication sur l'utilisation des dons,Older Canadians Reasons for Concers About Efficiency,CA,
17,Senior2,65 ans et plus,2018,ng_120c,0.5008067696423554,5.023900625232533,0.4514940083072801,0.5501195309774306,817,Aucune explication sur l'utilisation des dons,Older Canadians Reasons for Concers About Efficiency,CA,
18,Senior2,15 à 64 ans,2018,ng_120d,0.1401815358449515,11.795235841155142,0.1077740355443327,0.1725890361455703,1617,Autre,Older Canadians Reasons for Concers About Efficiency,CA,
19,Senior2,65 ans et plus,2018,ng_120d,0.1015989255538841,15.972517884625464,0.069792813162227,0.1334050379455413,817,Autre,Older Canadians Reasons for Concers About Efficiency,CA,
20,Senior,15 à 64 ans,2018,ng_120a,0.4509269563817253,4.576543106497525,0.4104794412142167,0.4913744715492339,1442,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
21,Senior,64 à 75 ans,2018,ng_120a,0.6238926522300824,5.788523052547546,0.5531101797034478,0.694675124756717,446,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
22,Senior,75 ans et plus,2018,ng_120a,0.7404215177480061,4.317594922706397,0.6777646014651522,0.8030784340308601,278,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
23,Senior,15 à 64 ans,2018,ng_120b,0.4164322343647685,5.171382826931649,0.3742238120633402,0.4586406566661968,1442,Incidence nulle sur la cause/la communauté,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
24,Senior,64 à 75 ans,2018,ng_120b,0.4530682448921402,8.744896134976425,0.3754137908618749,0.5307226989224055,446,Incidence nulle sur la cause/la communauté,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
25,Senior,75 ans et plus,2018,ng_120b,0.3554723173596885,10.64285498299878,0.2813221695581503,0.4296224651612267,278,Incidence nulle sur la cause/la communauté,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
26,Senior,15 à 64 ans,2018,ng_120c,0.6471144036944796,3.0138603387035503,0.6088889823648614,0.6853398250240977,1442,Aucune explication sur l'utilisation des dons,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
27,Senior,64 à 75 ans,2018,ng_120c,0.4788891656239609,7.637885218331676,0.4071995535665785,0.5505787776813432,446,Aucune explication sur l'utilisation des dons,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
28,Senior,75 ans et plus,2018,ng_120c,0.5224466125718465,7.6035687461561405,0.4445878520673569,0.6003053730763361,278,Aucune explication sur l'utilisation des dons,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
29,Senior,15 à 64 ans,2018,ng_120d,0.1188556936863592,14.15664023320905,0.0858773926958629,0.1518339946768555,1442,Autre,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
30,Senior,64 à 75 ans,2018,ng_120d,0.0916614515864147,25.982181876575083,0.044983644996519,0.1383392581763105,446,Autre,Older Canadians Reasons for Concers About Efficiency,CA (without QC),*
31,Senior,75 ans et plus,2018,ng_120d,0.0533794082855605,30.04840693818276,0.0219422487885935,0.0848165677825276,278,Autre,Older Canadians Reasons for Concers About Efficiency,CA (without QC),*
32,Senior2,15 à 64 ans,2018,ng_120a,0.4509269563817253,4.576543106497525,0.4104794412142167,0.4913744715492339,1442,Dépenses de collecte de fonds excessives,Older Canadians Reasons for Concers About Efficiency,CA (without QC),
