,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Senior,15 à 64 ans,2018,flag_vd1dex01,0.024943684511861,7.650200795201075,0.02120359901435,0.028683770009372,11304,Arts et culture,Older Canadians Volunteer Rate by Cause,CA,
1,Senior,64 à 75 ans,2018,flag_vd1dex01,0.043880248085529,11.813398710387046,0.0337202874041783,0.0540402087668798,3019,Arts et culture,Older Canadians Volunteer Rate by Cause,CA,
2,Senior,75 ans et plus,2018,flag_vd1dex01,0.0187946274982777,16.53241628206424,0.012704615534643,0.0248846394619125,1826,Arts et culture,Older Canadians Volunteer Rate by Cause,CA,*
3,Senior,15 à 64 ans,2018,flag_vd1dex02,0.0931275927562832,4.029195844875329,0.0857732334252186,0.1004819520873479,11304,Sport et loisir,Older Canadians Volunteer Rate by Cause,CA,
4,Senior,64 à 75 ans,2018,flag_vd1dex02,0.0785812012096005,7.425003442685235,0.0671454838330244,0.0900169185861767,3019,Sport et loisir,Older Canadians Volunteer Rate by Cause,CA,
5,Senior,75 ans et plus,2018,flag_vd1dex02,0.0701700504361277,9.411992170018133,0.0572256649772365,0.083114435895019,1826,Sport et loisir,Older Canadians Volunteer Rate by Cause,CA,
6,Senior,15 à 64 ans,2018,flag_vd1dex03,0.0798696491694716,4.616431692525034,0.0726430114810177,0.0870962868579255,11304,Éducation et recherche,Older Canadians Volunteer Rate by Cause,CA,
7,Senior,64 à 75 ans,2018,flag_vd1dex03,0.0230328903872807,14.180536874927425,0.0166312804916556,0.0294345002829058,3019,Éducation et recherche,Older Canadians Volunteer Rate by Cause,CA,
8,Senior,75 ans et plus,2018,flag_vd1dex03,0.006966102203172,29.64616503417181,0.0029184195566783,0.0110137848496656,1826,Éducation et recherche,Older Canadians Volunteer Rate by Cause,CA,*
9,Senior,15 à 64 ans,2018,flag_vd1dex04,0.0238964607608329,9.99661648106336,0.0192144252276913,0.0285784962939746,11304,Universités et collèges,Older Canadians Volunteer Rate by Cause,CA,
10,Senior,64 à 75 ans,2018,flag_vd1dex04,0.0053129118204313,21.69445168251688,0.003053843439982,0.0075719802008806,3019,Universités et collèges,Older Canadians Volunteer Rate by Cause,CA,*
11,Senior,75 ans et plus,2018,flag_vd1dex04,0.0035194244692602,31.43173649556452,0.0013512805084833,0.005687568430037,1826,Universités et collèges,Older Canadians Volunteer Rate by Cause,CA,*
12,Senior,15 à 64 ans,2018,flag_vd1dex05,0.0434412863941336,5.5949209169588165,0.0386775829165511,0.0482049898717161,11304,Santé,Older Canadians Volunteer Rate by Cause,CA,
13,Senior,64 à 75 ans,2018,flag_vd1dex05,0.0412918252296733,10.671996261659206,0.0326549263296658,0.0499287241296809,3019,Santé,Older Canadians Volunteer Rate by Cause,CA,
