Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Social services donor status,Non-social services donors,2018,ng_020,0.6637877869015346,1.6669617285860392,0.6421006122170949,0.6854749615859743,4672,Happy with what already given,Social services donors barriers to giving,CA,
Social services donor status,Social services donors,2018,ng_020,0.684988742558038,1.6439739381974987,0.6629175167712515,0.7070599683448244,4799,Happy with what already given,Social services donors barriers to giving,CA,
Social services donor status,Non-social services donors,2018,ng_030,0.6721067642719782,1.6376315405484263,0.6505341612594654,0.6936793672844911,4685,Could not afford to give more,Social services donors barriers to giving,CA,
Social services donor status,Social services donors,2018,ng_030,0.6901005073162517,1.4575737558791695,0.6703857707735107,0.7098152438589928,4797,Could not afford to give more,Social services donors barriers to giving,CA,
Social services donor status,Non-social services donors,2018,ng_040,0.2571556062436986,3.886429767576536,0.2375673890095089,0.2767438234778883,4594,No one asked,Social services donors barriers to giving,CA,
Social services donor status,Social services donors,2018,ng_040,0.24334135710052648,4.059193002926768,0.22398142998259024,0.2627012842184627,4710,No one asked,Social services donors barriers to giving,CA,
Social services donor status,Non-social services donors,2018,ng_050,0.11144644836892204,6.999970065576612,0.09615634200443059,0.1267365547334135,4580,Unsure where to give,Social services donors barriers to giving,CA,
Social services donor status,Social services donors,2018,ng_050,0.1110839537177696,6.949630861736377,0.09595317928359565,0.12621472815194357,4688,Unsure where to give,Social services donors barriers to giving,CA,
Social services donor status,Non-social services donors,2018,ng_060,0.11339932733384497,6.5867446082828796,0.09875972115016464,0.12803893351752532,4577,Hard to find a cause,Social services donors barriers to giving,CA,
Social services donor status,Social services donors,2018,ng_060,0.11931360719037576,7.896821638707433,0.10084686033637545,0.13778035404437608,4698,Hard to find a cause,Social services donors barriers to giving,CA,
Social services donor status,Non-social services donors,2018,ng_070,0.2720807065430281,3.6940773998856784,0.2523813596256857,0.29178005346037045,4561,Gave time instead,Social services donors barriers to giving,CA,
Social services donor status,Social services donors,2018,ng_070,0.2631387812509365,3.901861624877022,0.2430152212263023,0.28326234127557065,4676,Gave time instead,Social services donors barriers to giving,CA,
Social services donor status,Non-social services donors,2018,ng_080,0.34705054572669186,3.046429624322737,0.32632853125823974,0.367772560195144,4583,Gave directly instead,Social services donors barriers to giving,CA,
Social services donor status,Social services donors,2018,ng_080,0.41108746710836735,2.7296170740639947,0.38909448840654476,0.43308044581018995,4694,Gave directly instead,Social services donors barriers to giving,CA,
