,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Social services donor status,Non-social services donors,2018,ng_020,0.6637877869015346,1.6669617285860392,0.6421006122170949,0.6854749615859743,4672,Montant déjà donné suffisant,Social services donors barriers to giving,CA,
1,Social services donor status,Social services donors,2018,ng_020,0.684988742558038,1.6439739381974987,0.6629175167712515,0.7070599683448244,4799,Montant déjà donné suffisant,Social services donors barriers to giving,CA,
2,Social services donor status,Non-social services donors,2018,ng_030,0.6721067642719782,1.6376315405484263,0.6505341612594654,0.6936793672844911,4685,Pas les moyens de donner plus,Social services donors barriers to giving,CA,
3,Social services donor status,Social services donors,2018,ng_030,0.6901005073162517,1.4575737558791697,0.6703857707735107,0.7098152438589928,4797,Pas les moyens de donner plus,Social services donors barriers to giving,CA,
4,Social services donor status,Non-social services donors,2018,ng_040,0.2571556062436986,3.886429767576536,0.2375673890095089,0.2767438234778883,4594,Aucune sollicitation,Social services donors barriers to giving,CA,
5,Social services donor status,Social services donors,2018,ng_040,0.2433413571005264,4.059193002926768,0.2239814299825902,0.2627012842184627,4710,Aucune sollicitation,Social services donors barriers to giving,CA,
6,Social services donor status,Non-social services donors,2018,ng_050,0.111446448368922,6.999970065576612,0.0961563420044305,0.1267365547334135,4580,Ne savent pas où donner,Social services donors barriers to giving,CA,
7,Social services donor status,Social services donors,2018,ng_050,0.1110839537177696,6.949630861736377,0.0959531792835956,0.1262147281519435,4688,Ne savent pas où donner,Social services donors barriers to giving,CA,
8,Social services donor status,Non-social services donors,2018,ng_060,0.1133993273338449,6.58674460828288,0.0987597211501646,0.1280389335175253,4577,Difficulté à trouver une cause,Social services donors barriers to giving,CA,
9,Social services donor status,Social services donors,2018,ng_060,0.1193136071903757,7.896821638707433,0.1008468603363754,0.137780354044376,4698,Difficulté à trouver une cause,Social services donors barriers to giving,CA,
10,Social services donor status,Non-social services donors,2018,ng_070,0.2720807065430281,3.6940773998856784,0.2523813596256857,0.2917800534603704,4561,Don de temps,Social services donors barriers to giving,CA,
11,Social services donor status,Social services donors,2018,ng_070,0.2631387812509365,3.901861624877022,0.2430152212263023,0.2832623412755706,4676,Don de temps,Social services donors barriers to giving,CA,
12,Social services donor status,Non-social services donors,2018,ng_080,0.3470505457266918,3.046429624322737,0.3263285312582397,0.367772560195144,4583,Don direct,Social services donors barriers to giving,CA,
13,Social services donor status,Social services donors,2018,ng_080,0.4110874671083673,2.7296170740639947,0.3890944884065447,0.4330804458101899,4694,Don direct,Social services donors barriers to giving,CA,
14,Social services donor status,Non-social services donors,2018,ng_090,0.1670634349079966,5.086992139682832,0.1504066735334942,0.183720196282499,4571,Crédit d'impôt insuffisant,Social services donors barriers to giving,CA,
15,Social services donor status,Social services donors,2018,ng_090,0.1743823940040598,5.66085307731332,0.1550345485419413,0.1937302394661783,4690,Crédit d'impôt insuffisant,Social services donors barriers to giving,CA,
16,Social services donor status,Non-social services donors,2018,ng_110,0.2198188550304626,4.163834628837495,0.2018795132074496,0.2377581968534756,4577,Utilisation non efficiente de l'argent,Social services donors barriers to giving,CA,
17,Social services donor status,Social services donors,2018,ng_110,0.2520354270634478,3.890646620939751,0.2328163968839612,0.2712544572429344,4694,Utilisation non efficiente de l'argent,Social services donors barriers to giving,CA,
18,Social services donor status,Non-social services donors,2018,ng_130,0.1904269315671666,4.419848382495819,0.1739307346509987,0.2069231284833345,4569,N'aimaient pas les méthodes de sollicitation,Social services donors barriers to giving,CA,
19,Social services donor status,Social services donors,2018,ng_130,0.253454910647316,3.963478913303526,0.233765833846423,0.2731439874482091,4694,N'aimaient pas les méthodes de sollicitation,Social services donors barriers to giving,CA,
20,Social services donor status,Non-social services donors,2018,ng_020,0.6517646794184135,1.8994833549271557,0.6275000085618874,0.6760293502749397,4042,Montant déjà donné suffisant,Social services donors barriers to giving,CA (without QC),
21,Social services donor status,Social services donors,2018,ng_020,0.6667304938475331,1.8273891914595888,0.6428507611290483,0.690610226566018,4130,Montant déjà donné suffisant,Social services donors barriers to giving,CA (without QC),
22,Social services donor status,Non-social services donors,2018,ng_030,0.6936684508027364,1.6457325336251405,0.6712936443067172,0.7160432572987556,4047,Pas les moyens de donner plus,Social services donors barriers to giving,CA (without QC),
23,Social services donor status,Social services donors,2018,ng_030,0.712549640506299,1.4863141100560726,0.6917921992740836,0.7333070817385143,4138,Pas les moyens de donner plus,Social services donors barriers to giving,CA (without QC),
24,Social services donor status,Non-social services donors,2018,ng_040,0.2760412210050327,4.095384809690311,0.2538839257003085,0.298198516309757,3973,Aucune sollicitation,Social services donors barriers to giving,CA (without QC),
25,Social services donor status,Social services donors,2018,ng_040,0.2565507887871631,4.150555172315984,0.2356805395040369,0.2774210380702891,4065,Aucune sollicitation,Social services donors barriers to giving,CA (without QC),
26,Social services donor status,Non-social services donors,2018,ng_050,0.1091578021331264,7.519654882890754,0.0930698493620727,0.1252457549041801,3961,Ne savent pas où donner,Social services donors barriers to giving,CA (without QC),
27,Social services donor status,Social services donors,2018,ng_050,0.1031315725021563,7.462505640973125,0.0880472988297466,0.118215846174566,4045,Ne savent pas où donner,Social services donors barriers to giving,CA (without QC),
28,Social services donor status,Non-social services donors,2018,ng_060,0.1180430712469627,7.293622809658286,0.1011685332416645,0.1349176092522609,3958,Difficulté à trouver une cause,Social services donors barriers to giving,CA (without QC),
