Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Social services donor status,Non-social services donors,2018,flag_fg1dad03,0.1347320544164395,4.448891795821783,0.12298386699816784,0.1464802418347112,5744,Mail request,Social services donors donation rates by method,CA,
Social services donor status,Social services donors,2018,flag_fg1dad03,0.2995402219341025,2.7652407477579444,0.2833058240356763,0.31577461983252875,6410,Mail request,Social services donors donation rates by method,CA,
Social services donor status,Non-social services donors,2018,flag_fg1dad04,0.05508020387435587,6.751717279322028,0.047791372911553824,0.06236903483715791,5744,Telephone request,Social services donors donation rates by method,CA,
Social services donor status,Social services donors,2018,flag_fg1dad04,0.11588836496166842,5.021167011233063,0.10448343576519686,0.12729329415813997,6410,Telephone request,Social services donors donation rates by method,CA,
Social services donor status,Non-social services donors,2018,flag_fg1dad05,0.042800063033773025,9.221618180555604,0.03506436272943055,0.0505357633381155,5744,TV or radio request,Social services donors donation rates by method,CA,
Social services donor status,Social services donors,2018,flag_fg1dad05,0.09299108753260808,6.025992046385822,0.0820081636945366,0.10397401137067956,6410,TV or radio request,Social services donors donation rates by method,CA,
Social services donor status,Non-social services donors,2018,flag_fg1dad06,0.14628286746344757,4.704704998833558,0.1327940476673711,0.15977168725952404,5744,Online,Social services donors donation rates by method,CA,
Social services donor status,Social services donors,2018,flag_fg1dad06,0.21652327352202472,4.002801456693476,0.1995362720445237,0.23351027499952573,6410,Online,Social services donors donation rates by method,CA,
Social services donor status,Non-social services donors,2018,flag_fg1dad07,0.20415081731284945,3.9662343742004404,0.18828079314633844,0.22002084147936046,5744,On own,Social services donors donation rates by method,CA,
Social services donor status,Social services donors,2018,flag_fg1dad07,0.2953401714882522,2.9383450795748436,0.27833138177650907,0.31234896119999533,6410,On own,Social services donors donation rates by method,CA,
Social services donor status,Non-social services donors,2018,flag_fg1dad08,0.16335429921121633,4.697642709031395,0.148313924986202,0.17839467343623067,5744,Charity event,Social services donors donation rates by method,CA,
Social services donor status,Social services donors,2018,flag_fg1dad08,0.2729290893427937,3.444776657480358,0.25450190473299483,0.29135627395259256,6410,Charity event,Social services donors donation rates by method,CA,
