Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Social services donor status,Non-social services donors,2018,rg_010,0.6786789361418697,1.581572132084182,0.6576410807606261,0.6997167915231133,4772,Personally affected by cause,Social services donors motivations for giving,CA,
Social services donor status,Social services donors,2018,rg_010,0.7215562768511289,1.4457260244706873,0.7011104678783189,0.7420020858239389,5439,Personally affected by cause,Social services donors motivations for giving,CA,
Social services donor status,Non-social services donors,2018,rg_020,0.2786835785482703,3.5223675513411496,0.2594440625996539,0.2979230944968867,4691,Tax credit,Social services donors motivations for giving,CA,
Social services donor status,Social services donors,2018,rg_020,0.2965119413375343,3.220809966786283,0.2777941164160307,0.31522976625903787,5378,Tax credit,Social services donors motivations for giving,CA,
Social services donor status,Non-social services donors,2018,rg_030,0.32113426359978753,3.293072955752533,0.3004072807208915,0.34186124647868354,4705,Religious reasons,Social services donors motivations for giving,CA,
Social services donor status,Social services donors,2018,rg_030,0.29538187086311785,3.3190451401063226,0.27616666299947024,0.31459707872676546,5348,Religious reasons,Social services donors motivations for giving,CA,
Social services donor status,Non-social services donors,2018,rg_035,0.2851596022492779,3.6248636094299167,0.26490014709293214,0.30541905740562364,4671,Spiritual beliefs,Social services donors motivations for giving,CA,
Social services donor status,Social services donors,2018,rg_035,0.3222533246711222,3.087401644778375,0.30275314428344874,0.3417535050587957,5311,Spiritual beliefs,Social services donors motivations for giving,CA,
Social services donor status,Non-social services donors,2018,rg_040,0.8109326819507273,1.1227071680783745,0.7930883871266974,0.8287769767747573,4749,Personally believed in cause,Social services donors motivations for giving,CA,
Social services donor status,Social services donors,2018,rg_040,0.8831199774111607,0.8990597585667438,0.8675583017457931,0.8986816530765283,5432,Personally believed in cause,Social services donors motivations for giving,CA,
Social services donor status,Non-social services donors,2018,rg_050,0.784688312647509,1.210566254017088,0.7660702778167859,0.8033063474782322,4728,Compassion towarde people in need,Social services donors motivations for giving,CA,
Social services donor status,Social services donors,2018,rg_050,0.9107170600527361,0.688369553370571,0.8984298518780596,0.9230042682274127,5417,Compassion towarde people in need,Social services donors motivations for giving,CA,
Social services donor status,Non-social services donors,2018,rg_060,0.6777921976955846,1.576946339680953,0.656843280909601,0.6987411144815683,4694,Contribution to community,Social services donors motivations for giving,CA,
Social services donor status,Social services donors,2018,rg_060,0.78841391045017,1.18980859787818,0.7700282399703163,0.8067995809300236,5375,Contribution to community,Social services donors motivations for giving,CA,
Social services donor status,Non-social services donors,2018,rg_070,0.4551635375679547,2.4389285274670827,0.43340575518548696,0.4769213199504224,4702,Was asked by someone familiar,Social services donors motivations for giving,CA,
Social services donor status,Social services donors,2018,rg_070,0.5217343864732658,2.029485201007612,0.5009812643861578,0.5424875085603738,5354,Was asked by someone familiar,Social services donors motivations for giving,CA,
Social services donor status,Non-social services donors,2018,rg_010,0.6870159193867965,1.668032922228284,0.6645554147474345,0.7094764240261585,4180,Personally affected by cause,Social services donors motivations for giving,CA (without QC),
Social services donor status,Social services donors,2018,rg_010,0.7257534595573005,1.56035751954853,0.7035581439969384,0.7479487751176627,4760,Personally affected by cause,Social services donors motivations for giving,CA (without QC),
Social services donor status,Non-social services donors,2018,rg_020,0.30719199468408115,3.5984770733239935,0.2855260951477901,0.3288578942203722,4110,Tax credit,Social services donors motivations for giving,CA (without QC),
Social services donor status,Social services donors,2018,rg_020,0.3317001526858669,3.3251514179669943,0.3100826665518985,0.3533176388198353,4713,Tax credit,Social services donors motivations for giving,CA (without QC),
