,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,Social services donor status,Non-social services donors,2018,rg_010,0.6786789361418697,1.581572132084182,0.6576410807606261,0.6997167915231133,4772,Touché.e personnellement par la cause,Social services donors motivations for giving,CA,
1,1,Social services donor status,Social services donors,2018,rg_010,0.7215562768511289,1.445726024470687,0.7011104678783189,0.7420020858239389,5439,Touché.e personnellement par la cause,Social services donors motivations for giving,CA,
2,2,Social services donor status,Non-social services donors,2018,rg_020,0.2786835785482703,3.5223675513411496,0.2594440625996539,0.2979230944968867,4691,Crédit d'impôt,Social services donors motivations for giving,CA,
3,3,Social services donor status,Social services donors,2018,rg_020,0.2965119413375343,3.220809966786283,0.2777941164160307,0.3152297662590378,5378,Crédit d'impôt,Social services donors motivations for giving,CA,
4,4,Social services donor status,Non-social services donors,2018,rg_030,0.3211342635997875,3.293072955752533,0.3004072807208915,0.3418612464786835,4705,Raisons religieuses,Social services donors motivations for giving,CA,
5,5,Social services donor status,Social services donors,2018,rg_030,0.2953818708631178,3.3190451401063226,0.2761666629994702,0.3145970787267654,5348,Raisons religieuses,Social services donors motivations for giving,CA,
6,6,Social services donor status,Non-social services donors,2018,rg_035,0.2851596022492779,3.6248636094299167,0.2649001470929321,0.3054190574056236,4671,Croyances spirituelles,Social services donors motivations for giving,CA,
7,7,Social services donor status,Social services donors,2018,rg_035,0.3222533246711222,3.087401644778375,0.3027531442834487,0.3417535050587957,5311,Croyances spirituelles,Social services donors motivations for giving,CA,
8,8,Social services donor status,Non-social services donors,2018,rg_040,0.8109326819507273,1.1227071680783745,0.7930883871266974,0.8287769767747573,4749,Croyance personnelle en la cause,Social services donors motivations for giving,CA,
9,9,Social services donor status,Social services donors,2018,rg_040,0.8831199774111607,0.8990597585667438,0.8675583017457931,0.8986816530765283,5432,Croyance personnelle en la cause,Social services donors motivations for giving,CA,
10,10,Social services donor status,Non-social services donors,2018,rg_050,0.784688312647509,1.210566254017088,0.7660702778167859,0.8033063474782322,4728,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,CA,
11,11,Social services donor status,Social services donors,2018,rg_050,0.910717060052736,0.688369553370571,0.8984298518780596,0.9230042682274128,5417,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,CA,
12,12,Social services donor status,Non-social services donors,2018,rg_060,0.6777921976955846,1.576946339680953,0.656843280909601,0.6987411144815683,4694,Contribution à la communauté,Social services donors motivations for giving,CA,
13,13,Social services donor status,Social services donors,2018,rg_060,0.78841391045017,1.18980859787818,0.7700282399703163,0.8067995809300236,5375,Contribution à la communauté,Social services donors motivations for giving,CA,
14,14,Social services donor status,Non-social services donors,2018,rg_070,0.4551635375679547,2.4389285274670827,0.4334057551854869,0.4769213199504224,4702,Sollicitation par une connaissance,Social services donors motivations for giving,CA,
15,15,Social services donor status,Social services donors,2018,rg_070,0.5217343864732658,2.029485201007612,0.5009812643861578,0.5424875085603738,5354,Sollicitation par une connaissance,Social services donors motivations for giving,CA,
16,16,Social services donor status,Non-social services donors,2018,rg_010,0.6870159193867965,1.668032922228284,0.6645554147474345,0.7094764240261585,4180,Touché.e personnellement par la cause,Social services donors motivations for giving,CA (without QC),
17,17,Social services donor status,Social services donors,2018,rg_010,0.7257534595573005,1.56035751954853,0.7035581439969384,0.7479487751176627,4760,Touché.e personnellement par la cause,Social services donors motivations for giving,CA (without QC),
18,18,Social services donor status,Non-social services donors,2018,rg_020,0.3071919946840811,3.598477073323993,0.2855260951477901,0.3288578942203722,4110,Crédit d'impôt,Social services donors motivations for giving,CA (without QC),
19,19,Social services donor status,Social services donors,2018,rg_020,0.3317001526858669,3.3251514179669943,0.3100826665518985,0.3533176388198353,4713,Crédit d'impôt,Social services donors motivations for giving,CA (without QC),
20,20,Social services donor status,Non-social services donors,2018,rg_030,0.3484437483028985,3.383033172095421,0.3253397563732609,0.3715477402325361,4125,Raisons religieuses,Social services donors motivations for giving,CA (without QC),
21,21,Social services donor status,Social services donors,2018,rg_030,0.3171748701128372,3.471955657981097,0.2955914118580247,0.3387583283676497,4688,Raisons religieuses,Social services donors motivations for giving,CA (without QC),
22,22,Social services donor status,Non-social services donors,2018,rg_035,0.3200503267167676,3.618620495799167,0.2973511866563449,0.3427494667771902,4098,Croyances spirituelles,Social services donors motivations for giving,CA (without QC),
23,23,Social services donor status,Social services donors,2018,rg_035,0.3556741458064224,3.2082429402511514,0.3333092110555575,0.3780390805572873,4659,Croyances spirituelles,Social services donors motivations for giving,CA (without QC),
24,24,Social services donor status,Non-social services donors,2018,rg_040,0.8237928175542716,1.1274824457712858,0.8055884380315639,0.8419971970769793,4161,Croyance personnelle en la cause,Social services donors motivations for giving,CA (without QC),
25,25,Social services donor status,Social services donors,2018,rg_040,0.8878618444758927,1.0005799087792884,0.8704499806511113,0.905273708300674,4758,Croyance personnelle en la cause,Social services donors motivations for giving,CA (without QC),
26,26,Social services donor status,Non-social services donors,2018,rg_050,0.7966523542437458,1.25584424025959,0.7770434776649771,0.8162612308225146,4146,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,CA (without QC),
27,27,Social services donor status,Social services donors,2018,rg_050,0.9099381755247816,0.786246287221057,0.8959158971548734,0.9239604538946896,4744,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,CA (without QC),
28,28,Social services donor status,Non-social services donors,2018,rg_060,0.6910822602932947,1.6135059452406155,0.6692273813107863,0.712937139275803,4115,Contribution à la communauté,Social services donors motivations for giving,CA (without QC),
29,29,Social services donor status,Social services donors,2018,rg_060,0.7966651514475338,1.2621020056548935,0.7769582489377912,0.8163720539572764,4706,Contribution à la communauté,Social services donors motivations for giving,CA (without QC),
30,30,Social services donor status,Non-social services donors,2018,rg_070,0.4814738448054038,2.4376917175906105,0.4584700453604988,0.5044776442503087,4120,Sollicitation par une connaissance,Social services donors motivations for giving,CA (without QC),
31,31,Social services donor status,Social services donors,2018,rg_070,0.5544615412284892,2.093077032947761,0.5317155571340408,0.5772075253229376,4688,Sollicitation par une connaissance,Social services donors motivations for giving,CA (without QC),
32,32,Social services donor status,Non-social services donors,2018,rg_010,0.6696707158278196,5.125322981797522,0.6023992892614288,0.7369421423942103,412,Touché.e personnellement par la cause,Social services donors motivations for giving,AB,
33,33,Social services donor status,Social services donors,2018,rg_010,0.6902688113433789,4.53016926709032,0.6289800602777533,0.7515575624090045,457,Touché.e personnellement par la cause,Social services donors motivations for giving,AB,
34,34,Social services donor status,Non-social services donors,2018,rg_010,0.7073836396090767,3.045654526876614,0.665157270332188,0.7496100088859654,1134,Touché.e personnellement par la cause,Social services donors motivations for giving,AT,
35,35,Social services donor status,Social services donors,2018,rg_010,0.7502956889512797,2.291016467933945,0.7166050883628858,0.7839862895396736,1531,Touché.e personnellement par la cause,Social services donors motivations for giving,AT,
36,36,Social services donor status,Non-social services donors,2018,rg_010,0.6343310957562804,4.395063553750239,0.5796887604330749,0.6889734310794859,586,Touché.e personnellement par la cause,Social services donors motivations for giving,BC,
37,37,Social services donor status,Social services donors,2018,rg_010,0.7153870346677481,3.3191694188109846,0.6688478707970916,0.7619261985384046,698,Touché.e personnellement par la cause,Social services donors motivations for giving,BC,
38,38,Social services donor status,Non-social services donors,2018,rg_010,0.7040471449943649,2.330697043577588,0.671885692231665,0.7362085977570648,1381,Touché.e personnellement par la cause,Social services donors motivations for giving,ON,
39,39,Social services donor status,Social services donors,2018,rg_010,0.7296648695661921,2.445917122181628,0.6946853962946761,0.7646443428377082,1425,Touché.e personnellement par la cause,Social services donors motivations for giving,ON,
40,40,Social services donor status,Non-social services donors,2018,rg_010,0.6831127765990085,3.5224133226606265,0.6359520145196309,0.7302735386783861,667,Touché.e personnellement par la cause,Social services donors motivations for giving,PR,
41,41,Social services donor status,Social services donors,2018,rg_010,0.7606331173742956,3.05742272646168,0.7150526461421737,0.8062135886064176,649,Touché.e personnellement par la cause,Social services donors motivations for giving,PR,
42,42,Social services donor status,Non-social services donors,2018,rg_010,0.649522236940642,4.266985028227501,0.5952018025633921,0.703842671317892,592,Touché.e personnellement par la cause,Social services donors motivations for giving,QC,
43,43,Social services donor status,Social services donors,2018,rg_010,0.7075976444992046,3.318680006933275,0.6615720031939543,0.7536232858044549,679,Touché.e personnellement par la cause,Social services donors motivations for giving,QC,
44,44,Social services donor status,Non-social services donors,2018,rg_020,0.2938556097506333,9.734769512928384,0.2377885540472027,0.3499226654540639,407,Crédit d'impôt,Social services donors motivations for giving,AB,
45,45,Social services donor status,Social services donors,2018,rg_020,0.3365857177746192,7.796680234381268,0.285151339136975,0.3880200964122635,451,Crédit d'impôt,Social services donors motivations for giving,AB,
46,46,Social services donor status,Non-social services donors,2018,rg_020,0.2439686504290616,6.982061867172662,0.2105825413833749,0.2773547594747483,1115,Crédit d'impôt,Social services donors motivations for giving,AT,
47,47,Social services donor status,Social services donors,2018,rg_020,0.2673808152199635,5.182799551372348,0.2402200033997404,0.2945416270401865,1522,Crédit d'impôt,Social services donors motivations for giving,AT,
48,48,Social services donor status,Non-social services donors,2018,rg_020,0.315256528740207,7.976438887051912,0.2659707954630517,0.3645422620173623,576,Crédit d'impôt,Social services donors motivations for giving,BC,
49,49,Social services donor status,Social services donors,2018,rg_020,0.3486316666784355,7.48788087123879,0.2974665640610997,0.3997967692957713,687,Crédit d'impôt,Social services donors motivations for giving,BC,
50,50,Social services donor status,Non-social services donors,2018,rg_020,0.3145969996302593,5.3237903394390464,0.2817705728726558,0.3474234263878628,1351,Crédit d'impôt,Social services donors motivations for giving,ON,
51,51,Social services donor status,Social services donors,2018,rg_020,0.3316742925034112,5.3391925289236895,0.2969658213618557,0.3663827636449667,1407,Crédit d'impôt,Social services donors motivations for giving,ON,
52,52,Social services donor status,Non-social services donors,2018,rg_020,0.3281585994272154,7.28053241047598,0.2813317412469721,0.3749854576074587,661,Crédit d'impôt,Social services donors motivations for giving,PR,
53,53,Social services donor status,Social services donors,2018,rg_020,0.3710915797182233,6.085856359259569,0.3268275561091922,0.4153556033272544,646,Crédit d'impôt,Social services donors motivations for giving,PR,
54,54,Social services donor status,Non-social services donors,2018,rg_020,0.1784815478566678,11.05944821309427,0.1397936730324406,0.217169422680895,581,Crédit d'impôt,Social services donors motivations for giving,QC,
55,55,Social services donor status,Social services donors,2018,rg_020,0.1783830215207381,10.205196108804069,0.1427031763031514,0.2140628667383248,665,Crédit d'impôt,Social services donors motivations for giving,QC,
56,56,Social services donor status,Non-social services donors,2018,rg_030,0.3760967090825972,8.895484503818727,0.3105248900297038,0.4416685281354905,408,Raisons religieuses,Social services donors motivations for giving,AB,
57,57,Social services donor status,Social services donors,2018,rg_030,0.2713712142327762,9.504114308399116,0.2208209395374883,0.3219214889280641,452,Raisons religieuses,Social services donors motivations for giving,AB,
58,58,Social services donor status,Non-social services donors,2018,rg_030,0.2553106111376583,6.370551783523666,0.2234323953230622,0.2871888269522544,1118,Raisons religieuses,Social services donors motivations for giving,AT,
59,59,Social services donor status,Social services donors,2018,rg_030,0.3111018937505985,5.004170470924825,0.2805890390027192,0.3416147484984779,1512,Raisons religieuses,Social services donors motivations for giving,AT,
60,60,Social services donor status,Non-social services donors,2018,rg_030,0.2890121151393974,8.671190571716073,0.239893866808316,0.3381303634704787,578,Raisons religieuses,Social services donors motivations for giving,BC,
61,61,Social services donor status,Social services donors,2018,rg_030,0.2349974770511257,9.52632055200794,0.1911205219273657,0.2788744321748858,675,Raisons religieuses,Social services donors motivations for giving,BC,
62,62,Social services donor status,Non-social services donors,2018,rg_030,0.3662418329580195,4.778528929616713,0.3319405582606687,0.4005431076553702,1360,Raisons religieuses,Social services donors motivations for giving,ON,
63,63,Social services donor status,Social services donors,2018,rg_030,0.3512310936163478,5.2773458052080855,0.3149018295916906,0.387560357641005,1407,Raisons religieuses,Social services donors motivations for giving,ON,
64,64,Social services donor status,Non-social services donors,2018,rg_030,0.3741121992074556,7.119722424056864,0.321907088235561,0.4263173101793501,661,Raisons religieuses,Social services donors motivations for giving,PR,
65,65,Social services donor status,Social services donors,2018,rg_030,0.3765520400333536,7.029367790860272,0.3246733068116215,0.4284307732550857,642,Raisons religieuses,Social services donors motivations for giving,PR,
66,66,Social services donor status,Non-social services donors,2018,rg_030,0.2249880680605799,9.7420681332336,0.1820286153361793,0.2679475207849806,580,Raisons religieuses,Social services donors motivations for giving,QC,
67,67,Social services donor status,Social services donors,2018,rg_030,0.2221317323004462,9.430144729396108,0.1810756927908098,0.2631877718100827,660,Raisons religieuses,Social services donors motivations for giving,QC,
68,68,Social services donor status,Non-social services donors,2018,rg_035,0.3603014632160011,9.185588313027909,0.2954348693469864,0.4251680570850157,404,Croyances spirituelles,Social services donors motivations for giving,AB,
69,69,Social services donor status,Social services donors,2018,rg_035,0.3325513008905223,8.637478514556769,0.2762532029582686,0.3888493988227761,448,Croyances spirituelles,Social services donors motivations for giving,AB,
70,70,Social services donor status,Non-social services donors,2018,rg_035,0.2736647066903523,6.347744026792332,0.2396171235923217,0.3077122897883829,1110,Croyances spirituelles,Social services donors motivations for giving,AT,
71,71,Social services donor status,Social services donors,2018,rg_035,0.3198416910063448,4.916442635718398,0.2890215841471076,0.3506617978655819,1505,Croyances spirituelles,Social services donors motivations for giving,AT,
72,72,Social services donor status,Non-social services donors,2018,rg_035,0.33064597234254,8.516160118480071,0.2754566392353297,0.3858353054497503,576,Croyances spirituelles,Social services donors motivations for giving,BC,
73,73,Social services donor status,Social services donors,2018,rg_035,0.2843818787565013,8.445960776050542,0.2373059312133993,0.3314578262996032,674,Croyances spirituelles,Social services donors motivations for giving,BC,
74,74,Social services donor status,Non-social services donors,2018,rg_035,0.3123296695010216,5.282660725960123,0.2799916028304515,0.3446677361715917,1351,Croyances spirituelles,Social services donors motivations for giving,ON,
75,75,Social services donor status,Social services donors,2018,rg_035,0.3851591824782278,4.645388938450783,0.3500912284377422,0.4202271365187134,1391,Croyances spirituelles,Social services donors motivations for giving,ON,
76,76,Social services donor status,Non-social services donors,2018,rg_035,0.320656363321705,7.757971561326324,0.2718994574846355,0.3694132691587746,657,Croyances spirituelles,Social services donors motivations for giving,PR,
77,77,Social services donor status,Social services donors,2018,rg_035,0.4128828514357984,6.368148034575129,0.3613495356599086,0.4644161672116882,641,Croyances spirituelles,Social services donors motivations for giving,PR,
78,78,Social services donor status,Non-social services donors,2018,rg_035,0.161385625592987,12.438013870622887,0.1220429422042743,0.2007283089816997,573,Croyances spirituelles,Social services donors motivations for giving,QC,
79,79,Social services donor status,Social services donors,2018,rg_035,0.2093149206026491,9.719064179193133,0.1694424884002134,0.2491873528050848,652,Croyances spirituelles,Social services donors motivations for giving,QC,
80,80,Social services donor status,Non-social services donors,2018,rg_040,0.8873739453223718,2.0622812286700727,0.851506317657673,0.9232415729870704,408,Croyance personnelle en la cause,Social services donors motivations for giving,AB,
81,81,Social services donor status,Social services donors,2018,rg_040,0.886844384357057,2.591955205168404,0.8417914582334699,0.9318973104806442,456,Croyance personnelle en la cause,Social services donors motivations for giving,AB,
82,82,Social services donor status,Non-social services donors,2018,rg_040,0.8036992809121897,2.1308660593501263,0.7701334175195902,0.8372651443047892,1124,Croyance personnelle en la cause,Social services donors motivations for giving,AT,
83,83,Social services donor status,Social services donors,2018,rg_040,0.8863262830683073,1.282052280346049,0.864054886324137,0.9085976798124776,1529,Croyance personnelle en la cause,Social services donors motivations for giving,AT,
84,84,Social services donor status,Non-social services donors,2018,rg_040,0.8011934370700294,2.9648682105970425,0.7546358067318177,0.8477510674082411,584,Croyance personnelle en la cause,Social services donors motivations for giving,BC,
85,85,Social services donor status,Social services donors,2018,rg_040,0.8729152965175954,2.237041612721308,0.8346421420919724,0.9111884509432184,699,Croyance personnelle en la cause,Social services donors motivations for giving,BC,
86,86,Social services donor status,Non-social services donors,2018,rg_040,0.8155839332609636,1.7409224810722508,0.7877550239026394,0.8434128426192877,1379,Croyance personnelle en la cause,Social services donors motivations for giving,ON,
87,87,Social services donor status,Social services donors,2018,rg_040,0.8898569932481779,1.6475883379615066,0.8611216083885485,0.9185923781078074,1428,Croyance personnelle en la cause,Social services donors motivations for giving,ON,
88,88,Social services donor status,Non-social services donors,2018,rg_040,0.8198529164441604,2.55493396268958,0.7787981376608046,0.8609076952275161,666,Croyance personnelle en la cause,Social services donors motivations for giving,PR,
89,89,Social services donor status,Social services donors,2018,rg_040,0.9126211087605418,1.5433354122851313,0.8850153987183416,0.940226818802742,646,Croyance personnelle en la cause,Social services donors motivations for giving,PR,
90,90,Social services donor status,Non-social services donors,2018,rg_040,0.7655490855808951,3.160864770165729,0.7181219332468362,0.812976237914954,588,Croyance personnelle en la cause,Social services donors motivations for giving,QC,
91,91,Social services donor status,Social services donors,2018,rg_040,0.8672834479953556,1.9761802365839145,0.8336914604422347,0.9008754355484764,674,Croyance personnelle en la cause,Social services donors motivations for giving,QC,
92,92,Social services donor status,Non-social services donors,2018,rg_050,0.8465840337096996,2.4418643368224693,0.806066808380139,0.8871012590392602,410,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,AB,
93,93,Social services donor status,Social services donors,2018,rg_050,0.8616536478039499,2.9145627479788723,0.8124322172543366,0.9108750783535632,454,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,AB,
94,94,Social services donor status,Non-social services donors,2018,rg_050,0.8234089495452389,1.9203435408350893,0.7924174491003866,0.8544004499900912,1123,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,AT,
95,95,Social services donor status,Social services donors,2018,rg_050,0.9039653300735776,1.262991364232611,0.8815884133154371,0.9263422468317184,1530,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,AT,
96,96,Social services donor status,Non-social services donors,2018,rg_050,0.784899180357397,3.022361304117817,0.7384039560909718,0.8313944046238223,583,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,BC,
97,97,Social services donor status,Social services donors,2018,rg_050,0.9261172726914744,1.37950055418253,0.9010771787155804,0.9511573666673684,693,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,BC,
98,98,Social services donor status,Non-social services donors,2018,rg_050,0.7869185771503108,2.0420142050059416,0.7554239371929546,0.8184132171076669,1370,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,ON,
99,99,Social services donor status,Social services donors,2018,rg_050,0.916401062715095,1.1200583711005188,0.8962835478269875,0.9365185776032026,1423,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,ON,
100,100,Social services donor status,Non-social services donors,2018,rg_050,0.7650219372276628,3.143399734692721,0.7178893161280457,0.8121545583272798,660,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,PR,
101,101,Social services donor status,Social services donors,2018,rg_050,0.9353815616967036,1.3303427619551906,0.9109921992959128,0.959770924097494,644,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,PR,
102,102,Social services donor status,Non-social services donors,2018,rg_050,0.7426140183443478,3.3087270762354493,0.6944556039328909,0.7907724327558048,582,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,QC,
103,103,Social services donor status,Social services donors,2018,rg_050,0.913312519682274,1.4214202811382932,0.8878682488408327,0.9387567905237156,673,Compassion envers les personnes dans le besoin,Social services donors motivations for giving,QC,
104,104,Social services donor status,Non-social services donors,2018,rg_060,0.7416780124837506,3.6361062535154,0.688821310593873,0.7945347143736283,407,Contribution à la communauté,Social services donors motivations for giving,AB,
105,105,Social services donor status,Social services donors,2018,rg_060,0.7685973281987706,3.811519386738813,0.7111797203864803,0.8260149360110609,453,Contribution à la communauté,Social services donors motivations for giving,AB,
106,106,Social services donor status,Non-social services donors,2018,rg_060,0.7146933097977577,2.4254817066303405,0.6807178133611448,0.7486688062343706,1109,Contribution à la communauté,Social services donors motivations for giving,AT,
107,107,Social services donor status,Social services donors,2018,rg_060,0.7852944973653199,2.087408643649879,0.7531661695181551,0.8174228252124847,1518,Contribution à la communauté,Social services donors motivations for giving,AT,
108,108,Social services donor status,Non-social services donors,2018,rg_060,0.694379258486505,3.792728657585944,0.6427618015740746,0.7459967153989353,578,Contribution à la communauté,Social services donors motivations for giving,BC,
109,109,Social services donor status,Social services donors,2018,rg_060,0.8220843206592953,2.355339696137854,0.7841337764754459,0.8600348648431446,685,Contribution à la communauté,Social services donors motivations for giving,BC,
110,110,Social services donor status,Non-social services donors,2018,rg_060,0.6697100266816999,2.6346652906430914,0.635127211623678,0.7042928417397217,1358,Contribution à la communauté,Social services donors motivations for giving,ON,
111,111,Social services donor status,Social services donors,2018,rg_060,0.7916681010884535,2.090238574378779,0.7592351030845484,0.8241010990923586,1408,Contribution à la communauté,Social services donors motivations for giving,ON,
112,112,Social services donor status,Non-social services donors,2018,rg_060,0.7058924085714043,3.2273775071216897,0.6612408759441939,0.7505439411986148,663,Contribution à la communauté,Social services donors motivations for giving,PR,
113,113,Social services donor status,Social services donors,2018,rg_060,0.8436544995204579,1.998463236269833,0.8106092617180719,0.8766997373228439,642,Contribution à la communauté,Social services donors motivations for giving,PR,
114,114,Social services donor status,Non-social services donors,2018,rg_060,0.6308360313263826,4.379432622339439,0.5766880299861143,0.6849840326666508,579,Contribution à la communauté,Social services donors motivations for giving,QC,
115,115,Social services donor status,Social services donors,2018,rg_060,0.7612088544623532,2.9976905621453342,0.7164850517504966,0.8059326571742098,669,Contribution à la communauté,Social services donors motivations for giving,QC,
116,116,Social services donor status,Non-social services donors,2018,rg_070,0.4534888051109544,7.633512234954789,0.3856404899548783,0.5213371202670305,405,Sollicitation par une connaissance,Social services donors motivations for giving,AB,
117,117,Social services donor status,Social services donors,2018,rg_070,0.567278378064599,5.73909496730484,0.5034685267087542,0.6310882294204438,455,Sollicitation par une connaissance,Social services donors motivations for giving,AB,
118,118,Social services donor status,Non-social services donors,2018,rg_070,0.482290445736733,4.66968666634022,0.4381492096875103,0.5264316817859557,1117,Sollicitation par une connaissance,Social services donors motivations for giving,AT,
119,119,Social services donor status,Social services donors,2018,rg_070,0.5649585453568761,3.186025081455625,0.5296797405535072,0.6002373501602449,1516,Sollicitation par une connaissance,Social services donors motivations for giving,AT,
120,120,Social services donor status,Non-social services donors,2018,rg_070,0.4562547269147008,6.2564543711290845,0.4003068321304334,0.5122026216989681,578,Sollicitation par une connaissance,Social services donors motivations for giving,BC,
121,121,Social services donor status,Social services donors,2018,rg_070,0.5403660393916871,5.017146241869308,0.4872295451073318,0.5935025336760424,676,Sollicitation par une connaissance,Social services donors motivations for giving,BC,
122,122,Social services donor status,Non-social services donors,2018,rg_070,0.4976711510631499,3.616925021747929,0.462391030273466,0.5329512718528339,1361,Sollicitation par une connaissance,Social services donors motivations for giving,ON,
123,123,Social services donor status,Social services donors,2018,rg_070,0.5490100362664457,3.638108373463932,0.5098625386270086,0.5881575339058829,1400,Sollicitation par une connaissance,Social services donors motivations for giving,ON,
124,124,Social services donor status,Non-social services donors,2018,rg_070,0.4733897063723096,5.250086617331181,0.4246779970185788,0.5221014157260404,659,Sollicitation par une connaissance,Social services donors motivations for giving,PR,
125,125,Social services donor status,Social services donors,2018,rg_070,0.5813222698745873,4.244188199137451,0.5329652325559525,0.6296793071932222,641,Sollicitation par une connaissance,Social services donors motivations for giving,PR,
126,126,Social services donor status,Non-social services donors,2018,rg_070,0.362898088059573,7.752347828176212,0.3077581820724718,0.4180379940466742,582,Sollicitation par une connaissance,Social services donors motivations for giving,QC,
127,127,Social services donor status,Social services donors,2018,rg_070,0.412729560921821,5.8192410734540525,0.3656556787937061,0.4598034430499358,666,Sollicitation par une connaissance,Social services donors motivations for giving,QC,
