Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Social services volunteer status,Non-social services volunteer,2018,fv_020,0.06955541513882899,8.135031884312552,0.058465242737427,0.08064558754023096,5992,Canvassing,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Social services volunteer,2018,fv_020,0.0895617262605974,11.926669079507707,0.06862591877056988,0.11049753375062492,2286,Canvassing,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Non-social services volunteer,2018,fv_030,0.37653014885520936,2.616611120941758,0.3572199373840546,0.3958403603263641,6007,Fundraising,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Social services volunteer,2018,fv_030,0.43812892249641416,3.384574064455674,0.4090650127181925,0.4671928322746358,2291,Fundraising,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Non-social services volunteer,2018,fv_040,0.3133009050613998,2.9805982794604264,0.2949982882663021,0.3316035218564975,6011,Sit on committee or board,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Social services volunteer,2018,fv_040,0.3359665852821131,4.236993366238435,0.30806672937281854,0.36386644119140765,2289,Sit on committee or board,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Non-social services volunteer,2018,fv_050,0.2740363459014784,3.380693991190658,0.25587859221263787,0.29219409959031895,5996,Teaching or mentoring,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Social services volunteer,2018,fv_050,0.3545578682441196,4.411568490646181,0.3239009677169462,0.385214768771293,2286,Teaching or mentoring,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Non-social services volunteer,2018,fv_060,0.4164107320945614,2.384333453725181,0.3969509937135356,0.43587047047558725,6005,Organize activities or events,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Social services volunteer,2018,fv_060,0.4864950822603087,3.447395665338357,0.45362372194963213,0.5193664425709852,2292,Organize activities or events,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Non-social services volunteer,2018,fv_070,0.1760727584845967,4.0366932903249335,0.16214228069853676,0.19000323627065663,5994,Office work,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Social services volunteer,2018,fv_070,0.19356869950265976,6.196841027739934,0.17005864812152804,0.21707875088379147,2287,Office work,Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Non-social services volunteer,2018,fv_080,0.15562193432837074,5.267467958192759,0.13955545192691332,0.17168841672982815,5988,"Coach, referee or officiate",Social services volunteers volunteer rates by activity,CA,
Social services volunteer status,Social services volunteer,2018,fv_080,0.10170198559165883,9.170171465454143,0.08342287841416265,0.119981092769155,2286,"Coach, referee or officiate",Social services volunteers volunteer rates by activity,CA,
