,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Social services volunteer status,Non-social services volunteer,2018,fv_020,0.0695554151388289,8.135031884312552,0.058465242737427,0.0806455875402309,5992,Porte-à-porte,Social services volunteers volunteer rates by activity,CA,
1,Social services volunteer status,Social services volunteer,2018,fv_020,0.0895617262605974,11.926669079507707,0.0686259187705698,0.1104975337506249,2286,Porte-à-porte,Social services volunteers volunteer rates by activity,CA,
2,Social services volunteer status,Non-social services volunteer,2018,fv_030,0.3765301488552093,2.616611120941758,0.3572199373840546,0.3958403603263641,6007,Collecte de fonds,Social services volunteers volunteer rates by activity,CA,
3,Social services volunteer status,Social services volunteer,2018,fv_030,0.4381289224964141,3.384574064455674,0.4090650127181925,0.4671928322746358,2291,Collecte de fonds,Social services volunteers volunteer rates by activity,CA,
4,Social services volunteer status,Non-social services volunteer,2018,fv_040,0.3133009050613998,2.9805982794604264,0.2949982882663021,0.3316035218564975,6011,Membre d'un comité ou d'un conseil d'administration,Social services volunteers volunteer rates by activity,CA,
5,Social services volunteer status,Social services volunteer,2018,fv_040,0.3359665852821131,4.236993366238435,0.3080667293728185,0.3638664411914076,2289,Membre d'un comité ou d'un conseil d'administration,Social services volunteers volunteer rates by activity,CA,
6,Social services volunteer status,Non-social services volunteer,2018,fv_050,0.2740363459014784,3.380693991190658,0.2558785922126378,0.2921940995903189,5996,Enseignement ou mentorat,Social services volunteers volunteer rates by activity,CA,
7,Social services volunteer status,Social services volunteer,2018,fv_050,0.3545578682441196,4.411568490646181,0.3239009677169462,0.385214768771293,2286,Enseignement ou mentorat,Social services volunteers volunteer rates by activity,CA,
8,Social services volunteer status,Non-social services volunteer,2018,fv_060,0.4164107320945614,2.384333453725181,0.3969509937135356,0.4358704704755872,6005,Organisation d'activités ou d'événements,Social services volunteers volunteer rates by activity,CA,
9,Social services volunteer status,Social services volunteer,2018,fv_060,0.4864950822603087,3.447395665338357,0.4536237219496321,0.5193664425709852,2292,Organisation d'activités ou d'événements,Social services volunteers volunteer rates by activity,CA,
10,Social services volunteer status,Non-social services volunteer,2018,fv_070,0.1760727584845967,4.0366932903249335,0.1621422806985367,0.1900032362706566,5994,Travail de bureau,Social services volunteers volunteer rates by activity,CA,
11,Social services volunteer status,Social services volunteer,2018,fv_070,0.1935686995026597,6.196841027739934,0.170058648121528,0.2170787508837914,2287,Travail de bureau,Social services volunteers volunteer rates by activity,CA,
12,Social services volunteer status,Non-social services volunteer,2018,fv_080,0.1556219343283707,5.267467958192759,0.1395554519269133,0.1716884167298281,5988,"Entraînement, arbitrage, présidence",Social services volunteers volunteer rates by activity,CA,
13,Social services volunteer status,Social services volunteer,2018,fv_080,0.1017019855916588,9.170171465454144,0.0834228784141626,0.119981092769155,2286,"Entraînement, arbitrage, présidence",Social services volunteers volunteer rates by activity,CA,
14,Social services volunteer status,Non-social services volunteer,2018,fv_090,0.222758402044581,3.4917432739171925,0.2075135051981505,0.2380032988910115,5989,Conseils,Social services volunteers volunteer rates by activity,CA,
15,Social services volunteer status,Social services volunteer,2018,fv_090,0.2862807954245245,5.287401794117916,0.2566131813934687,0.3159484094555803,2285,Conseils,Social services volunteers volunteer rates by activity,CA,
16,Social services volunteer status,Non-social services volunteer,2018,fv_100,0.1718268601660814,4.3596368198937325,0.1571447169168216,0.1865090034153412,5992,Soins de santé ou soutien,Social services volunteers volunteer rates by activity,CA,
17,Social services volunteer status,Social services volunteer,2018,fv_100,0.2441341726770428,5.889478242355845,0.2159533617109119,0.2723149836431738,2291,Soins de santé ou soutien,Social services volunteers volunteer rates by activity,CA,
18,Social services volunteer status,Non-social services volunteer,2018,fv_110,0.2089312644971137,3.934843451991221,0.192818168951221,0.2250443600430063,5992,"Collecte, distribution ou livraison de biens",Social services volunteers volunteer rates by activity,CA,
19,Social services volunteer status,Social services volunteer,2018,fv_110,0.4077124351253354,4.04139795176578,0.375417555837816,0.4400073144128548,2292,"Collecte, distribution ou livraison de biens",Social services volunteers volunteer rates by activity,CA,
20,Social services volunteer status,Non-social services volunteer,2018,fv_120,0.1513737068443127,4.770238146713793,0.1372210297442094,0.1655263839444161,5991,"Entretien, réparation ou construction",Social services volunteers volunteer rates by activity,CA,
21,Social services volunteer status,Social services volunteer,2018,fv_120,0.1463764769981859,7.179940826204138,0.1257777564248395,0.1669751975715323,2286,"Entretien, réparation ou construction",Social services volunteers volunteer rates by activity,CA,
22,Social services volunteer status,Non-social services volunteer,2018,fv_130,0.143004804892625,4.569086915719635,0.1301983731129076,0.1558112366723423,5981,Chauffeur.euse bénévole,Social services volunteers volunteer rates by activity,CA,
23,Social services volunteer status,Social services volunteer,2018,fv_130,0.1856006406432922,6.662291358297774,0.1613651853163085,0.2098360959702759,2287,Chauffeur.euse bénévole,Social services volunteers volunteer rates by activity,CA,
24,Social services volunteer status,Non-social services volunteer,2018,fv_140,0.0355997187802199,11.715950662626144,0.027425011838023,0.0437744257224168,5975,"Premier soins, incendies",Social services volunteers volunteer rates by activity,CA,
