Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Social services volunteer status,Non-social services volunteer,2018,nv_020,0.4047351839280875,2.5826666419454853,0.384247757652557,0.425222610203618,5147,Gave enough time already,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_020,0.40614364590205226,4.47050898205913,0.37055719101010504,0.4417301007939995,1911,Gave enough time already,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_030,0.0566083134955091,9.264670028743339,0.04632913841101109,0.0668874885800071,5098,Dissatisfied with previous experience,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_030,0.05787065426478232,15.964127268708387,0.03976343899502049,0.07597786953454416,1889,Dissatisfied with previous experience,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_040,0.25766680167075606,3.6500472952376883,0.23923341854950733,0.2761001847920048,5125,No one asked,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_040,0.24087084036799655,6.187203589999115,0.21166116531877388,0.2700805154172192,1893,No one asked,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_050,0.1430827673156948,6.774340355628813,0.1240850056599316,0.16208052897145803,5098,Unsure how to get more involved,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_050,0.14126399116289606,9.126775578470044,0.1159944745093374,0.1665335078164547,1881,Unsure how to get more involved,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_060,0.1656884492402599,4.448539908011124,0.15124210979667643,0.1801347886838434,5116,Health problems/physically unable,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_060,0.1823213212094705,6.954184004236811,0.15747101594256221,0.2071716264763788,1892,Health problems/physically unable,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_070,0.7408349685309494,1.258138592541783,0.7225666721549306,0.7591032649069682,5710,Did not have the time,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_070,0.739717763688354,1.8587053553918722,0.7127698784417857,0.7666656489349222,2201,Did not have the time,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_080,0.10777523160012797,7.1404702559155115,0.09269201838572691,0.12285844481452904,5099,Financial cost of volunteering,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_080,0.10772507623382843,10.071285140056512,0.0864608397704333,0.12898931269722358,1886,Financial cost of volunteering,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_090,0.43255487795035563,2.4619149987243247,0.41168295998456567,0.4534267959161456,5118,Unable to make commitment,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_090,0.4296791558105763,4.097771606238297,0.3951695398728486,0.46418877174830403,1906,Unable to make commitment,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_100,0.20214096429043454,3.86779754210336,0.18681717550694105,0.21746475307392804,5567,Preferred to give money instead,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_100,0.18019845505847473,6.748622011503194,0.15636350433850424,0.20403340577844523,2165,Preferred to give money instead,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_110,0.23781110191752458,3.7878857282772556,0.22015572127725452,0.25546648255779464,5105,No interest,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_110,0.18908760677914507,7.06068589440763,0.16292035893664128,0.21525485462164887,1894,No interest,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_120,0.19621491036378585,4.842933457990365,0.17759023981736222,0.2148395809102095,5079,No opportunity to use skills or experiences,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_120,0.17010267022327746,7.539230095459681,0.14496724595604235,0.19523809449051258,1884,No opportunity to use skills or experiences,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_130,0.17103266980625018,4.621512270867237,0.15554053467141588,0.18652480494108448,5080,Not asked to contribute in a way that was meaningful,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Social services volunteer,2018,nv_130,0.14614687498232784,8.508882513218909,0.12177380970893659,0.1705199402557191,1888,Not asked to contribute in a way that was meaningful,Social services volunteers barriers to volunteering more,CA,
Social services volunteer status,Non-social services volunteer,2018,nv_020,0.33671239383236534,7.94471029671941,0.2842817417982682,0.3891430458664625,440,Gave enough time already,Social services volunteers barriers to volunteering more,AB,
Social services volunteer status,Social services volunteer,2018,nv_020,0.3771092893600211,13.710266560292665,0.27577388141816533,0.47844469730187683,171,Gave enough time already,Social services volunteers barriers to volunteering more,AB,
Social services volunteer status,Non-social services volunteer,2018,nv_020,0.38815905776225196,5.198467919179871,0.34861026927127853,0.4277078462532254,1206,Gave enough time already,Social services volunteers barriers to volunteering more,AT,
Social services volunteer status,Social services volunteer,2018,nv_020,0.34129559929587777,8.946670344083989,0.28144889836423764,0.4011423002275179,490,Gave enough time already,Social services volunteers barriers to volunteering more,AT,
Social services volunteer status,Non-social services volunteer,2018,nv_020,0.437713569314347,5.52990723259851,0.390272338592058,0.485154800036636,733,Gave enough time already,Social services volunteers barriers to volunteering more,BC,
Social services volunteer status,Social services volunteer,2018,nv_020,0.3774332647019464,9.927241653468306,0.30399593811048,0.4508705912934128,262,Gave enough time already,Social services volunteers barriers to volunteering more,BC,
Social services volunteer status,Non-social services volunteer,2018,nv_020,0.40047447379558965,4.8540633884687345,0.3623741756775311,0.4385747719136482,1485,Gave enough time already,Social services volunteers barriers to volunteering more,ON,
Social services volunteer status,Social services volunteer,2018,nv_020,0.3924651916058657,7.8857709719552265,0.3318064501817754,0.45312393302995596,503,Gave enough time already,Social services volunteers barriers to volunteering more,ON,
Social services volunteer status,Non-social services volunteer,2018,nv_020,0.3402533230342309,6.830066384797215,0.2947046854506707,0.3858019606177911,697,Gave enough time already,Social services volunteers barriers to volunteering more,PR,
Social services volunteer status,Social services volunteer,2018,nv_020,0.2969838224614315,13.203410762064127,0.22012972650556434,0.3738379184172987,230,Gave enough time already,Social services volunteers barriers to volunteering more,PR,
