Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Social services volunteer status,Non-social services volunteer,2018,rv_020,0.584381634507512,1.8370149205946193,0.563341072614408,0.605422196400616,5027,Personally affected by cause,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_020,0.5936240154150116,2.8307730280905377,0.5606884895315426,0.6265595412984807,2103,Personally affected by cause,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_025,0.25585483482994975,3.8654554210798477,0.23647088003847572,0.2752387896214238,4927,Friends volunteer,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_025,0.23565620160265438,6.307138838303289,0.2065249358266789,0.26478746737862985,2067,Friends volunteer,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_030,0.40152952142414344,2.6468824625429765,0.38069899580733696,0.4223600470409499,4939,Family member volunteers,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_030,0.3668084156968164,4.528143962202382,0.3342541721683505,0.39936265922528225,2072,Family member volunteers,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_040,0.4857081292255402,2.356754861927298,0.4632725195901215,0.5081437388609589,4942,Networking or meeting people,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_040,0.463519805443287,3.587283017495161,0.43092998046372133,0.4961096304228527,2067,Networking or meeting people,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_050,0.2295202403443802,4.687915562959037,0.20843158632866668,0.2506088943600937,4889,Improve job opportunities,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_050,0.24844397945755442,6.614400937407787,0.21623573272642116,0.2806522261886877,2047,Improve job opportunities,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_060,0.2051577913554277,4.549633489976668,0.1868636294588288,0.22345195325202657,4931,Religious reasons,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_060,0.16230727108485582,7.48457012543229,0.13849762561559592,0.18611691655411572,2055,Religious reasons,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_065,0.2409198992637067,4.0400021262628725,0.2218432384646924,0.259996560062721,4918,Spiritual or other beliefs,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_065,0.26461046773584224,5.672116037663803,0.23519334324788824,0.29402759222379626,2057,Spiritual or other beliefs,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_070,0.4190140878383176,2.723779574005209,0.39664497941546834,0.4413831962611669,4904,Explore own strengths,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_070,0.45810833922681654,3.5038127152012772,0.4266484511713806,0.48956822728225247,2053,Explore own strengths,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_080,0.8911738291078554,0.7384502791426941,0.8782755498888786,0.9040721083268322,5085,Contribute to community,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_080,0.9100897469446476,1.104629533914725,0.8903859935578274,0.9297935003314678,2114,Contribute to community,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_090,0.7386133897155998,1.267649678329854,0.7202621876221322,0.7569645918090673,5013,Use skills and experiences,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Social services volunteer,2018,rv_090,0.7616596303755673,1.790129945184318,0.7349361150729383,0.7883831456781962,2100,Use skills and experiences,Social services volunteers motivations for volunteering,CA,
Social services volunteer status,Non-social services volunteer,2018,rv_100,0.2912465670540058,3.5610557304219137,0.2709188935578021,0.31157424055020955,4897,"Support political, environmental or social cause",Social services volunteers motivations for volunteering,CA,
