Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.025911057752711148,6.656875736872489,0.022530380717840297,0.029291734787582,13847,Arts & culture,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex01,0.03295664584013123,13.534344167223702,0.02421429337286756,0.041698998307394895,2302,Arts & culture,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-social services volunteer,2018,flag_vd1dex02,0.08361919114031398,3.7982078189183937,0.07739428544074373,0.08984409683988423,13847,Sports & Recreation,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex02,0.13670667123624006,8.281313379208417,0.11451770757464644,0.15889563489783368,2302,Sports & Recreation,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-social services volunteer,2018,flag_vd1dex03,0.06258821263056916,5.173868119518157,0.05624139536042518,0.06893502990071314,13847,Education & research,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex03,0.10282583396652327,8.67136105397188,0.08535001242755587,0.12030165550549067,2302,Education & research,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-social services volunteer,2018,flag_vd1dex04,0.020369449863730033,10.350312522773415,0.01623725442385741,0.024501645303602656,13847,Universities & colleges,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex04,0.016912039768607258,25.437045126514068,0.008480425256350437,0.02534365428086408,2302,Universities & colleges,Social services volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex05,0.03696758015023782,5.755695709079274,0.032797283589886816,0.04113787671058883,13847,Health,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex05,0.08646685871042975,10.473625628109586,0.06871700332969592,0.10421671409116358,2302,Health,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-social services volunteer,2018,flag_vd1dex06,0.018039786797993947,8.06078153346014,0.015189709476134877,0.020889864119853017,13847,Hospitals,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex06,0.033576838202654065,14.520038207124506,0.0240212891092288,0.04313238729607933,2302,Hospitals,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-social services volunteer,2018,flag_vd1dex08,0.022168702881547406,6.862996777910987,0.01918674044246196,0.025150665320632853,13847,Environment,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex08,0.050550614296766994,13.441353618300212,0.037233272835789255,0.06386795575774473,2302,Environment,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-social services volunteer,2018,flag_vd1dex09,0.04027672148777074,5.745559955583969,0.03574112339678354,0.04481231957875794,13847,Development & housing,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex09,0.06983240433038472,11.906344267060291,0.053536310300138536,0.08612849836063091,2302,Development & housing,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-social services volunteer,2018,flag_vd1dex10,0.014842311391722962,10.801210401570481,0.01170019653740424,0.017984426246041685,13847,"Law, advocacy & politics",Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex10,0.030701845927939887,21.609765750295505,0.017698274783354777,0.043705417072524996,2302,"Law, advocacy & politics",Social services volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex11,0.013549267628595102,8.155589939903297,0.011383462919505549,0.015715072337684655,13847,"Grant-making, fundraising",Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex11,0.026023587778361636,17.26983960121039,0.0172150551792951,0.03483212037742817,2302,"Grant-making, fundraising",Social services volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex12,0.0064574965155564604,16.18023255614226,0.004409651756973162,0.008505341274139759,13847,International,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex12,0.014618821851647508,28.26754411311459,0.006519502126447972,0.022718141576847047,2302,International,Social services volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex13,0.07275900546013207,4.193119997199333,0.06677940541958925,0.0787386055006749,13847,Religion,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex13,0.1207211943851524,8.157020366495207,0.10142093430963788,0.1400214544606669,2302,Religion,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-social services volunteer,2018,flag_vd1dex14,0.01179213573331885,12.471896139126827,0.008909610975722002,0.0146746604909157,13847,Business & professional,Social services volunteers volunteer rates for other ccauses,CA,
Volunteer status,Social services volunteer,2018,flag_vd1dex14,0.019152285466573882,19.99701901437755,0.01164584651546596,0.026658724417681804,2302,Business & professional,Social services volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex15,0.003365208026954313,18.316598441964395,0.0021571026101561822,0.0045733134437524435,13847,Other,Social services volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Social services volunteer,2018,flag_vd1dex15,0.002689217875756621,43.17448729245093,4.1358987285523884e-4,0.004964845878658003,2302,Other,Social services volunteers volunteer rates for other ccauses,CA,...
Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.027815855430539074,7.358695508469433,0.023804036305761063,0.031827674555317084,12132,Arts & culture,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex01,0.03556375328201893,14.619526127337663,0.025373406217742138,0.04575410034629573,2004,Arts & culture,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-social services volunteer,2018,flag_vd1dex02,0.0899224829703891,3.9185730240616174,0.08301620068320037,0.09682876525757783,12132,Sports & Recreation,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex02,0.14037823752330067,8.737979614424724,0.11633688461228534,0.164419590434316,2004,Sports & Recreation,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-social services volunteer,2018,flag_vd1dex03,0.06896330032663063,5.111861120251393,0.06205382334441173,0.07587277730884953,12132,Education & research,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex03,0.11342187000842917,8.98619224857776,0.09344531479892093,0.1333984252179374,2004,Education & research,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-social services volunteer,2018,flag_vd1dex04,0.020940933993873583,10.88067799347864,0.016475125486128225,0.02540674250161894,12132,Universities & colleges,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex04,0.018564423560827034,28.260491420518015,0.0082816737499946,0.02884717337165947,2004,Universities & colleges,Social services volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex05,0.03803120502656694,5.99120258036399,0.033565375076433576,0.04249703497670031,12132,Health,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex05,0.08755580754366797,11.913958434848109,0.06711071269861243,0.10800090238872351,2004,Health,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-social services volunteer,2018,flag_vd1dex06,0.020992219860660438,8.423412579438363,0.017526491420049438,0.02445794830127144,12132,Hospitals,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex06,0.03909454608585956,15.180005865938387,0.027463033218938348,0.050726058952780775,2004,Hospitals,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-social services volunteer,2018,flag_vd1dex08,0.02488246455554755,7.161075162483723,0.021390098831128277,0.02837483027996682,12132,Environment,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex08,0.055060272168877426,14.548271320801245,0.03936033780536096,0.0707602065323939,2004,Environment,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-social services volunteer,2018,flag_vd1dex09,0.04182628176937243,5.953474435003799,0.03694574214726683,0.046706821391478026,12132,Development & housing,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex09,0.07111060692328494,11.960095559475807,0.05444131601078739,0.0877798978357825,2004,Development & housing,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-social services volunteer,2018,flag_vd1dex10,0.014563861418457799,10.323810836493598,0.011616966382812566,0.017510756454103032,12132,"Law, advocacy & politics",Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex10,0.033653501332116316,23.612522365845916,0.018078764090111915,0.04922823857412072,2004,"Law, advocacy & politics",Social services volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex11,0.014250805068608766,8.929525544114808,0.01175669351280292,0.016744916624414612,12132,"Grant-making, fundraising",Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex11,0.025653818018680614,19.109815660044166,0.01604529580783461,0.03526234022952662,2004,"Grant-making, fundraising",Social services volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex12,0.0072577260802563345,17.797724638646045,0.00472602080031901,0.009789431360193659,12132,International,Social services volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Social services volunteer,2018,flag_vd1dex12,0.015351833080775259,32.334392861583225,0.005622724699916901,0.025080941461633616,2004,International,Social services volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex13,0.0844806910902354,4.292838870836889,0.07737264661149319,0.0915887355689776,12132,Religion,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex13,0.14190086616380157,8.315927076534258,0.11877256095938821,0.16502917136821493,2004,Religion,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-social services volunteer,2018,flag_vd1dex14,0.01299930632789394,11.487435163174208,0.010072517812592706,0.015926094843195175,12132,Business & professional,Social services volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Social services volunteer,2018,flag_vd1dex14,0.022770968121554592,20.592883790652905,0.013580306958787898,0.03196162928432129,2004,Business & professional,Social services volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex15,0.0038597313052593975,20.091397377149125,0.0023398302840199506,0.005379632326498844,12132,Other,Social services volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Social services volunteer,2018,flag_vd1dex15,0.003359127067468789,43.2932118948507,5.088024055081236e-4,0.006209451729429455,2004,Other,Social services volunteers volunteer rates for other ccauses,CA (without QC),...
Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.023752526487077114,20.89796882044111,0.014023665924958656,0.03348138704919557,1203,Arts & culture,Social services volunteers volunteer rates for other ccauses,AB,*
Volunteer status,Social services volunteer,2018,flag_vd1dex01,0.03718268652929614,35.74997481144933,0.011129275181491274,0.06323609787710101,209,Arts & culture,Social services volunteers volunteer rates for other ccauses,AB,...
Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.03438674620477118,13.142580254097618,0.025529069764844765,0.0432444226446976,3457,Arts & culture,Social services volunteers volunteer rates for other ccauses,AT,
Volunteer status,Social services volunteer,2018,flag_vd1dex01,0.06883711468228036,24.34063985322211,0.03599714556198783,0.1016770838025729,591,Arts & culture,Social services volunteers volunteer rates for other ccauses,AT,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.032821399459100974,16.11606290650365,0.02245413589160026,0.04318866302660169,1856,Arts & culture,Social services volunteers volunteer rates for other ccauses,BC,
Volunteer status,Social services volunteer,2018,flag_vd1dex01,0.03623369146535917,30.382032160027272,0.014657365626904919,0.057810017303813424,321,Arts & culture,Social services volunteers volunteer rates for other ccauses,BC,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.023486275190535966,13.059713151759103,0.0174745949255646,0.029497955455507333,3738,Arts & culture,Social services volunteers volunteer rates for other ccauses,ON,
Volunteer status,Social services volunteer,2018,flag_vd1dex01,0.025547773650174424,31.17158996072108,0.00993931186179484,0.04115623543855401,608,Arts & culture,Social services volunteers volunteer rates for other ccauses,ON,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.0448623389804998,15.38244241091808,0.031336777543014366,0.058387900417985236,1878,Arts & culture,Social services volunteers volunteer rates for other ccauses,PR,
Volunteer status,Social services volunteer,2018,flag_vd1dex01,0.0438603833102878,29.62642558714582,0.01839209421030377,0.06932867241027182,275,Arts & culture,Social services volunteers volunteer rates for other ccauses,PR,*
Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.019628934515096452,17.875467226130155,0.012751883922911121,0.026505985107281783,1715,Arts & culture,Social services volunteers volunteer rates for other ccauses,QC,*
