,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Volunteer status,Non-social services volunteer,2018,flag_vd1dex01,0.0259110577527111,6.656875736872489,0.0225303807178402,0.029291734787582,13847,Arts et culture,Social services volunteers volunteer rates for other ccauses,CA,
1,Volunteer status,Social services volunteer,2018,flag_vd1dex01,0.0329566458401312,13.534344167223702,0.0242142933728675,0.0416989983073948,2302,Arts et culture,Social services volunteers volunteer rates for other ccauses,CA,
2,Volunteer status,Non-social services volunteer,2018,flag_vd1dex02,0.0836191911403139,3.7982078189183937,0.0773942854407437,0.0898440968398842,13847,Sport et loisir,Social services volunteers volunteer rates for other ccauses,CA,
3,Volunteer status,Social services volunteer,2018,flag_vd1dex02,0.13670667123624,8.281313379208417,0.1145177075746464,0.1588956348978336,2302,Sport et loisir,Social services volunteers volunteer rates for other ccauses,CA,
4,Volunteer status,Non-social services volunteer,2018,flag_vd1dex03,0.0625882126305691,5.173868119518157,0.0562413953604251,0.0689350299007131,13847,Éducation et recherche,Social services volunteers volunteer rates for other ccauses,CA,
5,Volunteer status,Social services volunteer,2018,flag_vd1dex03,0.1028258339665232,8.67136105397188,0.0853500124275558,0.1203016555054906,2302,Éducation et recherche,Social services volunteers volunteer rates for other ccauses,CA,
6,Volunteer status,Non-social services volunteer,2018,flag_vd1dex04,0.02036944986373,10.350312522773416,0.0162372544238574,0.0245016453036026,13847,Universités et collèges,Social services volunteers volunteer rates for other ccauses,CA,
7,Volunteer status,Social services volunteer,2018,flag_vd1dex04,0.0169120397686072,25.437045126514068,0.0084804252563504,0.025343654280864,2302,Universités et collèges,Social services volunteers volunteer rates for other ccauses,CA,*
8,Volunteer status,Non-social services volunteer,2018,flag_vd1dex05,0.0369675801502378,5.755695709079274,0.0327972835898868,0.0411378767105888,13847,Santé,Social services volunteers volunteer rates for other ccauses,CA,
9,Volunteer status,Social services volunteer,2018,flag_vd1dex05,0.0864668587104297,10.473625628109586,0.0687170033296959,0.1042167140911635,2302,Santé,Social services volunteers volunteer rates for other ccauses,CA,
10,Volunteer status,Non-social services volunteer,2018,flag_vd1dex06,0.0180397867979939,8.06078153346014,0.0151897094761348,0.020889864119853,13847,Hôpitaux,Social services volunteers volunteer rates for other ccauses,CA,
11,Volunteer status,Social services volunteer,2018,flag_vd1dex06,0.033576838202654,14.520038207124506,0.0240212891092288,0.0431323872960793,2302,Hôpitaux,Social services volunteers volunteer rates for other ccauses,CA,
12,Volunteer status,Non-social services volunteer,2018,flag_vd1dex08,0.0221687028815474,6.862996777910987,0.0191867404424619,0.0251506653206328,13847,Environnement,Social services volunteers volunteer rates for other ccauses,CA,
13,Volunteer status,Social services volunteer,2018,flag_vd1dex08,0.0505506142967669,13.441353618300212,0.0372332728357892,0.0638679557577447,2302,Environnement,Social services volunteers volunteer rates for other ccauses,CA,
14,Volunteer status,Non-social services volunteer,2018,flag_vd1dex09,0.0402767214877707,5.745559955583969,0.0357411233967835,0.0448123195787579,13847,Aménagement et logement,Social services volunteers volunteer rates for other ccauses,CA,
15,Volunteer status,Social services volunteer,2018,flag_vd1dex09,0.0698324043303847,11.906344267060293,0.0535363103001385,0.0861284983606309,2302,Aménagement et logement,Social services volunteers volunteer rates for other ccauses,CA,
