Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,ng_140a,0.18329083654421216,38.54153296581428,0.044832908335477095,0.3217487647529472,39,Time of day,Reasons for disliking solicitations,CA,...
Age group,25 to 34 years,2018,ng_140a,0.20249497056762436,16.24871076237098,0.13800662430916716,0.26698331682608156,230,Time of day,Reasons for disliking solicitations,CA,
Age group,35 to 44 years,2018,ng_140a,0.3678914940920032,11.244501596517251,0.286812556707693,0.44897043147631344,323,Time of day,Reasons for disliking solicitations,CA,
Age group,45 to 54 years,2018,ng_140a,0.3147781733474868,11.979830294450093,0.2408681451833969,0.38868820151157674,343,Time of day,Reasons for disliking solicitations,CA,
Age group,55 to 64 years,2018,ng_140a,0.3654899172634694,9.528354312841557,0.2972338298907727,0.43374600463616614,529,Time of day,Reasons for disliking solicitations,CA,
Age group,65 to 74 years,2018,ng_140a,0.30712907889368263,11.193170982127452,0.23975045045919247,0.3745077073281728,471,Time of day,Reasons for disliking solicitations,CA,
Age group,75 years and over,2018,ng_140a,0.2923338137892425,15.44494796849579,0.20383986126549414,0.38082776631299087,270,Time of day,Reasons for disliking solicitations,CA,
Gender,Male gender,2018,ng_140a,0.2907346634000096,7.161752906526613,0.24992488481863948,0.33154444198137967,1011,Time of day,Reasons for disliking solicitations,CA,
Gender,Female gender,2018,ng_140a,0.31710533607235414,7.026661056079421,0.2734335809390191,0.3607770912056892,1194,Time of day,Reasons for disliking solicitations,CA,
Education,Less than High School,2018,ng_140a,0.2920481471913981,18.506119348142597,0.18611840751136322,0.397977886871433,167,Time of day,Reasons for disliking solicitations,CA,*
Education,Graduated from High school,2018,ng_140a,0.2584774707825723,11.834031543806374,0.1985254937994179,0.31842944776572674,438,Time of day,Reasons for disliking solicitations,CA,
Education,Post-secondary diploma,2018,ng_140a,0.3316124200165432,8.492635773147148,0.2764146696861695,0.38681017034691684,772,Time of day,Reasons for disliking solicitations,CA,
Education,University Diploma,2018,ng_140a,0.30674825895539864,7.690714535524677,0.2605104880405567,0.3529860298702406,761,Time of day,Reasons for disliking solicitations,CA,
Marital status (Original),Married,2018,ng_140a,0.34001376792019006,5.9555534832931,0.300325081696382,0.3797024541439981,1257,Time of day,Reasons for disliking solicitations,CA,
Marital status (Original),Living common-law,2018,ng_140a,0.32047129206248587,13.659794495023528,0.2346724576390598,0.40627012648591193,206,Time of day,Reasons for disliking solicitations,CA,
Marital status (Original),Widowed,2018,ng_140a,0.2711623129499173,22.946053464075664,0.14921129723395843,0.3931133286658761,187,Time of day,Reasons for disliking solicitations,CA,*
Marital status (Original),Separated,2018,ng_140a,0.497079047497041,22.283419099438817,0.27998127027078956,0.7141768247232925,52,Time of day,Reasons for disliking solicitations,CA,*
Marital status (Original),Divorced,2018,ng_140a,0.29195221603200777,19.91010790377335,0.17802342710942493,0.4058810049545906,156,Time of day,Reasons for disliking solicitations,CA,*
Marital status (Original),"Single, never married",2018,ng_140a,0.1785393484466018,15.785049068637303,0.12330261688527944,0.23377608000792416,347,Time of day,Reasons for disliking solicitations,CA,
Marital status,Married/common-law,2018,ng_140a,0.33691241757920537,5.49691411534905,0.3006143035508057,0.37321053160760503,1463,Time of day,Reasons for disliking solicitations,CA,
Marital status,Widowed,2018,ng_140a,0.2711623129499173,22.946053464075664,0.14921129723395843,0.3931133286658761,187,Time of day,Reasons for disliking solicitations,CA,*
Marital status,Separated/divorced,2018,ng_140a,0.3518874116221806,15.022285851990336,0.2482807110665342,0.45549411217782704,208,Time of day,Reasons for disliking solicitations,CA,
Marital status,"Single, never married",2018,ng_140a,0.1785393484466018,15.785049068637303,0.12330261688527944,0.23377608000792416,347,Time of day,Reasons for disliking solicitations,CA,
Labour force status,Employed,2018,ng_140a,0.3083424348544425,6.317890180212653,0.2701608930924536,0.3465239766164314,1209,Time of day,Reasons for disliking solicitations,CA,
Labour force status,Unemployed,2018,ng_140a,0.3068270623660033,44.616666663814264,0.03851581774426577,0.5751383069877409,37,Time of day,Reasons for disliking solicitations,CA,...
Labour force status,Not in labour force,2018,ng_140a,0.29707736151397435,8.04804453403464,0.25021674262851346,0.34393798039943524,898,Time of day,Reasons for disliking solicitations,CA,
Labour force status,Unable to determine,2018,ng_140a,0.22944085468450529,34.374204031492454,0.07486149882776849,0.3840202105412421,61,Time of day,Reasons for disliking solicitations,CA,...
