,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2018,ng_140a,0.18329083654421216,38.541532965814284,0.044832908335477095,0.3217487647529472,39,Heure du jour,Reasons for disliking solicitations,CA,...
1,Groupe d'âge,25 à 34 ans,2018,ng_140a,0.2024949705676244,16.24871076237098,0.13800662430916716,0.2669833168260816,230,Heure du jour,Reasons for disliking solicitations,CA,
2,Groupe d'âge,35 à 44 ans,2018,ng_140a,0.3678914940920032,11.244501596517253,0.286812556707693,0.44897043147631344,323,Heure du jour,Reasons for disliking solicitations,CA,
3,Groupe d'âge,45 à 54 ans,2018,ng_140a,0.3147781733474868,11.979830294450093,0.2408681451833969,0.3886882015115768,343,Heure du jour,Reasons for disliking solicitations,CA,
4,Groupe d'âge,55 à 64 ans,2018,ng_140a,0.3654899172634694,9.528354312841556,0.2972338298907727,0.4337460046361661,529,Heure du jour,Reasons for disliking solicitations,CA,
5,Groupe d'âge,65 à 74 ans,2018,ng_140a,0.3071290788936826,11.193170982127453,0.2397504504591925,0.3745077073281728,471,Heure du jour,Reasons for disliking solicitations,CA,
6,Groupe d'âge,75 ans et plus,2018,ng_140a,0.2923338137892425,15.44494796849579,0.20383986126549414,0.3808277663129909,270,Heure du jour,Reasons for disliking solicitations,CA,
7,Genre,Hommes,2018,ng_140a,0.2907346634000096,7.161752906526612,0.2499248848186395,0.3315444419813797,1011,Heure du jour,Reasons for disliking solicitations,CA,
8,Genre,Femmes,2018,ng_140a,0.3171053360723541,7.026661056079421,0.2734335809390191,0.3607770912056892,1194,Heure du jour,Reasons for disliking solicitations,CA,
9,Éducation,Sans diplôme d'études secondaires,2018,ng_140a,0.2920481471913981,18.5061193481426,0.1861184075113632,0.397977886871433,167,Heure du jour,Reasons for disliking solicitations,CA,*
10,Éducation,Diplôme d'études secondaires,2018,ng_140a,0.2584774707825723,11.834031543806374,0.1985254937994179,0.31842944776572674,438,Heure du jour,Reasons for disliking solicitations,CA,
11,Éducation,Diplôme post-secondaire,2018,ng_140a,0.3316124200165432,8.492635773147148,0.2764146696861695,0.3868101703469168,772,Heure du jour,Reasons for disliking solicitations,CA,
12,Éducation,Diplôme universtaire,2018,ng_140a,0.30674825895539864,7.690714535524679,0.2605104880405567,0.3529860298702406,761,Heure du jour,Reasons for disliking solicitations,CA,
13,État civil (original),Marié.e,2018,ng_140a,0.3400137679201901,5.955553483293099,0.300325081696382,0.3797024541439981,1257,Heure du jour,Reasons for disliking solicitations,CA,
14,État civil (original),Union de fait,2018,ng_140a,0.3204712920624859,13.659794495023528,0.2346724576390598,0.4062701264859119,206,Heure du jour,Reasons for disliking solicitations,CA,
15,État civil (original),Veuf.ve,2018,ng_140a,0.2711623129499173,22.946053464075664,0.14921129723395846,0.3931133286658761,187,Heure du jour,Reasons for disliking solicitations,CA,*
16,État civil (original),Séparé.e,2018,ng_140a,0.497079047497041,22.283419099438817,0.2799812702707896,0.7141768247232925,52,Heure du jour,Reasons for disliking solicitations,CA,*
17,État civil (original),divorcé.e,2018,ng_140a,0.29195221603200777,19.91010790377335,0.17802342710942493,0.4058810049545906,156,Heure du jour,Reasons for disliking solicitations,CA,*
18,État civil (original),"Célibataire, jamais marié.e",2018,ng_140a,0.1785393484466018,15.785049068637305,0.12330261688527945,0.23377608000792416,347,Heure du jour,Reasons for disliking solicitations,CA,
19,État civil,Marié.e/union de fait,2018,ng_140a,0.33691241757920537,5.49691411534905,0.3006143035508057,0.3732105316076049,1463,Heure du jour,Reasons for disliking solicitations,CA,
20,État civil,Veuf.ve,2018,ng_140a,0.2711623129499173,22.946053464075664,0.14921129723395846,0.3931133286658761,187,Heure du jour,Reasons for disliking solicitations,CA,*
21,État civil,Séparé.e/divorcé.e,2018,ng_140a,0.3518874116221806,15.022285851990334,0.2482807110665342,0.455494112177827,208,Heure du jour,Reasons for disliking solicitations,CA,
22,État civil,"Célibataire, jamais marié.e",2018,ng_140a,0.1785393484466018,15.785049068637305,0.12330261688527945,0.23377608000792416,347,Heure du jour,Reasons for disliking solicitations,CA,
23,Situation d'activité,Employé.e,2018,ng_140a,0.3083424348544425,6.317890180212653,0.2701608930924536,0.3465239766164314,1209,Heure du jour,Reasons for disliking solicitations,CA,
24,Situation d'activité,Au chômage,2018,ng_140a,0.3068270623660033,44.61666666381426,0.03851581774426577,0.5751383069877409,37,Heure du jour,Reasons for disliking solicitations,CA,...
25,Situation d'activité,Pas dans la population active,2018,ng_140a,0.29707736151397435,8.04804453403464,0.25021674262851346,0.34393798039943524,898,Heure du jour,Reasons for disliking solicitations,CA,
26,Situation d'activité,Unable to determine,2018,ng_140a,0.2294408546845053,34.37420403149245,0.07486149882776849,0.3840202105412421,61,Heure du jour,Reasons for disliking solicitations,CA,...
27,Catégorie de revenu personnel,Moins de 25 000 $,2018,ng_140a,0.2619966411805849,12.098178066613785,0.1998720152061368,0.32412126715503303,505,Heure du jour,Reasons for disliking solicitations,CA,
28,Catégorie de revenu personnel,25 000 $ à 49 999 $,2018,ng_140a,0.2896617987025188,10.006710338402156,0.23285103300480606,0.34647256440023155,653,Heure du jour,Reasons for disliking solicitations,CA,
29,Catégorie de revenu personnel,"$50,000 to $74,999",2018,ng_140a,0.3474773330529421,9.50297452058762,0.282757984755324,0.4121966813505603,491,Heure du jour,Reasons for disliking solicitations,CA,
30,Catégorie de revenu personnel,75 000 $ à 99 999 $,2018,ng_140a,0.3734860361106301,10.59747011243516,0.29591052234524584,0.4510615498760144,300,Heure du jour,Reasons for disliking solicitations,CA,
31,Catégorie de revenu personnel,100 000 $ à 124 999 $,2018,ng_140a,0.354083588946281,16.195971391301047,0.2416849918714484,0.4664821860211136,123,Heure du jour,Reasons for disliking solicitations,CA,
