Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,gs1dax01,42.17841928532629,38.79540090790797,10.10696637424175,74.24987219641083,15,Arts & culture,Average donation by subsector,CA,...
Age group,25 to 34 years,2018,gs1dax01,114.4086597391471,29.109886293254355,49.13356691732017,179.68375256097403,64,Arts & culture,Average donation by subsector,CA,*
Age group,35 to 44 years,2018,gs1dax01,108.99757733435409,28.62046356444977,47.85530152072616,170.13985314798202,95,Arts & culture,Average donation by subsector,CA,*
Age group,45 to 54 years,2018,gs1dax01,184.9381995462241,40.72028750393184,37.33847331842557,332.5379257740226,98,Arts & culture,Average donation by subsector,CA,...
Age group,55 to 64 years,2018,gs1dax01,277.5551143944111,22.4088829387021,155.6512331249501,399.4589956638721,155,Arts & culture,Average donation by subsector,CA,*
Age group,65 to 74 years,2018,gs1dax01,268.83997730652965,27.045080406090882,126.33493938667604,411.3450152263832,177,Arts & culture,Average donation by subsector,CA,*
Age group,75 years and over,2018,gs1dax01,206.13053165909386,26.511416735391403,99.02217627306479,313.23888704512296,93,Arts & culture,Average donation by subsector,CA,*
Gender,Male gender,2018,gs1dax01,149.12209239655317,20.34367884455767,89.66282265032353,208.5813621427828,282,Arts & culture,Average donation by subsector,CA,*
Gender,Female gender,2018,gs1dax01,208.8926857140217,15.680582585141753,144.69290883015765,273.09246259788574,415,Arts & culture,Average donation by subsector,CA,
Education,Less than High School,2018,gs1dax01,91.21833590366305,47.71582498473382,5.909763730494888,176.5269080768312,19,Arts & culture,Average donation by subsector,CA,...
Education,Graduated from High school,2018,gs1dax01,148.97924444968282,52.983333836091084,-5.7288867490563575,303.687375648422,85,Arts & culture,Average donation by subsector,CA,...
Education,Post-secondary diploma,2018,gs1dax01,164.9134001569521,22.091049349181567,93.5097550401093,236.3170452737949,201,Arts & culture,Average donation by subsector,CA,*
Education,University Diploma,2018,gs1dax01,207.56633757971883,15.115562058310902,146.07282316295033,269.05985199648734,337,Arts & culture,Average donation by subsector,CA,
Marital status (Original),Married,2018,gs1dax01,190.57813540996597,15.558384703699682,132.4634795423162,248.69279127761573,355,Arts & culture,Average donation by subsector,CA,
Marital status (Original),Living common-law,2018,gs1dax01,362.51147720626346,58.19657674168208,-50.9806938967489,776.0036483092758,43,Arts & culture,Average donation by subsector,CA,...
Marital status (Original),Widowed,2018,gs1dax01,195.38731208004705,21.83633330032282,111.76461629795281,279.01000786214126,69,Arts & culture,Average donation by subsector,CA,*
Marital status (Original),Separated,2018,gs1dax01,66.49201110362243,25.583863617010582,33.150621914292536,99.83340029295232,19,Arts & culture,Average donation by subsector,CA,*
Marital status (Original),Divorced,2018,gs1dax01,295.43270920530483,40.036219079211335,63.60799920642242,527.2574192041873,79,Arts & culture,Average donation by subsector,CA,...
Marital status (Original),"Single, never married",2018,gs1dax01,86.29500224335503,15.564264968420611,59.970367678407165,112.61963680830289,132,Arts & culture,Average donation by subsector,CA,
Marital status,Married/common-law,2018,gs1dax01,207.22302490827687,16.20701218789444,141.39829910539083,273.0477507111629,398,Arts & culture,Average donation by subsector,CA,
Marital status,Widowed,2018,gs1dax01,195.38731208004705,21.83633330032282,111.76461629795281,279.01000786214126,69,Arts & culture,Average donation by subsector,CA,*
Marital status,Separated/divorced,2018,gs1dax01,245.9988887963839,37.78556982776395,63.816155981071745,428.1816216116961,98,Arts & culture,Average donation by subsector,CA,...
Marital status,"Single, never married",2018,gs1dax01,86.29500224335503,15.564264968420611,59.970367678407165,112.61963680830289,132,Arts & culture,Average donation by subsector,CA,
Labour force status,Employed,2018,gs1dax01,177.52286168964613,18.23884877618864,114.06290028075188,240.9828230985404,361,Arts & culture,Average donation by subsector,CA,*
Labour force status,Unemployed,2018,gs1dax01,54.71226311083515,50.86557758471064,0.16703647424600376,109.2574897474243,11,Arts & culture,Average donation by subsector,CA,...
Labour force status,Not in labour force,2018,gs1dax01,225.9750630074036,18.249400144913118,145.1479250394793,306.8022009753279,273,Arts & culture,Average donation by subsector,CA,*
Labour force status,Unable to determine,2018,gs1dax01,102.4353120676627,34.082003994069225,34.00903542519123,170.86158871013416,52,Arts & culture,Average donation by subsector,CA,...
Personal income category,"Less than $25,000",2018,gs1dax01,82.57488131165056,12.992571930950625,61.547210038570725,103.60255258473039,139,Arts & culture,Average donation by subsector,CA,
Personal income category,"$25,000 to $49,999",2018,gs1dax01,147.52569105649616,27.39313008986664,68.3198137543446,226.73156835864773,170,Arts & culture,Average donation by subsector,CA,*
Personal income category,"$50,000 to $74,999",2018,gs1dax01,147.4094972072555,19.052607092469703,92.36321816716541,202.45577624734557,173,Arts & culture,Average donation by subsector,CA,*
Personal income category,"$75,000 to $99,999",2018,gs1dax01,208.6081034789434,42.664991815013934,34.166153611105045,383.05005334678174,89,Arts & culture,Average donation by subsector,CA,...
Personal income category,"$100,000 to $124,999",2018,gs1dax01,228.28741790098107,42.67484407783435,37.3451792823229,419.2296565196392,60,Arts & culture,Average donation by subsector,CA,...
Personal income category,"$125,000 and more",2018,gs1dax01,681.6223804881741,31.115047670154294,265.93924680976176,1097.3055141665866,66,Arts & culture,Average donation by subsector,CA,*
Family income category,"Less than $25,000",2018,gs1dax01,89.12345331969328,19.347432371709967,55.327598615479666,122.9193080239069,52,Arts & culture,Average donation by subsector,CA,*
Family income category,"$25,000 to $49,999",2018,gs1dax01,168.23736141641115,26.26539476595345,81.63006692012007,254.84465591270222,106,Arts & culture,Average donation by subsector,CA,*
Family income category,"$50,000 to $74,999",2018,gs1dax01,133.90838061566467,33.18436406925733,46.81415771806836,221.00260351326096,129,Arts & culture,Average donation by subsector,CA,*
Family income category,"$75,000 to $99,999",2018,gs1dax01,134.83230319017872,35.826368525895234,40.15522798320441,229.50937839715303,129,Arts & culture,Average donation by subsector,CA,...
Family income category,"$100,000 to $124,999",2018,gs1dax01,96.43592623849314,24.805839604992318,49.55017506975836,143.32167740722792,73,Arts & culture,Average donation by subsector,CA,*
Family income category,"$125,000 and more",2018,gs1dax01,301.49301915065655,19.084331681498956,188.72075297388773,414.2652853274254,208,Arts & culture,Average donation by subsector,CA,*
Frequency of religious attendance,At least once a week,2018,gs1dax01,156.82414158753684,25.71026886133386,77.79857318198054,235.84970999309314,117,Arts & culture,Average donation by subsector,CA,*
Frequency of religious attendance,At least once a month,2018,gs1dax01,136.2046651798593,23.725468793574194,72.86804617450858,199.54128418521,60,Arts & culture,Average donation by subsector,CA,*
Frequency of religious attendance,At least 3 times a year,2018,gs1dax01,363.5549841726512,51.315388741314486,-2.0952174921993674,729.2051858375017,64,Arts & culture,Average donation by subsector,CA,...
