,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,Groupe d'âge,15 à 24 ans,2018,gs1dax01,42.17841928532629,38.79540090790797,10.10696637424175,74.24987219641083,15,Arts et culture,Average donation by subsector,CA,...
1,1,Groupe d'âge,25 à 34 ans,2018,gs1dax01,114.4086597391471,29.109886293254355,49.133566917320174,179.68375256097406,64,Arts et culture,Average donation by subsector,CA,*
2,2,Groupe d'âge,35 à 44 ans,2018,gs1dax01,108.99757733435408,28.620463564449768,47.85530152072616,170.13985314798202,95,Arts et culture,Average donation by subsector,CA,*
3,3,Groupe d'âge,45 à 54 ans,2018,gs1dax01,184.9381995462241,40.72028750393184,37.33847331842557,332.53792577402265,98,Arts et culture,Average donation by subsector,CA,...
4,4,Groupe d'âge,55 à 64 ans,2018,gs1dax01,277.5551143944111,22.408882938702106,155.6512331249501,399.4589956638722,155,Arts et culture,Average donation by subsector,CA,*
5,5,Groupe d'âge,65 à 74 ans,2018,gs1dax01,268.8399773065296,27.04508040609088,126.33493938667604,411.3450152263832,177,Arts et culture,Average donation by subsector,CA,*
6,6,Groupe d'âge,75 ans et plus,2018,gs1dax01,206.13053165909386,26.51141673539141,99.0221762730648,313.23888704512296,93,Arts et culture,Average donation by subsector,CA,*
7,7,Genre,Hommes,2018,gs1dax01,149.12209239655311,20.343678844557672,89.66282265032352,208.5813621427828,282,Arts et culture,Average donation by subsector,CA,*
8,8,Genre,Femmes,2018,gs1dax01,208.8926857140217,15.680582585141751,144.69290883015762,273.0924625978857,415,Arts et culture,Average donation by subsector,CA,
9,9,Éducation,Sans diplôme d'études secondaires,2018,gs1dax01,91.21833590366305,47.71582498473382,5.909763730494888,176.52690807683118,19,Arts et culture,Average donation by subsector,CA,...
10,10,Éducation,Diplôme d'études secondaires,2018,gs1dax01,148.9792444496828,52.98333383609109,-5.7288867490563575,303.687375648422,85,Arts et culture,Average donation by subsector,CA,...
11,11,Éducation,Diplôme post-secondaire,2018,gs1dax01,164.9134001569521,22.091049349181567,93.5097550401093,236.3170452737949,201,Arts et culture,Average donation by subsector,CA,*
12,12,Éducation,Diplôme universtaire,2018,gs1dax01,207.56633757971886,15.115562058310902,146.0728231629503,269.05985199648734,337,Arts et culture,Average donation by subsector,CA,
13,13,État civil (original),Marié.e,2018,gs1dax01,190.57813540996602,15.558384703699682,132.4634795423162,248.6927912776157,355,Arts et culture,Average donation by subsector,CA,
14,14,État civil (original),Union de fait,2018,gs1dax01,362.51147720626335,58.19657674168208,-50.980693896748896,776.0036483092758,43,Arts et culture,Average donation by subsector,CA,...
15,15,État civil (original),Veuf.ve,2018,gs1dax01,195.38731208004702,21.836333300322817,111.7646162979528,279.01000786214126,69,Arts et culture,Average donation by subsector,CA,*
16,16,État civil (original),Séparé.e,2018,gs1dax01,66.49201110362243,25.583863617010582,33.150621914292536,99.83340029295229,19,Arts et culture,Average donation by subsector,CA,*
17,17,État civil (original),divorcé.e,2018,gs1dax01,295.4327092053048,40.036219079211335,63.607999206422434,527.2574192041873,79,Arts et culture,Average donation by subsector,CA,...
18,18,État civil (original),"Célibataire, jamais marié.e",2018,gs1dax01,86.29500224335503,15.564264968420613,59.97036767840717,112.61963680830289,132,Arts et culture,Average donation by subsector,CA,
19,19,État civil,Marié.e/union de fait,2018,gs1dax01,207.22302490827687,16.20701218789444,141.39829910539083,273.0477507111629,398,Arts et culture,Average donation by subsector,CA,
20,20,État civil,Veuf.ve,2018,gs1dax01,195.38731208004702,21.836333300322817,111.7646162979528,279.01000786214126,69,Arts et culture,Average donation by subsector,CA,*
21,21,État civil,Séparé.e/divorcé.e,2018,gs1dax01,245.9988887963839,37.78556982776395,63.81615598107175,428.1816216116961,98,Arts et culture,Average donation by subsector,CA,...
22,22,État civil,"Célibataire, jamais marié.e",2018,gs1dax01,86.29500224335503,15.564264968420613,59.97036767840717,112.61963680830289,132,Arts et culture,Average donation by subsector,CA,
23,23,Situation d'activité,Employé.e,2018,gs1dax01,177.5228616896461,18.23884877618864,114.06290028075188,240.98282309854042,361,Arts et culture,Average donation by subsector,CA,*
24,24,Situation d'activité,Au chômage,2018,gs1dax01,54.71226311083515,50.865577584710636,0.16703647424600376,109.2574897474243,11,Arts et culture,Average donation by subsector,CA,...
25,25,Situation d'activité,Pas dans la population active,2018,gs1dax01,225.9750630074036,18.24940014491312,145.1479250394793,306.8022009753279,273,Arts et culture,Average donation by subsector,CA,*
26,26,Situation d'activité,Unable to determine,2018,gs1dax01,102.4353120676627,34.082003994069225,34.00903542519123,170.86158871013416,52,Arts et culture,Average donation by subsector,CA,...
27,27,Catégorie de revenu personnel,Moins de 25 000 $,2018,gs1dax01,82.57488131165056,12.992571930950625,61.547210038570725,103.60255258473042,139,Arts et culture,Average donation by subsector,CA,
28,28,Catégorie de revenu personnel,25 000 $ à 49 999 $,2018,gs1dax01,147.52569105649616,27.39313008986664,68.3198137543446,226.73156835864773,170,Arts et culture,Average donation by subsector,CA,*
29,29,Catégorie de revenu personnel,"50,000 $ a 74,999 $",2018,gs1dax01,147.4094972072555,19.052607092469703,92.36321816716541,202.45577624734557,173,Arts et culture,Average donation by subsector,CA,*
30,30,Catégorie de revenu personnel,75 000 $ à 99 999 $,2018,gs1dax01,208.6081034789434,42.66499181501394,34.166153611105045,383.05005334678185,89,Arts et culture,Average donation by subsector,CA,...
31,31,Catégorie de revenu personnel,100 000 $ à 124 999 $,2018,gs1dax01,228.2874179009811,42.67484407783435,37.345179282322896,419.2296565196392,60,Arts et culture,Average donation by subsector,CA,...
32,32,Catégorie de revenu personnel,125 000 $ et plus,2018,gs1dax01,681.6223804881741,31.11504767015429,265.93924680976176,1097.3055141665866,66,Arts et culture,Average donation by subsector,CA,*
33,33,Catégorie de revenu familial,Moins de 25 000 $,2018,gs1dax01,89.12345331969328,19.34743237170997,55.32759861547967,122.9193080239069,52,Arts et culture,Average donation by subsector,CA,*
34,34,Catégorie de revenu familial,25 000 $ à 49 999 $,2018,gs1dax01,168.23736141641115,26.26539476595345,81.63006692012006,254.84465591270225,106,Arts et culture,Average donation by subsector,CA,*
