Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,vd1dtx01,51.20208436514459,18.876233502904793,32.25898344935223,70.14518528093696,35,Arts & culture,Average hours volunteered by subsector,CA,*
Age group,25 to 34 years,2018,vd1dtx01,116.50772658749105,38.70724604687154,28.11936328233378,204.89608989264832,60,Arts & culture,Average hours volunteered by subsector,CA,...
Age group,35 to 44 years,2018,vd1dtx01,46.64752008876472,21.907939614955552,26.617647504612155,66.67739267291729,84,Arts & culture,Average hours volunteered by subsector,CA,*
Age group,45 to 54 years,2018,vd1dtx01,70.8879655208667,18.44741456939848,45.25752261120883,96.51840843052457,97,Arts & culture,Average hours volunteered by subsector,CA,*
Age group,55 to 64 years,2018,vd1dtx01,95.09686047590671,14.257241233443295,68.52329872548972,121.6704222263237,141,Arts & culture,Average hours volunteered by subsector,CA,
Age group,65 to 74 years,2018,vd1dtx01,165.81676289524273,16.525525689439664,112.10964996486544,219.52387582562002,171,Arts & culture,Average hours volunteered by subsector,CA,*
Age group,75 years and over,2018,vd1dtx01,240.7575573807358,24.303004975613078,126.07747524004577,355.4376395214258,58,Arts & culture,Average hours volunteered by subsector,CA,*
Gender,Male gender,2018,vd1dtx01,122.20457617683716,14.725037167790097,86.93567250807916,157.47347984559516,233,Arts & culture,Average hours volunteered by subsector,CA,
Gender,Female gender,2018,vd1dtx01,92.91487131904152,12.50493271338968,70.14216318779641,115.68757945028663,413,Arts & culture,Average hours volunteered by subsector,CA,
Education,Less than High School,2018,vd1dtx01,85.1462504188118,29.64456770969065,35.674333292574715,134.6181675450489,32,Arts & culture,Average hours volunteered by subsector,CA,*
Education,Graduated from High school,2018,vd1dtx01,70.47776139929198,19.547611793546395,43.475887943904134,97.47963485467983,82,Arts & culture,Average hours volunteered by subsector,CA,*
Education,Post-secondary diploma,2018,vd1dtx01,98.45820134534424,17.317775798910795,65.03930513001987,131.8770975606686,199,Arts & culture,Average hours volunteered by subsector,CA,*
Education,University Diploma,2018,vd1dtx01,122.30932312743803,12.934049739300562,91.30357744511504,153.31506880976104,290,Arts & culture,Average hours volunteered by subsector,CA,
Marital status (Original),Married,2018,vd1dtx01,113.16828983999406,11.008973050413,88.74975214560695,137.58682753438117,305,Arts & culture,Average hours volunteered by subsector,CA,
Marital status (Original),Living common-law,2018,vd1dtx01,107.8102868237515,35.64311605561808,32.49485730900395,183.12571633849905,57,Arts & culture,Average hours volunteered by subsector,CA,...
Marital status (Original),Widowed,2018,vd1dtx01,120.73035234463292,24.573981512765027,62.5816421081496,178.87906258111624,47,Arts & culture,Average hours volunteered by subsector,CA,*
Marital status (Original),Separated,2018,vd1dtx01,175.138706508048,74.38979142281673,-80.21582541131687,430.49323842741285,24,Arts & culture,Average hours volunteered by subsector,CA,...
Marital status (Original),Divorced,2018,vd1dtx01,75.2493587441222,17.498564534778264,49.44142008014541,101.057297408099,72,Arts & culture,Average hours volunteered by subsector,CA,*
Marital status (Original),"Single, never married",2018,vd1dtx01,88.96164609330472,22.332589636843306,50.02218049012186,127.90111169648759,141,Arts & culture,Average hours volunteered by subsector,CA,*
Marital status,Married/common-law,2018,vd1dtx01,112.03303779181603,11.775209878795657,86.17694725846707,137.889128325165,362,Arts & culture,Average hours volunteered by subsector,CA,
Marital status,Widowed,2018,vd1dtx01,120.73035234463292,24.573981512765027,62.5816421081496,178.87906258111624,47,Arts & culture,Average hours volunteered by subsector,CA,*
Marital status,Separated/divorced,2018,vd1dtx01,100.96021372202004,36.28952213288812,29.151094211724285,172.7693332323158,96,Arts & culture,Average hours volunteered by subsector,CA,...
Marital status,"Single, never married",2018,vd1dtx01,88.96164609330472,22.332589636843306,50.02218049012186,127.90111169648759,141,Arts & culture,Average hours volunteered by subsector,CA,*
Labour force status,Employed,2018,vd1dtx01,75.28315277047632,11.208748894747107,58.74438955369651,91.82191598725613,316,Arts & culture,Average hours volunteered by subsector,CA,
Labour force status,Unemployed,2018,vd1dtx01,141.21100283438017,60.33527779794577,-25.77802829572252,308.2000339644828,19,Arts & culture,Average hours volunteered by subsector,CA,...
Labour force status,Not in labour force,2018,vd1dtx01,140.39739080291434,12.917466246636888,104.8519042580474,175.9428773477813,264,Arts & culture,Average hours volunteered by subsector,CA,
Labour force status,Unable to determine,2018,vd1dtx01,107.95369311909087,62.906065910947525,-25.146326931587396,241.05371316976914,47,Arts & culture,Average hours volunteered by subsector,CA,...
Personal income category,"Less than $25,000",2018,vd1dtx01,98.28839858544063,16.619890616501852,66.27155521938272,130.30524195149854,171,Arts & culture,Average hours volunteered by subsector,CA,*
Personal income category,"$25,000 to $49,999",2018,vd1dtx01,93.21170688472039,13.23879359779227,69.02554457173854,117.39786919770224,181,Arts & culture,Average hours volunteered by subsector,CA,
Personal income category,"$50,000 to $74,999",2018,vd1dtx01,155.89734880575216,21.49633095016158,90.21462408145862,221.5800735300457,152,Arts & culture,Average hours volunteered by subsector,CA,*
Personal income category,"$75,000 to $99,999",2018,vd1dtx01,49.70982213020636,16.944253378959743,33.201127383614775,66.21851687679795,71,Arts & culture,Average hours volunteered by subsector,CA,*
Personal income category,"$100,000 to $124,999",2018,vd1dtx01,38.85863287024129,29.821128448391864,16.146407890187593,61.570857850294985,33,Arts & culture,Average hours volunteered by subsector,CA,*
Personal income category,"$125,000 and more",2018,vd1dtx01,157.81159599502882,44.801079854920495,19.239596016403766,296.3835959736539,38,Arts & culture,Average hours volunteered by subsector,CA,...
Family income category,"Less than $25,000",2018,vd1dtx01,118.01880490157667,25.6077752338515,58.784792386425565,177.2528174167278,67,Arts & culture,Average hours volunteered by subsector,CA,*
Family income category,"$25,000 to $49,999",2018,vd1dtx01,139.44133488724816,26.047225326188883,68.25426954629849,210.62840022819785,108,Arts & culture,Average hours volunteered by subsector,CA,*
Family income category,"$50,000 to $74,999",2018,vd1dtx01,148.80968217630698,21.93904757345545,84.82190113393227,212.79746321868168,126,Arts & culture,Average hours volunteered by subsector,CA,*
Family income category,"$75,000 to $99,999",2018,vd1dtx01,79.4450642394635,15.01038803286022,56.07246939028536,102.81765908864165,98,Arts & culture,Average hours volunteered by subsector,CA,
Family income category,"$100,000 to $124,999",2018,vd1dtx01,94.95637704543665,19.490824908888857,58.681792479778025,131.23096161109527,71,Arts & culture,Average hours volunteered by subsector,CA,*
Family income category,"$125,000 and more",2018,vd1dtx01,76.42274737654398,19.310014999166395,47.49908066234956,105.34641409073839,176,Arts & culture,Average hours volunteered by subsector,CA,*
Frequency of religious attendance,At least once a week,2018,vd1dtx01,85.38797466910732,16.541541303192055,57.704488657221525,113.07146068099311,95,Arts & culture,Average hours volunteered by subsector,CA,*
Frequency of religious attendance,At least once a month,2018,vd1dtx01,80.42861979157075,23.9154480758597,42.7289775274816,118.12826205565992,49,Arts & culture,Average hours volunteered by subsector,CA,*
Frequency of religious attendance,At least 3 times a year,2018,vd1dtx01,87.45570754996,20.417274325812585,52.45845006544676,122.45296503447324,56,Arts & culture,Average hours volunteered by subsector,CA,*
Frequency of religious attendance,Once or twice a year,2018,vd1dtx01,136.59824005198712,20.632760717042775,81.3586386045869,191.83784149938734,107,Arts & culture,Average hours volunteered by subsector,CA,*
Frequency of religious attendance,Not at all,2018,vd1dtx01,105.1148760201688,14.747384204591615,74.7321128599967,135.49763918034088,294,Arts & culture,Average hours volunteered by subsector,CA,
Immigration status,Naturalized,2018,vd1dtx01,116.95029189888896,22.558559713493015,65.24193126070364,168.6586525370743,72,Arts & culture,Average hours volunteered by subsector,CA,*
Immigration status,Non-Canadian,2018,vd1dtx01,92.35151389067204,32.26229887322894,33.95493296756225,150.74809481378182,18,Arts & culture,Average hours volunteered by subsector,CA,*
Immigration status,Unknown,2018,vd1dtx01,102.91628980010893,11.599097670174888,79.51949222368255,126.31308737653531,556,Arts & culture,Average hours volunteered by subsector,CA,
Age group,15 to 24 years,2018,vd1dtx02,67.59457255494391,27.134649970727043,31.645793836820545,103.54335127306727,102,Sports & Recreation,Average hours volunteered by subsector,CA,*
Age group,25 to 34 years,2018,vd1dtx02,101.08035458034071,16.096498055055587,69.19096184041035,132.96974732027107,186,Sports & Recreation,Average hours volunteered by subsector,CA,
Age group,35 to 44 years,2018,vd1dtx02,85.84463106572073,11.93824377067161,65.7582511759546,105.93101095548687,416,Sports & Recreation,Average hours volunteered by subsector,CA,
Age group,45 to 54 years,2018,vd1dtx02,100.3822970445845,10.422713609578334,79.8760575605516,120.88853652861741,361,Sports & Recreation,Average hours volunteered by subsector,CA,
Age group,55 to 64 years,2018,vd1dtx02,124.48774414556729,14.011567376731435,90.3007114242703,158.67477686686428,344,Sports & Recreation,Average hours volunteered by subsector,CA,
