,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2018,vd1dtx01,51.20208436514459,18.876233502904796,32.25898344935223,70.14518528093696,35,Arts et culture,Average hours volunteered by subsector,CA,*
1,Groupe d'âge,25 à 34 ans,2018,vd1dtx01,116.50772658749105,38.70724604687154,28.11936328233378,204.89608989264832,60,Arts et culture,Average hours volunteered by subsector,CA,...
2,Groupe d'âge,35 à 44 ans,2018,vd1dtx01,46.647520088764715,21.90793961495555,26.617647504612155,66.67739267291729,84,Arts et culture,Average hours volunteered by subsector,CA,*
3,Groupe d'âge,45 à 54 ans,2018,vd1dtx01,70.8879655208667,18.44741456939848,45.25752261120883,96.51840843052456,97,Arts et culture,Average hours volunteered by subsector,CA,*
4,Groupe d'âge,55 à 64 ans,2018,vd1dtx01,95.09686047590671,14.257241233443295,68.52329872548972,121.6704222263237,141,Arts et culture,Average hours volunteered by subsector,CA,
5,Groupe d'âge,65 à 74 ans,2018,vd1dtx01,165.8167628952427,16.525525689439664,112.10964996486544,219.52387582562,171,Arts et culture,Average hours volunteered by subsector,CA,*
6,Groupe d'âge,75 ans et plus,2018,vd1dtx01,240.75755738073582,24.303004975613078,126.07747524004576,355.4376395214258,58,Arts et culture,Average hours volunteered by subsector,CA,*
7,Genre,Hommes,2018,vd1dtx01,122.20457617683716,14.725037167790095,86.93567250807915,157.47347984559514,233,Arts et culture,Average hours volunteered by subsector,CA,
8,Genre,Femmes,2018,vd1dtx01,92.91487131904152,12.50493271338968,70.1421631877964,115.68757945028663,413,Arts et culture,Average hours volunteered by subsector,CA,
9,Éducation,Sans diplôme d'études secondaires,2018,vd1dtx01,85.1462504188118,29.644567709690648,35.67433329257472,134.6181675450489,32,Arts et culture,Average hours volunteered by subsector,CA,*
10,Éducation,Diplôme d'études secondaires,2018,vd1dtx01,70.47776139929198,19.547611793546395,43.475887943904134,97.47963485467986,82,Arts et culture,Average hours volunteered by subsector,CA,*
11,Éducation,Diplôme post-secondaire,2018,vd1dtx01,98.45820134534424,17.317775798910795,65.03930513001987,131.8770975606686,199,Arts et culture,Average hours volunteered by subsector,CA,*
12,Éducation,Diplôme universtaire,2018,vd1dtx01,122.30932312743805,12.934049739300564,91.30357744511505,153.31506880976102,290,Arts et culture,Average hours volunteered by subsector,CA,
13,État civil (original),Marié.e,2018,vd1dtx01,113.16828983999407,11.008973050413001,88.74975214560696,137.58682753438117,305,Arts et culture,Average hours volunteered by subsector,CA,
14,État civil (original),Union de fait,2018,vd1dtx01,107.81028682375151,35.64311605561807,32.49485730900395,183.12571633849902,57,Arts et culture,Average hours volunteered by subsector,CA,...
15,État civil (original),Veuf.ve,2018,vd1dtx01,120.73035234463293,24.57398151276503,62.5816421081496,178.87906258111624,47,Arts et culture,Average hours volunteered by subsector,CA,*
16,État civil (original),Séparé.e,2018,vd1dtx01,175.138706508048,74.38979142281673,-80.21582541131687,430.49323842741285,24,Arts et culture,Average hours volunteered by subsector,CA,...
17,État civil (original),divorcé.e,2018,vd1dtx01,75.2493587441222,17.498564534778264,49.441420080145406,101.057297408099,72,Arts et culture,Average hours volunteered by subsector,CA,*
18,État civil (original),"Célibataire, jamais marié.e",2018,vd1dtx01,88.96164609330471,22.332589636843306,50.02218049012186,127.9011116964876,141,Arts et culture,Average hours volunteered by subsector,CA,*
19,État civil,Marié.e/union de fait,2018,vd1dtx01,112.03303779181604,11.775209878795655,86.17694725846707,137.88912832516502,362,Arts et culture,Average hours volunteered by subsector,CA,
20,État civil,Veuf.ve,2018,vd1dtx01,120.73035234463293,24.57398151276503,62.5816421081496,178.87906258111624,47,Arts et culture,Average hours volunteered by subsector,CA,*
21,État civil,Séparé.e/divorcé.e,2018,vd1dtx01,100.96021372202006,36.289522132888116,29.151094211724285,172.76933323231583,96,Arts et culture,Average hours volunteered by subsector,CA,...
22,État civil,"Célibataire, jamais marié.e",2018,vd1dtx01,88.96164609330471,22.332589636843306,50.02218049012186,127.9011116964876,141,Arts et culture,Average hours volunteered by subsector,CA,*
23,Situation d'activité,Employé.e,2018,vd1dtx01,75.2831527704763,11.208748894747107,58.74438955369651,91.82191598725613,316,Arts et culture,Average hours volunteered by subsector,CA,
24,Situation d'activité,Au chômage,2018,vd1dtx01,141.21100283438014,60.33527779794578,-25.778028295722518,308.2000339644828,19,Arts et culture,Average hours volunteered by subsector,CA,...
25,Situation d'activité,Pas dans la population active,2018,vd1dtx01,140.39739080291434,12.917466246636886,104.85190425804741,175.9428773477813,264,Arts et culture,Average hours volunteered by subsector,CA,
26,Situation d'activité,Unable to determine,2018,vd1dtx01,107.95369311909089,62.90606591094753,-25.1463269315874,241.05371316976917,47,Arts et culture,Average hours volunteered by subsector,CA,...
27,Catégorie de revenu personnel,"Less than $25,000",2018,vd1dtx01,98.28839858544063,16.619890616501852,66.27155521938272,130.30524195149854,171,Arts et culture,Average hours volunteered by subsector,CA,*
28,Catégorie de revenu personnel,"$25,000 to $49,999",2018,vd1dtx01,93.2117068847204,13.23879359779227,69.02554457173854,117.39786919770224,181,Arts et culture,Average hours volunteered by subsector,CA,
29,Catégorie de revenu personnel,"$50,000 to $74,999",2018,vd1dtx01,155.89734880575216,21.496330950161575,90.21462408145862,221.5800735300457,152,Arts et culture,Average hours volunteered by subsector,CA,*
30,Catégorie de revenu personnel,"$75,000 to $99,999",2018,vd1dtx01,49.709822130206355,16.944253378959743,33.20112738361477,66.21851687679795,71,Arts et culture,Average hours volunteered by subsector,CA,*
31,Catégorie de revenu personnel,"$100,000 to $124,999",2018,vd1dtx01,38.85863287024129,29.82112844839186,16.146407890187593,61.57085785029498,33,Arts et culture,Average hours volunteered by subsector,CA,*
32,Catégorie de revenu personnel,"$125,000 and more",2018,vd1dtx01,157.81159599502882,44.801079854920495,19.239596016403766,296.3835959736539,38,Arts et culture,Average hours volunteered by subsector,CA,...
33,Catégorie de revenu familial,"Less than $25,000",2018,vd1dtx01,118.01880490157669,25.6077752338515,58.78479238642557,177.25281741672782,67,Arts et culture,Average hours volunteered by subsector,CA,*
34,Catégorie de revenu familial,"$25,000 to $49,999",2018,vd1dtx01,139.44133488724816,26.04722532618889,68.25426954629849,210.62840022819785,108,Arts et culture,Average hours volunteered by subsector,CA,*
35,Catégorie de revenu familial,"$50,000 to $74,999",2018,vd1dtx01,148.80968217630698,21.939047573455447,84.82190113393227,212.79746321868168,126,Arts et culture,Average hours volunteered by subsector,CA,*
36,Catégorie de revenu familial,"$75,000 to $99,999",2018,vd1dtx01,79.4450642394635,15.010388032860222,56.072469390285356,102.81765908864165,98,Arts et culture,Average hours volunteered by subsector,CA,
37,Catégorie de revenu familial,"$100,000 to $124,999",2018,vd1dtx01,94.95637704543665,19.490824908888854,58.681792479778025,131.23096161109527,71,Arts et culture,Average hours volunteered by subsector,CA,*
38,Catégorie de revenu familial,"$125,000 and more",2018,vd1dtx01,76.42274737654398,19.310014999166395,47.499080662349556,105.3464140907384,176,Arts et culture,Average hours volunteered by subsector,CA,*
39,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,vd1dtx01,85.38797466910731,16.541541303192055,57.704488657221525,113.07146068099311,95,Arts et culture,Average hours volunteered by subsector,CA,*
40,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,vd1dtx01,80.42861979157075,23.9154480758597,42.728977527481604,118.12826205565992,49,Arts et culture,Average hours volunteered by subsector,CA,*
41,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,vd1dtx01,87.45570754996,20.417274325812585,52.45845006544676,122.45296503447322,56,Arts et culture,Average hours volunteered by subsector,CA,*
42,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2018,vd1dtx01,136.59824005198712,20.63276071704277,81.3586386045869,191.8378414993873,107,Arts et culture,Average hours volunteered by subsector,CA,*
43,Fréquence de la fréquentation religieuse,Pas du tout,2018,vd1dtx01,105.1148760201688,14.747384204591615,74.7321128599967,135.49763918034088,294,Arts et culture,Average hours volunteered by subsector,CA,
44,Statut d'immigration,Naturalisé.e,2018,vd1dtx01,116.95029189888895,22.558559713493015,65.24193126070364,168.65865253707432,72,Arts et culture,Average hours volunteered by subsector,CA,*
45,Statut d'immigration,Non canadien.ne,2018,vd1dtx01,92.35151389067205,32.26229887322894,33.95493296756225,150.74809481378182,18,Arts et culture,Average hours volunteered by subsector,CA,*
46,Statut d'immigration,Unknown,2018,vd1dtx01,102.91628980010893,11.599097670174887,79.51949222368255,126.31308737653532,556,Arts et culture,Average hours volunteered by subsector,CA,
47,Groupe d'âge,15 à 24 ans,2018,vd1dtx02,67.59457255494391,27.134649970727047,31.645793836820545,103.54335127306729,102,Sport et loisir,Average hours volunteered by subsector,CA,*
48,Groupe d'âge,25 à 34 ans,2018,vd1dtx02,101.08035458034071,16.096498055055587,69.19096184041035,132.96974732027107,186,Sport et loisir,Average hours volunteered by subsector,CA,
49,Groupe d'âge,35 à 44 ans,2018,vd1dtx02,85.84463106572073,11.938243770671608,65.7582511759546,105.93101095548687,416,Sport et loisir,Average hours volunteered by subsector,CA,
50,Groupe d'âge,45 à 54 ans,2018,vd1dtx02,100.3822970445845,10.422713609578334,79.8760575605516,120.88853652861741,361,Sport et loisir,Average hours volunteered by subsector,CA,
51,Groupe d'âge,55 à 64 ans,2018,vd1dtx02,124.48774414556728,14.011567376731437,90.3007114242703,158.67477686686428,344,Sport et loisir,Average hours volunteered by subsector,CA,
52,Groupe d'âge,65 à 74 ans,2018,vd1dtx02,160.32096142688758,16.137522968497947,109.61310254459757,211.02882030917755,335,Sport et loisir,Average hours volunteered by subsector,CA,
53,Groupe d'âge,75 ans et plus,2018,vd1dtx02,146.92880366237284,14.281491012831946,105.80165657224418,188.05595075250147,187,Sport et loisir,Average hours volunteered by subsector,CA,
54,Genre,Hommes,2018,vd1dtx02,104.36206986036669,7.5257081214184725,88.9685425816029,119.75559713913047,965,Sport et loisir,Average hours volunteered by subsector,CA,
55,Genre,Femmes,2018,vd1dtx02,106.41137449635764,9.053382166796444,87.52941779500999,125.29333119770529,966,Sport et loisir,Average hours volunteered by subsector,CA,
56,Éducation,Sans diplôme d'études secondaires,2018,vd1dtx02,89.78845886088932,25.076230967352032,45.6587695702608,133.91814815151784,113,Sport et loisir,Average hours volunteered by subsector,CA,*
57,Éducation,Diplôme d'études secondaires,2018,vd1dtx02,118.33535091072469,17.16405489983843,78.52623901732221,158.14446280412716,338,Sport et loisir,Average hours volunteered by subsector,CA,*
58,Éducation,Diplôme post-secondaire,2018,vd1dtx02,93.65985854309872,7.979120442010065,79.01259117383819,108.30712591235924,646,Sport et loisir,Average hours volunteered by subsector,CA,
59,Éducation,Diplôme universtaire,2018,vd1dtx02,111.19906004498891,8.888374135038353,91.82719057094612,130.57092951903172,650,Sport et loisir,Average hours volunteered by subsector,CA,
60,État civil (original),Marié.e,2018,vd1dtx02,109.53598335945298,6.656767586674799,95.24479652959572,123.82717018931028,1124,Sport et loisir,Average hours volunteered by subsector,CA,
61,État civil (original),Union de fait,2018,vd1dtx02,95.79055407884836,18.164714239813712,61.68702313311993,129.89408502457678,173,Sport et loisir,Average hours volunteered by subsector,CA,*
62,État civil (original),Veuf.ve,2018,vd1dtx02,191.53711470982586,31.385521478472995,73.71403211446159,309.3601973051901,133,Sport et loisir,Average hours volunteered by subsector,CA,*
63,État civil (original),Séparé.e,2018,vd1dtx02,160.88712940007798,35.85738148233927,47.816980108641026,273.9572786915149,63,Sport et loisir,Average hours volunteered by subsector,CA,...
64,État civil (original),divorcé.e,2018,vd1dtx02,112.65476153535494,22.52505501786049,62.919603295838776,162.3899197748711,144,Sport et loisir,Average hours volunteered by subsector,CA,*
65,État civil (original),"Célibataire, jamais marié.e",2018,vd1dtx02,81.29601274903528,16.527594566226007,54.961396906764065,107.63062859130649,294,Sport et loisir,Average hours volunteered by subsector,CA,*
66,État civil,Marié.e/union de fait,2018,vd1dtx02,107.21291443532469,6.3369245016829385,93.89691629452349,120.5289125761259,1297,Sport et loisir,Average hours volunteered by subsector,CA,
67,État civil,Veuf.ve,2018,vd1dtx02,191.53711470982586,31.385521478472995,73.71403211446159,309.3601973051901,133,Sport et loisir,Average hours volunteered by subsector,CA,*
68,État civil,Séparé.e/divorcé.e,2018,vd1dtx02,128.7609954852364,19.24839490487375,80.18441531458637,177.3375756558864,207,Sport et loisir,Average hours volunteered by subsector,CA,*
69,État civil,"Célibataire, jamais marié.e",2018,vd1dtx02,81.29601274903528,16.527594566226007,54.961396906764065,107.63062859130649,294,Sport et loisir,Average hours volunteered by subsector,CA,*
