Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,gs1dnx01,1.2397854120762517,3.2491165976530088,1.1608339985995215,1.3187368255529819,-,Arts & culture,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dnx02,1.2582665958585189,1.549340188816446,1.220057431071696,1.2964757606453416,-,Sports & Recreation,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn202,1.2171713810865818,1.208747511971051,1.18833535454587,1.2460074076272938,-,Education and research,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn203,2.008911571311134,1.0714999636209674,1.9667223925201185,2.051100750102149,-,Health,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn204,1.6302782005584147,1.2708016632601558,1.5896724458350078,1.6708839552818215,-,Social services,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn205,1.33289405181893,2.262263117363609,1.2737941395790888,1.3919939640587713,-,Environment,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn206,1.1116011152825873,2.1141717847540518,1.0655396936964718,1.1576625368687028,-,Development and housing,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn207,1.2167473689086081,3.2920833028185417,1.1382383910961325,1.2952563467210838,-,"Law, advocacy, and politics",Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn208,1.2143094557969538,1.5243913744543343,1.1780288984103897,1.250590013183518,-,Philanthropic intermediaries,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn209,1.23763470845882,1.472106803057081,1.201925527344633,1.273343889573007,-,International,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn210,1.3921767964895666,1.7000218488173104,1.345789721838216,1.4385638711409172,-,Religion,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn211,1.0021145172504715,0.24058925489349245,0.9973890835765642,1.0068399509243788,-,Business and professional,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dn212,1.0963215948900302,2.2384403256206733,1.0482230895577216,1.1444201002223389,-,Not elsewhere classified,Average number of donations by subsector,CA (without QC),NA
All,NA,2018,gs1dnx01,1.2230148982339046,2.8988278632310704,1.1535281056762026,1.2925016907916067,-,Arts & culture,Average number of donations by subsector,CA,NA
All,NA,2018,gs1dnx02,1.2389361657588362,1.4584646803619405,1.2035207016142058,1.2743516299034667,-,Sports & Recreation,Average number of donations by subsector,CA,NA
All,NA,2018,gs1dn202,1.2119699732132176,1.1884538174771035,1.1837392332790968,1.2402007131473385,-,Education and research,Average number of donations by subsector,CA,NA
All,NA,2018,gs1dn203,1.9867346729655584,1.0031873017511272,1.9476712776587966,2.0257980682723202,-,Health,Average number of donations by subsector,CA,NA
All,NA,2018,gs1dn204,1.6378159480520835,1.1687885594207805,1.600297130848427,1.67533476525574,-,Social services,Average number of donations by subsector,CA,NA
All,NA,2018,gs1dn205,1.303312832730523,2.0363356009980893,1.2512957350921368,1.3553299303689093,-,Environment,Average number of donations by subsector,CA,NA
All,NA,2018,gs1dn206,1.0980552270544093,1.7740166362173095,1.0598757511146446,1.136234702994174,-,Development and housing,Average number of donations by subsector,CA,NA
