Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,PropTot_gs1dnx01,0.305967086496292,4.865185429829151,0.27679132503751763,0.3351428479550664,-,Arts & culture,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dnx02,0.3157955102032557,2.427968400932142,0.3007676525581176,0.3308233678483938,-,Sports & Recreation,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn202,0.32231395276847474,2.127692001974036,0.3088728172962013,0.3357550882407482,-,Education and research,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn203,0.5363849090814801,0.9814212552808941,0.5260672754785268,0.5467025426844333,-,Health,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn204,0.43173318246349873,1.1135865961973805,0.4223102188273987,0.44115614609959874,-,Social services,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn205,0.35442312097407747,3.3449024808751613,0.3311875367193725,0.3776587052287824,-,Environment,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn206,0.29919251603591107,6.69464862013687,0.25993465763467954,0.3384503744371426,-,Development and housing,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn207,0.27156445320083744,4.394534073324766,0.24817425785224387,0.294954648549431,-,"Law, advocacy, and politics",Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn208,0.35820946219013217,2.797692911201459,0.33856748569003736,0.37785143869022697,-,Philanthropic intermediaries,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn209,0.32885764362389214,2.9461628609587285,0.30986817631295466,0.3478471109348296,-,International,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn210,0.4264264627195333,1.6375843567878392,0.41273985184731155,0.440113073591755,-,Religion,Proportion of Total Number of Donations by Sub-Sector,CA,
All,NA,2018,PropTot_gs1dn211,0.23389691972352925,11.280455218731623,0.18218398089506216,0.28560985855199633,-,Business and professional,Proportion of Total Number of Donations by Sub-Sector,CA,
