Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,flag_gs1dax01,0.016716364957733314,35.89271717428492,0.004956664160608835,0.028476065754857793,845,Arts & culture,Donation rate by subsector,CA,...
Age group,25 to 34 years,2018,flag_gs1dax01,0.029764188219195485,16.48982329621883,0.020144563381224743,0.03938381305716623,1846,Arts & culture,Donation rate by subsector,CA,
Age group,35 to 44 years,2018,flag_gs1dax01,0.029946565838956715,15.777814944928764,0.02068590507765187,0.03920722660026156,2523,Arts & culture,Donation rate by subsector,CA,
Age group,45 to 54 years,2018,flag_gs1dax01,0.031755181044508723,16.167531694451824,0.021692669187320143,0.041817692901697304,2609,Arts & culture,Donation rate by subsector,CA,
Age group,55 to 64 years,2018,flag_gs1dax01,0.0314442186402351,10.622522011050272,0.024897607607286574,0.03799082967318362,3481,Arts & culture,Donation rate by subsector,CA,
Age group,65 to 74 years,2018,flag_gs1dax01,0.03927700352811049,9.69209945127323,0.03181587879343551,0.04673812826278547,3019,Arts & culture,Donation rate by subsector,CA,
Age group,75 years and over,2018,flag_gs1dax01,0.04067811438888725,15.923081154869234,0.027983017702384955,0.053373211075389546,1826,Arts & culture,Donation rate by subsector,CA,
Gender,Male gender,2018,flag_gs1dax01,0.02866653109704371,9.773212662936006,0.02317541554692113,0.034157646647166286,7242,Arts & culture,Donation rate by subsector,CA,
Gender,Female gender,2018,flag_gs1dax01,0.03237271099674774,7.586471977491782,0.027559144018475448,0.037186277975020034,8907,Arts & culture,Donation rate by subsector,CA,
Education,Less than High School,2018,flag_gs1dax01,0.008601556182581386,38.87487950355775,0.0020477411939203967,0.015155371171242375,1568,Arts & culture,Donation rate by subsector,CA,...
Education,Graduated from High school,2018,flag_gs1dax01,0.019527995681913272,20.309697724211777,0.011754627808593134,0.02730136355523341,3502,Arts & culture,Donation rate by subsector,CA,*
Education,Post-secondary diploma,2018,flag_gs1dax01,0.026862905221393448,10.79794509215676,0.021177751847650646,0.03254805859513625,5142,Arts & culture,Donation rate by subsector,CA,
Education,University Diploma,2018,flag_gs1dax01,0.055298563587461595,7.773726229447398,0.04687315088271404,0.06372397629220915,4544,Arts & culture,Donation rate by subsector,CA,
Marital status (Original),Married,2018,flag_gs1dax01,0.033994030665766714,7.787299786415162,0.02880558053474619,0.03918248079678724,8083,Arts & culture,Donation rate by subsector,CA,
Marital status (Original),Living common-law,2018,flag_gs1dax01,0.015882995191469313,20.866130865758645,0.009387348091076272,0.022378642291862354,1487,Arts & culture,Donation rate by subsector,CA,*
Marital status (Original),Widowed,2018,flag_gs1dax01,0.042158196414567736,20.64345376628647,0.025100810594133105,0.05921558223500237,1421,Arts & culture,Donation rate by subsector,CA,*
Marital status (Original),Separated,2018,flag_gs1dax01,0.026016397802409486,33.19006789380311,0.009092383006349795,0.042940412598469174,517,Arts & culture,Donation rate by subsector,CA,*
Marital status (Original),Divorced,2018,flag_gs1dax01,0.0464168754609766,15.287817135524968,0.03250872203187881,0.06032502889007439,1380,Arts & culture,Donation rate by subsector,CA,
Marital status (Original),"Single, never married",2018,flag_gs1dax01,0.02607769192913358,15.758672207265517,0.018023223873541765,0.034132159984725394,3261,Arts & culture,Donation rate by subsector,CA,
Marital status,Married/common-law,2018,flag_gs1dax01,0.03061448270428936,7.322623801168215,0.02622066798481622,0.0350082974237625,9570,Arts & culture,Donation rate by subsector,CA,
Marital status,Widowed,2018,flag_gs1dax01,0.042158196414567736,20.64345376628647,0.025100810594133105,0.05921558223500237,1421,Arts & culture,Donation rate by subsector,CA,*
Marital status,Separated/divorced,2018,flag_gs1dax01,0.03969579825721669,13.577629744201,0.029132085289203365,0.050259511225230015,1897,Arts & culture,Donation rate by subsector,CA,
Marital status,"Single, never married",2018,flag_gs1dax01,0.02607769192913358,15.758672207265517,0.018023223873541765,0.034132159984725394,3261,Arts & culture,Donation rate by subsector,CA,
Labour force status,Employed,2018,flag_gs1dax01,0.029865669343257243,7.793832485301845,0.025303499906845536,0.03442783877966895,8587,Arts & culture,Donation rate by subsector,CA,
Labour force status,Unemployed,2018,flag_gs1dax01,0.03836454370630346,48.55720963974154,0.0018528608763638196,0.0748762265362431,348,Arts & culture,Donation rate by subsector,CA,...
Labour force status,Not in labour force,2018,flag_gs1dax01,0.030799187289553605,8.880754566603677,0.02543829334492805,0.036160081234179166,5824,Arts & culture,Donation rate by subsector,CA,
Labour force status,Unable to determine,2018,flag_gs1dax01,0.030881661930515295,27.507105380172455,0.014232451340152736,0.047530872520877857,1390,Arts & culture,Donation rate by subsector,CA,*
Personal income category,"Less than $25,000",2018,flag_gs1dax01,0.022312116144513602,14.47097833132489,0.015983820705200213,0.02864041158382699,4527,Arts & culture,Donation rate by subsector,CA,
Personal income category,"$25,000 to $49,999",2018,flag_gs1dax01,0.024248236528707823,11.7184422872383,0.018678968284751483,0.029817504772664163,4837,Arts & culture,Donation rate by subsector,CA,
Personal income category,"$50,000 to $74,999",2018,flag_gs1dax01,0.04336929952854249,12.396044634183367,0.03283238080535656,0.053906218251728415,3270,Arts & culture,Donation rate by subsector,CA,
Personal income category,"$75,000 to $99,999",2018,flag_gs1dax01,0.03925344165992917,18.672252979700723,0.024887881852549185,0.05361900146730915,1813,Arts & culture,Donation rate by subsector,CA,*
Personal income category,"$100,000 to $124,999",2018,flag_gs1dax01,0.0641053891153735,17.692691356817633,0.04187553906862154,0.08633523916212546,775,Arts & culture,Donation rate by subsector,CA,*
Personal income category,"$125,000 and more",2018,flag_gs1dax01,0.05434454538626718,15.265690083786232,0.038084547215863726,0.07060454355667063,927,Arts & culture,Donation rate by subsector,CA,
Family income category,"Less than $25,000",2018,flag_gs1dax01,0.02384774005192301,24.32599838412982,0.01247759529986296,0.03521788480398306,1741,Arts & culture,Donation rate by subsector,CA,*
Family income category,"$25,000 to $49,999",2018,flag_gs1dax01,0.021316551937470035,15.911297291161624,0.014668863788592758,0.027964240086347313,3015,Arts & culture,Donation rate by subsector,CA,
Family income category,"$50,000 to $74,999",2018,flag_gs1dax01,0.033430635593279585,15.664231663074865,0.023166985870408788,0.04369428531615038,2722,Arts & culture,Donation rate by subsector,CA,
Family income category,"$75,000 to $99,999",2018,flag_gs1dax01,0.03159566925982958,15.25249908748707,0.022150349658522778,0.041040988861136385,2790,Arts & culture,Donation rate by subsector,CA,
Family income category,"$100,000 to $124,999",2018,flag_gs1dax01,0.03646017985290429,17.553904543343794,0.02391604742980469,0.049004312276003895,1674,Arts & culture,Donation rate by subsector,CA,*
Family income category,"$125,000 and more",2018,flag_gs1dax01,0.03462534642097204,10.161178333195778,0.02772952046700987,0.04152117237493422,4207,Arts & culture,Donation rate by subsector,CA,
Frequency of religious attendance,At least once a week,2018,flag_gs1dax01,0.027245259664585932,13.218876296085028,0.020186415718530193,0.03430410361064167,2383,Arts & culture,Donation rate by subsector,CA,
Frequency of religious attendance,At least once a month,2018,flag_gs1dax01,0.04174780707588503,18.787637958311716,0.026374972936565176,0.05712064121520489,1208,Arts & culture,Donation rate by subsector,CA,*
