Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,gs1dax01/gs1datot,0.0143583910677208,11.9945143774942,0.0109829033034909,0.0177338788319507,-,Arts & culture,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1dax02/gs1datot,0.0224665728018417,10.0178078912235,0.0180553639783889,0.0268777816252945,-,Sports & Recreation,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da202/gs1datot,0.0410100985565129,10.0659598897798,0.0329192494904378,0.0491009476225879,-,Education and research,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da203/gs1datot,0.170022394222051,4.22524739546237,0.15594227405652,0.184102514387582,-,Health,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da204/gs1datot,0.102401653131561,4.54588345554944,0.0932779035621643,0.111525402700958,-,Social services,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da205/gs1datot,0.0271659900891742,9.06024773562031,0.022341918970492,0.0319900612078565,-,Environment,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da206/gs1datot,0.0125608194503233,20.0973565285308,0.00761310073852672,0.0175085381621198,-,Development and housing,Proportion of Total Donations by Sub-Sector,CA,*
All,NA,2018,gs1da207/gs1datot,0.0119904373110832,12.7669531201793,0.00899009796363131,0.014990776658535,-,"Law, advocacy, and politics",Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da208/gs1datot,0.0527970204119274,7.59440167841338,0.0449383139236981,0.0606557269001567,-,Philanthropic intermediaries,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da209/gs1datot,0.0685448660725321,5.75346493231553,0.0608153466353994,0.0762743855096648,-,International,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da210/gs1datot,0.455976049688276,2.95131322146692,0.429600262733758,0.482351836642793,-,Religion,Proportion of Total Donations by Sub-Sector,CA,
All,NA,2018,gs1da211/gs1datot,7.89654520350721e-4,19.2479824615381,4.91754569808462e-4,0.00108755447089298,-,Business and professional,Proportion of Total Donations by Sub-Sector,CA,*
All,NA,2018,gs1da212/gs1datot,0.0055859327048576,17.957423573977,0.00361991322270834,0.00755195218700685,-,Not elsewhere classified,Proportion of Total Donations by Sub-Sector,CA,*
All,NA,2018,gs1dax01/gs1datot,0.0142576821316888,13.0265787036097,0.0106174641817549,0.0178979000816226,-,Arts & culture,Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1dax02/gs1datot,0.0200898758578258,9.95767399644199,0.0161689985915336,0.0240107531241179,-,Sports & Recreation,Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1da202/gs1datot,0.04054053707322,11.0648511167744,0.0317486284941506,0.0493324456522894,-,Education and research,Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1da203/gs1datot,0.162193376161605,4.77630125015805,0.147009840431335,0.177376911891876,-,Health,Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1da204/gs1datot,0.0962943617266759,4.89411368851906,0.0870575306032011,0.105531192850151,-,Social services,Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1da205/gs1datot,0.0268766917235905,9.77979258798841,0.0217249563677189,0.0320284270794621,-,Environment,Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1da206/gs1datot,0.0134294875878336,20.8063068787536,0.00795299463797903,0.0189059805376881,-,Development and housing,Proportion of Total Donations by Sub-Sector,CA (without QC),*
All,NA,2018,gs1da207/gs1datot,0.0121041376199673,13.5217563047785,0.00889628026231882,0.0153119949776157,-,"Law, advocacy, and politics",Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1da208/gs1datot,0.0511551088916535,8.31024578324751,0.0428230760495403,0.0594871417337667,-,Philanthropic intermediaries,Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1da209/gs1datot,0.0689198570450498,6.1634114723612,0.0605942938553732,0.0772454202347264,-,International,Proportion of Total Donations by Sub-Sector,CA (without QC),
All,NA,2018,gs1da210/gs1datot,0.472507138570607,3.08588818941391,0.443928821426296,0.501085455714918,-,Religion,Proportion of Total Donations by Sub-Sector,CA (without QC),
