"","Group","Attribute","Year","QuestionNo.","Estimate","cv","CI Lower","CI Upper","Unweightedn","QuestionText","QuestionGroup","Region","Marker"
"1","Groupe d'âge","15 à 24 ans",2018,"flag_vd1dtx01",0.124325465016743,11.6341920492188,0.0959760297562218,0.152674900277264,845,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"2","Groupe d'âge","25 à 34 ans",2018,"flag_vd1dtx01",0.0884127885031326,8.73295571635747,0.07327980923184,0.103545767774425,1846,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"3","Groupe d'âge","35 à 44 ans",2018,"flag_vd1dtx01",0.133416773772755,5.96794436624629,0.117811072421811,0.149022475123699,2523,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"4","Groupe d'âge","45 à 54 ans",2018,"flag_vd1dtx01",0.127631371424881,6.84388201831643,0.110511202679571,0.144751540170191,2609,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"5","Groupe d'âge","55 à 64 ans",2018,"flag_vd1dtx01",0.104716115367114,6.4062358238009,0.0915679688317874,0.11786426190244,3481,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"6","Groupe d'âge","65 à 74 ans",2018,"flag_vd1dtx01",0.118720497610231,6.14604630333194,0.104419391562084,0.133021603658377,3019,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"7","Groupe d'âge","75 ans et plus",2018,"flag_vd1dtx01",0.0862990509137504,8.36996308199976,0.0721418416054437,0.100456260222057,1826,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"8","Genre","Hommes",2018,"flag_vd1dtx01",0.113799773982899,4.20786854190806,0.104414398459775,0.123185149506022,7242,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"9","Genre","Femmes",2018,"flag_vd1dtx01",0.112545756142628,4.41375170448605,0.102809654198132,0.122281858087123,8907,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"10","Éducation","Sans diplôme d'études secondaires",2018,"flag_vd1dtx01",0.0777134235355555,11.7994169563482,0.0597410812745651,0.095685765796546,1568,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"11","Éducation","Diplôme d'études secondaires",2018,"flag_vd1dtx01",0.0868362648013493,8.21333819566629,0.0728574957041783,0.10081503389852,3502,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"12","Éducation","Diplôme post-secondaire",2018,"flag_vd1dtx01",0.119823517889021,5.19540897290023,0.107622111368749,0.132024924409293,5142,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"13","Éducation","Diplôme universtaire",2018,"flag_vd1dtx01",0.139257372717527,4.54228112571679,0.126859696271977,0.151655049163076,4544,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"14","État civil (original)","Marié.e",2018,"flag_vd1dtx01",0.122718643620526,3.51480322629564,0.114264694030017,0.131172593211035,8083,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"15","État civil (original)","Union de fait",2018,"flag_vd1dtx01",0.116002864072934,9.23800347824753,0.0949992067360266,0.137006521409841,1487,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"16","État civil (original)","Veuf.ve",2018,"flag_vd1dtx01",0.0748782657508116,10.7712459530453,0.0590705247750854,0.0906860067265378,1421,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"17","État civil (original)","Séparé.e",2018,"flag_vd1dtx01",0.107708470986231,16.6142317752236,0.0726350428585901,0.142781899113871,517,"Arts & recreation","Volunteer rate by cause (focussed)","CA","*"
"18","État civil (original)","divorcé.e",2018,"flag_vd1dtx01",0.117205894348548,9.18318603006219,0.0961103407716171,0.13830144792548,1380,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"19","État civil (original)","Célibataire, jamais marié.e",2018,"flag_vd1dtx01",0.101451408360967,7.83032080934417,0.0858815118158144,0.11702130490612,3261,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"20","État civil","Marié.e/union de fait",2018,"flag_vd1dtx01",0.121465468499092,3.50562732094014,0.113119693625026,0.129811243373158,9570,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"21","État civil","Veuf.ve",2018,"flag_vd1dtx01",0.0748782657508116,10.7712459530453,0.0590705247750854,0.0906860067265378,1421,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"22","État civil","Séparé.e/divorcé.e",2018,"flag_vd1dtx01",0.114076903119849,7.99143148959256,0.0962091314361676,0.131944674803531,1897,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"23","État civil","Célibataire, jamais marié.e",2018,"flag_vd1dtx01",0.101451408360967,7.83032080934417,0.0858815118158144,0.11702130490612,3261,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"24","Situation d'activité","Employé.e",2018,"flag_vd1dtx01",0.115460722741066,3.88863981608553,0.106660775237697,0.124260670244434,8587,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"25","Situation d'activité","Au chômage",2018,"flag_vd1dtx01",0.0815933964317483,20.4777831381231,0.0488453013951449,0.114341491468352,348,"Arts & recreation","Volunteer rate by cause (focussed)","CA","*"
"26","Situation d'activité","Pas dans la population active",2018,"flag_vd1dtx01",0.107738087937091,5.57704003938685,0.0959614555876842,0.119514720286497,5824,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"27","Situation d'activité","Unable to determine",2018,"flag_vd1dtx01",0.133198483296258,10.7705125496313,0.105080527635475,0.161316438957041,1390,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"28","Catégorie de revenu personnel","Moins de 25 000 $",2018,"flag_vd1dtx01",0.101757377206796,6.18163786735582,0.0894286695318584,0.114086084881733,4527,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"29","Catégorie de revenu personnel","25 000 $ à 49 999 $",2018,"flag_vd1dtx01",0.0912111574483229,6.04938817710579,0.0803966309006724,0.102025683995973,4837,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"30","Catégorie de revenu personnel","50 000 $ a 74 999 $",2018,"flag_vd1dtx01",0.132062134634736,6.24116408346836,0.1159076910331,0.148216578236371,3270,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"31","Catégorie de revenu personnel","75 000 $ à 99 999 $",2018,"flag_vd1dtx01",0.152440992555139,6.93822855053096,0.131711032722395,0.173170952387883,1813,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"32","Catégorie de revenu personnel","100 000 $ à 124 999 $",2018,"flag_vd1dtx01",0.160588745696295,9.46838501695538,0.13078717827376,0.19039031311883,775,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
"33","Catégorie de revenu personnel","125 000 $ et plus",2018,"flag_vd1dtx01",0.178988602533805,8.95815104045659,0.147562404062233,0.210414801005376,927,"Arts & recreation","Volunteer rate by cause (focussed)","CA",""
