Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,flag_vd1dtx01,0.030643996172211467,22.419129596682584,0.01717881386035981,0.04410917848406312,845,Arts & culture,Volunteer rate by subsector,CA,*
Age group,25 to 34 years,2018,flag_vd1dtx01,0.02402873580893881,16.456725776528295,0.016278365633525197,0.03177910598435243,1846,Arts & culture,Volunteer rate by subsector,CA,
Age group,35 to 44 years,2018,flag_vd1dtx01,0.020574405550955407,15.3552649488291,0.014382380544326959,0.026766430557583855,2523,Arts & culture,Volunteer rate by subsector,CA,
Age group,45 to 54 years,2018,flag_vd1dtx01,0.02172496813555072,13.865477634353999,0.015821026251967366,0.027628910019134076,2609,Arts & culture,Volunteer rate by subsector,CA,
Age group,55 to 64 years,2018,flag_vd1dtx01,0.028187607070374942,11.775673978915547,0.021681936422108843,0.034693277718641044,3481,Arts & culture,Volunteer rate by subsector,CA,
Age group,65 to 74 years,2018,flag_vd1dtx01,0.04388024808552909,11.813398710387046,0.03372028740417834,0.05404020876687984,3019,Arts & culture,Volunteer rate by subsector,CA,
Age group,75 years and over,2018,flag_vd1dtx01,0.01879462749827778,16.53241628206424,0.012704615534643006,0.024884639461912557,1826,Arts & culture,Volunteer rate by subsector,CA,*
Gender,Male gender,2018,flag_vd1dtx01,0.021130316558196607,9.607936302328163,0.01715122245976,0.025109410656633212,7242,Arts & culture,Volunteer rate by subsector,CA,
Gender,Female gender,2018,flag_vd1dtx01,0.032096518326742304,8.036027398086858,0.027041212608002945,0.03715182404548166,8907,Arts & culture,Volunteer rate by subsector,CA,
Education,Less than High School,2018,flag_vd1dtx01,0.023249085755465203,23.82885508348525,0.01239090301309364,0.03410726849783677,1568,Arts & culture,Volunteer rate by subsector,CA,*
Education,Graduated from High school,2018,flag_vd1dtx01,0.01562722998728782,17.215955942363294,0.01035418790439239,0.020900272070183253,3502,Arts & culture,Volunteer rate by subsector,CA,*
Education,Post-secondary diploma,2018,flag_vd1dtx01,0.02692574099431504,11.63198158955858,0.020787139213426554,0.03306434277520352,5142,Arts & culture,Volunteer rate by subsector,CA,
Education,University Diploma,2018,flag_vd1dtx01,0.03956996187001666,8.266189414480243,0.033159060795143164,0.04598086294489015,4544,Arts & culture,Volunteer rate by subsector,CA,
Marital status (Original),Married,2018,flag_vd1dtx01,0.025039021108410834,7.905004394194128,0.02115959438608632,0.02891844783073535,8083,Arts & culture,Volunteer rate by subsector,CA,
Marital status (Original),Living common-law,2018,flag_vd1dtx01,0.029342840843891462,17.652972778764333,0.019190455334676552,0.03949522635310637,1487,Arts & culture,Volunteer rate by subsector,CA,*
Marital status (Original),Widowed,2018,flag_vd1dtx01,0.0189814159902818,17.918354851514295,0.012315269837490232,0.025647562143073364,1421,Arts & culture,Volunteer rate by subsector,CA,*
Marital status (Original),Separated,2018,flag_vd1dtx01,0.02289711202941227,32.69586704498097,0.008224019415583901,0.03757020464324064,517,Arts & culture,Volunteer rate by subsector,CA,*
Marital status (Original),Divorced,2018,flag_vd1dtx01,0.03245742152605251,14.12570136855863,0.023471303315176877,0.04144353973692814,1380,Arts & culture,Volunteer rate by subsector,CA,
Marital status (Original),"Single, never married",2018,flag_vd1dtx01,0.02904754563059578,14.272114852945903,0.020922124754108165,0.0371729665070834,3261,Arts & culture,Volunteer rate by subsector,CA,
Marital status,Married/common-law,2018,flag_vd1dtx01,0.025842120701156445,7.175556819163993,0.022207728018992717,0.029476513383320174,9570,Arts & culture,Volunteer rate by subsector,CA,
Marital status,Widowed,2018,flag_vd1dtx01,0.0189814159902818,17.918354851514295,0.012315269837490232,0.025647562143073364,1421,Arts & culture,Volunteer rate by subsector,CA,*
Marital status,Separated/divorced,2018,flag_vd1dtx01,0.029307712029335197,13.216767186788783,0.02171572868565842,0.03689969537301198,1897,Arts & culture,Volunteer rate by subsector,CA,
Marital status,"Single, never married",2018,flag_vd1dtx01,0.02904754563059578,14.272114852945903,0.020922124754108165,0.0371729665070834,3261,Arts & culture,Volunteer rate by subsector,CA,
Labour force status,Employed,2018,flag_vd1dtx01,0.02384457475709843,8.571023744069562,0.019838949001121688,0.02785020051307517,8587,Arts & culture,Volunteer rate by subsector,CA,
Labour force status,Unemployed,2018,flag_vd1dtx01,0.026188049732698743,34.33162308352305,0.008566439786641566,0.04380965967875592,348,Arts & culture,Volunteer rate by subsector,CA,...
Labour force status,Not in labour force,2018,flag_vd1dtx01,0.03192089000674677,9.52973218335463,0.02595872792164245,0.03788305209185109,5824,Arts & culture,Volunteer rate by subsector,CA,
Labour force status,Unable to determine,2018,flag_vd1dtx01,0.027184028556475705,21.0705829821502,0.01595768158905442,0.03841037552389699,1390,Arts & culture,Volunteer rate by subsector,CA,*
Personal income category,"Less than $25,000",2018,flag_vd1dtx01,0.025716259298304085,11.526995048368232,0.01990631466491743,0.03152620393169074,4527,Arts & culture,Volunteer rate by subsector,CA,
Personal income category,"$25,000 to $49,999",2018,flag_vd1dtx01,0.023835155426190125,10.74798273112113,0.01881412284781752,0.02885618800456273,4837,Arts & culture,Volunteer rate by subsector,CA,
Personal income category,"$50,000 to $74,999",2018,flag_vd1dtx01,0.030684305148815778,11.261141451580228,0.023911839704508733,0.03745677059312282,3270,Arts & culture,Volunteer rate by subsector,CA,
Personal income category,"$75,000 to $99,999",2018,flag_vd1dtx01,0.027953627434409493,16.021632194982004,0.01917567908374877,0.03673157578507022,1813,Arts & culture,Volunteer rate by subsector,CA,
Personal income category,"$100,000 to $124,999",2018,flag_vd1dtx01,0.03146460320074461,26.345396984443813,0.015217531489266148,0.04771167491222307,775,Arts & culture,Volunteer rate by subsector,CA,*
Personal income category,"$125,000 and more",2018,flag_vd1dtx01,0.0328825148292496,23.33942738571747,0.01784059351766836,0.04792443614083084,927,Arts & culture,Volunteer rate by subsector,CA,*
Family income category,"Less than $25,000",2018,flag_vd1dtx01,0.02381495256792204,20.09184106227366,0.014436794555697439,0.03319311058014664,1741,Arts & culture,Volunteer rate by subsector,CA,*
Family income category,"$25,000 to $49,999",2018,flag_vd1dtx01,0.01967354103871839,14.366651730873153,0.014133841750503674,0.025213240326933103,3015,Arts & culture,Volunteer rate by subsector,CA,
Family income category,"$50,000 to $74,999",2018,flag_vd1dtx01,0.02862060478389348,13.734627074627259,0.020916117024466937,0.03632509254332002,2722,Arts & culture,Volunteer rate by subsector,CA,
Family income category,"$75,000 to $99,999",2018,flag_vd1dtx01,0.023543172745959778,16.901797105944365,0.015744046251317468,0.031342299240602084,2790,Arts & culture,Volunteer rate by subsector,CA,*
Family income category,"$100,000 to $124,999",2018,flag_vd1dtx01,0.028137056488976492,15.385949533284954,0.019652071914794414,0.03662204106315857,1674,Arts & culture,Volunteer rate by subsector,CA,
Family income category,"$125,000 and more",2018,flag_vd1dtx01,0.03254448603844032,12.150205085840742,0.024794353727862616,0.04029461834901802,4207,Arts & culture,Volunteer rate by subsector,CA,
Frequency of religious attendance,At least once a week,2018,flag_vd1dtx01,0.024727327671782626,16.162060642377465,0.016894438046248763,0.03256021729731649,2383,Arts & culture,Volunteer rate by subsector,CA,
Frequency of religious attendance,At least once a month,2018,flag_vd1dtx01,0.026332996875762106,19.899419838103544,0.016062562936509057,0.03660343081501516,1208,Arts & culture,Volunteer rate by subsector,CA,*
Frequency of religious attendance,At least 3 times a year,2018,flag_vd1dtx01,0.0318605665266383,20.915504382431205,0.018799762077628006,0.0449213709756486,1297,Arts & culture,Volunteer rate by subsector,CA,*
Frequency of religious attendance,Once or twice a year,2018,flag_vd1dtx01,0.027536747602578918,15.578999438165617,0.019128600588674553,0.035944894616483286,2164,Arts & culture,Volunteer rate by subsector,CA,
Frequency of religious attendance,Not at all,2018,flag_vd1dtx01,0.026518060523354394,9.60155365720089,0.02152770643636903,0.03150841461033976,7820,Arts & culture,Volunteer rate by subsector,CA,
Immigration status,Naturalized,2018,flag_vd1dtx01,0.01735616769177474,15.847169658609008,0.011965362523822454,0.022746972859727026,2492,Arts & culture,Volunteer rate by subsector,CA,
Immigration status,Non-Canadian,2018,flag_vd1dtx01,0.04146503514331731,37.14619355973522,0.011276332738661854,0.07165373754797276,319,Arts & culture,Volunteer rate by subsector,CA,...
Immigration status,Unknown,2018,flag_vd1dtx01,0.028753351868734428,6.358875136280637,0.02516977382308863,0.032336929914380225,13338,Arts & culture,Volunteer rate by subsector,CA,
Age group,15 to 24 years,2018,flag_vd1dtx02,0.09460439922169417,13.16388878216446,0.07019575666717649,0.11901304177621184,845,Sports & Recreation,Volunteer rate by subsector,CA,
Age group,25 to 34 years,2018,flag_vd1dtx02,0.06491235117588455,10.712258799016503,0.05128358667327744,0.07854111567849166,1846,Sports & Recreation,Volunteer rate by subsector,CA,
Age group,35 to 44 years,2018,flag_vd1dtx02,0.11824618951644683,6.482114898931703,0.10322335198827766,0.133269027044616,2523,Sports & Recreation,Volunteer rate by subsector,CA,
Age group,45 to 54 years,2018,flag_vd1dtx02,0.10883409628398845,7.60414011202297,0.09261363588889815,0.12505455667907875,2609,Sports & Recreation,Volunteer rate by subsector,CA,
Age group,55 to 64 years,2018,flag_vd1dtx02,0.08128104686649594,7.3675296260081264,0.06954398833355532,0.09301810539943656,3481,Sports & Recreation,Volunteer rate by subsector,CA,
Age group,65 to 74 years,2018,flag_vd1dtx02,0.07858120120960059,7.425003442685235,0.06714548383302443,0.09001691858617675,3019,Sports & Recreation,Volunteer rate by subsector,CA,
Age group,75 years and over,2018,flag_vd1dtx02,0.07017005043612777,9.411992170018133,0.05722566497723654,0.083114435895019,1826,Sports & Recreation,Volunteer rate by subsector,CA,
Gender,Male gender,2018,flag_vd1dtx02,0.09510793039519332,4.648703992857813,0.0864423687605485,0.10377349202983813,7242,Sports & Recreation,Volunteer rate by subsector,CA,
Gender,Female gender,2018,flag_vd1dtx02,0.08401655823930923,5.0704368731864005,0.07566709883025025,0.09236601764836821,8907,Sports & Recreation,Volunteer rate by subsector,CA,
Education,Less than High School,2018,flag_vd1dtx02,0.057354126801180606,12.765773921216805,0.043003862098131104,0.07170439150423011,1568,Sports & Recreation,Volunteer rate by subsector,CA,
Education,Graduated from High school,2018,flag_vd1dtx02,0.07278671262799666,9.063020223110756,0.059857468219245175,0.08571595703674814,3502,Sports & Recreation,Volunteer rate by subsector,CA,
Education,Post-secondary diploma,2018,flag_vd1dtx02,0.0968666246859895,5.728263988899226,0.08599122360857511,0.10774202576340389,5142,Sports & Recreation,Volunteer rate by subsector,CA,
Education,University Diploma,2018,flag_vd1dtx02,0.10336194954341828,5.235890799914061,0.09275478359492222,0.11396911549191434,4544,Sports & Recreation,Volunteer rate by subsector,CA,
Marital status (Original),Married,2018,flag_vd1dtx02,0.10164014733265019,3.891290744382809,0.09388826703225164,0.10939202763304873,8083,Sports & Recreation,Volunteer rate by subsector,CA,
Marital status (Original),Living common-law,2018,flag_vd1dtx02,0.09010720353597247,10.807735999392296,0.07101999887206034,0.1091944081998846,1487,Sports & Recreation,Volunteer rate by subsector,CA,
