Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
fv1fvol,Non-volunteers,2018,dv_ic,0.175098775830002,3.9226037494696726,0.16163689815358184,0.18856065350642215,7784,% improving community,Linkages between forms of support,CA,
fv1fvol,Volunteers,2018,dv_ic,0.4307387104538337,1.9933174070872628,0.4139104798809043,0.44756694102676314,8365,% improving community,Linkages between forms of support,CA,
dv_hp,Non-helpers,2018,dv_ic,0.10152666198543896,7.569476417776458,0.08646426676155464,0.11658905720932328,4250,% improving community,Linkages between forms of support,CA,
dv_hp,Helpers,2018,dv_ic,0.35462592114377195,1.9087508540228875,0.34135907134483007,0.36789277094271383,11899,% improving community,Linkages between forms of support,CA,
dv_ic,Non-improvers,2018,dv_hp,0.6328712915615063,1.1635610847008282,0.618438422406625,0.6473041607163876,11212,% helping others,Linkages between forms of support,CA,
dv_ic,Improvers,2018,dv_hp,0.8934202499202302,0.8861413356762062,0.877903281427151,0.9089372184133093,4937,% helping others,Linkages between forms of support,CA,
fv1fvol,Non-volunteers,2018,dv_hp,0.6295462636501681,1.3788276679330365,0.6125330744685878,0.6465594528317483,7784,% helping others,Linkages between forms of support,CA,
fv1fvol,Volunteers,2018,dv_hp,0.8152272469875637,0.8811975731406703,0.8011473307906516,0.8293071631844757,8365,% helping others,Linkages between forms of support,CA,
dv_hp,Non-helpers,2018,fv1fvol,0.2582313944027388,3.9150273252560486,0.23841649239252014,0.27804629641295747,4250,% volunteering formally,Linkages between forms of support,CA,
dv_hp,Helpers,2018,fv1fvol,0.47474354917515466,1.5496156085459387,0.46032468185847086,0.48916241649183845,11899,% volunteering formally,Linkages between forms of support,CA,
dv_ic,Non-improvers,2018,fv1fvol,0.325084239920412,1.9768235031929926,0.3124888417146136,0.33767963812621044,11212,% volunteering formally,Linkages between forms of support,CA,
dv_ic,Improvers,2018,fv1fvol,0.6319454688126354,1.9379638283663112,0.607942035672303,0.6559489019529677,4937,% volunteering formally,Linkages between forms of support,CA,
fv1fvol,Non-volunteers,2018,dv_ic,0.1895791399528918,10.656757839089783,0.1499820074507746,0.229176272455009,654,% improving community,Linkages between forms of support,AB,
fv1fvol,Volunteers,2018,dv_ic,0.4438999547985151,5.242761996051507,0.39828646143645513,0.489513448160575,758,% improving community,Linkages between forms of support,AB,
fv1fvol,Non-volunteers,2018,dv_ic,0.12822496127394417,7.912814179176847,0.10833876897692873,0.1481111535709596,2037,% improving community,Linkages between forms of support,AT,
fv1fvol,Volunteers,2018,dv_ic,0.429731117085509,3.7213582170710593,0.3983876979343076,0.46107453623671035,2011,% improving community,Linkages between forms of support,AT,
fv1fvol,Non-volunteers,2018,dv_ic,0.21567211733672265,8.160323903569855,0.181177646237418,0.2501665884360273,983,% improving community,Linkages between forms of support,BC,
fv1fvol,Volunteers,2018,dv_ic,0.4914754974368882,4.008362986890303,0.4528639679652058,0.5300870269085706,1194,% improving community,Linkages between forms of support,BC,
fv1fvol,Non-volunteers,2018,dv_ic,0.18125749366641739,6.549264273364032,0.15799069794714493,0.20452428938568984,1999,% improving community,Linkages between forms of support,ON,
fv1fvol,Volunteers,2018,dv_ic,0.42636726195927294,3.3971621689422595,0.3979783844660351,0.45475613945251075,2347,% improving community,Linkages between forms of support,ON,
fv1fvol,Non-volunteers,2018,dv_ic,0.16162880550694306,8.066482881443697,0.13607526560957253,0.18718234540431358,1078,% improving community,Linkages between forms of support,PR,
fv1fvol,Volunteers,2018,dv_ic,0.4340610540753793,4.827739529027438,0.39298934809957076,0.4751327600511879,1075,% improving community,Linkages between forms of support,PR,
fv1fvol,Non-volunteers,2018,dv_ic,0.15431001220904716,9.592935212722612,0.12529694072484235,0.18332308369325198,1033,% improving community,Linkages between forms of support,QC,
fv1fvol,Volunteers,2018,dv_ic,0.38181716136351196,6.3395419263957145,0.33437533344169695,0.42925898928532696,980,% improving community,Linkages between forms of support,QC,
dv_hp,Non-helpers,2018,dv_ic,0.11403156290686797,22.583536625865154,0.06355786523267673,0.16450526058105922,319,% improving community,Linkages between forms of support,AB,*
dv_hp,Helpers,2018,dv_ic,0.36817218290273057,5.411774200114669,0.3291205919736592,0.4072237738318019,1093,% improving community,Linkages between forms of support,AB,
dv_hp,Non-helpers,2018,dv_ic,0.07811199241645143,13.840866117912942,0.056922084260046364,0.09930190057285651,1067,% improving community,Linkages between forms of support,AT,
dv_hp,Helpers,2018,dv_ic,0.3279778519264284,3.6047811469351854,0.30480542553918627,0.35115027831367057,2981,% improving community,Linkages between forms of support,AT,
dv_hp,Non-helpers,2018,dv_ic,0.09668520544143108,13.431182342192347,0.0712331793050848,0.12213723157777737,568,% improving community,Linkages between forms of support,BC,
dv_hp,Helpers,2018,dv_ic,0.4320933208190564,3.898706505954054,0.39907566873260186,0.4651109729055109,1609,% improving community,Linkages between forms of support,BC,
dv_hp,Non-helpers,2018,dv_ic,0.10789191347756602,10.805534000580108,0.08504207046290693,0.1307417564922251,1200,% improving community,Linkages between forms of support,ON,
dv_hp,Helpers,2018,dv_ic,0.3623137190533779,3.2335040749710324,0.33935190040518776,0.385275537701568,3146,% improving community,Linkages between forms of support,ON,
dv_hp,Non-helpers,2018,dv_ic,0.1291831795207669,14.99087844054202,0.0912271179062549,0.16713924113527892,512,% improving community,Linkages between forms of support,PR,
dv_hp,Helpers,2018,dv_ic,0.35736697368010706,4.414447433551319,0.3264470185439351,0.388286928816279,1641,% improving community,Linkages between forms of support,PR,
dv_hp,Non-helpers,2018,dv_ic,0.08820581098819492,20.24648938452011,0.05320363706299398,0.12320798491339587,584,% improving community,Linkages between forms of support,QC,*
dv_hp,Helpers,2018,dv_ic,0.2936096977495381,5.421993345002878,0.262408054483955,0.3248113410151212,1429,% improving community,Linkages between forms of support,QC,
dv_ic,Non-improvers,2018,dv_hp,0.6872114936943795,3.188439138807734,0.6442660951872354,0.7301568922015236,933,% helping others,Linkages between forms of support,AB,
dv_ic,Improvers,2018,dv_hp,0.90864941758100215,2.264794150285555,0.8683152425868343,0.94898359257517,479,% helping others,Linkages between forms of support,AB,
dv_ic,Non-improvers,2018,dv_hp,0.6691480467486931,1.7885570145550058,0.6456910129024671,0.6926050805949191,2950,% helping others,Linkages between forms of support,AT,
dv_ic,Improvers,2018,dv_hp,0.9209459288696423,1.1786180894298002,0.8996716265865338,0.9422202311527509,1098,% helping others,Linkages between forms of support,AT,
dv_ic,Non-improvers,2018,dv_hp,0.6129080081214532,2.9428473718344237,0.5775562412012237,0.6482597750416826,1367,% helping others,Linkages between forms of support,BC,
