Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
All,NA,2018,top_cause,0.7177785709030787,1.2977669057005286,0.6995213246016234,0.736035817204534,897,Top cause,Focus on primary cause,10,NL,NA
All,NA,2018,top_cause,0.7331749872178082,1.7515317851306187,0.7080055355550628,0.7583444388805535,598,Top cause,Focus on primary cause,11,PE,NA
All,NA,2018,top_cause,0.7421144940978665,1.5016404270417545,0.7202728685839482,0.7639561196117847,880,Top cause,Focus on primary cause,12,NS,NA
All,NA,2018,top_cause,0.7583392677613466,1.33098073733406,0.7385566661059885,0.7781218694167048,837,Top cause,Focus on primary cause,13,NB,NA
All,NA,2018,top_cause,0.7392106992843638,1.130991320311521,0.7228245990468021,0.7555967995219255,1509,Top cause,Focus on primary cause,24,QC,NA
All,NA,2018,top_cause,0.7681976225833727,0.6746237134637736,0.7580402203081565,0.7783550248585888,3289,Top cause,Focus on primary cause,35,ON,NA
All,NA,2018,top_cause,0.7805663519651593,1.2472104604043088,0.7614855044101262,0.7996471995201925,850,Top cause,Focus on primary cause,46,MB,NA
All,NA,2018,top_cause,0.7613943063415332,1.3471666816356818,0.7412904649557521,0.7814981477273142,749,Top cause,Focus on primary cause,47,SK,NA
All,NA,2018,top_cause,0.77034511906245,1.3007833162001663,0.7507052592156988,0.7899849789092012,1013,Top cause,Focus on primary cause,48,AB,NA
All,NA,2018,top_cause,0.7801249158039911,1.0298641480402553,0.764378120597488,0.7958717110104943,1532,Top cause,Focus on primary cause,59,BC,NA
Age group,15 to 24 years,2018,top_cause,0.6743153407842467,6.727184566867852,0.5854065969602689,0.7632240846082246,31,Top cause,Focus on primary cause,10,NL,NA
Age group,25 to 34 years,2018,top_cause,0.7638736680392822,4.210820316374427,0.7008307451828146,0.8269165908957499,78,Top cause,Focus on primary cause,10,NL,NA
Age group,35 to 44 years,2018,top_cause,0.6314270478701387,4.024269504940969,0.5816237238132832,0.6812303719269942,151,Top cause,Focus on primary cause,10,NL,NA
Age group,45 to 54 years,2018,top_cause,0.7133476422951672,2.840654507468138,0.6736314378717942,0.7530638467185402,196,Top cause,Focus on primary cause,10,NL,NA
