Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
All,NA,2018,top_cause,0.8303762187171575,0.6048382016918109,0.8205324317287892,0.8402200057055258,-,Top cause,Focus on primary cause,CA,NA,NA
All,NA,2018,top_cause,0.8274566507993371,0.6326425798345298,0.8171965468534657,0.8377167547452085,-,Top cause,Focus on primary cause,CA (without QC),NA,NA
All,NA,2018,top_cause,0.8271495252861276,1.392558352281003,0.8045736021231962,0.8497254484490591,758,Top cause,Focus on primary cause,AB,NA,NA
All,NA,2018,top_cause,0.8209850182649095,0.9262003771689574,0.8060815181073409,0.8358885184224782,2011,Top cause,Focus on primary cause,AT,NA,NA
All,NA,2018,top_cause,0.8289063924957775,1.1909927850605466,0.8095572060022738,0.8482555789892812,1194,Top cause,Focus on primary cause,BC,NA,NA
All,NA,2018,top_cause,0.8285939847884536,1.109786221134933,0.8105708971032279,0.8466170724736792,2347,Top cause,Focus on primary cause,ON,NA,NA
All,NA,2018,top_cause,0.8255271655323521,1.2927377387365424,0.8046106235095595,0.8464437075551446,1075,Top cause,Focus on primary cause,PR,NA,NA
All,NA,2018,top_cause,0.843596254088764,1.7303298075139877,0.8149866648247848,0.8722058433527433,980,Top cause,Focus on primary cause,QC,NA,NA
All,NA,2018,top_cause,0.8283393323436975,1.721211150054211,0.8003952066937741,0.8562834579936209,567,Top cause,Focus on primary cause,10,NL,NA
All,NA,2018,top_cause,0.7985088546213909,2.225846964447682,0.7636732679464183,0.8333444412963634,323,Top cause,Focus on primary cause,11,PE,NA
All,NA,2018,top_cause,0.8289602437392259,1.422735669911277,0.8058445988713896,0.8520758886070623,579,Top cause,Focus on primary cause,12,NS,NA
All,NA,2018,top_cause,0.8096476707826564,1.9576854749584305,0.7785815461359441,0.8407137954293687,542,Top cause,Focus on primary cause,13,NB,NA
All,NA,2018,top_cause,0.843596254088764,1.7303298075139877,0.8149866648247848,0.8722058433527433,980,Top cause,Focus on primary cause,24,QC,NA
All,NA,2018,top_cause,0.8285939847884536,1.109786221134933,0.8105708971032279,0.8466170724736792,2347,Top cause,Focus on primary cause,35,ON,NA
All,NA,2018,top_cause,0.8479297502560729,1.5610127536910556,0.8219870955412782,0.8738724049708675,576,Top cause,Focus on primary cause,46,MB,NA
All,NA,2018,top_cause,0.8020322243958681,2.037141463216739,0.7700092920921822,0.834055156699554,499,Top cause,Focus on primary cause,47,SK,NA
All,NA,2018,top_cause,0.8271495252861276,1.392558352281003,0.8045736021231962,0.8497254484490591,758,Top cause,Focus on primary cause,48,AB,NA
All,NA,2018,top_cause,0.8289063924957775,1.1909927850605466,0.8095572060022738,0.8482555789892812,1194,Top cause,Focus on primary cause,59,BC,NA
Age group,15 to 24 years,2018,top_cause,0.8089355249701486,2.325953553964361,0.7720578920168061,0.8458131579234912,505,Top cause,Focus on primary cause,CA,NA,NA
Age group,25 to 34 years,2018,top_cause,0.860619434419762,1.2495877814416891,0.839541598954497,0.881697269885027,919,Top cause,Focus on primary cause,CA,NA,NA
Age group,35 to 44 years,2018,top_cause,0.8286594296243809,1.501591066409022,0.8042714488737415,0.8530474103750203,1481,Top cause,Focus on primary cause,CA,NA,NA
Age group,45 to 54 years,2018,top_cause,0.8462900383318294,1.0131416766650074,0.8294850776483439,0.8630949990153148,1390,Top cause,Focus on primary cause,CA,NA,NA
Age group,55 to 64 years,2018,top_cause,0.823395130595554,1.2089906984018777,0.803884138862805,0.8429061223283031,1707,Top cause,Focus on primary cause,CA,NA,NA
Age group,65 to 74 years,2018,top_cause,0.8197312955958709,1.1716587891054018,0.8009069121117737,0.8385556790799681,1560,Top cause,Focus on primary cause,CA,NA,NA
Age group,75 years and over,2018,top_cause,0.8209737947275232,1.4424782193553276,0.7977631796117634,0.844184409843283,803,Top cause,Focus on primary cause,CA,NA,NA
Gender,Male gender,2018,top_cause,0.8300641240733464,0.9466893232083108,0.8146624753482219,0.8454657727984709,3493,Top cause,Focus on primary cause,CA,NA,NA
Gender,Female gender,2018,top_cause,0.8306397975712029,0.7862466584027971,0.8178395125863014,0.8434400825561044,4872,Top cause,Focus on primary cause,CA,NA,NA
Education,Less than High School,2018,top_cause,0.8318012481753215,2.427273833431068,0.7922293910063442,0.8713731053442989,545,Top cause,Focus on primary cause,CA,NA,NA
Education,Graduated from High school,2018,top_cause,0.8286501297611634,1.950056599368746,0.7969787845197314,0.8603214750025954,1455,Top cause,Focus on primary cause,CA,NA,NA
Education,Post-secondary diploma,2018,top_cause,0.8414138054926085,0.8437687708867374,0.8274988708151314,0.8553287401700855,2618,Top cause,Focus on primary cause,CA,NA,NA
Education,University Diploma,2018,top_cause,0.8391497602010866,0.739058527307055,0.8269944401571492,0.8513050802450239,2973,Top cause,Focus on primary cause,CA,NA,NA
Marital status (original),Married,2018,top_cause,0.8293070142488179,0.6996014049835847,0.8179356098991891,0.8406784185984467,4495,Top cause,Focus on primary cause,CA,NA,NA
Marital status (original),Living common-law,2018,top_cause,0.854639776552023,1.7610188160713,0.8251415987394894,0.8841379543645564,726,Top cause,Focus on primary cause,CA,NA,NA
Marital status (original),Widowed,2018,top_cause,0.8310138918463801,1.6262979066571603,0.8045254459935619,0.8575023376991983,635,Top cause,Focus on primary cause,CA,NA,NA
Marital status (original),Separated,2018,top_cause,0.8557895553983228,2.313990502642007,0.8169766061008216,0.894602504695824,242,Top cause,Focus on primary cause,CA,NA,NA
Marital status (original),Divorced,2018,top_cause,0.8253733504043088,1.776665722000254,0.7966321927650192,0.8541145080435985,677,Top cause,Focus on primary cause,CA,NA,NA
Marital status (original),"Single, never married",2018,top_cause,0.8224918589774075,1.5506859545209402,0.7974939574890422,0.8474897604657728,1590,Top cause,Focus on primary cause,CA,NA,NA
Labour force status,Employed,2018,top_cause,0.8379832507744878,0.8008056975950142,0.8248306819309635,0.851135819618012,4536,Top cause,Focus on primary cause,CA,NA,NA
Labour force status,Unemployed,2018,top_cause,0.8509866046717283,3.0399190614631233,0.8002837005150196,0.9016895088284368,187,Top cause,Focus on primary cause,CA,NA,NA
Labour force status,Not in labour force,2018,top_cause,0.832510601335749,1.0957918278007237,0.8146306669451533,0.8503905357263446,2852,Top cause,Focus on primary cause,CA,NA,NA
Labour force status,Unable to determine,2018,top_cause,0.7688335171162345,2.283885216092224,0.7344179704553933,0.8032490637770757,790,Top cause,Focus on primary cause,CA,NA,NA
Personal income category,"Less than $25,000",2018,top_cause,0.8315641778428167,1.2037469434296977,0.8119450787430502,0.8511832769425831,2213,Top cause,Focus on primary cause,CA,NA,NA
Personal income category,"$25,000 to $49,999",2018,top_cause,0.8238855313152756,1.15129906763086,0.8052945155126895,0.8424765471178618,2297,Top cause,Focus on primary cause,CA,NA,NA
Personal income category,"$50,000 to $74,999",2018,top_cause,0.8373098230622861,1.040364331437814,0.8202364342197579,0.8543832119048143,1750,Top cause,Focus on primary cause,CA,NA,NA
Personal income category,"$75,000 to $99,999",2018,top_cause,0.8370923642159246,1.188957833460601,0.8175854792003152,0.856599249231534,1047,Top cause,Focus on primary cause,CA,NA,NA
Personal income category,"$100,000 to $124,999",2018,top_cause,0.8182555408518428,1.972980125673882,0.7866138446575845,0.8498972370461011,484,Top cause,Focus on primary cause,CA,NA,NA
