Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Donor status,Regular donor,2018,ng_020,0.6572004626477203,1.3034258458387524,0.6404111746098172,0.6739897506856233,7710,Happy with what already given,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_020,0.7692349627473553,1.9707666599684834,0.739522249417482,0.7989476760772285,1761,Happy with what already given,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_030,0.688433363472616,1.192551812972696,0.6723422070247099,0.704524519920522,7739,Could not afford to give more,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_030,0.6333835153846342,2.91326974219018,0.5972179261488215,0.6695491046204469,1743,Could not afford to give more,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_040,0.25513233535529545,3.1858283759282617,0.23920159455337697,0.2710630761572139,7584,No one asked,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_040,0.22490852258610539,7.022503269909598,0.19395244305007106,0.25586460212213974,1720,No one asked,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_050,0.11639056658389682,5.39368763706936,0.1040864152226408,0.12869471794515286,7555,Unsure where to give,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_050,0.08121243140409518,13.192465917801332,0.0602135294962899,0.10221133331190045,1713,Unsure where to give,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_060,0.12259102288777857,5.66910705671481,0.10896963318292757,0.13621241259262956,7564,Hard to find a cause,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_060,0.07808900814204417,13.2078010868834,0.05787425150216888,0.09830376478191946,1711,Hard to find a cause,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_070,0.2696648015909741,3.075451971136724,0.2534100138282588,0.28591958935368944,7528,Gave time instead,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_070,0.2577095117043678,6.532650802875457,0.22471300356262358,0.290706019846112,1709,Gave time instead,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_080,0.37104960935532405,2.25974190047104,0.35461577488793056,0.38748344382271754,7559,Gave directly instead,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_080,0.4099551843206998,4.365134903637185,0.37488143901433935,0.4450289296270602,1718,Gave directly instead,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_090,0.1709050654161264,4.369709490498627,0.15626794684962375,0.18554218398262906,7545,Tax credit was not enough,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_090,0.16786385878772483,8.436979966726039,0.1401055941926279,0.19562212338282176,1716,Tax credit was not enough,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_110,0.23243706899106883,3.2463958422878725,0.21764751916393407,0.2472266188182036,7555,Money would not be used efficiently,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_110,0.24843816210051675,6.161425733642528,0.2184363410115244,0.27843998318950913,1716,Money would not be used efficiently,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_130,0.21020491938232028,3.3477383287053346,0.19641243594332447,0.22399740282131608,7548,Did not like the way requests were made,Top donors barriers to giving,CA,
Donor status,Top donor,2018,ng_130,0.2753750624414028,5.500321322522255,0.24568844192835307,0.3050616829544525,1715,Did not like the way requests were made,Top donors barriers to giving,CA,
Donor status,Regular donor,2018,ng_020,0.6398671944591999,1.5103654520497953,0.62092544975814,0.6588089391602598,6565,Happy with what already given,Top donors barriers to giving,CA (without QC),
Donor status,Top donor,2018,ng_020,0.750189024652882,2.232280509766038,0.7173668339473098,0.7830112153584541,1607,Happy with what already given,Top donors barriers to giving,CA (without QC),
Donor status,Regular donor,2018,ng_030,0.7148394292218996,1.2148214812775437,0.6978190570130344,0.7318598014307648,6589,Could not afford to give more,Top donors barriers to giving,CA (without QC),
Donor status,Top donor,2018,ng_030,0.6407942484515777,3.073487541381655,0.6021932842379704,0.6793952126651851,1596,Could not afford to give more,Top donors barriers to giving,CA (without QC),
Donor status,Regular donor,2018,ng_040,0.27395760215560505,3.3030870489216198,0.25622177423197123,0.29169343007923887,6463,No one asked,Top donors barriers to giving,CA (without QC),
Donor status,Top donor,2018,ng_040,0.23309747875792725,7.287496691680611,0.19980362728786807,0.26639133022798644,1575,No one asked,Top donors barriers to giving,CA (without QC),
Donor status,Regular donor,2018,ng_050,0.1104883425570592,5.830999964033926,0.09786112716843173,0.12311555794568665,6438,Unsure where to give,Top donors barriers to giving,CA (without QC),
Donor status,Top donor,2018,ng_050,0.08621119064776844,13.572017081052326,0.06327844091000209,0.1091439403855348,1568,Unsure where to give,Top donors barriers to giving,CA (without QC),
Donor status,Regular donor,2018,ng_060,0.1300252678872103,6.285550561929557,0.11400686648008733,0.1460436692943333,6448,Hard to find a cause,Top donors barriers to giving,CA (without QC),
Donor status,Top donor,2018,ng_060,0.07004199097880315,14.247753433753862,0.050482706449336674,0.08960127550826963,1566,Hard to find a cause,Top donors barriers to giving,CA (without QC),
Donor status,Regular donor,2018,ng_070,0.27866741562964215,3.2471476195739735,0.2609322065120933,0.296402624747191,6410,Gave time instead,Top donors barriers to giving,CA (without QC),
