,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Donor status,Regular donor,2018,ng_020,0.6572004626477203,1.3034258458387524,0.6404111746098172,0.6739897506856233,7710,Montant déjà donné suffisant,Top donors barriers to giving,CA,
1,Donor status,Top donor,2018,ng_020,0.7692349627473553,1.9707666599684837,0.739522249417482,0.7989476760772285,1761,Montant déjà donné suffisant,Top donors barriers to giving,CA,
2,Donor status,Regular donor,2018,ng_030,0.688433363472616,1.192551812972696,0.6723422070247099,0.704524519920522,7739,Pas les moyens de donner plus,Top donors barriers to giving,CA,
3,Donor status,Top donor,2018,ng_030,0.6333835153846342,2.9132697421901805,0.5972179261488215,0.6695491046204469,1743,Pas les moyens de donner plus,Top donors barriers to giving,CA,
4,Donor status,Regular donor,2018,ng_040,0.25513233535529545,3.1858283759282617,0.23920159455337694,0.2710630761572139,7584,Aucune sollicitation,Top donors barriers to giving,CA,
5,Donor status,Top donor,2018,ng_040,0.22490852258610536,7.022503269909597,0.19395244305007106,0.2558646021221397,1720,Aucune sollicitation,Top donors barriers to giving,CA,
6,Donor status,Regular donor,2018,ng_050,0.11639056658389682,5.39368763706936,0.1040864152226408,0.12869471794515286,7555,Ne savent pas où donner,Top donors barriers to giving,CA,
7,Donor status,Top donor,2018,ng_050,0.08121243140409518,13.192465917801332,0.0602135294962899,0.10221133331190044,1713,Ne savent pas où donner,Top donors barriers to giving,CA,
8,Donor status,Regular donor,2018,ng_060,0.12259102288777855,5.66910705671481,0.10896963318292756,0.13621241259262956,7564,Difficulté à trouver une cause,Top donors barriers to giving,CA,
9,Donor status,Top donor,2018,ng_060,0.07808900814204417,13.2078010868834,0.05787425150216888,0.09830376478191946,1711,Difficulté à trouver une cause,Top donors barriers to giving,CA,
10,Donor status,Regular donor,2018,ng_070,0.2696648015909741,3.0754519711367236,0.2534100138282588,0.28591958935368944,7528,Don de temps,Top donors barriers to giving,CA,
11,Donor status,Top donor,2018,ng_070,0.2577095117043678,6.532650802875457,0.2247130035626236,0.290706019846112,1709,Don de temps,Top donors barriers to giving,CA,
12,Donor status,Regular donor,2018,ng_080,0.3710496093553241,2.25974190047104,0.35461577488793056,0.3874834438227176,7559,Don direct,Top donors barriers to giving,CA,
13,Donor status,Top donor,2018,ng_080,0.4099551843206998,4.365134903637185,0.37488143901433935,0.4450289296270602,1718,Don direct,Top donors barriers to giving,CA,
14,Donor status,Regular donor,2018,ng_090,0.1709050654161264,4.369709490498627,0.15626794684962375,0.18554218398262906,7545,Crédit d'impôt insuffisant,Top donors barriers to giving,CA,
15,Donor status,Top donor,2018,ng_090,0.16786385878772486,8.436979966726039,0.1401055941926279,0.19562212338282176,1716,Crédit d'impôt insuffisant,Top donors barriers to giving,CA,
16,Donor status,Regular donor,2018,ng_110,0.23243706899106886,3.2463958422878725,0.21764751916393407,0.2472266188182036,7555,Utilisation non efficiente de l'argent,Top donors barriers to giving,CA,
