Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,TopDonorFlag,0.09825412768519252,19.04278845739903,0.0615825632021001,0.13492569216828496,406,Top donors,Likelihood of being a top donor,CA,*
Age group,25 to 34 years,2018,TopDonorFlag,0.18663149601724308,7.3745655358006115,0.15965599821834986,0.2136069938161363,1293,Top donors,Likelihood of being a top donor,CA,
Age group,35 to 44 years,2018,TopDonorFlag,0.23101004712280337,5.550200433207321,0.20588032844888826,0.2561397657967185,1870,Top donors,Likelihood of being a top donor,CA,
Age group,45 to 54 years,2018,TopDonorFlag,0.2644722804368357,5.3027864204051,0.23698496119348755,0.2919595996801838,1954,Top donors,Likelihood of being a top donor,CA,
Age group,55 to 64 years,2018,TopDonorFlag,0.2894790061472255,4.3219765746487075,0.26495747566933264,0.31400053662511834,2701,Top donors,Likelihood of being a top donor,CA,
Age group,65 to 74 years,2018,TopDonorFlag,0.2960548575453094,4.015292377444593,0.272755848146922,0.31935386694369683,2439,Top donors,Likelihood of being a top donor,CA,
Age group,75 years and over,2018,TopDonorFlag,0.35080998411246694,4.6578083557545655,0.3187840613716154,0.3828359068533185,1491,Top donors,Likelihood of being a top donor,CA,
Gender,Male gender,2018,TopDonorFlag,0.2562314928169225,3.5599618173844014,0.2383532044562461,0.2741097811775988,5149,Top donors,Likelihood of being a top donor,CA,
Gender,Female gender,2018,TopDonorFlag,0.23908700356004045,2.835061104865373,0.2258018528986384,0.2523721542214425,7005,Top donors,Likelihood of being a top donor,CA,
Education,Less than High School,2018,TopDonorFlag,0.16234130851295972,11.580032274132623,0.1254956007706292,0.19918701625529023,964,Top donors,Likelihood of being a top donor,CA,
Education,Graduated from High school,2018,TopDonorFlag,0.1653194533937446,6.204366083715444,0.14521605557674042,0.18542285121074878,2438,Top donors,Likelihood of being a top donor,CA,
Education,Post-secondary diploma,2018,TopDonorFlag,0.22714474861991418,4.231729337903899,0.20830527891091266,0.2459842183289157,3885,Top donors,Likelihood of being a top donor,CA,
Education,University Diploma,2018,TopDonorFlag,0.3457952690711008,3.1192480927866537,0.3246546813640234,0.3669358567781782,3767,Top donors,Likelihood of being a top donor,CA,
Marital status (Original),Married,2018,TopDonorFlag,0.29602583433224755,2.799417924184972,0.27978361227000426,0.31226805639449084,6463,Top donors,Likelihood of being a top donor,CA,
Marital status (Original),Living common-law,2018,TopDonorFlag,0.12244946607117763,9.696553183098397,0.09917807360030995,0.1457208585420453,1102,Top donors,Likelihood of being a top donor,CA,
Marital status (Original),Widowed,2018,TopDonorFlag,0.3553007950578397,5.845795315339791,0.31459203492820736,0.396009555187472,1143,Top donors,Likelihood of being a top donor,CA,
Marital status (Original),Separated,2018,TopDonorFlag,0.22405846716506372,13.572321622566816,0.16445608825186603,0.2836608460782614,375,Top donors,Likelihood of being a top donor,CA,
Marital status (Original),Divorced,2018,TopDonorFlag,0.2831960490257248,7.863110716361716,0.23955153401532753,0.3268405640361221,1031,Top donors,Likelihood of being a top donor,CA,
Marital status (Original),"Single, never married",2018,TopDonorFlag,0.1618127326564854,7.411744459537603,0.13830659795007655,0.18531886736289427,2040,Top donors,Likelihood of being a top donor,CA,
Marital status,Married/common-law,2018,TopDonorFlag,0.2650560318552112,2.6525563633372315,0.25127599421809566,0.27883606949232675,7565,Top donors,Likelihood of being a top donor,CA,
Marital status,Widowed,2018,TopDonorFlag,0.3553007950578397,5.845795315339791,0.31459203492820736,0.396009555187472,1143,Top donors,Likelihood of being a top donor,CA,
Marital status,Separated/divorced,2018,TopDonorFlag,0.263797028695163,6.966510216512393,0.22777789453575462,0.29981616285457147,1406,Top donors,Likelihood of being a top donor,CA,
Marital status,"Single, never married",2018,TopDonorFlag,0.1618127326564854,7.411744459537603,0.13830659795007655,0.18531886736289427,2040,Top donors,Likelihood of being a top donor,CA,
Labour force status,Employed,2018,TopDonorFlag,0.24020421732652605,3.221764916100823,0.22503641824990658,0.2553720164031455,6433,Top donors,Likelihood of being a top donor,CA,
Labour force status,Unemployed,2018,TopDonorFlag,0.1267694598194056,19.92690958945509,0.07725834774972923,0.17628057188908197,220,Top donors,Likelihood of being a top donor,CA,*
Labour force status,Not in labour force,2018,TopDonorFlag,0.2655976001579481,3.343478507274036,0.24819273057523927,0.2830024697406569,4423,Top donors,Likelihood of being a top donor,CA,
Labour force status,Unable to determine,2018,TopDonorFlag,0.27215849722847235,7.87725291953181,0.23013958753936611,0.3141774069175786,1078,Top donors,Likelihood of being a top donor,CA,
Personal income category,"Less than $25,000",2018,TopDonorFlag,0.1820660986524084,5.3010349543497846,0.16314972669358252,0.20098247061123425,3046,Top donors,Likelihood of being a top donor,CA,
Personal income category,"$25,000 to $49,999",2018,TopDonorFlag,0.23898713347781056,4.484841198170135,0.21797986039422054,0.25999440656140055,3625,Top donors,Likelihood of being a top donor,CA,
