Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Donor status,Regular donor,2018,flag_gs1dax01,0.03431056660239124,9.082876049467046,0.028202561817199448,0.040418571387583035,8386,Arts & culture,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax01,0.07790067891981443,7.2981321321307195,0.06675770649869592,0.08904365134093295,3768,Arts & culture,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax02,0.14841919128222875,3.820139374134843,0.13730654835211054,0.15953183421234696,8386,Sports & Recreation,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax02,0.2287842529027985,4.151210004692451,0.21016985795346188,0.2473986478521351,3768,Sports & Recreation,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax03,0.15555602107794056,3.829137995847662,0.14388158437486503,0.16723045778101608,8386,Education & research,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax03,0.20695466084308778,4.65232130502459,0.18808374388182425,0.2258255778043513,3768,Education & research,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax04,0.01607465529756595,11.660800467095036,0.012400833185305798,0.019748477409826104,8386,Universities & colleges,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax04,0.049995348880160266,8.300481013858645,0.04186178363352091,0.05812891412679962,3768,Universities & colleges,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax05,0.45963326404929566,1.7363955004950995,0.4439906909116974,0.4752758371868939,8386,Health,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax05,0.5955772087137396,2.069154401355838,0.5714237649730497,0.6197306524544296,3768,Health,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax06,0.2447359273795261,2.9332655690086673,0.2306658267277555,0.25880602803129665,8386,Hospitals,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax06,0.27726767039485245,4.022243418208209,0.25540940603134876,0.29912593475835614,3768,Hospitals,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax07,0.45060926853870487,2.0059615314985795,0.43289305885906015,0.4683254782183496,8386,Social services,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax07,0.5687237773149793,2.271325064369284,0.5434058137727309,0.5940417408572276,3768,Social services,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax08,0.09355182562322407,5.128545715053303,0.08414821605699792,0.10295543518945023,8386,Environment,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax08,0.15425055184094918,5.496296132195911,0.13763384563757491,0.17086725804432346,3768,Environment,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax09,0.026773502376007473,11.547798081980273,0.020713783738848694,0.03283322101316625,8386,Development & housing,Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax09,0.048475720655723045,9.81243287049978,0.039152862774818,0.05779857853662809,3768,Development & housing,Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax10,0.030781061947904014,9.360228294742278,0.025134057481898054,0.03642806641390997,8386,"Law, advocacy & politics",Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax10,0.08995186618951401,7.51656734048012,0.07669997621211605,0.10320375616691196,3768,"Law, advocacy & politics",Top donors levels of support by cause,CA,
Donor status,Regular donor,2018,flag_gs1dax11,0.1367229429289771,4.206983417502184,0.12544940347430833,0.14799648238364588,8386,"Grant-making, fundraising",Top donors levels of support by cause,CA,
Donor status,Top donor,2018,flag_gs1dax11,0.2422031082009817,4.282818874408855,0.22187216574610952,0.2625340506558539,3768,"Grant-making, fundraising",Top donors levels of support by cause,CA,
