Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Donor Level,<$150,2018,donor_level_1/gs1datot,0.0467717060692985,3.75943399888619,0.0433254006142701,0.0502180115243269,5177,Percentage of donations,Top donors percentage of total donations,CA,
Donor Level,$150 < $450,2018,donor_level_2/gs1datot,0.113090624517351,3.67865124777124,0.104936763396173,0.121244485638529,3209,Percentage of donations,Top donors percentage of total donations,CA,
Donor Level,$450 < $1400,2018,donor_level_3/gs1datot,0.209585641005404,4.13229877641407,0.192610971362214,0.226560310648594,2244,Percentage of donations,Top donors percentage of total donations,CA,
Donor Level,>= $1400,2018,donor_level_4/gs1datot,0.630552028407947,1.85957039803394,0.607570355334968,0.653533701480925,1524,Percentage of donations,Top donors percentage of total donations,CA,
Donor Level,<$150,2018,donor_level_1/gs1datot,0.0367566582810451,4.15450921670279,0.0337636781169341,0.0397496384451561,4326,Percentage of donations,Top donors percentage of total donations,CA (without QC),
Donor Level,$150 < $450,2018,donor_level_2/gs1datot,0.101115296379518,4.10306048369576,0.0929837551345514,0.109246837624485,2816,Percentage of donations,Top donors percentage of total donations,CA (without QC),
Donor Level,$450 < $1400,2018,donor_level_3/gs1datot,0.199946206188284,4.38703061891587,0.182753987582933,0.217138424793635,2045,Percentage of donations,Top donors percentage of total donations,CA (without QC),
Donor Level,>= $1400,2018,donor_level_4/gs1datot,0.662181839151153,1.75642186823397,0.639386073040965,0.68497760526134,1458,Percentage of donations,Top donors percentage of total donations,CA (without QC),
Donor Level,<$150,2018,donor_level_1/gs1datot,0.0265470513215822,12.7796181425032,0.0198976544055507,0.0331964482376137,1013,Percentage of donations,Top donors percentage of total donations,AB,
Donor Level,<$150,2018,donor_level_1/gs1datot,0.0572989595528635,6.51749523445242,0.049979558412881,0.0646183606928459,3212,Percentage of donations,Top donors percentage of total donations,AT,
